%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         obj_fn         	best_so_far
1        NO_ID      2.359948176    2.722425996    1.579406125    2.371133947    3.124441964    2.398706918    1.641593606    0.1548739312   2.404313231    2.030617493    2.676938407    1.732226361    2.754917216    1.021974802    0.6482437185   0.9250489332   0.4935724504   2.190669538    1.136372362    1.03532017     2.288466456    0.5978499387   2.633848857    1.427297229    0.7974717134   2.955949406    1.100037732    0.01017132548  2.979575182    2.68628433     -1.556524      
2        NO_ID      1.993927153    0.3690313032   2.708599534    3.044728335    1.859297695    3.016401898    0.9543530758   2.710108788    3.099578047    2.280599576    1.766849405    2.755527521    1.836061603    1.414704601    2.8194656      1.331027858    0.9441834916   1.010277731    2.808000966    1.9271027      0.8842061265   0.9512373041   1.147329443    2.003357545    1.309946534    2.827295424    1.617920273    0.8317011148   2.60824947     0.4174590299   -0.562643      	-5.62643e-01
3        NO_ID      1.640728528    0.4219641966   1.828007488    2.069864278    2.5817077      1.208813718    0.128675653    0.3441391212   0.8896330036   0.2190905091   1.192221683    2.826396991    0.3786482969   1.461909159    0.8142117272   2.773738992    2.582465283    2.631874706    1.585863511    1.390825642    1.561277122    2.321870513    1.536256237    0.2600613597   2.133044302    1.799939769    0.9481981659   1.942125596    1.65448553     1.416444274    -0.123225      	-5.62643e-01
4        NO_ID      2.840865092    2.128978396    0.4686771927   2.919353248    1.37466682     2.902914435    2.847681727    0.6058832578   0.9824515858   2.937515434    0.06923680797  1.483353876    0.1874041512   0.6901496443   0.9166230768   3.097420428    1.875142492    2.010203816    1.622859929    2.178182494    0.243496382    1.052425469    0.6265782181   1.961374864    2.82362605     1.243519136    0.187556825    2.366059192    0.6782200258   0.4016118176   -0.186791      	-5.62643e-01
5        NO_ID      2.188529594    0.7447629693   1.443129769    0.0319220449   1.166323119    1.461293013    1.015908369    1.635601243    0.2607758441   0.2363968621   0.8425410661   2.431823442    2.45971058     1.585833367    1.49389322     2.217977242    0.8403015911   2.899707671    1.126301074    2.605387165    0.6187421101   0.7784888451   2.344167922    2.741606176    1.13011894     0.6055268347   0.3913517072   2.10625189     1.853640278    1.623496652    -0.998867      	-9.98867e-01
6        NO_ID      1.032138057    0.05699283826  1.796209226    1.543530159    2.483154662    0.7964164548   0.3497586259   1.981775654    2.383386765    0.8613030409   1.059293633    1.391752441    2.056698473    1.951524272    0.7825490229   1.302544721    0.694462379    0.7383420144   2.307623245    0.0946951795   0.01953576101  0.340556452    2.375601711    1.523368425    0.06946019454  2.353890447    2.556105011    2.480266199    2.381863878    0.6540201849   -0.191527      	-9.98867e-01
7        NO_ID      0.4750072474   3.140596419    2.003858303    1.658056796    0.4045291148   1.802202447    1.832961573    0.2151425887   2.549492477    1.85394712     2.525759094    0.319466904    1.164952966    1.127436979    1.463968932    3.030551169    0.03895197333  2.552704005    0.1395085337   0.7301863916   0.1779631021   2.662897606    2.97774481     2.131401011    3.044675991    2.678009704    2.745290909    2.85038259     0.2511697005   0.9924653447   -1.173528      	-1.17353e+00
8        NO_ID      0.1235129968   2.272969638    1.179242452    3.100823029    1.108380887    0.1401696592   3.028067247    3.04846904     1.357219621    0.9369109272   0.4922573124   1.718438167    2.574618568    0.9951986996   2.356661245    2.464461184    2.656463504    1.437532634    0.4290761578   1.355777117    0.9549050876   2.97690133     1.626871383    0.9714008188   2.35091638     1.840212173    2.041334845    2.19101524     2.559604225    1.120196509    -0.936295      	-1.17353e+00
9        NO_ID      1.511959296    1.31583946     1.390023129    2.618648513    1.148853413    0.03693396646  2.08905627     1.781697442    0.1027444551   1.182683339    1.299746118    0.3002622267   0.2380511436   1.630449806    0.9769842981   1.562934256    0.1088311526   1.877153484    2.938525203    0.8538622903   1.403772741    1.150762103    1.580132196    1.059472121    2.290936671    1.772936531    1.592981694    0.8588138533   0.4921628436   1.686341622    -1.647515      	-1.64752e+00
10       NO_ID      0.8666647725   1.161860012    1.887949122    2.100400939    2.663494339    2.04333097     2.551047354    1.322562375    3.026538671    1.291212984    0.6681466836   0.1819146118   0.2929102527   0.205791451    0.8236862096   0.4065678392   2.222156893    0.6341148925   0.6333750538   2.646255267    0.4124341509   2.22852895     1.415122048    2.884654844    1.258423754    1.949019837    0.0894361706   1.515481318    1.276688632    3.091412704    -1.637249      	-1.64752e+00
11       NO_ID      0.1868534647   0.4991457748   2.581178554    1.074646146    0.9810030094   1.29318442     1.486817501    2.800128643    2.07259253     0.5950301279   2.723766997    2.314434921    2.929855469    2.865548455    2.842153356    3.125060762    1.926178848    0.9654458184   1.46115134     1.061777548    1.497956861    2.044193991    1.125878775    1.639451687    3.009632037    2.180785927    1.642366903    1.802826743    1.934084108    2.17744789     -2.356107      	-2.35611e+00
