%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         obj_fn         	best_so_far
1        NO_ID      1.901540305    0.5785800816   1.165221148    0.16585196     1.022550853    2.66187119     1.15163206     0.4948971414   0.3486550729   1.061845305    2.733165583    0.3010437417   0.1469662941   2.68644773     1.059468907    0.3030498321   1.68377307     2.023854468    0.06840136736  1.37468912     0.2187695944   2.480896017    1.183271215    2.806785962    2.968011488    2.525082043    0.2566968697   1.659729203    0.4625891071   2.661425659    -1.374124      
2        NO_ID      0.7810939556   3.121835318    2.082011059    2.428525452    1.764941999    0.5382764583   2.314460941    1.925915036    1.026694108    1.473183116    1.058491528    2.761831697    1.896078108    3.123736619    2.432044571    1.70191219     1.311973071    2.838177405    0.1132333657   0.1536405297   0.3231641848   1.548449013    0.1219782236   0.1660492144   2.592677759    1.083408234    0.5094747156   1.446960366    0.09332468789  1.937452845    -0.755651      	-7.55651e-01
3        NO_ID      1.250701381    1.070801207    2.887063651    1.13370387     0.007249097471 2.864978864    0.9187524499   2.976702451    2.395995359    1.758398765    1.889139788    2.885332662    1.575136058    1.455678887    0.8044792486   0.3834910121   3.048586036    1.055864525    1.799478524    2.279125199    0.2594969762   0.458533779    1.037688546    0.5960937902   0.4584150138   0.1415465304   1.355102374    1.816636076    2.169654208    2.778389999    -1.392691      	-1.39269e+00
4        NO_ID      1.604276552    2.775606022    3.007432603    0.5133339193   0.2344523357   0.111055932    2.442694718    0.161123158    0.5916912367   0.147181378    2.805007715    0.6249679475   2.800538395    0.1439216407   2.385864841    0.484288574    2.614995052    0.1305427986   1.768864246    0.004663164287 2.151487119    0.2640534869   2.9987869      0.8578117457   2.454681198    2.607660932    0.8002011735   1.218749348    0.873210065    1.309631608    -0.267402      	-1.39269e+00
5        NO_ID      3.033356594    0.8748305662   0.4870300447   0.9090289563   0.552531821    0.8979903114   0.6760018671   1.771250011    2.843804818    0.2278080232   0.888125268    2.075481286    2.109710046    2.957155778    2.049552548    0.5380788316   0.1272695571   2.535687703    1.61049938     2.553640629    0.5028481583   0.5745159945   0.904179388    1.377332538    1.940049622    0.1169468731   0.9257932846   0.2536389868   2.015896834    2.312093596    -1.722285      	-1.72229e+00
6        NO_ID      0.4400186933   0.6709302366   2.221994079    2.575812624    1.835853205    0.4808962992   0.5510180065   0.4404974603   0.3179806191   3.011071569    2.48229471     1.743652761    2.262405124    2.514804182    2.273401841    0.4582353231   0.057062476    0.2723034716   1.825603906    1.44714013     2.567930094    2.611358866    0.5809734078   2.23240883     1.257473907    2.467565255    2.398043152    1.064925941    2.314736988    3.03656901     -0.817746      	-1.72229e+00
7        NO_ID      1.055968609    0.3198909512   1.750711005    2.090346025    2.819448278    0.3706480494   0.278595437    2.201681942    2.47060638     0.4056473168   2.682527336    1.77730489     1.33426414     0.6262711134   2.175237668    1.122426838    2.441166187    3.094928696    1.553123251    1.572676874    0.1468984528   3.103809139    1.864947748    0.7835745207   0.03267051749  2.823275332    0.1707272802   2.452048743    0.8342955939   2.156476767    -0.402986      	-1.72229e+00
8        NO_ID      2.005443701    0.07423123349  2.89595037     1.196661227    1.600292524    1.21477389     1.939743976    3.010740429    2.642989929    2.701231208    0.5307092075   2.341557459    0.9198056774   1.966625736    0.8292573827   0.1250750007   2.177364872    0.4176091465   0.3332421141   1.809556114    1.350627333    1.358439182    0.6141035055   1.461336296    1.728178263    2.011699745    0.5014533723   0.2401873108   2.453695673    0.02222721637  -1.359314      	-1.72229e+00
9        NO_ID      2.707392267    1.163791915    1.538540878    2.473517824    2.487623604    0.8669697048   1.995272471    2.794867031    1.917822086    2.574633087    1.689389053    0.7206186379   2.053742268    2.014953039    2.219983479    0.9505175967   3.039433518    0.9340962015   3.136371415    1.665443778    2.496947263    0.9506299996   1.649628281    1.516561745    0.9824910872   2.212542338    2.556879333    1.18405388     1.106130244    0.1903580702   -1.366606      	-1.72229e+00
10       NO_ID      0.6528035563   0.9695273418   1.343439044    2.16599704     1.648763313    1.312702239    3.015597533    0.04776671154  0.8555090572   3.037499048    0.9608388393   1.402314293    2.041830636    1.659847445    1.814762644    0.0123375255   2.252050674    1.069105814    0.8770172688   1.917816113    2.340173378    2.063322479    0.5542150672   2.759766594    0.859603921    1.387737213    1.012712244    1.931302994    2.932398873    0.49506094     -1.1364        	-1.72229e+00
11       NO_ID      1.132360665    2.403640152    1.819119611    1.246891358    2.010557013    1.144815163    1.622886315    2.403402078    1.416913728    2.385408725    2.165024843    2.201551413    0.7697126834   2.743124768    1.950131975    2.325424822    3.139489128    1.330747808    2.301144925    0.2248639734   1.79761729     2.546467595    0.6617536745   2.322423533    1.0671052      2.754475199    0.124669774    1.279716515    1.633659254    2.131976076    -0.191054      	-1.72229e+00
