%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         obj_fn         	best_so_far
1        NO_ID      2.567327052    2.073276168    2.76648084     1.241822108    1.791391062    2.287431773    3.052273465    3.062727281    1.377287715    1.323514243    2.526844889    0.0707292905   0.6861382227   0.4254292186   0.9121203009   0.9982897743   0.9135780098   1.258745362    1.146650322    1.670108042    3.019391351    1.596984239    0.1558358122   0.3634840141   1.299763169    0.798932544    0.7481542865   1.438808057    1.836912598    1.607508791    -0.49402       
2        NO_ID      2.217262634    1.433938538    1.256121712    2.927262514    0.9308704747   0.399420797    0.09303412023  0.6158626062   1.529624448    2.04250524     2.324599803    0.4466197936   0.8993201746   0.7392917742   2.962052662    1.906476798    1.633107947    3.128703939    2.2525434      2.476781237    1.124176452    0.8612347237   1.2697148      2.366337452    1.019912856    1.310809967    0.9221579585   0.4033915004   0.3818869239   1.947821713    -2.969552      	-2.96955e+00
3        NO_ID      3.041493055    2.9154129      0.3614834513   1.149948057    0.8956515598   2.894440551    0.9903525477   1.724685565    2.526615075    2.432539375    1.93889053     1.634706358    0.9568066016   2.625910294    2.357699456    1.131236205    0.8616230519   2.639050945    0.7716556898   0.7753540264   1.386505703    1.885315481    2.805418063    0.1754369965   1.820764256    3.068284403    2.382474913    0.008127661657 1.766533799    0.4007221216   -1.591711      	-2.96955e+00
4        NO_ID      1.56556532     1.612229757    0.1805795452   0.7043027784   2.929405504    1.921540775    1.036972984    2.715702747    0.4454053726   2.737611711    0.3621775959   1.953605867    2.230626588    0.9750025179   1.347979988    2.597858546    1.964586613    2.251849077    1.219395895    0.2200705563   0.8809733121   1.211432618    2.542373395    1.689505798    0.7535142945   0.6475470508   0.5472033951   2.060281766    2.740655744    2.643441243    -1.115897      	-2.96955e+00
5        NO_ID      1.575325355    0.7166570376   2.908202907    0.8081299267   1.191585029    0.6018349276   0.5099129277   0.0585776244   0.04940037166  0.3511594037   0.3906802452   1.175878036    0.3119364545   2.054645373    1.964114757    2.241306896    0.9758270007   0.4565319854   0.3629846902   0.2529283511   1.958155508    2.783077216    1.094641363    0.06532120078  1.449738898    1.750181749    2.331377745    0.6885925235   1.79996768     2.295226741    -0.148487      	-2.96955e+00
6        NO_ID      2.448106249    0.4073048196   0.6673079043   0.4204869132   2.371781317    1.061105489    1.90965248     0.685016444    1.316155117    1.508090796    0.1588158712   0.2124602123   1.615112428    3.120809697    1.710761966    2.194609202    0.4684347464   1.84639508     0.3323301152   0.3574503026   2.8724424      2.948266631    0.2115972191   2.87352303     1.22207682     2.31862669     0.001468978244 0.3412483505   1.097681252    1.60073457     -1.352835      	-2.96955e+00
7        NO_ID      2.877061751    0.6482788234   0.1944795916   2.720776407    2.64837814     1.081513485    1.134258192    2.616666207    2.081189839    2.114518459    1.602479231    2.903559722    2.703460313    2.240786142    0.6953309888   2.157329734    1.499963353    0.9138465568   1.548106634    1.902348665    2.922856276    2.088976232    0.5921519008   0.8227826532   0.4892774182   3.108877151    2.732722974    0.8563686681   0.5864827828   0.6351148764   -1.538014      	-2.96955e+00
8        NO_ID      1.828042929    1.851632667    1.573405532    1.793123876    0.2326845594   0.8542992915   2.788622188    2.469143662    2.858068581    2.201570474    0.7125866355   0.8040550149   1.28583919     2.854187645    0.01164345735  2.649330952    1.013823404    0.2559477721   2.430176719    2.778339448    1.758614308    0.780465687    1.612567889    1.717947753    0.1622442565   0.4525028694   0.8589160658   1.667588387    0.5340020779   2.835989549    -1.204204      	-2.96955e+00
9        NO_ID      2.261998262    2.653965248    2.25257091     0.3779690917   1.155173946    2.017106737    2.327838003    1.686245897    1.953004334    3.097105485    2.719622949    3.008643718    1.198666677    0.1013554581   0.1863765937   3.105682998    1.85370755     1.215184834    1.008204578    0.106583575    1.44993514     2.589308284    0.9176655521   0.5811837816   2.294869605    2.215414606    1.72083629     0.9958043739   0.3756325213   1.568189967    -3.453142      	-3.45314e+00
10       NO_ID      1.351342886    0.1265782706   1.103400143    1.580806873    1.685578604    0.4329030496   2.848084481    1.393690201    1.931116547    2.855971061    0.628384646    2.175000464    0.773456275    0.7077692493   2.83757908     0.1155408139   2.267118192    1.762620442    1.06115053     0.5431490427   1.165578082    1.472058402    0.3209601306   3.11944073     2.619064626    0.4945282105   0.3197035545   0.6216706855   0.1427761192   1.884559113    -1.765492      	-3.45314e+00
11       NO_ID      1.416649756    0.0780664109   2.063252756    2.083431962    0.9990366022   2.640437529    0.1258713038   2.796920888    2.201679244    2.014504209    1.638582725    2.098083369    0.260685745    0.6553528872   0.03235629286  1.694853961    1.945999203    2.563307441    2.063099874    2.07743267     2.333165295    3.036628615    2.716912408    1.1652142      2.23919663     0.7697974069   1.555905326    1.883688638    0.8630880115   1.793002414    -1.301964      	-3.45314e+00
