%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         obj_fn         	best_so_far
1        NO_ID      2.598853279    0.5291770336   0.3826273286   0.08208448627  2.664993705    2.598995581    0.2803029244   1.302200793    1.331705426    0.5167211845   2.073169487    0.6537346902   2.720176723    0.1992652288   1.265575664    0.1622850751   1.784422294    0.8198849428   1.316158528    2.584096515    1.355774652    2.098475183    1.45133492     0.756703897    0.7624767041   1.87758131     1.412971699    2.642546909    0.02898381989  3.13995198     -0.629426      
2        NO_ID      0.159098248    2.496097652    0.865962109    2.653253644    1.494189138    2.306379355    1.886170024    1.803711553    2.551458798    1.232531899    0.2368111121   0.486333093    2.142899295    2.776832506    0.238408614    2.397491417    1.731210945    0.096173053    1.34581573     0.6508304666   2.16009207     1.03466783     0.1833984567   0.5019474032   1.729455875    1.338135007    0.2825989173   1.757126813    1.953794337    2.667451466    -1.856513      	-1.85651e+00
3        NO_ID      2.536726405    1.744299603    2.357564865    1.413965516    1.924039981    1.424670605    1.400338268    3.018414076    2.449428994    0.2336230339   0.4684089029   2.302151298    0.1608581996   0.6441484179   0.4482618457   0.5532022296   2.766720754    0.4596317398   1.264519486    1.682870259    0.9507019766   3.060160805    2.192592399    1.52687572     1.610775227    1.692732801    0.02011667801  2.230967852    0.1438399014   2.267587603    -1.235844      	-1.85651e+00
4        NO_ID      1.667709445    2.232028738    1.677155251    1.265963207    1.082327759    0.4165450849   1.283887632    1.850433478    1.027468704    1.317430677    1.182344554    1.176914961    0.8522625412   1.576829362    1.695471788    2.83874431     1.908318746    1.42426135     0.12833292     1.296923623    0.04352179771  1.386967271    2.200940623    0.7324429238   2.732198323    0.1069586751   1.871439922    2.395340152    0.6368898433   0.2726968969   -0.471174      	-1.85651e+00
5        NO_ID      1.342045546    0.9241340096   0.7464279079   0.3204453827   0.01816322641  2.073132212    1.174457166    1.214791824    2.648088554    0.3810815279   2.375217693    1.008657413    0.9617170974   1.802640369    1.721477654    0.3622306819   0.5284961732   1.164202612    0.5046633348   1.556642424    2.996581869    1.926780506    0.3448725981   1.461150042    1.196347112    2.951756202    0.06678542683  1.878521496    3.070039722    1.068318972    -0.397747      	-1.85651e+00
6        NO_ID      1.424935149    0.488834196    1.523216417    3.120269512    2.182054298    2.795542355    3.037547603    0.3631690163   2.354570522    1.595838301    1.318897905    0.5717647553   1.605791545    1.168686714    1.730724245    2.546646853    2.052989603    1.564266106    0.04391515724  2.476130485    0.8061224706   0.519924186    0.2130205504   2.785232666    2.858758312    0.4347570359   2.708224258    2.460019533    2.774696409    1.382249808    -1.000849      	-1.85651e+00
7        NO_ID      2.335830954    0.6142486882   2.908708679    0.0006090231142 0.5630996083   1.758007851    2.544917262    1.347305502    2.050889861    0.03409678682  1.588244882    2.097884943    2.639652826    0.1596506249   2.949277231    2.905400328    0.2124368163   0.978927152    0.07231355543  2.028767929    2.039477723    2.316282965    1.067264301    1.550694355    1.830904215    2.490624723    1.786308251    1.687481828    2.416586464    0.339566765    -1.818642      	-1.85651e+00
8        NO_ID      0.1008264729   2.645363071    0.645951498    0.6366813781   1.006622114    0.4953475735   2.444455497    0.03743333916  0.6796478032   0.3057075802   0.0957166952   2.444132395    0.6154739991   3.074744712    2.799903697    1.901875941    0.3113477533   0.3786741583   2.292535499    1.509701436    0.2618448988   0.4380717937   1.126205815    2.863653608    1.959907948    2.794556975    1.816690208    1.322437168    0.8200078493   1.27798313     -1.412783      	-1.85651e+00
9        NO_ID      2.73285192     0.8131597428   1.211085241    1.364839645    1.752829217    1.30943223     0.5081260258   2.483571795    2.282191081    1.067576674    2.92408361     1.604949007    2.697087177    2.904585638    2.511081311    0.4292713998   1.134673063    2.791715918    1.510743363    0.2704242939   0.6775793267   0.924188224    0.05039026741  0.3924317401   0.5770736677   2.314783755    0.7984087518   1.506980744    1.429920499    0.5067864244   -1.417867      	-1.85651e+00
10       NO_ID      2.395578526    0.7436355829   2.567659898    3.072064417    1.514780723    1.410262603    0.5536199796   0.2506988654   0.7832942233   0.08299890972  1.128598841    1.086432313    1.975277864    2.129744306    2.020550068    2.174917765    0.4860754174   0.7872473344   2.502914163    0.4266485643   1.018913936    2.388834169    2.893607014    0.1421414132   1.395066887    1.612148517    0.6248883798   0.2954295614   1.142775001    1.729217089    -0.846692      	-1.85651e+00
11       NO_ID      2.505274804    1.45118536     1.045635287    2.260488155    0.6119495285   2.369943058    0.1282161414   2.016379567    1.70443574     0.1484983219   2.544761356    2.159814497    2.55051798     3.100974722    0.4328304258   2.7426637      0.1287526154   1.340866616    0.2217490758   1.001598511    2.586290376    1.51005285     1.602828797    2.987788411    1.473504822    0.7865380759   2.64600657     1.626007135    1.049850685    1.857135025    -1.167294      	-1.85651e+00
12       NO_ID      3.049216548    2.97064179     1.361713076    1.976541416    1.889350757    0.7726677424   0.4042871294   1.497094163    1.059825272    2.493487397    0.3850867936   2.559174291    0.3629657557   0.0008550025227 0.1054080169   1.962571895    0.5570908428   2.581237066    0.5594066079   0.07724364679  2.477889075    0.03716459667  0.2779705041   0.9084509568   2.49575782     2.36007229     1.580929023    0.6927674217   1.231329256    2.620300235    -1.225062      	-1.85651e+00
13       NO_ID      0.7348177419   2.152397459    2.252848342    2.486404773    0.1107454115   2.760078971    1.312241971    1.447694286    2.214461976    2.562285368    1.840481529    0.6219591388   1.432103977    0.5946992541   2.343804907    0.589261705    2.967839716    0.919356403    2.310732905    2.212461061    1.96195895     0.2092586355   2.139586424    0.2625587296   0.3856750899   2.229782758    0.3123802295   1.366769864    1.770438802    2.79378154     -2.125712      	-2.12571e+00
14       NO_ID      1.726545381    0.3534048803   2.477205721    1.858129288    0.6632299904   2.803728564    1.466937843    1.412686929    1.60246636     2.398056817    3.088653387    2.453992698    0.2401649011   2.602872907    1.313908831    2.884630696    0.255746891    1.86862463     0.8235215453   2.532520703    2.688472931    1.556413472    2.8848448      1.478478726    3.025548788    2.578627078    0.6829352036   2.794850477    2.0623897      1.842247573    -1.610895      	-2.12571e+00
15       NO_ID      1.797553005    0.7218296893   3.046360438    2.124875324    0.7836044169   1.133761131    1.763728949    3.014659261    1.103699624    2.620000956    0.1776228184   1.282574726    2.959456165    2.956701804    2.91706142     0.1394811864   0.7958340302   0.9716413182   0.1084649356   2.381953802    1.21097923     1.455946791    1.960062307    1.158361811    1.057980107    2.98628953     3.026947414    0.2501409226   2.017754813    2.675744253    -0.081447      	-2.12571e+00
16       NO_ID      1.637549619    2.868858415    0.5596664854   0.8908358462   2.592017893    3.092168422    1.350901128    3.131275873    2.024892125    1.87429837     3.061762168    0.9201934649   0.1107054995   1.026679       2.043474091    0.8707026513   2.635572504    2.531107066    2.896264947    1.396201291    2.485341236    0.3027042738   0.4995300592   0.6281252012   2.290652928    1.70973398     2.017245271    2.146544059    2.830751079    0.1348796064   -0.936934      	-2.12571e+00
17       NO_ID      0.7702568176   0.3020267129   0.1296113772   1.161271892    2.306880014    0.5778289593   2.804032282    2.981688169    1.742246804    0.1594009343   2.442821013    2.80878752     1.576693535    1.969835343    0.04355257361  1.453501008    2.587872153    2.724950995    0.8801740804   1.258963508    1.743299429    2.186699863    0.5915434254   0.05953318679  1.170334974    2.477479995    1.369239457    2.814766241    1.893417669    3.046177968    -0.937988      	-2.12571e+00
18       NO_ID      1.996346769    1.856310499    2.016284109    1.500792018    0.1748219463   0.6511059254   2.167219716    2.894741632    0.3167026271   0.876185659    0.5692435941   2.730017007    0.4059891535   2.272550973    1.412367879    0.4912302545   1.014082158    1.022589434    1.664770696    1.21708943     1.492249222    0.471102873    0.7584617074   1.095256623    1.020909552    0.7238182837   2.957542417    1.141939015    1.604541437    1.494857494    -0.419776      	-2.12571e+00
19       NO_ID      2.955687556    0.6561299107   1.946089161    0.8702924207   2.248371597    3.138787586    2.016204977    0.1089073913   1.975802925    1.758691589    1.353967954    1.529469957    1.168852994    1.217077129    1.340430156    0.7604487378   1.572232404    2.030137095    2.107414521    0.2123743821   0.5855295426   1.414902355    1.738389004    0.08065113411  2.87311537     0.2806863783   0.9721039206   0.1721781645   1.110314979    2.807030656    -1.197724      	-2.12571e+00
20       NO_ID      1.120873238    1.341548792    2.488372718    2.20761482     1.156611428    0.3378748735   1.348515322    0.4316152309   0.6139383255   1.365397926    0.02806150583  2.78047259     2.058156723    1.499999562    0.8716454212   2.62588679     2.287280308    2.396408134    3.099264627    0.04935034018  1.306699431    2.227064689    0.3962986522   0.4087217869   1.082516368    2.696240995    0.52886151     1.886648502    2.281355944    2.4932028      -0.2403        	-2.12571e+00
