%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         obj_fn         	best_so_far
1        NO_ID      0.5805157891   1.543072331    0.09415725823  0.9993019628   0.01214262879  2.960128879    0.6072261782   0.9764334876   0.6467087163   3.071891805    2.509828166    1.343086826    1.392937884    1.532820223    1.827722847    2.657174995    1.357831723    2.162964705    3.119544479    0.8270635282   1.073652783    0.8071320738   0.4941904355   0.8685203295   1.504366526    2.723174591    1.215247628    1.142889602    3.071513568    2.237985532    -1.51117       
2        NO_ID      2.412776289    1.945582994    2.666125881    1.698536619    0.2788744667   2.533104415    1.349068368    2.482414377    2.496168646    2.890098851    0.8245779846   2.808843968    0.9281804768   0.9755693017   1.682615877    1.252094586    0.9013559848   2.916596524    0.9627929554   3.055829301    2.107827719    1.12472758     1.286153744    1.972627458    1.997103637    1.057020325    3.097951029    2.906199397    0.2922794542   0.9543596271   -0.542771      	-5.42771e-01
3        NO_ID      2.470493091    1.731231719    2.91488179     2.321051725    3.02937918     3.11482837     3.104752747    1.437964372    0.365452106    0.4907859626   1.963475851    2.976825561    1.973394674    0.1084538563   0.5483248815   0.8627508537   2.659125231    1.546677867    2.674688256    2.101541445    1.8715958      2.868273354    2.054046057    0.6638041575   0.2089484795   0.7760769362   2.436729405    0.2613680553   1.292892771    0.4915044344   -0.62506       	-6.25060e-01
4        NO_ID      2.921322867    2.495444695    1.527014017    1.728725111    2.510842137    1.617885853    0.5742741852   0.3730364631   1.649524746    2.287764187    0.6277766354   0.01071259347  2.643297424    0.6182602467   2.043980507    1.38968857     2.744217487    0.8021294676   0.03037712441  0.8731050334   2.223899454    0.3783664429   0.9224776497   2.741808892    0.9557906427   2.652457976    0.2988132028   3.011862694    2.655638969    0.7794685279   -1.420013      	-1.42001e+00
5        NO_ID      0.8391939828   2.309940239    2.263461918    1.78364285     2.263427529    1.298599505    2.716482423    0.04827164329  1.81577408     2.392454377    2.978150054    2.667413258    2.428682301    0.2407785402   0.06044742708  0.4558135211   1.856736625    2.685281827    1.651178507    0.4822901877   0.08926227439  1.591074347    1.459548001    0.7567261858   0.7342982625   3.086333431    1.646349649    0.8120236173   0.2594014498   1.764773557    -0.873523      	-1.42001e+00
6        NO_ID      2.595069982    1.342117402    1.447105935    0.07514361395  0.8412664894   0.9844684056   1.915497467    3.078211076    1.561882948    0.621022616    1.230919587    2.29529544     1.050677471    0.8562240765   0.4291352043   2.595763875    1.314231976    1.869853416    0.6064488879   1.132258417    1.839030543    0.6802300043   0.2947156053   0.004108714182 0.91678967     1.255098858    1.484973913    1.682576796    1.934631932    2.853742395    -1.295545      	-1.42001e+00
7        NO_ID      0.314517364    0.0463295028   1.849861022    1.969883883    0.8160522824   2.182644478    2.360162731    0.7222270718   2.9995649      0.9364642226   0.2979274078   1.177545979    0.2879996125   1.042326104    2.51177743     1.100271358    2.636866354    0.3483482916   0.7963317564   2.2433412      2.432165533    2.349907915    0.2168266257   2.530576556    1.460436016    2.569716317    1.084372546    1.710296665    2.734492091    1.719337474    -0.956884      	-1.42001e+00
8        NO_ID      1.258704472    2.130460391    2.360169499    0.4630731795   0.6104713872   2.425236816    2.254848832    2.684789909    1.44528417     0.399691814    1.493763203    1.639491426    3.067579126    1.261698924    1.028757864    0.8217351947   0.06911695051  0.06081874637  1.704313657    1.355374824    2.621500904    1.702214062    0.1812199939   2.941435518    1.296706039    0.6748944788   2.012809612    1.956297499    1.078681324    2.22014514     -0.634811      	-1.42001e+00
9        NO_ID      1.38631745     1.785369012    0.768507694    1.354945652    0.4399538175   2.700879929    1.638262497    0.9301298715   0.435499676    3.122101008    2.146919065    1.853731375    0.3305734908   1.335508776    2.459307185    1.031913942    0.4604759907   0.645860827    0.5526988757   1.314148004    0.5252132923   2.703493395    1.947215227    1.037378697    0.3301068117   0.8971668223   2.999790946    2.030945699    1.680370211    3.135027543    -0.401909      	-1.42001e+00
10       NO_ID      2.702775202    2.950752787    1.300505373    2.466274944    0.6702012151   0.866550229    1.71911412     1.61778287     2.935086447    1.626033074    2.753877443    1.584302156    2.023879868    2.79743941     0.7646157193   0.07544647785  3.134866823    0.2879973977   1.046869486    2.83075288     2.257147917    1.628813842    2.402661367    1.294462032    2.323274565    2.99668495     1.012246194    1.640514212    2.705581197    2.303808155    -2.167553      	-2.16755e+00
11       NO_ID      1.297230892    1.437175936    1.050569767    0.8805254283   1.801456405    1.576037505    2.461684476    2.816352806    0.72264241     1.117529428    1.703657882    0.5334679117   1.626008788    2.920346326    1.936781554    1.853176001    2.795025481    2.967366202    1.351063136    1.40723755     2.660180634    1.525558947    2.142313278    0.5056674879   2.676501551    1.4869         2.545874465    0.3932981612   2.531000459    2.150818958    -2.521567      	-2.52157e+00
12       NO_ID      2.235135909    0.1021168956   0.8168374461   2.379557222    3.097895259    0.5981915661   0.5242848619   0.9732620529   1.835573723    0.5931586871   1.385544341    0.179297208    2.320366723    1.358576032    1.619201842    0.9757777198   0.5052508908   0.851090471    0.6805671678   1.094145387    0.009767263654 0.8179457026   0.7850852021   0.8077816242   2.244705957    0.5043122656   2.764308012    2.654022093    0.5663017075   2.359116973    -0.860598      	-2.52157e+00
13       NO_ID      0.6457655579   2.518889897    0.1565782521   1.904817455    1.180912905    0.9382737526   0.8333397241   1.015533091    2.846470183    1.018270376    0.7418357414   2.081985538    1.240341708    1.177120764    2.0313233      1.059411583    1.802406241    1.147214286    0.5309824307   2.699205455    0.364427753    0.256999128    0.4249087051   0.5984643476   2.539715116    0.4771647984   0.5140799278   0.02203227603  2.459952532    0.4102512749   -2.413772      	-2.52157e+00
14       NO_ID      2.421029222    0.1835692748   0.9912357656   2.330145965    2.812980533    0.4390294287   2.974665097    1.922311787    2.545507092    2.65459467     1.66151073     1.29049807     0.7325083145   3.067432742    2.559033955    0.4382593106   1.981651782    0.9090045186   2.13816231     0.004174474046 2.762826522    2.660081612    1.481718944    0.5001566557   1.823589611    0.264504398    2.86972522     2.241574416    2.285624151    2.872021437    -0.285007      	-2.52157e+00
