%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         obj_fn         	best_so_far
1        NO_ID      0.5763408278   1.14174288     2.871641794    2.554078383    1.532391132    0.904004873    0.2575945303   2.15543836     1.64093485     2.234118089    1.833225364    2.442140688    0.03101986669  0.08939307208  1.745604353    2.302244953    2.479364592    1.489646085    2.316484133    1.131738761    0.3103073033   2.177579343    2.048860572    2.678627262    1.498141555    2.477742888    0.1535236526   1.16417631     0.7670686173   0.5154711633   -1.939183      
2        NO_ID      2.072841978    2.717182338    2.386394952    1.903545987    0.5425562471   2.535605366    0.4175290135   2.418193229    2.725374468    3.108700162    0.4089071336   0.02087593823  1.761989703    0.4065901649   1.268056982    2.246835836    2.143544254    0.02823952283  0.7361177077   0.218203982    0.3326099694   0.3206748921   3.092319605    0.3795062044   0.235886445    1.776419926    1.888226828    1.383013579    2.676934273    1.208321152    -1.850173      	-1.85017e+00
3        NO_ID      2.4650046      0.5362725447   0.7694731255   0.4849872317   2.085578635    1.166479094    0.2310893346   2.803032578    2.146023774    0.1384918577   0.9095274091   2.391100431    0.8922123945   0.2180778778   0.8045141235   1.987894433    2.395343836    0.06597127366  1.101666445    0.5594483589   0.7024075874   1.849316071    1.431190843    2.190013516    2.490315873    2.229519774    0.2968690884   1.801886881    1.230063614    1.86820964     -0.219835      	-1.85017e+00
4        NO_ID      0.8786376049   3.065954385    0.3477411325   0.7822096567   2.919208904    2.594640428    2.198242857    3.116399625    1.244257832    1.908479642    2.949138778    1.526392961    0.2301195943   2.800048097    0.858899289    1.403775065    1.933947083    3.035019598    0.9509801806   2.254428819    1.462714278    1.584843719    1.670398168    1.857941336    2.806074734    1.387462051    3.028914208    0.5149466382   2.655549934    0.8499974304   -0.941121      	-1.85017e+00
5        NO_ID      1.905361475    0.2525391492   1.603275459    2.597077459    2.615849553    3.00175328     1.038466354    1.846651858    1.461491854    1.186629597    0.625736362    2.076115782    2.766413525    2.013018112    3.097645603    2.83815859     1.346871246    0.05175718023  1.298751083    2.198201148    0.9651081366   1.864078148    2.277999839    2.806450928    1.234870034    2.638960151    0.885607583    3.095575853    2.199227299    0.6616216515   -1.28698       	-1.85017e+00
6        NO_ID      0.1099284206   0.4449313836   0.5108548935   0.3952032631   2.79773551     1.846074908    0.09901532125  0.175143702    0.1065112923   1.597392275    1.704212952    0.5213910218   1.017856862    1.058470221    0.7657586237   0.2912306827   0.2292536027   2.739453933    2.534451106    1.531041071    1.298945465    0.01468602297  0.5358239099   2.744348327    2.693909426    2.172500789    0.7207782207   2.657777688    2.32057603     0.6274412226   -0.482623      	-1.85017e+00
7        NO_ID      0.7838576396   1.310972928    0.847135414    2.275821616    3.014866928    0.1626448577   1.243541406    0.7850774639   1.293104834    1.241189719    1.517303727    1.163556375    1.279006586    2.320168641    3.038446002    1.906819051    0.7180161617   0.3606972067   2.509388007    2.800771767    2.005463346    0.119096175    1.554717194    1.706576247    1.730713584    1.663761857    1.390794383    2.750456271    1.185632548    0.9233692078   -2.399448      	-2.39945e+00
8        NO_ID      2.993602837    1.232059657    1.251765793    0.6131231837   2.361516924    0.1122083515   1.414148055    3.070166398    3.110699372    1.837145086    2.380637054    1.364587602    2.571190793    1.859758605    2.419069865    0.4505070618   0.2187663028   2.349946902    1.206372518    0.883707065    2.724740357    0.9084728341   3.025707333    0.5709398329   1.426132578    2.705402928    1.00948606     2.501636585    1.528364795    1.788173642    -1.941794      	-2.39945e+00
9        NO_ID      2.62617551     0.5070134207   2.232753199    1.819369547    0.9791145287   3.139801463    0.9906828878   0.7990704773   3.034563243    0.2583638247   0.7551084196   1.553655429    2.156410039    2.925759205    1.317783819    1.41587298     0.1539111536   2.972579195    2.71027725     1.29886566     3.076434308    1.181658801    3.067634317    3.116563294    2.363030996    1.214511108    2.758120201    2.161410276    3.047406228    2.38418189     -2.411         	-2.41100e+00
10       NO_ID      0.2557919596   2.955721638    2.227198859    2.0797669      1.05482018     0.4001107216   1.696101376    2.383086666    3.009503609    1.52163369     0.9177227738   0.1532951793   0.1210747476   2.153238256    0.4298449783   2.699821554    0.6665480438   1.372694163    0.3611376744   2.338972068    2.124980613    2.64494606     1.405542241    2.245451138    1.672449194    2.037008374    0.09746858048  2.400752954    2.365450236    1.440954987    -1.692328      	-2.41100e+00
11       NO_ID      1.701789284    0.2325852014   0.4313861619   0.6582425398   0.8042141704   1.262104445    1.02761764     2.043496785    1.205965032    2.895955892    0.9945283247   1.310208163    2.004552379    1.22066964     1.865576847    1.135447478    1.489760391    2.718313296    0.2333705293   1.437016896    2.963663232    3.127587335    2.159975042    1.581288765    2.11484876     0.2487482237   2.457512305    2.066552204    3.034391497    1.043806873    -0.561139      	-2.41100e+00
