%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         obj_fn         	best_so_far
1        NO_ID      0.004314453108 2.801134711    2.320025251    1.706126512    2.826829677    1.883977857    1.398841574    2.534118002    1.026360456    1.756078292    0.5327870205   2.702669304    1.213032461    0.05810130186  3.082724684    1.709386322    2.858373123    2.911488834    0.6383473066   2.776686144    1.058383286    2.884451595    1.81370021     0.6871485651   1.428083979    2.247350686    0.5716170985   0.2324052074   2.848593696    0.7202260389   -0.536642      
2        NO_ID      0.03307747383  0.7210889295   1.2165799      1.04534405     0.477466144    1.546204117    0.8877226962   1.145631115    1.884073734    1.340740273    2.892409364    0.9377703523   2.301041658    2.483207456    2.67400216     1.642847867    2.423284496    0.8094872799   1.681294438    2.198837057    0.2967384971   0.3246386272   1.326358762    0.5002848071   0.5574273416   0.01390212668  2.102672692    1.149082678    0.9988438329   1.546491747    -2.713172      	-2.71317e+00
3        NO_ID      0.03652903632  2.612928679    2.980615961    3.111679458    2.555594391    1.949749298    1.598648692    0.0009587673574 0.9456322446   2.647540181    0.2483207456   2.221272214    1.721658544    0.4487031233   1.972567961    3.130758929    0.06979826362  0.7570427054   0.3910812051   0.2290495217   0.8663421841   1.530959716    3.139867219    2.205260799    1.06825859     0.9477415328   2.986656195    1.310347347    0.7299095892   0.877272132    -0.163955      	-2.71317e+00
4        NO_ID      0.2010535148   0.1721946174   1.163080681    2.385221432    1.540355636    1.229619136    1.694813058    2.005741312    2.891834103    0.6659598065   2.516668436    1.614084846    2.588096605    1.208430377    0.7007630615   2.086373646    1.304019483    1.920219263    0.5074755623   0.4295277761   2.215040226    2.829993609    3.030184233    0.8210883649   0.2642362837   1.395485889    1.49002035     2.410628767    0.2992312922   2.888574294    -0.960478      	-2.71317e+00
5        NO_ID      0.2413217439   2.368347126    1.673240792    0.2474578549   1.120990794    1.825493048    2.541884018    2.185606068    0.01562790793  1.967774124    0.7696025578   0.1561832025   2.597971908    2.830568869    0.06836011258  1.414948866    2.6140792      0.1973143222   1.909481069    2.095865443    2.165376077    2.118396476    0.3433345907   1.572761973    0.4318288178   1.869021087    0.6835052491   1.781773257    2.381386362    0.9120753871   -0.420239      	-2.71317e+00
6        NO_ID      0.3717141045   1.280913189    2.157705938    2.874480414    0.03911770818  2.953003461    0.9413177915   2.787903722    1.080722565    0.4836022551   0.5236787306   1.11523819     2.977452028    2.150323429    1.464229508    0.112846918    1.293856549    0.1221469613   1.130386714    2.801805849    0.02588671865  1.354738276    1.937189446    2.779274816    1.717823474    2.653676292    1.724438969    2.483303332    0.1860967441   1.898071737    -0.642771      	-2.71317e+00
7        NO_ID      0.5007641908   1.054068833    0.06289513865  2.3779348      1.217059283    2.624721518    1.207375733    2.587904851    1.42041384     1.926259498    2.616955502    0.127707812    1.218305681    0.6929011692   0.7720953529   2.079087015    0.7945305091   1.6336437      1.328755681    1.96144626     2.263553854    1.689060454    2.041407457    1.512743137    1.272571913    0.3400747817   2.787616092    1.427029335    2.613408063    1.860200427    -0.324827      	-2.71317e+00
8        NO_ID      0.5263632792   1.271421393    0.958192097    0.3275149293   2.19787829     2.995093348    1.620029204    0.0917540361   2.742458149    2.297302465    2.703819825    0.7595355005   2.02136922     2.338241831    0.6328823326   0.05973120637  0.2957797298   1.569598041    0.7779438338   0.1243521263   0.8419894933   0.4167761703   0.9439064634   2.441309322    0.3511006063   0.6290472632   3.137374424    2.790108887    1.374393007    1.322044309    -0.848164      	-2.71317e+00
9        NO_ID      0.6984620199   0.3933822467   0.9675880171   0.4507165347   2.549362403    2.535747907    2.363553289    2.596821388    0.8004748667   1.181584891    0.6833134956   0.9654787289   0.01907947041  0.2357608932   2.0824427      0.4513876719   1.832012667    0.8628906217   2.209383498    2.544664443    0.3352809449   1.515619439    2.222230981    0.08427565072  1.365859977    1.773144351    0.8079532521   0.02377743046  1.724343092    0.6632752579   -1.273099      	-2.71317e+00
10       NO_ID      0.717637367    0.8370997797   2.259335278    1.460490316    0.0117928385   0.9325930085   1.492417269    2.853099902    2.467387794    2.78119235     0.3371026029   0.7136105441   3.004393391    2.081004549    2.778507802    1.99375672     1.018402687    1.156561063    1.881964446    0.6782320286   2.333639748    1.920506894    1.298938016    0.05618376714  3.04849669     2.892313487    2.613120433    2.378989444    2.104590226    1.155985803    -2.449825      	-2.71317e+00
11       NO_ID      0.7390178791   2.468058931    1.737190575    2.389727638    2.553389226    1.624343657    2.085414879    1.321948432    0.4077637571   2.662976335    0.9598220015   0.5019147116   0.7138022976   2.175155504    0.3776584621   1.223674778    1.112745395    1.096254596    1.818014663    0.3346098077   2.49835598     2.018109411    2.108712926    1.394239491    1.065669918    0.4456350677   1.199993225    2.743129286    2.506313749    0.7268415336   -0.847744      	-2.71317e+00
