%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         obj_fn         	best_so_far
1        NO_ID      0.004602083316 0.6899289904   0.891078382    0.8716154046   0.674109329    2.260485799    1.697209976    2.25339092     2.609477117    1.16662812     0.5185972636   2.70688788     0.1939586364   1.644477771    2.068828204    0.230008289    2.287906545    1.53642469     0.8138976097   1.890497475    2.152816224    1.227030464    0.1116005204   1.359723866    2.828171951    0.1659626296   2.61465446     1.811974429    0.6650010391   2.674673297    -0.225371      
2        NO_ID      0.04851362828  2.645910276    2.446582543    1.992126815    2.597013141    0.6696031224   2.959427202    0.7789984779   2.762784017    2.376400772    0.1668255202   0.4863826804   0.1558955723   2.32328506     0.3911770818   1.170559067    1.941120392    2.567483106    0.6348957441   0.7316353704   2.1417904      2.890300076    1.022046003    1.965377206    0.1463078987   2.219354679    2.49423328     1.017348043    2.751854069    2.315614922    -1.48864       	-1.48864e+00
3        NO_ID      0.05138993036  0.3622223076   0.06145698761  0.2146680113   0.1349944439   0.1223387148   2.963549902    0.3074766915   2.821077072    1.904783109    3.002571733    1.83220442     2.75300459     1.139015621    1.981580374    2.117725339    1.300376167    2.652238141    1.024538798    2.813406934    2.015233109    0.1339397998   1.312648389    1.788196998    2.339775859    1.406224083    2.495863185    1.431535541    2.083784975    0.2427598949   -0.037813      	-1.48864e+00
4        NO_ID      0.07142816813  0.9298125832   0.03777543388  0.2703723948   0.6551257353   0.8599184429   2.769495389    2.653868045    1.585705332    2.032586798    0.1275160585   1.061067834    2.184647301    1.023771784    1.483500732    3.065754502    3.043127592    3.093367002    2.945141568    1.963076164    2.451184626    1.87362317     3.128841394    2.101042787    0.9083361944   0.7887779049   0.5558933138   1.953488491    0.4608794687   2.868631933    -0.857981      	-1.48864e+00
5        NO_ID      0.1927122388   1.020320222    2.385317308    1.698648127    0.5153374546   0.7055568983   0.7871480004   0.161456423    0.02617434886  1.797497042    1.688005809    0.9136094149   2.285317873    2.808996604    2.389727638    0.5403612826   0.2280907543   3.029704849    0.04899301196  2.075156068    2.814749208    1.511880246    2.96537156     0.3787131062   2.31273862     1.364709457    0.8125553354   2.721844651    2.480714661    0.9971180517   -0.508835      	-1.48864e+00
6        NO_ID      0.2127504766   0.6012430098   0.1024922305   1.603826035    2.065184888    0.6877238255   2.503533324    3.040826551    0.5072838088   2.18905763     1.681486191    2.542842785    2.358280069    2.320984019    1.664228379    2.570455285    2.158664705    0.6993249105   2.052912666    1.117922739    1.39222608     1.759817485    2.152528594    1.708331677    2.45751249     1.81811054     0.9104454826   1.401717877    2.620886448    1.320222651    -0.548466      	-1.48864e+00
7        NO_ID      0.265578558    0.452058809    1.166148737    0.914664059    2.425873168    3.038813139    2.780521213    2.733349859    1.436425255    0.9336476526   2.477454852    1.045535803    3.104968087    1.971609194    3.084066959    1.0550276      2.602190485    2.429708237    2.853771039    1.191460195    1.505648258    2.265183759    1.983977293    2.226928941    1.261546089    3.129416655    1.112361888    2.75300459     3.010817132    3.000366568    -0.860408      	-1.48864e+00
8        NO_ID      0.3971214394   3.136511533    2.89135472     0.4644269079   0.515912715    1.510633848    1.716864707    1.459531548    1.195295264    0.2414176206   2.487905416    1.022621263    2.872658756    1.257902773    0.6882990859   1.032880074    1.930765704    1.497211105    1.69855225     1.488294569    1.79490837     0.8455369325   2.075060192    0.5105436178   2.315519045    2.969206629    1.589444525    2.602957499    2.090304593    2.455019695    -0.505876      	-1.48864e+00
9        NO_ID      0.4720970468   2.218108281    0.6735340686   2.356170781    2.195673125    1.481870828    2.937183799    2.450129982    0.9495631908   2.449842352    0.2020122822   0.01888771694  1.428946869    2.536802551    1.85099626     1.301239057    2.707750771    2.989053113    0.8887773403   0.9246352395   1.018115057    0.9368115849   2.888478418    2.272566267    2.870357715    0.6960651015   0.334513931    0.6004759959   2.269402335    0.8259780784   -0.643284      	-1.48864e+00
10       NO_ID      0.477466144    1.59577239     0.1529233935   1.707468787    1.191364318    1.248794483    2.540829374    1.725685367    2.472373385    0.1546491747   2.443322734    0.7022970893   3.01733675     0.3828358058   0.7402642767   1.435370611    1.679952164    0.9070897968   2.911872341    0.7034476101   1.456367616    1.748599906    2.286947778    2.211492787    0.8854216546   1.89212738     0.826840969    1.758571087    2.808900727    1.674678943    -2.1145        	-2.11450e+00
11       NO_ID      0.5322117601   1.927985279    1.30881332     2.848689572    1.008815013    0.5623170551   1.684362493    1.478802772    2.368730633    2.602382238    2.44341861     0.2439104157   0.7446746065   1.795004247    2.078703508    0.05877243901  2.640157672    2.721557021    0.9669168799   2.985793304    0.1460202685   1.289925603    2.163842049    0.816678035    0.8729576789   2.14735125     1.970075166    0.6256915774   0.3819729152   1.246876948    -1.755498      	-2.11450e+00
