%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         obj_fn         	best_so_far
1        NO_ID      0.004889713523 1.720508023    2.603916266    0.03700842     1.662981981    2.63699374     1.995674254    1.972759715    1.050809024    0.5771779492   0.5044075067   2.711106457    2.316573689    0.08916536424  1.054835847    1.892319133    1.717439967    0.1612646695   0.9893520361   1.00421293     0.1056561628   2.71129821     1.551189708    2.032299167    1.086571046    1.22626345     1.515907069    0.2499506501   1.623097259    1.487431678    -0.772006      
2        NO_ID      0.05378684875  3.06316583     1.1889674      0.3331716567   0.9495631908   1.564133067    0.9241558558   0.1520605029   3.075533929    0.752824129    2.839389529    0.8287585037   1.73910811     2.491548732    1.864131373    1.886278899    3.023568738    1.276598736    2.975438617    2.575728506    2.758565441    2.164896693    2.367963619    0.6372926625   0.05551262999  0.9825447879   0.09635611942  0.3201324206   1.913987276    0.7423735648   -2.895113      	-2.89511e+00
3        NO_ID      0.1296253467   0.1957802944   0.3082437054   1.945243091    2.811681152    2.759811838    0.03883007797  0.9612601525   3.119445474    2.41082052     2.583878028    1.159629119    1.734026643    0.5007641908   1.557134065    1.98464843     1.342370177    0.04621258663  0.2321175772   2.20228862     0.3096818564   1.54054739     2.504875598    0.6979826362   0.1035468746   1.497498736    1.949557545    2.999983061    1.825205418    1.676692355    -0.899715      	-2.89511e+00
4        NO_ID      0.2026834194   1.073148303    2.427886579    1.190980811    0.9406466543   1.583116661    2.968439615    0.3349933147   2.273237404    1.248506853    2.536131414    2.411491657    1.148219787    1.539684499    2.502286926    0.09884891455  2.448979461    2.920597124    1.684650124    1.025785196    0.8894484775   1.438055159    0.6906960043   0.9968304215   2.037668265    3.013118174    0.2780425336   0.2995189225   2.062883846    1.338726861    -2.60991       	-2.89511e+00
5        NO_ID      0.205367968    1.83719001     0.8056522104   1.375735281    0.4566608923   0.7655757349   2.696533193    0.2208041224   1.297308111    1.606318831    0.4749733489   3.094134016    0.1550326817   0.5724799891   0.7409354138   2.905065093    0.5948192685   0.8193625836   1.172860108    2.46633315     1.923766703    1.611400298    1.426549951    2.608997733    0.6804371935   2.099029376    1.622042615    2.403917395    2.930664181    0.9543570276   -1.233894      	-2.89511e+00
6        NO_ID      0.402011153    1.38810338     2.306123125    0.9670127567   0.8792855435   2.043324992    0.2468825945   1.492321392    2.644759755    2.437282499    0.8255945715   0.8128429656   1.347547521    1.124538233    0.03518676202  2.993079936    0.8107336774   2.990395388    1.703346087    2.361827508    2.181483368    0.354839799    2.314368524    2.736993175    0.05800542512  2.264033238    0.9203207864   2.220601076    0.2215711363   2.107274775    -1.782985      	-2.89511e+00
7        NO_ID      0.4250215695   0.5291437046   2.73392512     0.8393049447   1.106321654    1.324345351    0.8942423142   2.664797993    0.3099694866   2.589343002    2.56355216     0.1196541662   0.5387313781   2.186468959    2.755880892    3.088669042    1.494814187    2.477550728    0.9774633209   1.132112496    2.713791005    1.242850125    0.5874367599   1.925780114    1.738245219    2.266526033    2.568633627    1.645244785    1.673240792    0.9168692239   -0.713099      	-2.89511e+00
8        NO_ID      0.4785207881   0.3966420558   0.1670172737   0.9422765589   0.8039264292   1.453587191    1.971896824    0.7821624102   0.3758368041   1.738436972    2.722324035    1.035852253    1.555600037    1.710249212    1.97582777     1.798935193    3.039292523    0.4767950068   2.680234148    1.267586323    0.1151479596   0.1305841141   1.701140922    0.9858045969   0.7319230006   0.3463067695   0.1391171436   1.992030938    2.892888747    2.188386493    -0.852506      	-2.89511e+00
9        NO_ID      0.5408406663   3.011584146    0.1555120654   1.018210934    2.08714066     0.7319230006   0.04525381927  2.960002463    2.013603204    2.209958759    2.276784844    1.505935888    2.907941395    1.444670654    2.28627664     1.077750386    2.03575073     1.750421564    0.08494678787  1.624151903    1.172476601    0.7910789466   1.565762971    2.950318912    0.2907941395   2.055309584    0.1790977424   1.959720479    3.085409233    0.2466908411   -0.49385       	-2.89511e+00
10       NO_ID      0.5920388432   0.00383506943  1.694908934    1.01332122     0.9333600224   1.102678338    2.860290657    1.908138795    0.8636576355   2.653292785    1.185611714    2.129997561    2.215998993    1.434124213    1.072860673    2.691739356    1.70737291     0.1718111104   1.571419699    2.034600209    3.108227896    1.270942009    3.01676149     0.06836011258  2.370360538    3.126540352    2.776302637    0.3292407105   0.398367837    1.474104812    -1.018899      	-2.89511e+00
11       NO_ID      0.6123647112   2.927692003    0.4384443125   1.947064749    0.9195537725   0.5129405362   2.178894696    2.345432586    2.974192219    2.818584277    0.02435269088  1.400087972    1.117635109    2.688863054    1.441314968    1.435754118    0.6009553796   2.676111448    1.976690661    1.485418267    1.74936692     1.677459369    0.6092966556   0.3252138876   0.6761227404   1.039783199    0.6749722196   1.945434845    1.538054595    1.173722999    -2.034867      	-2.89511e+00
12       NO_ID      0.6291431399   0.2131339836   2.059815791    0.5025858488   2.594424469    2.657415485    1.791648561    0.09779427046  0.8890649705   1.616002381    2.164513186    1.791744438    0.5566603277   2.214369089    0.8602060731   0.06529205704  0.5943398849   2.020026945    1.079476168    2.321271649    1.60957864     1.452053163    2.695286795    0.8364286426   2.388481241    0.3304871081   0.4324999549   2.178415313    0.005656727409 2.653101031    -0.36532       	-2.89511e+00
13       NO_ID      0.6548381051   2.111397474    0.9439064634   2.581960493    0.4558938784   2.17410086     1.455984109    1.65128502     2.738143696    2.360676987    0.9839829389   2.073717917    0.3585789917   3.122417653    2.986560318    2.599122429    2.677933106    1.960103985    2.616571995    2.964221039    3.062398816    1.773240228    2.909763053    1.273147174    2.844470996    0.6340328535   1.870267484    0.1463078987   2.694040398    0.78657274     -1.080365      	-2.89511e+00
14       NO_ID      0.6886825928   2.947921994    0.7344157958   2.958372558    2.128655287    1.461161453    2.81321518     1.222044874    1.771322693    1.712933761    0.5237746073   2.685507368    2.778220172    2.387810104    0.01016293399  2.742266396    1.052630682    1.976882414    1.640930332    1.767391747    2.024437275    0.6553174888   1.050713147    0.8132264725   2.538048949    0.03144756932  2.853387532    0.13422743     1.954159628    0.07900243025  -0.258201      	-2.89511e+00
