%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         obj_fn         	best_so_far
1        NO_ID      0.00517734373  2.750991179    1.174969396    2.344090312    2.651950511    3.013405804    2.294042656    1.692128509    2.633925684    3.129416655    0.4903136266   2.715325033    1.297499865    1.675541834    0.04084348943  0.4129411008   1.14697339     1.927793526    1.164902339    0.1180242617   1.200089101    1.053877079    2.990683018    2.704778592    2.486659018    2.286564271    0.4172555539   1.829615748    2.58119348     0.3001900596   -1.323428      
2        NO_ID      0.1720028639   1.398553944    2.357800685    1.718590488    0.293862195    2.903722819    2.152145087    0.4817805971   1.472474907    2.969494259    3.133731108    2.032203291    0.08072821149  0.5379643642   1.881868569    0.2870549468   2.140160495    0.0901241316   0.5709459613   3.132005326    2.028751728    0.5143786872   1.488390446    2.135846042    3.043894606    2.928554893    1.239110933    2.895285666    0.5895460481   1.81839817     -0.356647      	-3.56647e-01
3        NO_ID      0.1821657979   2.004399037    0.5152415779   1.669885106    2.706504373    0.8381544238   0.900857809    2.372182196    1.753393743    2.034216702    0.05071879321  0.3232963529   1.430576774    1.530288579    2.648307195    2.410437013    1.517153466    3.070260709    2.353965616    1.981196867    0.02348980026  1.494622433    2.480235277    2.033545565    0.983599432    0.5948192685   2.091742744    0.761548912    0.0914664059   0.04870538176  -1.36419       	-1.36419e+00
4        NO_ID      0.2478413619   1.062889492    2.520024122    0.9891602826   2.114849037    1.829136364    1.204211801    1.430385021    0.418693705    3.009091351    2.473619782    0.7982697018   2.806407932    2.011493916    1.752051469    1.177174561    1.829807502    1.202581896    0.03576202243  1.997400036    2.936608539    2.870453591    2.114657283    2.623283367    2.960194216    1.88800468     2.845909147    3.082916438    2.462689834    2.485029114    -0.361933      	-1.36419e+00
5        NO_ID      0.3630851982   2.551471692    1.449847998    1.880046911    1.651956157    1.41159318     2.830952376    1.1337424      1.855023083    1.2952947      2.83584209     1.887237666    1.223578902    2.211301033    0.7220476969   0.6626999974   0.601914147    0.548223175    2.704395085    0.5270344164   2.627214313    1.576213536    2.123094436    1.862213838    0.540936543    3.138716698    2.056172475    0.8972144931   0.2639486535   2.078991138    -1.032259      	-1.36419e+00
6        NO_ID      0.420515363    2.88694439     1.904687232    2.884259841    2.691835233    2.925870345    3.129704285    1.743614316    0.8237729135   1.751763839    0.6811083307   2.242844479    3.033827549    3.075150422    0.4443886702   0.0796735674   2.588959495    2.760674729    1.432014925    2.2674848      2.424435017    0.1898359368   1.359052729    1.377844569    0.1288583328   2.855976204    0.5304859789   1.970938057    1.72645238     1.119169136    -1.11909       	-1.36419e+00
7        NO_ID      0.4443886702   2.615517351    1.130770221    0.8244440506   2.327599514    1.028373868    0.8289502572   1.831245653    0.2860961794   0.3695089395   0.1392130203   2.406793697    0.1011499562   1.975060756    0.2767961361   0.5146663175   1.483884239    2.343706805    1.284556505    0.7037352403   0.3188860231   2.509190051    1.014471741    1.846969437    2.276784844    2.150802813    2.191262795    1.479186279    2.342076901    1.712550254    -1.237382      	-1.36419e+00
8        NO_ID      0.4482237396   0.7810118893   0.7398807697   0.3645233493   0.579766621    2.033066181    1.131153728    0.3278025595   0.5245416212   2.381769869    0.4747815954   1.452628423    1.849462232    2.944758062    1.525111235    0.7174456135   2.605737924    0.1941503899   0.5763150585   0.270660025    2.83612972     1.243617139    0.1152438364   1.280337929    2.995476855    0.7049816379   1.673432546    0.6384431833   0.0944385847   2.074389054    -0.882017      	-1.36419e+00
9        NO_ID      0.4900259964   1.136618702    2.19346796     1.683978987    2.689342438    2.425681414    2.406601944    2.971411794    0.8081450056   0.8302925315   1.376598172    2.432872169    1.14256306     2.474770303    1.514756548    1.168162148    2.093756155    2.339200599    1.775157762    1.936230678    1.234317096    1.153972391    2.343035668    1.765761842    0.5886831574   2.517627204    2.677261969    1.360970264    2.372182196    0.9398796405   -1.399877      	-1.39988e+00
10       NO_ID      0.5292395813   2.150035799    2.982437619    0.7217600667   0.3868626287   2.694040398    0.1713317268   2.609764747    0.6188843292   0.3916564655   1.349273302    0.7831211775   0.2967384971   1.957707067    1.289446219    2.295576684    2.565565572    2.00756297     2.421079331    1.763940184    0.5844645811   0.497792012    2.16997816     0.885996915    2.619831804    0.0954932288   2.814365701    1.260107938    2.141982153    2.032395044    -0.744851      	-1.39988e+00
11       NO_ID      0.56452222     2.316957196    0.3104488703   0.4603042083   1.259436801    1.784266052    1.283693615    3.028746082    0.8046934431   1.356751687    1.467489317    0.0608817272   2.679754764    3.103338182    2.688958931    1.244671783    2.99854491     1.268928598    0.6214730011   1.079572044    3.015610969    1.700853292    0.7295260822   0.5515788607   2.615996735    0.9290455693   1.305457634    1.863747866    2.377071909    2.364607934    -0.392266      	-1.39988e+00
12       NO_ID      0.5742057703   2.227408325    0.6502360218   2.700655892    2.614942091    1.603154898    0.07392096326  1.056561628    2.700560016    1.092419527    2.76681084     0.8657669237   2.048885843    2.233927943    2.672276379    1.056945135    0.3350891914   2.481865181    0.7102548584   1.743710193    2.735938531    2.739869477    2.98857373     0.5574273416   1.478994526    0.2728651899   0.04870538176  1.896058326    0.326172655    0.4745898419   -1.163057      	-1.39988e+00
13       NO_ID      0.6249245636   1.484171869    0.8273203527   0.9544529043   2.199604071    0.5838893207   1.634602468    0.6110224369   1.516002946    0.4928064217   1.909768699    0.2033545565   0.2152432717   0.06826423585  1.590786799    2.532967482    2.467291918    0.9150475659   2.215423733    1.208142747    2.934978634    3.043127592    3.062494693    2.039394046    3.093750509    0.2856167958   1.151479596    1.43920568     2.594903853    0.3165849814   -1.540347      	-1.54035e+00
