%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         obj_fn         	best_so_far
1        NO_ID      0.0006711371502 0.7406477836   1.050233763    2.888766048    0.4158174029   0.8039264292   0.3033539919   2.978219042    2.360676987    1.049466749    2.857126725    2.534213879    3.032485275    0.8737246928   1.430864404    1.979279333    1.017827427    0.2413217439   1.101623694    1.012362453    1.12377122     2.864796864    0.7357580701   2.870932975    1.98493606     1.93795646     1.620604464    2.963933409    2.281099297    1.146685759    -0.340855      
2        NO_ID      0.005560850673 0.6397854576   2.887711404    1.509579204    0.4991342863   0.2482248688   2.592506934    1.411497304    1.075353468    2.539966483    0.4761238697   2.719543609    0.2784260406   0.1203253034   2.168540009    2.075251945    0.576506812    0.5526335048   1.340452642    2.37352447     2.294617916    2.538144825    1.288583328    0.2356650164   0.7450581134   0.2051762145   2.460197039    0.2674960927   0.3976008231   2.254637318    -0.979042      	-9.79042e-01
3        NO_ID      0.1333645394   0.6501401451   3.043894606    2.658182498    1.375447651    1.116005204    2.943607541    1.429330376    2.563360407    1.176311671    0.3650986097   0.3610717868   1.627795219    1.241316098    0.4726723072   0.9037341111   1.509195697    0.4627011267   2.315423168    2.260294045    1.408908632    2.949647775    2.563072777    1.56815989     2.921460015    1.336521696    1.211402556    0.7377714815   2.476879591    1.420317963    -0.433766      	-9.79042e-01
4        NO_ID      0.1861926208   0.5208024285   2.865468001    0.04496618906  1.785991833    0.5358550761   1.661831461    1.835943613    2.051091008    1.142754813    0.3783295992   2.412066918    2.567291353    3.027883191    1.043810022    0.7020094591   2.500081761    0.4194607189   0.2473619782   1.570748562    1.786471217    1.748120523    2.949935405    1.482541965    0.5549345465   1.936326555    2.332297474    0.6538793377   0.7587684866   1.451669656    -0.561172      	-9.79042e-01
5        NO_ID      0.1953009107   0.2495671431   0.2081483933   2.764509798    2.972754068    0.7427570718   1.146206376    0.2631816396   2.548787143    2.781671734    2.0865654      1.606894091    1.123675343    1.061067834    0.9184032517   2.802956369    2.381098732    1.559722737    2.447445433    1.321085542    1.812741443    2.260965182    1.226167573    2.441692829    2.625488532    0.8046934431   2.974096343    0.942947696    1.955310149    0.1087242183   -0.200498      	-9.79042e-01
6        NO_ID      0.2076690096   1.755694785    0.7453457436   0.9123630173   2.172566832    2.604875033    2.590685276    2.575344999    2.41935355     3.050605978    0.4257885834   0.2196536016   0.9207042933   0.3600171427   3.040059537    1.834313708    1.017156289    1.553107242    2.653388662    1.91561718     0.5060374112   1.83191679     2.321463402    1.747545262    0.3112158842   1.378515706    0.4934775589   1.142658937    1.376406418    0.928086802    -0.7172        	-9.79042e-01
7        NO_ID      0.2431434018   0.6293348934   3.051756499    0.1840833326   1.999125817    2.398260668    0.5225282098   0.03451562487  1.881964446    0.3792883666   0.7622200491   2.144762579    2.65521032     2.231051641    0.4935734356   2.805736795    1.088967965    2.592698688    2.828651335    1.745627728    0.6513865426   0.3822605454   0.326172655    1.51322252     1.183502426    0.3184066394   2.234407326    3.112734103    2.962974641    2.692314616    -0.676213      	-9.79042e-01
8        NO_ID      0.2537857195   2.689246561    2.252336276    1.741984412    1.070559631    2.842457584    1.523193701    0.9643282081   1.627986973    0.808720266    0.6399772111   1.648504594    1.968445261    3.119828981    2.442939227    1.797880549    2.64667729     0.8539740852   0.4899301196   2.546677855    2.99825728     1.927889402    1.958474081    1.110060846    0.6899289904   2.990683018    2.397206024    2.516764313    0.8987485208   1.551956721    -2.162048      	-2.16205e+00
9        NO_ID      0.2741115875   1.339397998    1.890880982    0.04985590258  2.811393522    1.779088708    0.3540727851   2.620215311    3.018487271    0.2844662749   1.64658706     0.6150492598   1.385418831    2.805640918    1.787909368    0.4981755189   2.808996604    1.900468656    2.930184798    1.35579292     1.257327512    2.712640484    1.793278465    0.1371996088   2.141119263    1.805358934    0.1479378032   3.013022297    1.198171567    2.204302031    -0.475918      	-2.16205e+00
10       NO_ID      0.2764126291   2.303438576    1.823192007    2.843512229    0.5939563779   1.543807199    2.620790571    1.317058719    0.7396890162   1.062122479    0.2541692264   0.2718105458   2.226257804    1.261162582    2.253966181    2.735267394    2.366908975    2.011398039    0.5923264734   3.063645214    2.030094003    0.1993277336   1.419742703    0.2270361102   0.7357580701   0.1200376731   0.5659603711   1.01303359     0.00450620658  2.251377509    -1.846851      	-2.16205e+00
11       NO_ID      0.322912846    2.768632498    2.786177941    2.352910972    1.007089232    0.7810118893   2.154158499    2.39174105     2.2716075      2.275826076    0.6361421416   1.243521263    0.665384546    0.7521529919   0.751385978    3.029033712    0.628759633    0.02847539051  0.8889690938   0.3288572036   3.054920431    0.2551279938   3.102379415    3.030375987    0.8279914899   0.6981743897   2.010918655    1.326838146    2.248884714    0.5400736524   -1.399084      	-2.16205e+00
