%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         obj_fn         	best_so_far
1        NO_ID      0.00584848088  1.67036449     1.458764534    0.6749722196   1.488102815    0.6247328101   2.890875336    1.130770221    2.658374252    1.950516312    0.4619341128   2.723762186    2.400945216    1.706701773    1.154547652    0.5958739126   0.006040234352 2.319162361    1.516002946    1.487239925    0.2473619782   0.8806278178   2.728172515    0.9081444409   2.145146085    1.265381158    1.361545524    1.847161191    1.355697043    1.067395699    -1.101464      
2        NO_ID      0.0426651474   2.661921691    1.538150471    0.4697960051   2.694807411    2.585028549    2.189920521    0.4727681839   2.855113314    2.31388914     0.2197494783   2.344857326    2.537569565    1.539588623    2.919446603    1.245726427    1.285707026    1.006705725    2.073909671    0.4933816821   1.29088437     0.119366536    1.95732356     0.2259814661   2.526639617    2.505546735    1.46240785     1.141029032    2.920501247    0.1845627163   -1.235874      	-1.23587e+00
3        NO_ID      0.1080530812   1.632205549    3.04437399     0.3838904499   0.02761249989  0.8089120194   1.399704465    1.885128378    2.88253406     0.9771756907   1.651956157    2.815228592    2.008617614    2.053583803    3.015610969    0.7828335473   1.543327815    2.304301467    2.219834063    1.171709587    0.1929039923   0.3103529936   2.142557414    1.056178121    0.6059409699   1.798935193    2.704778592    1.20248602     0.4669197031   2.771317047    -1.536622      	-1.53662e+00
4        NO_ID      0.1084365881   1.991263925    2.515517916    1.72089153     2.002097996    2.05924053     1.270942009    0.8028717851   1.193281853    1.754640141    0.3690295559   1.278516271    1.209676775    0.5473602843   1.089543225    1.814179594    0.1081489579   1.678993396    3.041881195    2.281962187    0.5996131053   1.031058416    1.825013665    1.74879166     2.33651605     1.231057287    2.082346824    0.5467850239   0.8086243892   2.79030064     -1.179051      	-1.53662e+00
5        NO_ID      0.15273164     2.060870435    1.889730461    1.136810456    0.2842745215   3.062494693    0.9858045969   0.6696989991   1.852530288    0.8329770801   0.7459210041   1.833450818    1.501909065    1.034605855    2.108233542    3.017912011    2.02136922     2.996915006    1.275544092    0.05512912305  1.330577339    1.733547259    1.334220655    2.022040357    0.4444845469   2.141023386    3.041401811    2.721940528    3.026253287    1.88330672     -0.980827      	-1.53662e+00
6        NO_ID      0.2573331587   2.218204158    2.927787879    0.4293360226   2.651279373    1.108910326    2.034312579    2.059432284    1.212265447    0.4534010833   2.774864486    1.681390315    2.320217005    2.687616656    0.6596319419   2.73919834     2.154925512    1.307375169    1.549463926    1.900276902    0.9533023835   1.322523693    3.100270127    1.129907331    0.1656749994   3.046483278    1.372091965    0.8240605437   3.03028011     0.7674932696   -1.063889      	-1.53662e+00
7        NO_ID      0.2817817263   2.741691135    0.3038333756   2.969877766    1.941503899    0.3212829415   0.532595267    2.597876032    1.630096261    0.709296091    2.927883756    0.9641364546   0.8775597622   2.630665875    2.940635362    0.7088167073   1.220894353    2.948401377    0.8467833301   1.705167745    2.507943653    2.144858455    2.974863357    0.9113083732   2.164513186    0.6303895375   0.186480251    0.7692190508   0.235473263    2.861728808    -2.140637      	-2.14064e+00
8        NO_ID      0.4643310312   3.114076377    0.9727653608   0.813418226    2.655977333    2.636322603    2.921747645    2.974096343    0.04017235228  0.04544557274  0.8298131478   2.155500773    1.89183975     2.273141528    0.0131351128   3.040155414    2.958372558    0.2639486535   3.11340524     0.5886831574   1.847161191    2.173909106    0.433554599    3.14130537     2.801901725    0.1577172303   2.422805112    1.331344352    0.9673003869   2.400945216    -0.280507      	-2.14064e+00
9        NO_ID      0.5961615428   2.286851901    1.562119655    1.719453379    0.9272239113   2.956167393    0.2666332021   2.075060192    2.064705504    2.386467829    2.780712967    1.819932198    2.13296974     0.4750692256   3.037758495    2.145337839    3.026828547    1.835464229    1.858762276    2.161349254    1.128085673    0.05627964388  2.727309625    2.537377811    0.3393077678   1.82808172     1.067203946    0.3621264309   1.192035455    0.3171602418   -1.40314       	-2.14064e+00
10       NO_ID      0.7047898844   3.075533929    2.602094608    2.690780589    2.503533324    0.4398824636   1.251766662    2.88224643     1.585034195    2.294713793    1.046015187    1.443711887    1.421851991    1.034318225    2.229421736    0.9564663157   1.603921912    2.5905894      2.746389095    2.778316048    1.48973272     0.1638533414   0.4719052933   0.7432364555   2.219642309    3.134785752    2.689438314    0.2469784713   1.690498605    2.265279635    -0.055357      	-2.14064e+00
11       NO_ID      0.7423735648   1.716960584    3.036703851    3.028937836    2.413217439    2.377455416    2.253582674    0.5379643642   3.011296516    0.5729593728   0.489067229    1.870363361    2.55827894     0.6077626279   1.564516574    0.3378696167   2.080141659    1.541793787    0.31926953     2.379372951    1.535657676    0.6525370634   2.461539313    2.959523079    0.1825493048   2.156651294    0.368262542    2.012932067    2.61848953     2.620407065    -1.147702      	-2.14064e+00
