%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         obj_fn         	best_so_far
1        NO_ID      0.00651961803  0.5897378015   1.742559672    2.147447127    0.3242551203   1.377652816    0.3460191393   0.5695078103   2.682822819    0.7715200925   0.433554599    2.732199338    0.362797568    1.737861712    2.268347691    0.7789026012   2.006795956    2.710627073    1.867007675    2.856551465    2.436323732    0.707474433    2.465662013    2.253295043    1.803633153    0.2442939227   2.305835495    1.86480251     0.1302006071   1.834697215    -0.537906      
2        NO_ID      0.01246397565  2.710051812    2.558087186    0.2314464401   1.137481593    1.783882545    1.334220655    2.735171517    2.093085018    2.607271952    1.053205942    1.213991228    1.140357895    0.1514852425   1.984169046    0.04007647554  2.608901856    2.917816699    0.5486066819   2.292988012    2.949839529    2.913118739    2.816762619    1.078900907    3.032868782    1.984264923    0.8744917067   0.5544551628   0.4461144514   0.7537828964   -0.490123      	-4.90123e-01
3        NO_ID      0.0531157116   0.5896419248   0.3351850681   0.9894479128   1.623193136    2.404876163    3.005448035    1.796634151    2.059432284    1.978512319    1.545724734    2.101713924    3.113213486    1.678609889    2.113506763    1.768158761    2.023095001    2.023478508    2.891834103    2.321463402    1.276886367    1.060492574    1.057136888    2.146008976    2.992312922    2.195097865    2.674098037    1.752147346    1.363175429    2.683877464    -1.305445      	-1.30544e+00
4        NO_ID      0.08063233476  2.074868438    1.242562495    2.246583672    1.110156723    1.990017527    2.359334713    1.24917799     1.075257591    2.223093872    2.998736664    2.708901292    2.080237535    2.476687838    0.1459243918   0.6876279487   2.483111579    1.639875688    1.104883503    0.6297184003   2.845429763    2.325202595    2.427694826    1.283597738    2.43785776     2.892792871    0.09424683123  2.254157934    0.5386355014   0.2327887144   -1.43941       	-1.43941e+00
5        NO_ID      0.09252104999  1.07410707     1.783019655    2.088770565    2.389727638    2.132106849    2.207178333    1.932107979    1.481679074    3.081478287    0.4192689654   1.200951992    2.4290371      2.878890744    2.686274382    1.528562798    0.2907941395   2.334886145    3.062207063    1.450519135    2.388481241    0.544579859    2.342652161    2.766619087    1.759817485    2.664126856    2.407560711    2.771317047    2.429804114    1.037769788    -0.673848      	-1.43941e+00
6        NO_ID      0.1468831592   2.373332717    0.5919429665   1.39663641     2.560771735    1.174969396    2.901134147    1.204499431    2.572564573    0.4588660573   1.648792225    0.07401683999  3.058276117    0.7290466986   0.9150475659   1.978128812    1.581486756    1.270270872    0.2139009974   2.129709931    1.39251371     2.102193308    0.02233927943  2.204206155    2.282729201    0.3909853283   1.940065748    0.8280873666   2.809763618    3.018199641    -0.020298      	-1.43941e+00
7        NO_ID      0.2523475685   0.4277061181   1.180242617    1.803920783    0.9820654042   1.065861671    0.9510013418   1.492321392    2.172758585    1.81370021     1.904399602    0.2639486535   1.851955028    2.699121865    1.203540664    0.752824129    1.894428421    1.756365922    1.62367252     2.427503072    0.9322095016   0.9802437462   1.937381199    2.55358098     2.856455588    0.06318276885  1.958665834    0.3036416221   0.1674007806   2.75357985     -1.561304      	-1.56130e+00
8        NO_ID      0.3133251724   0.8737246928   1.740738014    1.918685236    1.048028598    1.09174839     2.122327422    1.035756376    2.229709366    0.8492761252   2.52098289     0.3660573771   0.8989402743   1.294240056    2.261540443    1.482446088    1.548792789    0.5831223068   1.814371347    0.8768886251   0.5733428797   0.08600143196  1.850612753    2.612257542    0.5433334614   2.793272819    0.5611665343   1.624151903    2.570359408    2.057898256    -2.279259      	-2.27926e+00
9        NO_ID      0.3148592002   1.216388146    2.119259367    1.785416573    1.625781808    1.837573517    2.259239401    1.76729587     0.08801484341  2.961728244    2.733541613    2.383495651    1.65157265     0.2888766048   2.496054938    3.055303938    1.923574949    1.819836321    0.930963104    3.018103764    0.0399805988   2.343898559    0.9514807255   1.841408587    2.208712361    1.474871826    0.8400719586   2.311588099    2.458567135    2.106795391    -1.2937        	-2.27926e+00
10       NO_ID      0.354456292    0.859151429    1.295390577    2.067965313    2.697012576    0.5277055535   2.627981327    1.749942181    0.5214735657   2.140160495    2.034504332    0.3036416221   1.73469778     2.312355113    0.4956827238   1.881676816    2.439967048    1.187625126    2.374866744    2.575249122    0.9583838505   1.607852858    1.020128468    2.583494521    0.9830241715   0.04247339393  1.655311843    0.766630379    1.608332242    1.185611714    -2.032408      	-2.27926e+00
11       NO_ID      0.4401700938   0.3437180976   0.2697012576   0.9116918802   1.307758675    2.827980197    0.3876296426   0.4564691389   1.118018615    1.074682331    2.165184323    2.361827508    2.165471953    2.167772995    0.5694119336   2.914652767    1.33700108     0.08274162294  1.64275199     2.802668739    1.388007503    1.944571954    2.241598082    2.314847908    2.170649297    1.325879379    2.990587141    0.5735346332   1.760584498    0.3931904933   -0.050523      	-2.27926e+00
