FE	Run 1	Run 2	Run 3	Run 4	Run 5	Run 6	Run 7	Run 8	Run 9	Run 10	Average
1	-2.92300e+00	-2.16700e+00	-6.41700e+00	-2.42500e+00	-5.71400e+00	-4.32300e+00	-3.79200e+00	-5.08200e+00	-2.07200e+00	-1.70000e+00	-3.66150e+00
2	-2.92300e+00	-2.55300e+00	-6.41700e+00	-2.64300e+00	-5.71400e+00	-4.32300e+00	-3.79200e+00	-5.32600e+00	-2.07200e+00	-1.80000e+00	-3.75630e+00
3	-2.92300e+00	-2.55300e+00	-6.41700e+00	-2.64300e+00	-5.71400e+00	-5.70800e+00	-3.79200e+00	-5.36700e+00	-2.20600e+00	-4.78200e+00	-4.21050e+00
4	-2.92300e+00	-2.55300e+00	-6.41700e+00	-5.28800e+00	-5.71400e+00	-5.70800e+00	-3.79200e+00	-5.36700e+00	-3.05100e+00	-4.78200e+00	-4.55950e+00
5	-2.92300e+00	-4.46100e+00	-6.41700e+00	-5.77600e+00	-5.71400e+00	-5.70800e+00	-6.79900e+00	-5.36700e+00	-3.05100e+00	-4.78200e+00	-5.09980e+00
6	-3.32400e+00	-4.46100e+00	-6.41700e+00	-5.77600e+00	-5.71400e+00	-5.70800e+00	-6.79900e+00	-5.36700e+00	-4.22200e+00	-5.77700e+00	-5.35650e+00
7	-4.83600e+00	-4.46100e+00	-6.41700e+00	-5.77600e+00	-5.71400e+00	-5.70800e+00	-6.79900e+00	-5.36700e+00	-4.22200e+00	-5.77700e+00	-5.50770e+00
8	-4.83600e+00	-4.46100e+00	-6.41700e+00	-5.77600e+00	-5.71400e+00	-5.70800e+00	-6.79900e+00	-5.36700e+00	-4.22200e+00	-5.77700e+00	-5.50770e+00
9	-4.83600e+00	-4.46100e+00	-6.41700e+00	-5.77600e+00	-5.71400e+00	-5.70800e+00	-6.79900e+00	-5.36700e+00	-4.22200e+00	-5.77700e+00	-5.50770e+00
10	-4.83600e+00	-4.46100e+00	-6.41700e+00	-5.77600e+00	-5.71400e+00	-5.70800e+00	-6.79900e+00	-5.36700e+00	-4.22200e+00	-5.77700e+00	-5.50770e+00
11	-4.83600e+00	-4.46100e+00	-6.41700e+00	-5.77600e+00	-5.71400e+00	-5.70800e+00	-6.79900e+00	-5.36700e+00	-5.54100e+00	-7.01500e+00	-5.76340e+00
12	-4.83600e+00	-4.46100e+00	-6.41700e+00	-5.77600e+00	-5.71400e+00	-5.70800e+00	-6.79900e+00	-5.36700e+00	-5.54100e+00	-7.01500e+00	-5.76340e+00
13	-4.83600e+00	-4.46100e+00	-6.41700e+00	-5.77600e+00	-5.71400e+00	-5.70800e+00	-6.79900e+00	-5.36700e+00	-5.54100e+00	-7.01500e+00	-5.76340e+00
14	-4.83600e+00	-4.46100e+00	-6.41700e+00	-5.77600e+00	-5.71400e+00	-5.70800e+00	-6.79900e+00	-5.36700e+00	-5.54100e+00	-7.01500e+00	-5.76340e+00
15	-4.83600e+00	-4.82900e+00	-6.41700e+00	-5.77600e+00	-5.71400e+00	-5.70800e+00	-6.79900e+00	-5.36700e+00	-5.54100e+00	-7.01500e+00	-5.80020e+00
16	-4.83600e+00	-4.82900e+00	-6.41700e+00	-5.77600e+00	-5.71400e+00	-6.33800e+00	-6.79900e+00	-5.36700e+00	-5.54100e+00	-7.01500e+00	-5.86320e+00
17	-4.83600e+00	-5.13100e+00	-6.41700e+00	-6.34300e+00	-5.71400e+00	-6.33800e+00	-6.79900e+00	-5.36700e+00	-5.54100e+00	-7.01500e+00	-5.95010e+00
18	-4.83600e+00	-5.13100e+00	-6.41700e+00	-6.34300e+00	-5.71400e+00	-6.33800e+00	-6.79900e+00	-5.36700e+00	-5.76400e+00	-7.01500e+00	-5.97240e+00
19	-4.83600e+00	-5.13100e+00	-6.41700e+00	-6.34300e+00	-5.71400e+00	-6.33800e+00	-6.79900e+00	-5.36700e+00	-5.76400e+00	-7.01500e+00	-5.97240e+00
20	-4.83600e+00	-5.13100e+00	-6.41700e+00	-6.34300e+00	-5.71400e+00	-6.33800e+00	-6.79900e+00	-5.36700e+00	-5.76400e+00	-7.01500e+00	-5.97240e+00
21	-4.83600e+00	-5.26500e+00	-6.41700e+00	-6.34300e+00	-5.71400e+00	-6.33800e+00	-6.79900e+00	-5.36700e+00	-5.76400e+00	-7.01500e+00	-5.98580e+00
22	-4.83600e+00	-5.26500e+00	-6.80000e+00	-6.34300e+00	-5.71400e+00	-6.33800e+00	-6.79900e+00	-5.36700e+00	-5.76400e+00	-7.01500e+00	-6.02410e+00
23	-4.83600e+00	-5.26500e+00	-6.80000e+00	-6.34300e+00	-5.71400e+00	-6.33800e+00	-6.79900e+00	-5.36700e+00	-5.76400e+00	-7.01500e+00	-6.02410e+00
24	-4.83600e+00	-5.26500e+00	-6.80000e+00	-6.34300e+00	-5.71400e+00	-6.33800e+00	-6.79900e+00	-5.36700e+00	-5.76400e+00	-7.01500e+00	-6.02410e+00
25	-4.83600e+00	-5.26500e+00	-6.80000e+00	-6.34300e+00	-5.71400e+00	-6.33800e+00	-6.79900e+00	-5.36700e+00	-5.76400e+00	-7.01500e+00	-6.02410e+00
26	-4.83600e+00	-5.26500e+00	-6.80000e+00	-6.34300e+00	-5.71400e+00	-6.33800e+00	-6.79900e+00	-5.36700e+00	-5.76400e+00	-7.01500e+00	-6.02410e+00
27	-4.83600e+00	-5.26500e+00	-6.80000e+00	-6.34300e+00	-5.71400e+00	-6.33800e+00	-6.79900e+00	-5.36700e+00	-5.76400e+00	-7.01500e+00	-6.02410e+00
28	-4.83600e+00	-5.26500e+00	-6.80000e+00	-6.34300e+00	-5.71400e+00	-6.33800e+00	-6.79900e+00	-5.36700e+00	-5.76400e+00	-7.01500e+00	-6.02410e+00
29	-4.83600e+00	-5.26500e+00	-6.80000e+00	-6.34300e+00	-5.71400e+00	-6.33800e+00	-6.79900e+00	-5.36700e+00	-5.76400e+00	-7.01500e+00	-6.02410e+00
30	-4.83600e+00	-5.26500e+00	-6.80000e+00	-6.34300e+00	-5.71400e+00	-6.33800e+00	-6.79900e+00	-6.58800e+00	-5.76400e+00	-7.01500e+00	-6.14620e+00
31	-4.83600e+00	-5.26500e+00	-6.80000e+00	-6.34300e+00	-5.71400e+00	-6.33800e+00	-6.79900e+00	-6.58800e+00	-5.76400e+00	-7.01500e+00	-6.14620e+00
32	-4.83600e+00	-5.26500e+00	-6.80000e+00	-6.34300e+00	-5.71400e+00	-6.33800e+00	-6.79900e+00	-6.58800e+00	-5.76400e+00	-7.01500e+00	-6.14620e+00
33	-4.83600e+00	-5.26500e+00	-6.80000e+00	-6.34300e+00	-5.71400e+00	-6.33800e+00	-6.79900e+00	-6.58800e+00	-5.76400e+00	-7.01500e+00	-6.14620e+00
34	-4.83600e+00	-5.26500e+00	-6.80000e+00	-6.34300e+00	-5.71400e+00	-6.33800e+00	-6.79900e+00	-6.58800e+00	-5.76400e+00	-7.01500e+00	-6.14620e+00
35	-4.83600e+00	-5.26500e+00	-6.80000e+00	-6.34300e+00	-5.71400e+00	-6.33800e+00	-6.79900e+00	-6.58800e+00	-5.76400e+00	-7.01500e+00	-6.14620e+00
36	-4.83600e+00	-5.26500e+00	-6.80000e+00	-6.34300e+00	-5.71400e+00	-6.33800e+00	-6.79900e+00	-6.58800e+00	-5.76400e+00	-7.01500e+00	-6.14620e+00
37	-4.83600e+00	-5.26500e+00	-6.80000e+00	-6.34300e+00	-5.71400e+00	-6.33800e+00	-6.85100e+00	-6.58800e+00	-5.76400e+00	-7.01500e+00	-6.15140e+00
38	-4.83600e+00	-5.26500e+00	-6.80000e+00	-6.34300e+00	-5.71400e+00	-6.33800e+00	-6.85100e+00	-6.58800e+00	-5.76400e+00	-7.01500e+00	-6.15140e+00
39	-4.83600e+00	-5.26500e+00	-6.80000e+00	-6.34300e+00	-5.71400e+00	-6.33800e+00	-6.85100e+00	-6.58800e+00	-5.76400e+00	-7.01500e+00	-6.15140e+00
40	-4.83600e+00	-5.26500e+00	-6.80000e+00	-6.34300e+00	-5.71400e+00	-6.33800e+00	-6.85100e+00	-6.58800e+00	-5.76400e+00	-7.01500e+00	-6.15140e+00
41	-4.83600e+00	-5.26500e+00	-6.80000e+00	-6.34300e+00	-5.71400e+00	-6.33800e+00	-6.85100e+00	-6.58800e+00	-5.76400e+00	-7.01500e+00	-6.15140e+00
42	-4.83600e+00	-5.26500e+00	-6.80000e+00	-6.34300e+00	-5.71400e+00	-6.33800e+00	-6.85100e+00	-6.58800e+00	-5.76400e+00	-7.01500e+00	-6.15140e+00
43	-4.83600e+00	-5.26500e+00	-6.80000e+00	-6.34300e+00	-5.71400e+00	-6.33800e+00	-6.85100e+00	-6.58800e+00	-5.76400e+00	-7.01500e+00	-6.15140e+00
44	-4.83600e+00	-5.26500e+00	-6.80000e+00	-6.34300e+00	-5.71400e+00	-6.33800e+00	-6.85100e+00	-6.58800e+00	-5.76400e+00	-7.01500e+00	-6.15140e+00
45	-4.83600e+00	-5.26500e+00	-6.80000e+00	-6.34300e+00	-5.71400e+00	-6.33800e+00	-6.85100e+00	-6.58800e+00	-5.76400e+00	-7.01500e+00	-6.15140e+00
46	-4.83600e+00	-5.26500e+00	-6.80000e+00	-6.34300e+00	-5.71400e+00	-6.33800e+00	-6.85100e+00	-6.58800e+00	-5.76400e+00	-7.01500e+00	-6.15140e+00
47	-4.83600e+00	-5.26500e+00	-6.80000e+00	-6.34300e+00	-5.71400e+00	-6.33800e+00	-6.85100e+00	-6.58800e+00	-5.76400e+00	-7.01500e+00	-6.15140e+00
48	-4.83600e+00	-5.26500e+00	-6.80000e+00	-6.34300e+00	-5.71400e+00	-6.33800e+00	-6.85100e+00	-6.58800e+00	-5.76400e+00	-7.01500e+00	-6.15140e+00
49	-4.83600e+00	-5.26500e+00	-6.80000e+00	-6.34300e+00	-5.71400e+00	-6.33800e+00	-6.85100e+00	-6.58800e+00	-5.76400e+00	-7.01500e+00	-6.15140e+00
50	-4.83600e+00	-5.26500e+00	-6.80000e+00	-6.34300e+00	-5.71400e+00	-6.33800e+00	-6.85100e+00	-6.58800e+00	-5.76400e+00	-7.01500e+00	-6.15140e+00
