FE	Run 1	Run 2	Run 3	Run 4	Run 5	Run 6	Run 7	Run 8	Run 9	Run 10	Average
1	-0.551267	-0.32577	-1.54016	-1.63782	-1.46629	-0.939488	-0.733564	-1.24491	-0.023936	-1.77953	-1.0242735
2	-2.96791	-0.32577	-3.71086	-1.63782	-1.58806	-1.22011	-0.9168	-1.24491	-1.8003	-1.77953	-1.7192070000000002
3	-2.96791	-0.406326	-3.71086	-1.63782	-1.58806	-1.22011	-1.1606	-1.24491	-1.8003	-1.77953	-1.7516425999999998
4	-2.96791	-1.59666	-3.71086	-1.63782	-1.58806	-1.22011	-1.42236	-1.24491	-1.8003	-1.77953	-1.8968520000000002
5	-2.96791	-2.42932	-3.71086	-1.63782	-1.58806	-1.22011	-1.94064	-1.31972	-1.8003	-1.77953	-2.0394270000000003
6	-2.96791	-2.94439	-3.71086	-1.63782	-1.58806	-1.87002	-1.94064	-1.31972	-1.8003	-3.15489	-2.2934609999999997
7	-2.96791	-2.94439	-3.71086	-1.63782	-1.75492	-2.0948	-1.94064	-1.31972	-2.16474	-3.15489	-2.3690690000000005
8	-2.96791	-2.94439	-3.71086	-1.63782	-1.75492	-2.0948	-1.94064	-1.31972	-2.16474	-3.15489	-2.3690690000000005
9	-2.96791	-2.94439	-3.71086	-1.63782	-1.75492	-2.0948	-2.04046	-1.31972	-2.16474	-3.15489	-2.3790510000000005
10	-2.96791	-2.94439	-3.71086	-1.63782	-1.75492	-2.24682	-2.04046	-1.36356	-2.16474	-3.15489	-2.398637
11	-2.96791	-2.94439	-3.71086	-1.63782	-1.75492	-2.24682	-2.04046	-1.36356	-2.16474	-3.15489	-2.398637
12	-2.96791	-2.94439	-3.71086	-1.63782	-1.75492	-2.24682	-2.04046	-1.36356	-2.16474	-3.15489	-2.398637
13	-2.96791	-2.94439	-3.71086	-1.63782	-3.16569	-2.24682	-2.04046	-1.36356	-2.16474	-3.15489	-2.539714
14	nan	-2.94439	-3.71086	-1.63782	-3.16569	-2.24682	-2.04046	-1.36356	-2.16474	-3.15489	-2.539714
15	nan	-2.94439	-3.71086	-1.63782	-3.16569	-2.24682	-2.66393	-1.36356	-2.16474	-3.15489	-2.561411111111111
16	nan	-2.94439	-3.71086	-1.63782	-3.16569	-2.24682	-2.66393	-1.36356	-2.16474	-3.15489	-2.561411111111111
17	nan	-2.94439	-3.71086	-1.98957	-3.16569	-2.24682	-2.66393	-1.36356	-2.16474	-3.15489	-2.600494444444445
18	nan	-2.94439	-3.71086	-2.53752	-3.16569	-2.24682	-2.66393	-1.62397	-2.16474	-3.15489	-2.690312222222223
19	nan	-2.94439	-3.71086	-2.53752	-3.16569	-2.24682	-2.66393	-1.62397	-2.16474	-3.15489	-2.690312222222223
20	nan	-2.94439	-3.71086	-2.53752	-3.16569	-2.24682	-2.66393	-1.62397	-2.16474	-3.15489	-2.690312222222223
21	nan	-2.94439	-3.71086	-2.53752	-3.16569	-2.24682	-2.66393	-3.55731	-2.16474	-3.15489	-2.9051277777777775
22	nan	-2.94439	-3.71086	-2.53752	-3.16569	-2.24682	-2.66393	-3.55731	-2.16474	-3.15489	-2.9051277777777775
23	nan	-2.94439	-3.71086	-2.53752	-3.16569	-2.24682	-2.66393	-3.55731	-2.16474	-3.15489	-2.9051277777777775
24	nan	-2.94439	-3.71086	-2.53752	-3.16569	-2.39807	-2.66393	-3.55731	-2.16474	-3.15489	-2.9219333333333335
25	nan	-2.94439	-3.71086	-2.53752	-3.16569	-2.39807	-2.66393	-3.55731	-2.16474	-3.15489	-2.9219333333333335
26	nan	-2.94439	-3.71086	-2.53752	-3.16569	-2.39807	-2.66393	-3.55731	-2.16474	-3.15489	-2.9219333333333335
27	nan	-2.94439	-3.71086	-2.53752	-3.16569	-2.39807	-2.66393	-3.55731	-2.16474	-3.15489	-2.9219333333333335
