%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         cdv_31         cdv_32         cdv_33         cdv_34         cdv_35         cdv_36         cdv_37         cdv_38         cdv_39         cdv_40         cdv_41         cdv_42         cdv_43         cdv_44         cdv_45         cdv_46         cdv_47         cdv_48         cdv_49         cdv_50         cdv_51         cdv_52         cdv_53         cdv_54         cdv_55         cdv_56         cdv_57         cdv_58         cdv_59         cdv_60         obj_fn         	best_so_far
1        NO_ID      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      1.5707965      -3.004883      
2        NO_ID      0.0001229363344 2.066190972    2.444242955    0.9212742195   2.085503118    0.2978102353   0.7389751849   1.238804212    1.245585168    2.115751295    2.882444211    1.875788193    0.4864025729   0.5430575021   0.8397734921   2.037326097    1.117612035    0.1209228396   2.881086623    1.049955527    0.2746690748   1.363022729    2.968438492    2.048891894    0.7251879003   1.993792796    1.444581285    0.8469571726   0.2513173374   1.589498316    1.732915744    2.54780113     0.9810094386   0.7455709201   2.13756948     2.014298736    0.512685482    2.456890439    3.000808566    2.597134053    0.7388851687   2.867493507    1.926745282    2.408908088    0.8092519691   1.141747305    0.4969170447   1.330576611    1.142125613    0.5719490856   2.615294144    1.221007844    0.5933594821   1.176634026    2.501728721    2.615489276    1.359012024    1.533981531    1.715437038    0.9513423374   -1.466295      	-1.46629e+00
3        NO_ID      1.643887112    1.641841972    1.826710095    1.869765274    2.931767763    1.476182479    1.038995604    1.425229137    2.321075667    1.158447892    1.58190352     2.892498416    1.210798221    1.787840395    2.038067519    1.012312763    2.21450818     0.7867174632   2.537060377    2.673567063    0.4369531788   1.969234932    0.2492492962   1.389452775    1.072023557    0.4640669742   2.139809903    1.969967282    3.133077382    1.391289232    0.5214239886   1.670099602    2.372142231    1.77929935     3.002005465    0.7222767369   0.189764321    0.6520476716   1.088833286    0.2418180826   2.156766043    1.066843647    1.369928879    2.801165332    2.41462802     2.696347761    0.03778907558  0.5192072169   2.111933399    1.546922263    2.44040138     2.32937577     2.428197678    1.425301181    0.3903317987   0.660356762    2.509622652    0.2003003489   1.801860158    2.048746865    -1.588057      	-1.58806e+00
4        NO_ID      1.429273024    1.171628015    0.04711762683  0.2245180797   0.4221718353   1.725042321    2.166085952    0.6269175246   2.841506604    1.846306926    1.366446276    0.8177360171   2.361457854    1.277783479    2.918770862    2.948783025    1.566728647    2.317443252    2.940320925    0.7159008637   2.986219393    2.441156407    2.45273808     2.327159553    2.879350049    0.1377069166   2.227700006    2.590222705    0.8187997693   1.390383443    1.005789303    2.530476833    1.97968749     3.137779096    1.873169704    0.4597588848   1.990390156    0.8050919782   0.3398265214   0.04827051173  0.751496665    1.200588087    2.973740352    0.05105614359  0.445716356    1.597083763    0.4162204367   2.230861402    2.31671718     0.1619968015   2.060704861    1.345361616    1.447860153    2.547809178    1.116263994    2.597139678    0.8334232098   2.122293229    2.876963564    0.8687648831   -0.884186      	-1.58806e+00
5        NO_ID      2.348720032    0.8215292281   0.1405012602   2.068336872    0.8112544262   0.2395210845   1.250234124    1.710941161    0.7873710775   0.9559841726   1.119386163    1.664351178    0.006184829188 0.2758551591   2.447984749    0.9777419566   2.377674613    0.5142583532   0.6177992985   0.3879456883   1.397709069    1.605458461    2.939674961    2.425543887    0.8053421562   1.402975792    2.158678735    1.797535731    1.624736521    0.2203589226   2.775858793    1.202691634    0.6289258597   2.038072022    1.08799237     1.816505747    0.01131487092  1.673455501    2.226068361    0.2999028111   1.351373778    1.96329779     0.9946712927   1.024063074    1.781633843    1.397116034    1.063100388    1.2888247      3.134598982    1.832081149    1.03488266     1.414010269    2.261134967    2.186470172    0.7908557678   2.974499517    0.2439758315   0.7229343757   1.817920687    1.801066747    -1.203196      	-1.58806e+00
6        NO_ID      1.280263846    0.624007748    1.060786859    0.1044566663   2.59429703     0.1809393793   3.127717433    2.412813789    0.4789086748   0.256830971    0.009346906485 0.01380730032  2.723007402    2.000173567    1.872037383    0.2784035101   1.295816513    1.265464822    0.08265342942  0.572082198    1.710921144    0.4509435048   1.485169294    1.283931511    2.576182498    0.4645133691   0.2175895189   0.2127926539   1.27330017     2.966028812    2.390118744    2.317632667    2.982213479    1.087222745    1.447787101    1.320019419    2.778202137    2.888148167    0.3527980302   1.290501774    3.046834275    0.1777548945   3.013162125    2.878261499    0.692002567    0.3098567877   2.143429391    3.112434159    0.01586673664  2.778430639    0.4453949046   2.47763585     2.952107827    0.8980032455   0.5277749483   1.596516375    0.3049017388   0.5453403261   1.508079382    3.059437402    -0.300546      	-1.58806e+00
7        NO_ID      1.511778722    2.402382654    1.092027811    0.5251158032   0.886567953    3.113579987    0.4242363465   1.865758787    1.568195893    1.844695269    2.55365521     1.981140016    2.417634033    2.952923271    2.03679509     1.617754077    2.24694994     2.539784874    1.340284871    0.9460231184   0.2083773531   2.463570982    2.183353869    1.822239207    2.125793707    2.019231693    1.73948223     2.954968584    1.854852853    0.4845560395   0.9242999762   2.673908383    3.031913764    0.7361685851   1.192175225    2.95044621     1.245532428    1.229355737    2.666301515    0.8470093096   1.127582942    1.197526892    1.789708547    2.020175675    1.897016692    2.273772278    0.953431664    2.201677385    1.909461641    0.949297874    1.840114551    0.9637699946   0.02879121261  0.08858827075  2.929577431    2.36238195     1.101103222    2.259081179    2.225978372    1.929059263    -1.138967      	-1.58806e+00
8        NO_ID      0.4592805881   0.2348430114   1.165683885    0.6751108367   2.295508609    1.851147845    1.046359715    2.671715525    0.7340826129   0.6907635542   1.476920452    0.8757441442   0.2686271215   0.3468899895   2.52503827     1.679966087    1.69373176     0.5755154827   2.865464518    2.383056831    3.008594173    1.502924775    1.248967674    2.416870635    2.68887262     0.06682048034  1.503112075    1.255331628    2.561671513    1.622651376    2.874432058    2.304030909    0.5721732485   0.09961504771  2.902630878    1.861054917    1.05007379     2.262303729    2.980294365    0.24859256     2.918059753    0.421937467    0.9276076431   1.717192324    2.178086679    1.261175595    0.2502619019   2.700351339    1.352481459    1.730529828    0.1468305438   1.630444112    1.900036531    2.762722048    0.3249215774   0.8683173092   1.109530079    2.517577117    1.94407635     1.524019908    -1.754917      	-1.75492e+00
9        NO_ID      0.794863782    1.222147494    0.897897064    1.884774944    0.7302566399   2.361088306    1.349979992    0.5290777925   1.502268926    2.792499123    1.274928586    2.060491608    0.9028195483   2.935551448    2.236706603    0.0260346343   0.8826716999   0.4611148506   2.788955543    1.408245814    2.767318708    2.182758827    1.246147404    2.140473639    0.5590103769   1.924333992    2.723064358    2.957429628    2.37690953     0.2218831708   0.1195606637   1.978148288    2.401153184    2.419474217    2.464972059    0.5984992171   2.737149598    0.9269928649   0.8093937024   0.3822670698   0.2049576939   1.538033412    0.7003587998   2.522970829    1.490001326    0.8144773038   0.9993446245   1.028925981    1.831093903    0.1502043668   1.785613436    2.30867559     0.09549453368  2.76419749     3.13152905     0.5012141871   1.29600984     1.373103728    2.753764313    0.5687313618   -0.894594      	-1.75492e+00
10       NO_ID      1.942091545    2.722916091    0.4655101299   1.262183395    1.480391294    2.661516421    2.105345975    0.7878372584   2.507899573    2.656437688    1.570094844    2.344439154    1.129457233    1.282803219    2.462540456    0.5712612858   0.4802220959   0.340349462    2.55414728     0.8265832785   0.2609160239   2.693377945    0.3895763097   0.5292248758   0.8327043259   2.606383934    2.263584168    2.509468336    0.7483055019   0.9737919062   1.962630324    2.342955255    1.32230377     0.3305841331   1.791100494    0.2818718902   3.04020842     1.914355389    1.517106695    0.8434296174   0.653963486    1.871994597    2.700892716    1.026613965    0.6721491031   2.783140492    1.064078929    2.027208755    0.7214647426   2.250542252    0.08390109387  2.69202063     2.709934463    2.194801743    2.589477664    0.8632701432   1.104822993    1.945412201    1.984510375    2.514580709    -1.462398      	-1.75492e+00
11       NO_ID      1.848940834    1.652239757    0.6530750352   2.647768199    0.3752707584   1.998486009    1.783585149    2.776789027    1.129154962    2.485718962    0.5748774909   1.567515146    2.969751435    2.124370349    0.0880046834   2.546003927    2.191334552    0.8650752058   0.02658067731  0.6352375868   1.305107472    0.3389566877   1.136941672    1.410048483    1.648851624    0.2573930666   0.03170887284  2.001808798    1.081027668    0.9996981372   0.6872284357   1.752450431    1.000015036    2.871753775    1.272431862    0.9387514916   0.51627339     3.068591986    1.434813981    0.05071757603  1.03859742     1.016129901    0.3957009237   2.934636543    2.567868657    2.105482147    3.076493821    2.294063057    2.68850041     0.09426816785  1.002225077    2.316793962    1.452484091    1.722507606    0.4058391022   0.5393872773   1.986164025    2.033149271    0.0327409836   0.4989363912   -1.384063      	-1.75492e+00
