%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         cdv_31         cdv_32         cdv_33         cdv_34         cdv_35         cdv_36         cdv_37         cdv_38         cdv_39         cdv_40         cdv_41         cdv_42         cdv_43         cdv_44         cdv_45         cdv_46         cdv_47         cdv_48         cdv_49         cdv_50         cdv_51         cdv_52         cdv_53         cdv_54         cdv_55         cdv_56         cdv_57         cdv_58         cdv_59         cdv_60         obj_fn         	best_so_far
1        NO_ID      0.292813283    1.161860012    0.719861873    1.775087116    1.62942408     0.1798759709   1.098049782    0.6795662958   1.723521708    0.3338189888   0.1860785004   2.5239473      2.219257999    2.439773697    2.038976282    1.69235726     0.4011214879   1.453965921    2.027546449    1.840012296    0.2140504279   1.176570941    1.761064065    0.02689396457  3.128655699    1.0169113      2.041334845    2.732621645    2.979575182    0.1537490016   1.509276732    0.2279524037   1.287556065    0.1941714374   2.989308717    1.226286393    2.139208265    1.940469964    0.694817177    2.358651001    1.234970588    2.944819074    2.107102469    0.2512268771   2.592666935    2.811330353    0.1080901538   1.835203522    0.5548874701   0.8713850108   1.645377702    2.129336045    0.4047872561   1.288917462    1.461836307    2.854050486    1.256313618    0.9827078285   3.119838509    1.161747264    -0.228766      
2        NO_ID      1.053885167    0.1371726896   1.07369306     2.919353248    2.67609297     2.779973341    1.066875611    1.940899707    1.220076731    2.171893089    0.008375166589 1.372758334    0.6565519913   0.3651145833   0.3012112249   0.5403860625   3.002915673    0.1813562685   1.306638796    1.003332131    2.413753796    2.257974484    2.8973407      2.60649119     0.5114173476   1.609583935    1.932403594    1.112018867    1.853640278    1.848529217    0.9042286124   1.24538        2.329897367    0.5199474322   1.896297582    0.3606694207   0.923033353    0.4422293228   0.623667807    0.5660330116   2.433541652    2.762882817    2.386398551    0.3412911273   2.540274724    2.170436181    0.8110251083   0.005742324469 2.13451059     0.9470734737   2.079113749    0.9744821116   1.856170924    1.59398163     0.8028071698   1.269094677    0.1186149476   0.7718756762   1.660680124    0.4418231843   -0.475816      	-4.75816e-01
3        NO_ID      2.614347594    0.9244457462   0.06704014761  1.272584313    1.37466682     1.88403029     0.6098778942   2.103747593    0.8022781413   1.360482646    1.480583231    2.174294766    0.3786482969   2.119389962    0.1407121918   1.116859326    1.116600933    1.698595601    1.893567215    2.404456084    0.5447696481   1.966486354    2.056263617    2.565279711    2.950977271    3.079350948    1.592981694    2.635280314    2.166757149    0.5494556648   2.532489934    1.018231465    2.288877782    2.653995886    0.5713536919   2.822671212    0.7133811042   1.045560803    2.569697946    0.9235060138   1.172979164    0.1537188256   1.611430501    2.879689099    0.9899924774   0.0292564597   1.474916149    2.998484457    0.2327896336   1.776800497    0.5052042442   0.02842656404  0.07804551289  1.695113073    2.324823607    0.6625022682   2.337385523    0.3667423515   2.009676892    0.09440458044  -0.827873      	-8.27873e-01
4        NO_ID      0.7077738608   3.140596419    1.730794352    1.2077719      2.298033402    0.1401696592   0.8954483516   1.291198268    1.049360868    2.280599576    2.525759094    1.391752441    0.0391470038   0.9575468574   1.098211223    1.788330207    2.954276757    0.04849295876  0.9211066065   2.46198809     1.777962875    2.262184012    2.517864923    2.341665313    1.530228279    0.4976274463   1.967058932    1.802826743    1.691168573    1.512761316    1.68511386     0.681258096    0.2011880346   0.9439525952   2.027019271    1.956307622    0.7683518702   2.364890329    1.681889271    3.086178224    2.532037228    2.361345296    0.6237771108   3.077424215    0.6017431936   2.51265526     2.923662014    0.7902906496   2.206142906    0.0706847124   1.396679013    0.4559947203   1.843951823    1.954047611    0.422632313    1.612489283    0.5584543912   2.521886576    0.7144244898   2.528408854    -1.027443      	-1.02744e+00
5        NO_ID      0.4750072474   1.241476681    0.2120191064   1.817363001    3.040755137    2.344362732    1.519196214    2.953686349    2.111292926    3.009793951    1.70086402     0.03881238863  1.383968183    3.074855154    1.938126134    2.09388505     1.547172989    2.552704005    0.727819281    2.268044816    2.335041907    3.121772426    0.8517178744   0.4468002992   1.088619619    2.098448308    2.1454965      1.581953209    1.074362261    1.992838258    1.311558943    1.63016056     1.095470142    2.351479176    2.972653496    2.008456527    0.6720704078   0.7609456928   0.327501934    2.756217056    2.743230059    2.172260864    1.054693175    1.826740997    0.8096909913   1.634623422    1.07095039     1.751576308    1.860277441    3.120421769    0.6260066138   2.584107012    2.58003042     2.8581551      2.970915712    1.50344292     0.2291646597   1.985724381    1.161572239    1.516783741    -0.293133      	-1.02744e+00
6        NO_ID      2.743090924    1.568488698    0.4151867958   0.3084875976   0.9810030094   1.613694068    0.6606700672   1.144436326    0.3302268953   1.853492613    1.745665593    0.6082298707   2.574618568    2.486542994    2.463443239    2.717630331    0.4566873166   0.4499397615   0.6333750538   0.4397881624   1.808658985    2.044193991    2.92752239     2.63567601     2.421347739    0.784616111    2.745290909    0.8317011148   1.376737396    1.233765379    2.489114532    2.987022755    2.509907484    1.42514761     3.130125465    0.7049043276   0.5202691154   2.737530054    0.1899139293   2.315686533    0.9600281719   1.6985181      1.117837262    1.378433392    3.084969088    0.3558248883   2.232237041    1.604981719    0.01038997417  2.594226473    0.898474759    0.3785278676   2.345381587    0.4308925112   0.641170181    3.084048898    1.205005195    1.96552331     1.179762436    3.047474561    -3.259785      	-3.25978e+00
7        NO_ID      2.712501745    2.031422954    0.8770609855   2.618648513    2.756591629    2.614948181    0.7843649786   2.631646172    0.2040578119   1.473805194    0.1349692569   1.426654317    0.1874041512   0.5341355292   1.909914611    2.5981592      1.010648346    1.948688381    2.382968576    0.4681995553   1.930559697    0.2162015344   0.1990037959   2.139696414    2.195812319    2.63626574     0.7053208032   2.894435757    0.8919593808   0.9538506469   1.231784799    0.09856035316  0.786021334    1.671778889    0.4209527504   3.119466052    1.389909254    2.708731214    0.8806183632   3.119123743    0.4653942886   2.918604464    0.5389539285   0.2122164256   2.856156218    2.9384587      2.617025999    2.497537427    0.2184911293   1.260899542    0.7198638866   2.302858641    1.714479876    2.752866557    2.490883263    2.075816351    2.786141296    1.207584391    1.603627496    0.7932255881   -0.605839      	-3.25978e+00
8        NO_ID      0.06364634846  2.840526035    1.450995661    0.5978566408   2.477306604    1.151485012    0.2379582458   0.6360152377   2.404313231    2.809871945    2.959320402    2.619770655    2.754917216    2.561496133    1.604506636    0.1395006849   1.88716277     0.8286436404   1.186233318    0.2152676859   0.8688851526   1.875921991    0.8129987218   2.461279005    1.997378335    2.165660534    0.897208233    1.49760705     2.181505514    1.472802227    1.953910985    1.926581658    2.592433864    0.01198893476  2.300670758    2.665296938    0.03341896088  1.749935909    1.741429735    1.239249917    1.747296024    0.9842843382   1.460280099    2.702985433    2.316966881    2.220420468    0.1328094308   3.038546864    3.128773589    1.43528703     0.4295120446   1.902389981    2.020698733    1.185805746    3.020942305    2.663431014    2.942167406    0.811914888    1.277742358    2.898358766    -0.210482      	-3.25978e+00
9        NO_ID      0.1868534647   0.5338775972   0.5591475809   0.5717078732   2.399765209    2.60202063     0.4757759926   2.522718078    2.619388375    1.988413314    1.607177155    0.8255368042   2.971612951    0.1807470251   1.044352336    0.2184395929   2.185602441    2.201206827    0.3369026139   1.355777117    0.2822237767   2.521522548    0.05679121313  2.806691725    1.309946534    0.09554940568  1.756398799    0.522925712    2.818127843    0.04119934013  1.412776593    1.156499747    1.210831589    2.693792158    2.794010405    1.538576532    1.113618928    2.081408471    2.069607934    0.4989165983   2.626234583    3.013571398    2.169786067    0.1689392093   1.144076944    0.87276908     1.228413001    1.458655449    0.180325809    1.404399531    0.7241298266   1.114967916    1.800546623    3.074990839    1.035041704    0.04381846393  2.959164646    1.930455776    2.126651991    0.7806057629   -0.000734      	-3.25978e+00
10       NO_ID      2.903986012    0.6127051896   0.5763640526   1.383633696    0.362514107    0.2948882114   0.1946833726   0.1548739312   1.096715208    2.364073057    2.654496903    2.911692985    1.924105378    1.723980133    2.8194656      2.122284123    1.054970921    2.781907983    1.489653026    2.764075054    2.30611949     1.706647008    1.003192258    2.695160116    0.3677173464   0.7511876602   1.432650179    1.942125596    2.246504408    1.268103521    3.132491537    0.7075623929   2.875265844    2.705895415    1.851381864    2.417799162    0.5646741033   1.190609011    2.951860337    0.8936100364   2.139633004    2.877678519    1.940439604    0.9669835092   0.1034454394   0.2935670296   1.263741109    0.4813366469   2.052362372    2.419720373    1.486454638    1.450567254    2.179599549    0.2747956935   2.153673372    1.319324438    0.3556664651   2.857222554    1.797031564    1.785167986    -0.04572       	-3.25978e+00
11       NO_ID      1.672013235    1.73905226     1.716231923    1.436818415    2.772753305    2.103343689    1.169262657    0.2843736368   0.7774871495   2.667636091    2.231013907    1.001045107    0.2380511436   1.895800826    0.3590065793   1.723590615    0.1709090502   0.534564667    0.06052308611  0.5734859954   1.368682849    0.66599391     2.476728233    0.808504558    2.921283211    0.06638640031  0.7697718653   0.6130754458   3.07577912     3.001016928    0.7993777062   0.8353253212   0.4977976819   0.7636156624   0.129463432    1.816993246    1.242514549    0.001821826683 1.137013002    1.044218969    0.5454865669   2.511323728    2.806295527    2.805149137    1.254631891    1.130892271    2.270454878    1.781396423    0.4325309903   2.619221428    2.374648315    0.5552466635   1.889484913    1.020283734    1.415047817    2.200434953    1.797683716    0.3401482797   2.154702237    1.642824425    -0.83996       	-3.25978e+00
