%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         cdv_31         cdv_32         cdv_33         cdv_34         cdv_35         cdv_36         cdv_37         cdv_38         cdv_39         cdv_40         cdv_41         cdv_42         cdv_43         cdv_44         cdv_45         cdv_46         cdv_47         cdv_48         cdv_49         cdv_50         cdv_51         cdv_52         cdv_53         cdv_54         cdv_55         cdv_56         cdv_57         cdv_58         cdv_59         cdv_60         obj_fn         	best_so_far
1        NO_ID      1.771480332    2.284163405    2.853867316    1.137757589    2.955030403    1.530423275    0.2378542366   0.4400332691   1.364916403    2.190201534    1.405880703    0.8546810056   1.965536305    0.4490453587   1.078809299    2.124230162    0.9101073242   2.150212956    0.5778118302   0.6604315916   1.499181993    0.6620682755   3.061309948    1.194812894    0.3917418616   0.7487912499   1.150153607    1.322448462    3.075017871    2.290628368    1.890368568    2.954122702    2.545927481    2.972652993    1.407538092    2.419602343    1.332432503    0.9230946468   0.08386848206  1.09742709     1.450015463    0.3132127181   2.413427462    2.244684134    1.07293888     2.790263784    2.139529683    0.6526721895   1.872671168    1.384840475    1.795591706    2.350215755    0.08921933302  2.514430447    0.09260012164  2.71545847     2.226948369    2.886734461    2.888538976    0.8428003725   -1.832876      
2        NO_ID      0.4790265305   0.8348089257   2.735748192    2.363180608    2.531089001    0.7051591767   1.964671411    2.598709392    2.79271401     0.3791939657   0.7953154231   0.2003115925   0.9323067738   2.974782459    1.655652649    2.491807762    1.752535347    2.122434373    1.139969135    0.5632399359   1.460291978    3.115973693    1.718021913    3.065902362    1.501241054    2.196702511    1.857883646    1.55796809     1.712833767    0.0007268157399 1.604191364    0.9824940882   0.9087698577   1.527244266    2.377178522    1.775249207    2.605640332    2.570335634    0.7067465831   0.5095079205   0.6171743224   1.067276467    0.6532446964   3.09330008     0.4732399871   0.4210946723   2.439555785    2.534838615    2.330409683    0.922468267    1.661930747    3.138265108    0.2032226275   1.383650525    0.175185147    1.40616366     0.03053650713  1.36065471     1.19694171     0.1436535973   -0.499133      	-4.99133e-01
3        NO_ID      1.369314028    0.5243661401   0.3312367792   1.420988233    2.061962421    0.946041731    2.719817126    1.976227147    2.57466545     0.3298296879   3.085676124    1.386796128    2.078038509    1.626810198    3.023782935    0.6144653838   2.404869064    2.72625777     1.533959529    2.428678075    2.21853029     0.3498156579   0.3259367762   1.589036882    0.3621621179   2.926701638    2.644389573    3.113435338    0.9793557889   1.18313144     0.5862638852   0.6078490002   0.9478951932   1.505950379    0.6364270578   2.655671019    1.298316958    3.002178558    2.18592141     1.918325092    2.057326887    0.6404849057   2.775439859    3.121382549    3.054248616    2.283849307    0.6591324151   0.1596659444   2.820940398    2.086033808    2.757860428    0.2316868485   0.6236372797   1.061538884    1.172429907    1.566476884    1.134471821    1.567157472    2.047309961    1.806855178    -0.669422      	-6.69422e-01
4        NO_ID      0.2793801635   0.956462424    1.88755903     0.1532221324   1.697914442    0.2393059351   0.3556742973   0.6282474424   0.05234470652  1.826157798    1.795631954    0.4476437004   2.961927969    0.8124918279   1.846748087    0.6777860886   1.531744446    2.680247716    2.979763647    0.7245511852   0.008833706754 1.149492034    2.581701909    2.443998181    2.125482508    0.9072619013   2.410019764    0.7399712758   1.114320815    0.5844405557   2.447379919    2.824197662    2.14026324     0.1738482195   0.3433938898   1.418487653    2.652842744    2.254715824    2.421622328    0.3094320749   1.547293492    2.072838653    2.131191395    0.581741382    1.31949811     1.607394153    0.07035391469  1.764538484    2.876169337    2.795128865    0.7379520984   0.8922918626   3.107944221    2.240018934    0.8505783054   0.1677457024   1.367597846    1.649215909    2.125670863    1.1078332      -1.089408      	-1.08941e+00
5        NO_ID      1.989423133    0.006453156044 2.39831342     2.829759306    2.946845156    0.3139871016   0.03087203754  1.705634459    2.660857569    2.997247592    2.290655268    0.2974040836   0.3390143232   0.702855772    0.4751455505   2.33539755     2.860443206    1.745168146    2.031497352    1.739159489    1.903422941    1.684475693    2.632888783    2.905433406    1.349414684    1.53527074     2.506122606    1.219235432    0.8568725141   1.137757879    1.246919458    1.08678647     0.5639457302   2.495373176    2.704187444    0.274472035    0.4541816351   0.2358847972   2.352627583    2.380214543    1.806695372    0.5173735575   2.911288472    0.8549894905   2.725737428    0.9028919667   0.1750400195   2.854742903    0.9248453699   2.467217787    1.358359288    1.120934025    1.820166933    2.452877141    2.416843687    2.57183294     1.260340793    2.808983416    1.70227637     2.358487931    -0.9223        	-1.08941e+00
6        NO_ID      1.396138006    2.499805593    2.429707903    0.407515589    1.940774185    3.129932333    0.7675515578   1.931742167    1.340407001    1.092870812    0.1850242507   0.3497224802   2.014546103    1.163694435    1.919165608    0.01889483886  1.398911206    0.5344164639   0.59760441     1.51399742     1.71663871     1.767506967    0.3637915752   0.2000517433   0.7601506357   0.4002481983   0.1022850653   2.038261837    1.186166172    0.828637922    1.042871047    1.702948175    1.778578143    1.340415538    2.171833114    1.696573329    0.9033310236   0.1564385168   2.138176377    1.861863162    1.076083526    0.1863114495   0.7610213823   2.43905925     0.264365885    1.004581642    0.8774790853   3.084361538    2.153016804    2.139705259    2.601462654    0.1108822441   1.916484704    1.133425936    0.8274455664   0.4196011736   2.30017861     2.20360594     0.009094112115 0.7578174767   -0.493774      	-1.08941e+00
7        NO_ID      2.689505602    1.821819011    2.987493755    1.689980855    2.128763288    2.049316897    1.441439156    0.76015429     0.8510446321   1.440379583    0.2914291561   1.02520278     0.2818861656   2.370317065    1.565113715    0.3757775288   3.095280223    0.4440234016   1.779860084    1.985940167    2.561367725    0.8560854312   0.213911261    2.833669326    1.574966834    0.7007171922   2.969956423    1.96957558     1.760768093    0.8505162628   2.114377361    2.137620749    2.206840701    2.405388153    1.667055333    1.951617871    1.849406684    0.2804561089   2.247794064    2.598445448    2.441710908    0.05782591586  2.066119429    1.970931121    2.746279897    2.696870328    1.285662623    2.576919614    2.433609656    0.6298835919   2.280111231    0.7621614606   3.126278944    2.011345414    0.645336952    2.50277878     2.633747226    0.5057792746   2.910646386    1.899829383    -2.330119      	-2.33012e+00
8        NO_ID      2.419752562    0.2967517092   0.08562943522  1.329354007    0.4277814057   1.804264327    2.368643393    0.1597890531   0.4044331465   1.47159286     1.133064694    2.464405588    0.2500877744   0.3073358313   0.9887386687   1.87697591     0.2322155697   2.758777341    1.438080831    0.2746705587   3.090103576    0.5065521395   1.792802684    2.711348229    0.5246021523   2.062575077    1.372727268    0.9150154837   2.983643238    0.9303464049   2.651832903    1.907532228    2.190566929    0.3647356211   2.785822465    2.950745459    1.562474316    2.696925697    1.666791686    1.41695408     2.886100087    2.870462117    0.8633916899   0.6043159798   1.136933708    1.79784558     0.1350637817   0.809449143    1.551626038    0.7380476697   2.775397426    1.852992259    1.542333366    0.9354069065   1.650076537    2.253781261    1.447348635    2.929663162    1.403886158    0.242183404    -0.283012      	-2.33012e+00
9        NO_ID      0.9610402823   2.930584623    1.170807089    2.506449207    2.912446601    1.835241802    0.3945013246   2.813730396    1.261189106    0.7594090675   2.494635724    2.529100499    0.9950858305   0.05137967213  1.903080695    0.7714400412   2.320411318    1.916027432    0.1329763282   1.180683237    0.1356399671   2.768761174    1.222748343    1.940401445    2.557265693    0.4421425673   2.778969706    0.834688184    0.1334673779   2.673646078    2.280003211    0.4515643697   0.516376519    2.438717483    2.875823218    2.32558171     2.916247247    1.823778374    2.881188744    2.462697491    2.749101487    0.4917239417   0.1319827398   0.0802830329   2.952530774    1.076020688    1.972969228    0.421487904    1.641121069    3.121879356    2.911440468    2.599961805    0.09523417239  0.6385286916   0.2708433339   1.259804645    2.458023209    2.184906388    2.57033857     0.6565565069   -2.192352      	-2.33012e+00
10       NO_ID      2.647396069    2.178052683    1.263214698    2.804261812    2.392174795    1.894081412    2.074992266    1.445080668    2.340662321    1.268566335    2.249534802    1.076380383    0.3018773399   2.200676951    2.2175268      1.166842642    2.95649544     1.656894571    3.041462685    2.346106259    2.005656376    0.4009064394   1.398743647    0.9633047623   1.448826574    0.1086254467   2.551171534    1.061396243    2.051273086    1.222049172    2.513083079    0.5039658382   0.3698320618   2.571181057    1.3693581      0.8974621081   0.5719971254   1.320449853    0.6063702915   0.008264055542 2.150401359    1.960824975    0.1212874281   1.055537711    0.3483248974   2.873300041    2.846541186    1.455027716    1.732626204    0.05236971692  2.33928335     2.090601874    3.018629143    2.485924736    0.4809614638   2.038720018    0.09727018777  0.757263191    0.6007579725   2.197531493    -1.125443      	-2.33012e+00
11       NO_ID      0.2045436781   0.356958447    2.662219574    2.12749126     2.29337764     2.420807589    2.87772391     2.463397615    2.844963555    0.03655519558  0.1112685862   0.7133499921   2.471573299    3.064926742    1.268119505    0.1051989885   0.06892731122  1.29459777     2.307121464    2.629796868    0.5652279866   0.04084648789  1.442884576    2.545026351    2.695407604    1.50628344     2.837332608    2.178385097    0.6846581208   2.338293815    2.723385788    0.256896682    2.797308921    2.251745396    3.102762875    0.6114705041   0.2767621871   0.5766294789   0.3330599068   2.001591222    0.5617957882   1.180231032    1.708873996    1.24634037     1.433958459    0.3539748737   1.362415118    1.14139414     0.952452993    2.315881468    1.49978108     0.6987594242   1.287154538    1.504770711    0.204505232    1.886245404    2.551779336    0.8630977784   0.9042606936   1.23654189     -0.561834      	-2.33012e+00
