%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         cdv_31         cdv_32         cdv_33         cdv_34         cdv_35         cdv_36         cdv_37         cdv_38         cdv_39         cdv_40         cdv_41         cdv_42         cdv_43         cdv_44         cdv_45         cdv_46         cdv_47         cdv_48         cdv_49         cdv_50         cdv_51         cdv_52         cdv_53         cdv_54         cdv_55         cdv_56         cdv_57         cdv_58         cdv_59         cdv_60         obj_fn         	best_so_far
1        NO_ID      2.428637732    0.488834196    2.951640746    0.9440152467   0.04494473689  0.5219740433   1.851597135    0.2506988654   0.9309955771   0.2616578306   0.05427020817  1.302974769    0.1916629552   3.074744712    1.866075789    2.527873464    0.7279804379   3.00669365     0.3096681881   1.362337841    0.6364158009   0.544017358    0.8793795432   0.9084509568   2.290652928    0.06943631334  2.738642471    0.08454994222  1.770438802    2.852606198    0.1900760674   0.9286503314   2.244953247    0.7266042462   1.234617503    1.338534945    1.082313758    1.949677739    0.3660712656   2.865725611    1.701095919    1.263911932    1.005174217    0.8148468884   0.4599961733   1.211512775    0.08149477749  2.071846584    2.137765656    1.609525477    1.825857721    0.5349554901   0.2688234448   3.074083672    3.098396042    0.5860201237   2.113488274    2.336506401    2.552718866    0.7746835277   -0.988183      
2        NO_ID      2.73285192     0.7436355829   0.645951498    0.08208448627  0.8515477442   0.6511059254   2.580298506    1.41961758     1.910662688    0.3057075802   0.3139767099   1.678671937    2.175571064    0.08391471326  1.611402452    2.546646853    0.5724937482   0.3121616602   0.9808950616   1.258963508    0.7354460302   2.166581289    2.685052772    2.082138623    0.3332566922   2.030468258    1.0710798      0.2720894132   3.088295133    0.4938428405   2.242983005    2.784437522    0.5527324007   1.967070799    3.026332277    2.233045733    1.244988648    1.627487562    1.77992549     0.773292556    1.774317158    0.4061406776   2.824791118    0.2604386801   0.7417996976   1.800134491    1.55703482     2.857841545    1.22349871     2.094148485    1.435198514    2.81180248     1.26050398     1.86400495     2.559449569    2.29455999     0.9194585769   2.906350282    2.696828348    0.1192593368   -0.335767      	-3.35767e-01
3        NO_ID      1.637549619    2.548786734    0.9580930965   1.364839645    1.752829217    2.420465753    0.9803169287   1.935849667    0.4210095244   1.463173317    1.773294981    0.2946486536   1.71957568     0.8574181243   0.1054080169   1.774973015    2.376003196    0.8772356389   3.042537263    2.397567806    1.743299429    0.8737538064   0.8464966392   0.05953318679  1.311417905    2.477479995    1.708469813    0.2501409226   0.4798180848   3.107059026    2.053672004    3.124506767    1.053394672    2.092134086    0.6586948713   0.9410782826   2.147929182    0.914691258    2.746901467    3.097609324    0.5286965168   3.084747486    2.201668263    2.340418103    1.944782542    1.163845393    1.08355549     2.355598672    3.070828254    0.910922206    1.953421679    2.559398054    1.041537172    1.915822961    3.048859946    0.9288304775   0.8513739272   2.955810261    2.099199452    2.285184132    -1.220426      	-1.22043e+00
4        NO_ID      2.651696036    1.156920795    2.252848342    2.260488155    1.844295519    0.9361207898   1.863663491    0.5321302454   2.282191081    0.08299890972  0.2686999897   1.764850999    0.8850486062   1.026679       2.343804907    0.7368329653   2.192062317    2.229545946    2.613598225    0.1405669247   1.706336543    2.521451007    0.9926980377   1.688617939    2.903581751    2.532497984    1.025564385    1.642234       0.8039701581   0.7813425942   0.01268440558  0.269091848    3.032045219    1.902868179    1.487373077    1.784039025    1.461997541    2.100727321    2.087582508    1.918192804    2.71920653     0.7959215739   1.868202091    0.7727460113   2.796335106    2.278475338    1.718775444    1.746333569    2.03421758     1.51937518     2.356617074    1.969618749    0.1031895515   1.645706853    0.5187723539   1.801531161    0.2771089661   1.168101279    0.1880951007   2.517752127    -2.223039      	-2.22304e+00
5        NO_ID      0.393635815    1.744299603    0.1192801444   0.4366115216   2.79319316     0.8289951807   2.167219716    2.256055506    1.212013705    1.758691589    0.3237558542   2.353149528    1.168852994    1.292898486    0.07222094368  1.254323563    0.3559320042   1.708493708    1.613361596    0.2956310134   2.53572703     2.487941933    2.470957448    0.756703897    1.792576153    0.0004736036865 1.369239457    3.095074234    2.62905175     0.05637985358  1.043482525    3.087359241    0.636431404    1.53228568     2.74963757     2.970073893    2.722918916    1.781121897    0.4262957973   2.232297821    2.320908253    1.543527023    0.9550420304   1.22716856     0.1241697119   1.579336895    1.388251289    2.759973738    1.261381772    0.01779582269  0.2917175681   2.423508573    1.437302348    1.584471232    2.02289153     1.779454369    1.463585051    0.864300059    1.989395207    2.140410942    -0.7342        	-2.22304e+00
6        NO_ID      0.5850436923   1.384149172    0.4644296976   3.120269512    1.454180967    1.410262603    2.312786092    1.587436422    2.050889861    2.385307444    1.073598964    1.470421103    0.5632396284   2.023632209    1.265575664    2.459057327    0.5570908428   0.1807807749   2.715865405    2.930940227    1.61976073     2.227064689    2.935815011    3.108854952    1.345267145    0.2473058108   0.3305146053   0.1721781645   2.676834253    0.6286979465   0.6678854454   2.923583618    2.781159185    1.467979293    0.446381376    2.634928374    1.941536621    2.856357468    1.357028859    1.023353623    0.3497774655   0.464665182    1.482256125    2.217570566    1.184271891    1.605617145    1.137476183    0.3089354064   1.661877119    0.3872504378   2.958234612    1.463781927    2.731790649    1.947886647    2.780838652    2.546895738    2.78299158     0.1483930706   1.977717509    0.03701711157  -0.279334      	-2.22304e+00
7        NO_ID      2.221650474    2.179521072    2.06775604     2.599512539    1.684767931    1.612952511    3.054969383    2.075178285    3.095591118    0.9901201179   1.323701331    1.797969066    2.320194833    1.439676131    2.478454054    1.74146682     0.7117906758   1.606771714    0.2021518401   1.989310311    2.039477723    1.967942442    0.9350446639   2.863653608    0.6536037804   3.095905662    2.840242511    2.395340152    1.841044916    1.729217089    1.07575064     1.409401867    0.4356812477   1.67886988     1.002136223    1.464018522    2.88274163     2.304422108    0.05073947688  2.913759867    2.452261924    1.951893875    0.6443840258   2.442960608    1.113333792    1.407639486    2.162488775    1.001270578    2.867213901    1.248484347    0.1377966005   1.98695588     3.080751257    0.9676694379   1.325559607    2.598064568    1.513780372    2.362747525    2.911566003    1.983987119    -2.889626      	-2.88963e+00
8        NO_ID      1.930830396    1.856310499    0.9951527577   0.0006090231142 0.9662194108   1.916277447    2.468444065    2.798741       0.8474243662   2.961457351    3.136913663    2.58474411     0.02588622217  0.1596506249   1.808181857    1.938900704    1.038503811    3.019906544    1.870621934    0.973020425    1.577322173    2.423890772    1.48344123     2.586095047    0.1989217133   1.612148517    2.049285425    0.8636490545   0.3391124826   2.171920071    1.383615703    0.4988463604   0.9904517021   0.9750972329   0.5350046273   1.853481577    0.0206057609   2.994952291    2.176069186    0.6395822845   2.36094088     0.8613211937   0.5273584821   2.185990786    1.881822062    1.463626872    0.05592277382  0.6795688903   1.256080972    1.099341715    0.7777937719   2.903383669    2.75121972     0.3697309026   0.7333000506   1.241620801    1.371830946    2.537820805    1.821938108    0.659290859    -1.118101      	-2.88963e+00
9        NO_ID      1.258348407    2.152397459    0.1296113772   1.409457817    0.2088162984   1.533275076    2.757466756    2.389473719    0.5348434594   1.027840424    1.991705806    2.80878752     2.439762335    2.956701804    2.37362806     1.278010195    1.477052357    0.636447135    1.887645466    2.830458743    1.82064449     2.811714983    1.933644245    0.1421414132   2.570229468    0.6129247897   0.7359282341   0.825971688    2.017754813    2.380271209    0.1679805102   2.433915086    0.02346353528  1.168581955    2.947826305    2.277579859    1.823533342    1.365158731    2.277112634    1.70611631     3.066129658    2.237030526    0.874456423    3.122446678    1.791328279    2.088648863    0.5778168861   2.574854496    2.217277404    2.694096675    3.055837366    1.27998397     2.151607324    2.46057471     0.7712571593   2.217607793    0.8305026791   1.26976574     0.4538106037   2.174623397    -0.855306      	-2.88963e+00
10       NO_ID      0.0611817643   0.1316183475   2.669507758    1.775069402    2.68358022     1.424670605    2.992025833    1.728135062    2.926050125    2.106352696    0.9639437407   1.008657413    1.996494066    2.251150197    0.8716454212   2.055606191    1.852813794    1.4506737      0.6695279814   2.563265687    1.306699431    1.635915197    1.126205815    0.8228328026   2.693182973    0.7039297372   0.3632040486   2.518089119    1.084885906    0.724222216    2.841426655    0.8388768609   3.005673238    0.622937575    2.374559228    0.3046999198   0.07746455636  1.688993026    2.396711083    2.317548351    1.074920573    2.638198713    2.435550973    2.599625951    0.9182377685   1.432015931    0.6978187674   2.274255423    1.679717648    0.5123751273   2.246960239    0.8204224925   0.4711847314   0.233842245    0.7148910621   2.024015439    1.939412767    2.305361971    0.1335507762   1.050614574    -1.451568      	-2.88963e+00
11       NO_ID      1.734890591    2.935371825    1.46318809     2.262396123    1.64366838     1.025783195    2.544917262    1.369240278    0.2849437676   1.710687806    3.061762168    2.202596951    0.8522625412   2.362244397    3.007197762    1.985384351    1.572232404    1.371743923    2.466419409    1.417717799    1.125004174    2.472438669    2.989814703    2.026446038    2.858758312    2.974687585    1.11923089     1.886648502    0.6857556299   2.519783414    0.9716039587   1.098803822    1.914206106    1.834315895    2.837780146    0.9985013375   2.822828976    0.9632651201   1.224837668    3.019681031    0.9407791602   0.3191731826   0.6214081596   0.4586292323   2.084106551    1.088556451    0.8785649009   1.282183164    0.4868091594   1.857384333    2.739351694    2.205861619    0.5910132631   2.043609993    1.075910118    1.543330921    0.05990670028  2.286890168    2.937587829    2.501519844    -1.581185      	-2.88963e+00
