%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         cdv_31         cdv_32         cdv_33         cdv_34         cdv_35         cdv_36         cdv_37         cdv_38         cdv_39         cdv_40         cdv_41         cdv_42         cdv_43         cdv_44         cdv_45         cdv_46         cdv_47         cdv_48         cdv_49         cdv_50         cdv_51         cdv_52         cdv_53         cdv_54         cdv_55         cdv_56         cdv_57         cdv_58         cdv_59         cdv_60         obj_fn         	best_so_far
1        NO_ID      2.98157317     0.5191276184   2.361374865    1.995218439    1.199712322    1.642990514    2.011845527    2.19791901     0.4870716105   3.059524292    0.03030434616  1.742152337    2.096503421    0.1249817238   1.77782678     1.647289089    1.426923168    1.676082314    3.057824686    1.200584634    2.140328359    2.208883694    0.3143649662   2.859409405    1.97212129     0.8477435588   1.433124009    0.6664379777   0.2076115141   0.4294415089   0.266111313    0.2612788671   2.183631082    0.2750518349   2.392356516    2.64813917     1.460244225    0.08535271478  1.627167732    0.897509144    1.73901793     1.603250919    0.6309921486   1.416292607    1.710449976    0.2814636476   1.115524213    1.95164725     1.68684104     3.022335792    2.463667283    0.5776840027   0.2925301989   2.1648457      1.233159814    0.4699164388   0.1399861817   2.512412413    1.273941475    2.310463459    -0.475845      
2        NO_ID      0.2342241037   0.04724814355  1.062245422    2.919249625    0.7211646278   0.8535606576   2.887428115    0.7793635575   1.536940601    2.858522612    1.871929674    2.037629392    1.881440861    0.3505130865   1.384843247    2.21705998     0.06488137943  0.6713859709   2.646916904    2.240790306    1.543792817    3.03306953     2.160089438    0.1430205025   0.4081823587   1.487732647    2.70960756     0.1343228289   0.06577920988  0.0913954768   2.052483975    3.093159224    3.026582364    0.07621059065  1.001736992    2.976527555    3.01730168     2.120176197    0.4606075924   0.9696057593   1.683006969    2.230270931    3.033423602    1.313915794    1.849988589    0.2337108773   0.6599739066   2.241973313    1.171781994    1.691596903    2.427396079    2.358918944    1.938487775    2.805332518    2.612717682    2.398136252    1.08762574     1.882187438    0.6954770474   1.450024571    -1.494613      	-1.49461e+00
3        NO_ID      0.6496571591   1.183099687    1.117805269    1.237752871    2.900019666    1.72472101     0.2528282478   1.012716324    0.4210050923   2.108568579    1.292087827    0.931807438    2.002837391    1.376990349    2.142616856    0.9398803839   0.414059589    2.223573529    0.4238376997   1.08138711     0.4556211198   1.654397671    1.249682604    0.6418847226   0.1035055619   2.823201168    1.565764194    2.372118967    1.50077894     3.052527417    3.015099526    0.8303497115   1.557219314    1.121644121    0.9062031861   2.462866545    1.70532287     0.7870525722   1.398139859    1.572295697    0.7119520978   2.969315647    0.1813325065   2.527343745    1.761727411    0.5775107289   1.036087553    1.737910327    2.380153161    1.392791394    1.390518746    1.330978002    0.09942440356  3.080194025    1.525064575    2.626092583    2.366924147    2.811635014    3.082702444    2.415997576    -1.287347      	-1.49461e+00
4        NO_ID      0.9710535029   0.6751101184   0.8109486054   2.210252112    1.551622001    2.284924949    2.591381407    0.4383878956   1.687107863    1.181691631    2.05398011     0.4329951447   3.035382752    2.174393983    1.503333377    3.093071754    1.746023829    1.951095312    2.743363987    2.524287343    2.174849601    0.8509268397   2.621699055    1.574146911    1.0135087      2.607448828    3.010851897    2.086573616    2.600431689    1.112240801    2.183687855    0.1162673096   1.129022202    2.824619836    0.02011667466  0.7897691928   2.00346858     2.605406384    0.8580343574   1.214329215    0.8429042136   0.2054440952   3.008018842    0.7132322699   2.391875726    1.180813451    0.8922378576   3.06753624     2.652670249    0.5902172081   2.317045187    2.505907938    2.114481989    2.842597675    0.2686185164   1.259348989    0.5709101663   1.737992977    0.6491582208   0.950163623    -0.846626      	-1.49461e+00
5        NO_ID      2.952664231    1.743644321    1.364029763    2.191892874    0.3981142135   2.79815095     0.1258409513   2.630449489    0.7432943071   2.933167476    1.329616533    1.406828115    1.049670882    0.2210630705   0.553979851    1.358290124    2.479924404    0.6171711546   1.961475686    3.035746732    2.951745009    0.6936479765   0.8546505427   2.726874837    2.088633783    0.2340119276   1.273259985    1.844155535    2.869541402    2.273614445    1.148171439    0.2499122181   1.99453582     2.031405062    1.355292779    2.227454681    2.448344332    2.946059928    2.577724686    0.6837195038   0.9100708006   3.069335739    2.690533324    1.888494564    0.726718776    0.8627419019   0.7106743777   0.5587982539   0.6715337645   0.4309171317   0.2059848466   2.481636852    2.959317588    1.070359385    2.031947636    1.687905387    1.995219       2.188426918    0.4216480276   3.008864839    -1.717789      	-1.71779e+00
6        NO_ID      2.587195074    2.471645426    2.039182073    2.476457554    2.815902233    0.1167507118   0.3939260773   0.8123497402   0.934287467    2.632238157    2.200065239    2.218581446    0.2229761036   2.246958707    0.001859849313 2.605369942    0.8284347667   2.146702055    2.827132897    1.635239831    0.2602486536   0.6399700996   3.10289364     1.541416357    0.6100277964   1.698079624    2.177681348    1.084948722    2.696258698    0.6941117756   1.11632476     2.129131261    2.880492767    2.12791034     0.3291246112   2.565524776    2.302073895    0.9513176524   1.216189858    2.731813434    2.068948861    2.4345279      1.027799634    0.5910930287   1.066587111    3.037283495    0.7933675861   0.3747203976   3.131872106    0.8245689138   0.8482376806   1.261647522    2.210580234    2.726224349    0.6643998395   0.224551194    0.987804897    0.8876979086   1.933214703    3.045263346    -1.269562      	-1.71779e+00
7        NO_ID      0.5811909396   2.915296175    1.075380677    1.838491849    2.07802777     1.734240717    0.3263941263   0.2966184428   2.227543986    1.573289401    1.382606814    0.6823116726   0.2046873931   0.5155353482   1.622837434    2.409605879    1.301712446    0.7624457902   1.270745166    2.139479725    1.272814622    3.012877551    0.1683891072   0.8111354996   0.086946072    1.219809937    0.7757195955   1.479036313    1.98948824     1.75008778     1.022476975    2.028242006    1.485499786    1.44231254     0.3871404384   0.9272667386   0.06308918586  2.734586379    2.012679996    2.19335241     3.047597339    1.765271624    1.074319334    2.772717268    1.419533162    1.40031215     1.322227629    0.03495171034  2.064905856    2.449214121    2.848761884    1.369020849    2.89444676     0.4342136863   0.3002332421   0.8095953357   2.253952847    1.408963355    0.6157968473   0.1684048021   -2.004897      	-2.00490e+00
8        NO_ID      2.244558142    2.509380865    3.067345034    2.773282248    0.9804186459   0.2429576494   3.074756664    2.569212696    2.366384906    1.798525918    2.193605477    1.487071661    0.5138151954   0.6360843592   1.528639618    2.515883706    3.127127986    1.208903102    2.428328217    0.3470943934   2.259271788    1.781151597    0.03616074269  0.4762158432   2.001433147    0.1672117745   0.3563992568   2.421251611    1.877332004    3.099991552    1.828524621    2.901134057    1.439291792    1.153175629    0.9354875052   0.8463849872   0.4123300038   0.2061671298   1.046550305    0.8180119814   0.8781889951   0.3967420506   2.315651187    2.342675134    0.9998598973   1.054855798    1.202624687    0.6343722761   2.934944611    1.233329156    2.382543413    2.954763656    1.569716044    2.933676627    1.386834541    2.174699459    1.424774816    2.997776251    1.368520001    1.132815059    -1.652629      	-2.00490e+00
9        NO_ID      1.24880702     0.4621092457   1.60914194     2.142330792    1.448019872    2.638644493    2.180850135    1.905200451    1.600980025    0.8540902821   0.9084538726   1.0176437      1.417837861    2.856409128    1.744281474    1.478070921    0.2083552009   2.445074259    2.254807591    0.6252637121   1.134662066    2.338042942    0.765649852    1.227599281    1.489201434    1.300462927    0.8634727768   0.9726380538   1.788416347    0.8502472519   0.6174576205   1.124632049    1.328330708    1.661437303    1.228894795    2.531226695    0.253805459    2.206644289    1.456887696    1.736110824    1.061102096    1.052702829    2.380567329    0.4689966954   2.805006336    2.421333236    2.316415514    2.812921884    3.090218973    2.457484222    0.6402804572   1.290447581    3.128878825    0.1848222459   0.1079973132   2.455672816    0.7794132882   2.243929615    1.709571914    2.871407749    -0.227248      	-2.00490e+00
10       NO_ID      3.102043684    0.145593335    0.9720655903   2.063681931    1.623004723    1.390001081    2.754236675    1.206354243    2.0845313      0.3667756311   2.396314792    0.6418609304   0.06989657974  2.697159723    1.853566464    2.941407955    2.277002537    2.270003997    0.6798973435   1.63048232     2.308170086    0.9338892081   0.5712319129   1.270115382    0.9653977333   2.326190088    0.7921188668   0.4304746469   0.8324481841   0.7520259251   2.529448172    2.702332517    2.280650771    0.4843282977   0.7334257631   0.6953879142   1.875805251    0.3607547649   2.219906835    1.887668379    1.366268024    1.428917244    0.006689932147 2.303856186    1.567757904    0.6344487621   2.744182241    2.166887905    2.846312566    0.8734727217   1.222527532    1.046075565    1.392128595    2.573575818    2.295857929    0.1528418641   1.354885086    1.57158243     0.4062041981   1.927398761    -0.157135      	-2.00490e+00
11       NO_ID      2.361836024    2.18213016     0.6892526227   1.26534615     2.271037587    2.794397241    1.615469795    1.579463468    0.0407205089   0.8414587663   0.9752059645   1.889087146    0.712622123    1.429788321    2.804079079    2.784030778    1.500501173    0.2398156867   2.772907174    2.180579156    2.599867256    2.36660803     2.835236888    2.072974385    0.02130520523  2.961172413    0.5500396906   0.300674408    2.65899707     2.036493641    1.206726363    2.650290869    0.8362332325   3.046904098    2.740217319    1.221826492    2.351613668    0.4452883807   2.541715565    1.518152207    2.522918012    1.687224555    2.139959319    0.7490079453   1.670035554    0.1297204668   2.222437969    1.310998982    2.427914017    1.141126004    2.579984932    2.210593893    2.370345912    0.702136976    3.1134798      1.99933502     1.793689907    0.7299717207   3.015886861    2.007992771    -0.775689      	-2.00490e+00
