%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         cdv_31         cdv_32         cdv_33         cdv_34         cdv_35         cdv_36         cdv_37         cdv_38         cdv_39         cdv_40         cdv_41         cdv_42         cdv_43         cdv_44         cdv_45         cdv_46         cdv_47         cdv_48         cdv_49         cdv_50         cdv_51         cdv_52         cdv_53         cdv_54         cdv_55         cdv_56         cdv_57         cdv_58         cdv_59         cdv_60         obj_fn         	best_so_far
1        NO_ID      2.734220373    0.711947172    0.7068773765   2.271715614    0.2237421477   0.1427672862   2.461684476    0.1874686212   1.264799545    1.715060554    1.007120097    2.627041643    0.4697288827   0.3254367316   1.343551889    0.4558135211   0.1135915742   0.1596566878   2.635862314    0.4025974731   2.319836653    2.945282292    2.979862868    0.9220113222   1.376297763    1.340914753    1.827987658    2.906199397    1.61146844     0.5061670765   1.791629878    2.788947754    1.939160161    2.782904653    2.791420542    2.563906155    2.445706387    0.05525325527  0.08320471132  1.602651116    2.621623609    0.3995282552   1.074139518    2.276701961    1.447975527    1.269753847    2.750075147    0.0804039802   2.488925071    2.57213786     1.571294798    2.829581862    1.462460749    1.965330711    3.058796327    1.970500915    0.9679030347   1.046244552    2.376615332    2.084376789    -0.814372      
2        NO_ID      2.921322867    0.2681708778   1.273265253    1.346836824    2.700823351    1.672138327    1.423949462    0.7481150537   0.8686847695   0.5931586871   2.474013802    2.987862558    3.020481416    2.864768024    0.06044742708  1.603337132    1.6221225      2.162964705    1.693308502    1.314148004    1.038857005    2.597302654    3.138140118    1.567669091    1.504366526    1.553382251    1.434160602    1.570848771    0.5663017075   1.96543925     1.674974346    0.0701163162   2.331817206    2.649739635    1.669444136    3.000310478    3.136566429    1.55181226     2.010720746    0.1945804159   2.124522957    0.8324987555   2.735340871    1.799896679    2.801955684    0.3581940728   1.329993001    3.017254062    1.50847116     0.5815211194   0.286891775    0.9097893901   2.96509968     2.678481278    2.319580077    1.876096178    3.032891253    1.531524222    1.033823002    2.858694664    -2.288127      	-2.28813e+00
3        NO_ID      0.8991138149   2.725752699    0.3396946755   1.656104647    2.775823623    3.11482837     3.13798382     1.570218117    1.068170632    0.7742265947   0.6811977631   0.6049398323   0.5201824837   0.6494851663   1.570017621    1.489318041    1.856736625    0.09845629626  2.274036888    1.094145387    0.04782976274  3.041798713    1.620574017    3.054620621    0.1464246599   1.869616827    1.475971498    0.2009548115   0.475804526    2.576746454    2.555529409    1.559985856    1.710645892    2.011678435    1.275519477    1.350121296    2.066239636    1.094545348    0.1578826559   1.130828135    1.549950668    2.860117996    1.712446316    0.8214951355   0.2806889364   2.431169808    1.923526822    0.3042650176   0.869637087    0.4262748166   0.3596814131   1.39242811     2.042802723    1.386614986    1.957113236    0.9129011604   0.8053428546   2.545014918    0.2330615939   1.430227655    -0.622         	-2.28813e+00
4        NO_ID      3.053025205    2.427361796    1.408487458    2.253599072    0.321576405    2.182644478    2.20021934     1.242806712    2.177995758    2.847979947    1.963475851    2.478486878    2.260793524    0.4194105033   2.521249105    0.7708092527   2.255406981    2.607414916    2.981485802    2.46230597     2.856591902    2.137744748    2.438433354    0.004108714182 3.061059833    2.013167885    1.530303206    0.09258820277  0.5307623408   0.652533151    3.047973477    2.464543469    1.667604898    0.5926696166   0.3814644753   1.665416294    1.038049559    0.827440233    1.548718533    2.302722247    2.724004304    1.305237727    0.4563392978   1.75513673     0.3738890411   1.825173008    0.9735740986   0.8202629919   0.9385070506   0.2344524731   1.079258686    0.4400393472   2.892798645    0.3102296596   2.732305305    1.159705367    1.486641228    2.907540746    2.890635158    0.6104764457   -0.896101      	-2.28813e+00
5        NO_ID      0.1529702553   1.210446371    0.7276799751   0.07514361395  0.8160522824   3.014809884    0.07222242776  2.772346718    1.52837774     0.9364642226   1.629241731    2.586271577    0.700442594    0.5202732413   0.7188913496   0.4918971997   1.771687137    1.285297534    1.616355524    2.352998762    1.686813424    1.668070444    1.947215227    0.2936910303   1.296706039    1.987414606    0.2749260422   2.271895258    2.248899931    1.070489579    0.8302481436   0.9499573278   2.224347673    2.417365734    0.153466427    2.401612471    1.410945419    2.982455807    2.728726849    3.089360697    1.947588639    1.43652461     1.312327832    1.298376525    3.055607282    0.1679800508   2.684003403    0.7492723904   2.168756441    0.04636349631  0.2705873065   2.407944373    0.6379659781   0.8708400626   2.629327365    0.46886489     0.5680286661   0.5851494104   1.461857394    0.4100250884   -0.177764      	-2.28813e+00
6        NO_ID      1.258704472    2.865452159    1.676115549    1.728725111    2.32047733     2.061808269    1.864609349    0.7767158533   2.692386565    2.14558516     2.515128348    2.398763759    1.812594635    0.2407785402   1.719883254    2.939912188    1.133566785    2.916596524    2.567970261    0.1881532383   3.052131721    1.853555814    0.4941904355   2.019017174    0.258858214    1.057020325    2.458101688    2.121808306    0.1524081353   1.138347557    1.274419065    1.73824838     0.4589125983   0.7746437957   2.681872875    1.228945001    2.661571018    1.292060046    1.439667675    1.074899929    1.960670149    2.295522111    1.916714402    0.9745280875   1.87818754     2.005721925    3.081305547    3.053899       2.781043006    0.1401776571   0.3141720827   0.4783967088   0.4111541998   1.858267263    0.7457534516   2.720285276    0.17498157     0.8433145863   2.459849834    1.926315329    -2.177877      	-2.28813e+00
7        NO_ID      1.098736048    1.492117408    1.370923902    1.633439367    1.239236198    2.20523808     1.001111485    3.080564514    2.51957195     3.001756693    2.239493668    0.5808944896   1.568786291    0.3866679505   2.0313233      1.792715632    0.3087102022   2.361039124    2.381348618    1.280850529    0.2166295462   0.9513830581   2.802474695    0.7135415601   0.566356378    2.866333141    1.941703364    1.640514212    0.547367207    0.5636720632   0.7248498641   1.71863641     2.658757113    1.749382717    0.6111052422   0.9403881848   2.62230995     1.391969137    1.26271183     1.063014473    2.736940661    0.5739116993   0.6031973806   1.060553788    0.5502794456   0.339825771    1.613561715    0.8020871207   0.7243233437   0.7546069041   2.352937782    1.238904407    1.347410185    1.612892818    1.238595016    1.541723003    1.26689698     1.649325106    0.6805407744   3.080405868    -1.38688       	-2.28813e+00
8        NO_ID      2.611857627    1.228904634    2.206675071    1.928517196    2.633230738    2.723878682    0.6635005347   0.7942662247   2.359444261    1.565291587    0.2979274078   1.40819373     1.37381942     1.59627169     2.940227369    2.069119127    1.414654933    0.9619357595   1.853855755    1.671162443    1.581441607    2.074007185    0.9852093267   2.901914487    2.901745235    1.472976177    2.513110825    2.458861378    2.207779281    1.550222065    3.125434634    1.835794597    2.676922027    0.6111663352   2.627086446    2.289463824    0.2174748767   1.852658286    2.694576561    1.581745421    2.555763941    0.334063277    0.8476792763   2.850012596    2.986270128    2.973026496    1.198907948    1.251709161    0.6346841093   1.218475976    1.461612713    2.507592892    0.5770233232   2.321987815    0.9067051119   1.78375841     0.3470542496   1.01179786     2.599740174    1.848529997    -4.304083      	-4.30408e+00
9        NO_ID      2.595069982    2.894612676    2.038199088    2.73167804     1.041132803    1.51697077     2.891974915    1.966091516    1.142576985    1.379478913    0.5062965409   2.035036898    0.3986230756   0.7751627917   2.824400573    0.9757777198   2.156800931    1.546677867    1.58421898     1.355374824    0.7094480345   0.8929783323   2.648319864    1.036580107    1.019314094    2.723174591    0.7626009662   1.759596453    0.7441127587   3.135027543    1.657280799    0.4426979239   0.2474717112   1.968673694    0.5270675556   1.709078571    1.767923987    2.919372304    0.397592302    2.208124292    0.3210436826   1.528854184    0.6667650949   1.267203275    2.897612466    0.001547074778 2.511264255    1.656188337    0.7011537081   3.020140234    2.797386536    2.176984246    2.885468746    1.118098637    0.07249179245  1.189452702    2.530155814    0.864758686    0.5779126164   1.985225023    -1.059445      	-4.30408e+00
10       NO_ID      1.958835914    2.309940239    2.330281551    2.859916312    1.136915652    2.127403453    1.915497467    2.404226379    0.8309707122   0.2181528773   0.659629214    0.4292350832   2.643297424    2.691805173    0.5483248815   2.314825314    0.4201183513   0.5484797253   2.38849195     1.241460068    2.28230562     0.04929954349  1.191062037    0.6575203723   0.4787189718   2.093622681    1.856603734    1.860208839    2.459952532    0.3220765331   2.990310257    1.184704604    3.083069247    0.07944506981  1.152709748    2.677404404    2.578197608    0.6498564989   0.3750088748   2.656846233    0.02832304013  1.800978491    2.609819885    2.921345457    2.833079612    2.19123062     2.787601848    0.2555635271   0.1545274172   1.390425163    1.546533459    0.5169611018   0.5531180651   0.572660213    2.977085833    0.2858203698   1.108920007    1.932831498    2.131963133    0.6617990672   -0.903421      	-4.30408e+00
11       NO_ID      3.092785537    2.250158552    0.6718662747   0.619419435    2.263427529    1.109844714    1.11862154     1.692296629    1.165233985    2.946660634    0.01125219893  1.790524882    1.472723561    0.3594087264   0.4460566914   1.337333148    0.8502284293   1.41807823     1.327112119    0.4822901877   2.34666946     0.01386109092  2.48920078     1.831435704    0.02523154193  2.75291098     0.7527976816   0.4296091763   1.252806274    1.733175611    0.6001396578   1.078233804    1.026600358    2.142916083    1.623715297    0.8605294041   1.597800284    2.854050192    0.5140447543   1.808714704    1.765485357    0.2662626346   1.986464849    2.123284271    0.9314231687   2.74865966     1.649062036    1.051600109    2.219226199    1.142145569    1.024074364    0.4113279849   2.786766998    1.593718271    0.5103089943   0.2356579108   1.551240988    1.264345579    1.106959711    0.9958150137   -0.346059      	-4.30408e+00
