FE	Run 1	Run 2	Run 3	Run 4	Run 5	Run 6	Run 7	Run 8	Run 9	Run 10	Average
1	nan	-0.475816	-0.499133	-2.1069	-3.26666	-0.335767	-1.49461	-2.28813	-3.07669	-0.806942	-1.5945164444444444
2	nan	-0.827873	-0.669422	-2.1069	-3.26666	-1.22043	-1.49461	-2.28813	-3.07669	-0.806942	-1.7508507777777775
3	nan	-1.02744	-1.08941	-2.1069	-3.26666	-2.22304	-1.49461	-2.28813	-3.07669	-0.951691	-1.9471745555555553
4	nan	-1.02744	-1.08941	-2.1069	-3.26666	-2.22304	-1.71779	-2.28813	-3.07669	-1.60809	-2.0449055555555553
5	nan	-3.25978	-1.08941	-2.31722	-3.26666	-2.22304	-1.71779	-2.28813	-3.07669	-1.60809	-2.316312222222222
6	nan	-3.25978	-2.33012	-2.31722	-3.26666	-2.88963	-2.0049	-2.28813	-3.07669	-1.60809	-2.5601355555555556
7	nan	-3.25978	-2.33012	-2.31722	-3.26666	-2.88963	-2.0049	-4.30408	-3.07669	-1.9578	-2.8229866666666665
8	nan	-3.25978	-2.33012	-2.31722	-3.26666	-2.88963	-2.0049	-4.30408	-3.07669	-1.9578	-2.8229866666666665
9	nan	-3.25978	-2.33012	-2.31722	-3.26666	-2.88963	-2.0049	-4.30408	-3.07669	-1.9578	-2.8229866666666665
10	nan	-3.25978	-2.33012	-2.31722	-3.26666	-2.88963	-2.0049	-4.30408	-3.07669	-2.10999	-2.8398966666666663
11	nan	-3.25978	-2.33012	-2.31722	-3.26666	-2.88963	-2.80153	-4.30408	-3.07669	-2.10999	-2.928411111111111
12	nan	-3.25978	-2.33012	-2.31722	-3.26666	-2.88963	-2.80153	-4.30408	-3.07669	-2.10999	-2.928411111111111
13	nan	-3.25978	-2.33012	-2.31722	-3.26666	-2.88963	-2.80153	-4.30408	-3.07669	-2.10999	-2.928411111111111
14	nan	-3.25978	-2.33012	-2.31722	-3.26666	-2.88963	-2.80153	-4.30408	-3.07669	-2.10999	-2.928411111111111
15	nan	-3.25978	-2.33012	-2.31722	-3.26666	-2.88963	-3.38804	-4.30408	-3.07669	-2.10999	-2.993578888888889
16	nan	-3.25978	-2.33012	-2.31722	-3.26666	-2.88963	-3.38804	-4.30408	-3.07669	-2.10999	-2.993578888888889
17	nan	-3.25978	-2.33012	-2.31722	-3.26666	-2.88963	-3.38804	-4.30408	-3.07669	-2.10999	-2.993578888888889
18	nan	-3.25978	-2.33012	-2.31722	-3.26666	-2.88963	-3.38804	-4.30408	-3.07669	-2.10999	-2.993578888888889
19	nan	-3.25978	-2.33012	-2.31722	-3.26666	-2.88963	-3.38804	-4.30408	-3.07669	-2.10999	-2.993578888888889
20	nan	-3.94163	-2.33012	-2.31722	-3.26666	-2.88963	-3.38804	-4.30408	-3.07669	-2.42056	-3.1038477777777778
