%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         cdv_31         cdv_32         cdv_33         cdv_34         cdv_35         cdv_36         cdv_37         cdv_38         cdv_39         cdv_40         cdv_41         cdv_42         cdv_43         cdv_44         cdv_45         cdv_46         cdv_47         cdv_48         cdv_49         cdv_50         cdv_51         cdv_52         cdv_53         cdv_54         cdv_55         cdv_56         cdv_57         cdv_58         cdv_59         cdv_60         obj_fn         	best_so_far
1        NO_ID      0.003930946165 1.770555679    0.6072832442   2.540733497    1.837861147    1.507565793    1.100473173    2.814749208    2.585028549    2.345528463    0.5469767774   2.698450727    2.232106285    1.613317832    0.9550281647   0.04707547725  0.2871508235   1.144959978    0.4627970034   0.5211859355   3.105543347    1.400183849    0.3741110229   0.01466914057  0.02799600684  1.187145742    1.670268613    1.794428986    1.890497475    1.907467658    0.5222405796   2.083017961    1.416195264    1.106225777    0.1791936191   1.909097562    2.460868176    2.521462273    1.633260193    0.9486044234   2.751949946    2.282920955    3.003051117    2.908229025    1.694429551    0.4471690955   1.451669656    0.7393055093   2.708805415    0.6584814211   2.449362968    2.650416483    3.131525943    3.140634233    1.921082154    1.232878945    0.8363327659   0.9339352828   2.639390658    0.07459210041  -1.13531       
2        NO_ID      0.004026822901 2.714941526    2.113602639    1.184652947    1.283597738    2.440254678    0.3023952245   2.920980631    1.134509414    2.661538184    2.580905849    2.457416614    0.6460174454   2.039010539    2.47131874     2.022807371    2.331146953    1.564708327    1.251479032    2.301712795    1.578993961    2.321751033    0.9321136249   1.902386191    2.781096474    1.482541965    2.517723081    2.967097341    1.322427816    2.744950944    1.794524863    2.209287622    3.008228461    2.427023689    1.594046608    1.641122086    0.1278995655   1.976978291    1.358669222    2.568729504    0.8594390592   1.836422996    1.808810496    1.408716878    2.939964225    2.279469392    1.246397565    1.170846697    2.022999124    0.7239652316   2.44255572     0.6115976973   1.049179119    1.713988405    0.3632769517   0.0346115016   1.091556636    0.793092358    1.096254596    1.451957286    -1.249685      	-1.24968e+00
3        NO_ID      0.1625110671   0.5885872807   3.112925856    1.342082547    2.02136922     2.266430156    2.829801855    2.648211318    2.875630935    1.51734522     1.507374039    2.285509627    2.380427595    1.206225212    2.339296475    0.8607813335   1.140070265    0.09808190066  2.583206891    2.381002855    1.365572347    0.704598131    0.25905894     0.8347987381   1.965664836    2.410437013    1.024634675    0.8001872365   1.523577208    2.362115138    1.765378335    1.092994787    2.187523603    3.038333756    1.261929596    0.8566586338   2.792505805    1.860967441    1.905741876    1.091269006    2.517723081    2.606792568    2.560388228    1.330193832    0.2553197473   1.986757718    3.086751507    2.163554419    1.568543397    0.5789037304   1.782156764    0.7488931829   2.708038401    0.9076650573   3.108803156    2.575920259    1.264518268    1.010732548    1.252437799    2.065856025    -0.305303      	-1.24968e+00
4        NO_ID      0.3202282974   1.293089535    0.08619318543  2.159623473    0.8133223493   0.5309653625   0.7183085042   0.5937646244   2.708709538    2.397973038    0.1495677078   1.518112234    0.1764131938   3.019829546    0.267016709    1.776500037    3.023952245    1.802962016    2.760387099    1.283981245    1.266531679    1.299033893    2.068828204    2.586658454    2.969398383    0.8894484775   0.006999001709 1.936038925    0.1553203119   2.061062188    1.325591748    2.998640787    1.8974006      0.6310606746   1.301814318    1.069888494    1.95761119     2.539678853    0.01524440098  0.3306788616   1.239110933    0.8697937466   0.995200517    2.589438879    2.681384668    0.9787097184   0.6209936174   1.774007241    1.473625428    3.126252722    1.361066141    1.157615707    1.315620568    1.209101514    1.823479637    2.757510797    1.06001319     1.235851124    2.987806716    1.599511582    -0.228453      	-1.24968e+00
5        NO_ID      0.4671114565   0.7771768199   0.3505253459   0.3205159276   2.166143091    2.596342004    1.541697911    1.425495307    2.052816789    1.314757677    2.010343395    0.3116952679   2.60938124     1.158095091    2.758181934    1.633739577    3.023089355    1.239973823    2.279852899    1.981100991    1.175352903    2.555402638    2.67841249     0.2008617614   2.336036666    1.13844036     0.7401683999   2.572852204    2.462114574    0.86058958     1.769405158    0.5488943121   0.3903141912   2.37851006     1.29999266     0.8778473924   0.5371014736   1.709673952    0.757905596    1.000953121    0.7070909261   2.067294176    2.194139097    2.10564487     2.021081589    0.1760296868   1.035181116    2.991545909    1.007472739    0.9664374963   0.5119817689   1.157807461    0.8684514723   3.019446039    0.7420859346   0.8193625836   1.962980288    2.375154374    1.830958022    0.8513854134   -0.31484       	-1.24968e+00
6        NO_ID      0.5306777323   1.960679246    1.071230768    1.003445916    1.154739405    2.076594219    2.520791136    2.534885016    1.654161322    1.919835756    2.507560147    2.829322472    0.4549351111   1.979758716    1.264230637    0.7970233042   0.4289525157   2.686657889    0.2078607631   1.344000082    1.801236234    0.9496590675   1.72175442     0.7086249539   0.978134458    0.3475531671   2.538528332    0.4231999116   0.8929959167   2.475920824    2.812448166    2.480714661    2.336707803    1.932779116    1.134509414    2.691259972    0.7178291205   2.713023991    0.7208012993   0.7839840681   1.704017224    3.093942262    0.1690306851   0.255799131    1.648312841    1.340836149    0.2974096343   0.8130347191   2.800847081    0.7312518635   0.460400085    0.3929987398   2.926829112    0.2516764313   0.1479378032   0.1844668396   1.056849258    2.873617524    1.252246046    1.35962799     -2.254959      	-2.25496e+00
7        NO_ID      0.5417994337   1.053301819    0.2055597214   1.576788796    3.027499684    2.542363402    1.402580767    2.868248426    0.5631799457   1.513989534    1.483117225    2.196727769    0.7810118893   2.94274465     0.8716154046   0.9410301613   2.583782151    2.574961492    1.978895826    2.49778072     0.02262690963  0.8198419673   0.909582592    2.99384695     2.700080632    1.625590054    2.222710365    0.8047893198   2.893559885    1.543327815    0.293862195    2.594903853    0.2409382369   0.8879144497   1.205937582    2.020889836    1.618207546    1.355697043    0.4420876285   3.062974077    0.2344186189   0.01629904508  2.873905154    1.293281288    2.37294921     0.5895460481   0.3195571602   1.329330941    2.129805808    1.656941747    2.589343002    2.630090615    0.8529194411   1.569214534    2.734596257    0.4680702239   3.049838964    1.691361495    0.6932846761   0.2096824211   -0.397429      	-2.25496e+00
8        NO_ID      0.5480314215   1.013704727    3.025965657    2.228654722    0.6206101104   2.710818826    0.1486089404   2.334886145    0.1132304249   0.4110235661   0.2587713098   1.736327684    1.787429984    1.67448719     0.6876279487   0.2424722647   0.9569456994   0.2024916659   1.292034891    0.4200359793   0.7906954396   2.578125424    1.598361062    0.8441946582   3.103721689    2.879370128    0.3824522989   0.8935711771   2.220984583    1.479473909    0.9259775138   1.082735977    1.649655115    2.548211883    1.624918917    0.211504079    2.605066787    1.741696781    0.3255973946   1.600853857    2.974096343    2.271703377    1.488869829    1.417825168    2.886752636    1.724247216    1.14754865     2.778316048    2.072567396    0.384945094    1.594046608    0.3532098945   0.8789979133   1.71676883     2.485892004    1.159820872    2.695862056    2.338433585    1.457230507    1.129907331    -0.750954      	-2.25496e+00
9        NO_ID      0.5789037304   2.318203593    1.743997823    2.843416352    0.762987063    0.593572871    1.899797519    2.194426728    1.83661475     1.103637105    1.553394872    0.2525393219   2.32712013     1.922807935    1.948982284    2.171224558    2.527502508    0.4684537308   1.809673387    2.726063227    2.86374222     1.931149211    2.286084887    0.1357614578   2.097878855    3.06786379     0.9896396663   1.788196998    0.9607807689   0.546401517    0.341033549    2.730185927    2.674193913    2.338337708    0.4865744339   1.027031593    0.2492795129   0.2406506067   2.013699081    2.576112013    1.712454377    1.408237495    1.284844136    0.9385373662   1.462599604    1.574583631    0.4795754322   1.014855248    2.318491224    0.9860922271   2.597109018    3.013022297    2.743704547    2.277743611    0.9426600658   2.96565919     0.3997101113   0.2065184888   2.46604552     1.648025211    -0.67279       	-2.25496e+00
10       NO_ID      0.6371967857   2.002769133    0.6210894941   1.043426515    2.389727638    2.038818786    2.997106759    0.4836981318   1.992126815    0.5580984787   1.328372174    0.2416093741   1.239398563    2.375154374    2.409765876    2.612736926    2.174004983    1.278612148    1.566050602    2.013507327    0.2624146257   0.8926124097   0.5727676193   0.7277044243   1.951666833    0.102683984    3.075725683    1.048412105    3.08195767     1.656941747    0.1749750427   1.79462074     1.301334934    0.4517711788   1.249945004    0.4791919252   0.9496590675   0.6866691814   0.1646203553   0.8333605871   1.87333554     2.689054807    1.049466749    1.831533283    2.898449598    2.312067482    0.08044058129  2.479180633    1.997016529    0.253593966    0.3254056411   1.648983978    1.883498474    1.368352772    0.06471679662  2.096057197    3.074958669    1.320510281    0.2377743046   1.077462756    -1.703954      	-2.25496e+00
11       NO_ID      0.6428535131   0.6211853709   0.6060368466   0.6268420983   3.005831542    1.86451488     2.320984019    0.924826993    2.135750165    2.469688836    2.894422775    2.916762055    2.652525771    0.8136099795   0.331254122    0.1944380201   2.839293652    0.4659609357   2.804682151    1.129140317    3.005543912    1.198746827    1.041317227    2.150611059    2.788287229    1.194144744    1.361162017    2.11945112     0.8391131912   1.516865836    1.658284021    2.519736492    2.494808541    2.344665573    1.528946305    2.60056058     1.756270045    0.875833981    1.090693746    0.1700853292   2.862783452    2.39672664     1.157615707    0.8871474358   0.6636587648   1.019649085    0.1575254768   2.769687142    0.7816830265   1.268640967    0.4551268646   2.749744781    1.910439836    2.46192282     0.6184049455   1.419071566    2.393179201    1.361353771    1.999509324    2.527598384    -0.090278      	-2.25496e+00
