%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         cdv_31         cdv_32         cdv_33         cdv_34         cdv_35         cdv_36         cdv_37         cdv_38         cdv_39         cdv_40         cdv_41         cdv_42         cdv_43         cdv_44         cdv_45         cdv_46         cdv_47         cdv_48         cdv_49         cdv_50         cdv_51         cdv_52         cdv_53         cdv_54         cdv_55         cdv_56         cdv_57         cdv_58         cdv_59         cdv_60         obj_fn         	best_so_far
1        NO_ID      0.004314453108 2.801134711    2.320025251    1.706126512    2.826829677    1.883977857    1.398841574    2.534118002    1.026360456    1.756078292    0.5327870205   2.702669304    1.213032461    0.05810130186  3.082724684    1.709386322    2.858373123    2.911488834    0.6383473066   2.776686144    1.058383286    2.884451595    1.81370021     0.6871485651   1.428083979    2.247350686    0.5716170985   0.2324052074   2.848593696    0.7202260389   0.8099666635   0.9678756473   2.751854069    0.4303906667   1.879088144    1.782156764    2.657990745    0.6914630182   2.072279766    1.814083717    2.672468132    0.7647128443   0.1585801209   0.9599178782   0.3594418823   2.062500339    1.732588492    1.63747877     1.549272173    2.822419347    1.025689319    2.481673428    1.944092571    1.844668396    1.503922477    1.348889795    0.4906971335   1.179954987    1.913603769    1.443807764    -0.536642      
2        NO_ID      0.03652903632  2.612928679    2.980615961    3.111679458    2.555594391    1.949749298    1.598648692    0.0009587673574 0.9456322446   2.647540181    0.2483207456   2.221272214    1.721658544    0.4487031233   1.972567961    3.130758929    0.06979826362  0.7570427054   0.3910812051   0.2290495217   0.8663421841   1.530959716    3.139867219    2.205260799    1.06825859     0.9477415328   2.986656195    1.310347347    0.7299095892   0.877272132    2.362306892    2.261540443    1.507565793    0.7639458304   0.6884908394   2.530570563    0.2121752162   0.08245399274  3.114459884    2.656169087    2.249651727    0.8225265159   0.8862845452   1.123004206    2.815324468    3.035073947    0.8116924448   2.183400903    1.524535975    0.6043110654   0.6340328535   0.5874367599   1.487911062    1.694046044    0.3468820299   3.014172818    1.962213274    2.491261101    2.812160536    3.045332757    -0.163955      	-1.63955e-01
3        NO_ID      0.1910823343   1.436329378    2.918200206    2.99355932     2.512353983    0.9279909252   2.583878028    1.040262583    2.005741312    1.279858545    3.000845952    1.464037755    2.564031544    1.829615748    2.955304502    0.2321175772   0.0383506943   2.501711666    0.9691220449   2.179182327    2.286468394    2.176114271    0.5883955272   0.8224306392   2.15176158     0.03202282974  0.4601124548   0.670466013    2.03987343     2.322805677    2.676111448    0.4377731754   1.83249205     0.9062269062   2.175155504    1.669501599    1.681582068    1.384460064    0.105560286    2.032395044    0.538060241    1.205554075    0.7996119761   0.07334570284  1.118497999    1.861734455    0.7025847195   2.119930504    2.162499775    2.661729938    1.165381723    1.574487754    1.251862539    0.52281584     0.03681666652  2.958947818    1.61072916     2.948976638    0.2471702247   1.270270872    -1.509233      	-1.50923e+00
4        NO_ID      0.2413217439   2.368347126    1.673240792    0.2474578549   1.120990794    1.825493048    2.541884018    2.185606068    0.01562790793  1.967774124    0.7696025578   0.1561832025   2.597971908    2.830568869    0.06836011258  1.414948866    2.6140792      0.1973143222   1.909481069    2.095865443    2.165376077    2.118396476    0.3433345907   1.572761973    0.4318288178   1.869021087    0.6835052491   1.781773257    2.381386362    0.9120753871   1.280337929    1.027510977    0.04458268212  1.061451341    1.712262624    2.791451161    3.030951247    2.863646343    1.753393743    1.941695652    1.751380332    1.65157265     1.035181116    0.2792889312   2.856072081    2.579180068    1.462503727    1.251862539    1.501046175    2.109000556    0.3097777332   1.213703598    1.679281026    1.241795481    1.190884935    2.462018697    2.636897863    1.105171133    2.553101596    2.594040962    -0.420239      	-1.50923e+00
5        NO_ID      0.2907941395   2.132010973    2.093372648    1.510633848    0.4996136699   2.81321518     1.459531548    2.03603836     0.7748757783   0.1203253034   0.9342229131   2.921651768    1.152150733    2.704490962    0.1288583328   2.469209452    1.18043437     1.85099626     0.4111194429   0.2160102856   2.323189184    0.7984614552   2.167101858    0.8284708735   2.953003461    0.3004776898   1.382350776    1.1889674      2.925486838    2.577933671    0.1702770827   1.616481765    1.727315271    3.12778675     0.3221458321   2.046680678    0.902679467    1.117539232    0.789832549    2.121752162    1.035660499    0.9753540327   2.734692134    0.5739181401   0.850426646    1.345246479    2.212547431    0.2851374121   1.275256462    0.5672067686   2.401328723    1.84131271     0.03825481756  2.285509627    0.309490103    1.388295134    1.634794221    0.07871480004  1.863172606    0.7414147975   -1.709745      	-1.70975e+00
6        NO_ID      0.3482243042   1.739971       0.03892595471  0.7613571585   1.039303815    1.39721167     1.010924302    1.456175862    2.928459016    2.222997995    2.352623342    0.9023918368   2.797012012    0.9826406646   0.6020100237   0.2896436187   1.102390708    1.502580203    1.670460367    0.3979843301   1.225112929    0.04285690088  2.286084887    2.680809408    0.3278984362   2.116191311    2.761921126    1.199897348    1.378323953    0.9508095883   2.883492827    0.06682608481  2.056555982    0.1636615879   0.257237282    1.51264726     2.666619651    1.414948866    2.60554617     2.380715225    1.340069135    1.91120685     1.092707157    0.7146651882   2.941402376    1.069217357    0.991557201    3.112734103    0.5388272549   1.51705759     0.2245433151   3.101324771    2.975726247    0.6017223935   2.66546913     2.885218609    1.430768527    1.563557806    0.718020874    1.599799213    -0.969676      	-1.70975e+00
7        NO_ID      0.3717141045   1.280913189    2.157705938    2.874480414    0.03911770818  2.953003461    0.9413177915   2.787903722    1.080722565    0.4836022551   0.5236787306   1.11523819     2.977452028    2.150323429    1.464229508    0.112846918    1.293856549    0.1221469613   1.130386714    2.801805849    0.02588671865  1.354738276    1.937189446    2.779274816    1.717823474    2.653676292    1.724438969    2.483303332    0.1860967441   1.898071737    1.321948432    1.88714179     2.26221158     0.7529200058   3.087326768    1.705934759    2.856934972    2.89605268     0.9094867152   0.7921335907   2.591548167    0.7893531653   1.438438666    0.3856162311   1.724918353    2.143899688    1.631917919    1.176982808    3.070260709    1.142179553    0.08187873232  2.710914703    1.614180723    2.117629462    1.768158761    0.5105436178   2.958468435    0.7538787731   2.595191483    3.017720257    -0.642771      	-1.70975e+00
8        NO_ID      0.5007641908   1.054068833    0.06289513865  2.3779348      1.217059283    2.624721518    1.207375733    2.587904851    1.42041384     1.926259498    2.616955502    0.127707812    1.218305681    0.6929011692   0.7720953529   2.079087015    0.7945305091   1.6336437      1.328755681    1.96144626     2.263553854    1.689060454    2.041407457    1.512743137    1.272571913    0.3400747817   2.787616092    1.427029335    2.613408063    1.860200427    2.345432586    0.4189813352   1.42980976     1.399225081    2.835458583    2.713982759    1.983210279    2.907174381    0.3245427505   1.072285413    2.995860362    2.235941354    1.35579292     1.423481896    2.684165094    2.277264227    3.059810144    2.810243001    2.7673861      2.900271256    1.744860714    1.859625166    1.732492615    1.12933207     2.17879882     1.456175862    0.6217606313   0.8764092414   1.352437234    1.725781243    -0.324827      	-1.70975e+00
9        NO_ID      0.5263632792   1.271421393    0.958192097    0.3275149293   2.19787829     2.995093348    1.620029204    0.0917540361   2.742458149    2.297302465    2.703819825    0.7595355005   2.02136922     2.338241831    0.6328823326   0.05973120637  0.2957797298   1.569598041    0.7779438338   0.1243521263   0.8419894933   0.4167761703   0.9439064634   2.441309322    0.3511006063   0.6290472632   3.137374424    2.790108887    1.374393007    1.322044309    0.6984620199   0.3933822467   0.9675880171   0.4507165347   2.549362403    2.535747907    2.363553289    2.596821388    0.8004748667   1.181584891    0.6833134956   0.9654787289   0.01907947041  0.2357608932   2.0824427      0.4513876719   1.832012667    0.8628906217   2.209383498    2.544664443    0.3352809449   1.515619439    2.222230981    0.08427565072  1.365859977    1.773144351    0.8079532521   0.02377743046  1.724343092    0.6632752579   -0.848164      	-1.70975e+00
10       NO_ID      0.717637367    0.8370997797   2.259335278    1.460490316    0.0117928385   0.9325930085   1.492417269    2.853099902    2.467387794    2.78119235     0.3371026029   0.7136105441   3.004393391    2.081004549    2.778507802    1.99375672     1.018402687    1.156561063    1.881964446    0.6782320286   2.333639748    1.920506894    1.298938016    0.05618376714  3.04849669     2.892313487    2.613120433    2.378989444    2.104590226    1.155985803    3.001612966    2.13268211     3.012542914    1.711591486    2.130860452    1.872185019    1.299417399    0.546401517    3.069493695    2.020889836    2.937663183    0.4296236529   2.997010883    2.432105156    1.201527252    0.6225276452   2.474962056    1.675254204    1.194720004    0.6583855443   0.7813953963   0.4257885834   0.6464968291   0.2265567266   2.936512662    1.205266445    0.5109271248   0.756083938    2.777357281    1.426166444    -2.449825      	-2.44983e+00
11       NO_ID      0.7390178791   2.468058931    1.737190575    2.389727638    2.553389226    1.624343657    2.085414879    1.321948432    0.4077637571   2.662976335    0.9598220015   0.5019147116   0.7138022976   2.175155504    0.3776584621   1.223674778    1.112745395    1.096254596    1.818014663    0.3346098077   2.49835598     2.018109411    2.108712926    1.394239491    1.065669918    0.4456350677   1.199993225    2.743129286    2.506313749    0.7268415336   1.893469654    0.2798641916   1.503443093    0.9883932687   2.017054767    0.3316376289   0.06203224802  2.942361143    3.100557757    1.875828335    1.546587624    0.31926953     1.483213102    0.0464043401   0.5526335048   1.793278465    1.615714751    1.60104561     2.874863921    1.314757677    1.780239229    0.6068997372   1.450039751    1.97966284     1.415811757    2.411587534    2.228558846    0.07018177056  2.264608498    0.1762214403   -0.847744      	-2.44983e+00
