%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         cdv_31         cdv_32         cdv_33         cdv_34         cdv_35         cdv_36         cdv_37         cdv_38         cdv_39         cdv_40         cdv_41         cdv_42         cdv_43         cdv_44         cdv_45         cdv_46         cdv_47         cdv_48         cdv_49         cdv_50         cdv_51         cdv_52         cdv_53         cdv_54         cdv_55         cdv_56         cdv_57         cdv_58         cdv_59         cdv_60         obj_fn         	best_so_far
1        NO_ID      0.004602083316 0.6899289904   0.891078382    0.8716154046   0.674109329    2.260485799    1.697209976    2.25339092     2.609477117    1.16662812     0.5185972636   2.70688788     0.1939586364   1.644477771    2.068828204    0.230008289    2.287906545    1.53642469     0.8138976097   1.890497475    2.152816224    1.227030464    0.1116005204   1.359723866    2.828171951    0.1659626296   2.61465446     1.811974429    0.6650010391   2.674673297    1.097692747    2.994422211    0.9458239981   2.896244433    0.4372937917   1.655120089    2.855113314    2.00315264     2.511299339    2.67956301     2.592986318    2.388097734    0.4557980017   2.153295608    2.166238967    0.5361427063   2.013411451    2.53565203     0.3897389308   1.844668396    2.74360867     2.31302625     0.7566591985   0.5487984354   1.0867628      1.464900645    0.1450615012   1.425974691    1.187816879    2.813119303    -0.225371      
2        NO_ID      0.004697960051 1.760296868    1.003541793    2.376113142    2.324435581    0.3002859363   0.1331727859   2.704011578    2.600177073    3.039100769    0.02559908844  0.8206089812   1.915137796    0.126269661    1.338822738    1.319455637    2.916474424    1.88273146     1.576884673    0.1165861107   0.731443617    0.4702753888   2.086086016    1.557229942    2.728747776    2.108329419    1.335658806    1.263751254    0.2534022126   2.304109713    2.073430287    2.763646908    2.390590529    1.195007634    1.820890965    2.411971041    1.478323388    0.5867656227   0.5808212651   1.220510846    2.416860755    1.242850125    1.506415272    0.1009582027   1.202006636    1.702770827    0.7036393636   2.576399643    0.7472632784   1.474200689    1.608140489    0.3170643651   2.830856499    0.4522505625   2.983684016    0.1134221784   1.398266314    0.5535922722   2.266813663    1.668638709    -0.223023      	-2.23023e-01
3        NO_ID      0.05138993036  0.3622223076   0.06145698761  0.2146680113   0.1349944439   0.1223387148   2.963549902    0.3074766915   2.821077072    1.904783109    3.002571733    1.83220442     2.75300459     1.139015621    1.981580374    2.117725339    1.300376167    2.652238141    1.024538798    2.813406934    2.015233109    0.1339397998   1.312648389    1.788196998    2.339775859    1.406224083    2.495863185    1.431535541    2.083784975    0.2427598949   1.232591315    0.8596308126   0.4950115866   1.258190403    0.1674966573   0.7921335907   2.441309322    1.754256634    1.525494742    1.170654943    2.387138966    2.483399209    1.914850166    1.433165446    1.24035733     1.484651253    0.2189824644   2.366621345    2.759811838    2.111301598    0.6092966556   0.6010512564   0.6180214386   1.969308152    0.5678779058   2.942936404    0.1997112405   0.1724822476   2.503820954    1.344287712    -0.037813      	-2.23023e-01
4        NO_ID      0.1325016488   0.5302942254   2.047639445    0.7445787298   0.03499500855  2.206219566    0.8773680088   0.07679726533  1.816960019    1.236138754    1.514373041    0.6959692247   2.094810799    2.520407629    0.2982725249   0.8830247362   1.712837884    2.324243828    1.040741966    0.3844657103   0.875450474    0.1347068137   0.268838367    1.091556636    2.211780417    2.424243263    3.031622384    0.8548369759   3.023472862    2.317244826    1.037865664    2.913310492    0.3750697902   2.412162794    0.4040245644   2.161349254    2.841498817    1.922616182    2.503533324    2.150323429    0.3162014745   2.820885319    0.06452504315  2.05454257     1.935751295    0.132789279    1.966911234    1.216771653    2.413984452    1.642943744    1.223674778    1.344095958    2.552909843    1.314565924    0.1338439231   0.5604953971   0.7716159692   1.952433847    0.8082408823   0.2296247821   -1.377726      	-1.37773e+00
5        NO_ID      0.2021081589   0.1982730895   2.633925684    2.552813966    2.029422865    1.289733849    0.7044063775   0.8029676618   2.705066222    0.3013405804   0.9042134948   1.167107504    1.86950047     2.019259931    1.314182417    1.930573951    0.3790007364   2.599601813    0.01092994787  0.5324993903   1.064040013    0.2534980893   2.675632064    2.548116006    2.596342004    1.470749126    2.744663314    3.088573165    0.7013383219   2.067390053    2.530282933    2.373907977    3.096722688    2.454444435    0.7950098928   2.558758323    0.1348985672   1.853009672    2.644088618    0.442279382    1.205458198    2.579755329    2.350226423    1.68388311     0.3338427938   0.5437169684   1.259628554    2.037955895    3.023952245    2.502958063    1.969020522    2.073142657    2.913693999    2.239776424    0.07919418372  0.8882979566   2.592123427    0.1865761278   2.683206326    0.7309642333   -0.844034      	-1.37773e+00
6        NO_ID      0.2127504766   0.6012430098   0.1024922305   1.603826035    2.065184888    0.6877238255   2.503533324    3.040826551    0.5072838088   2.18905763     1.681486191    2.542842785    2.358280069    2.320984019    1.664228379    2.570455285    2.158664705    0.6993249105   2.052912666    1.117922739    1.39222608     1.759817485    2.152528594    1.708331677    2.45751249     1.81811054     0.9104454826   1.401717877    2.620886448    1.320222651    2.973137575    1.293568919    2.187715356    2.714653896    1.898359368    0.7205136691   1.854351946    3.079081368    1.098076254    0.8002831132   0.3373902331   1.626548822    2.707750771    0.5154333313   1.801619741    2.947059103    2.966522081    1.541026774    0.1978895826   1.553107242    2.84495038     1.887045913    0.3015323339   0.8417977398   0.2467867178   0.8367162728   1.718398735    1.775828899    0.7963521671   1.534219525    -0.548466      	-1.37773e+00
7        NO_ID      0.265578558    0.452058809    1.166148737    0.914664059    2.425873168    3.038813139    2.780521213    2.733349859    1.436425255    0.9336476526   2.477454852    1.045535803    3.104968087    1.971609194    3.084066959    1.0550276      2.602190485    2.429708237    2.853771039    1.191460195    1.505648258    2.265183759    1.983977293    2.226928941    1.261546089    3.129416655    1.112361888    2.75300459     3.010817132    3.000366568    0.5322117601   1.927985279    1.30881332     2.848689572    1.008815013    0.5623170551   1.684362493    1.478802772    2.368730633    2.602382238    2.44341861     0.2439104157   0.7446746065   1.795004247    2.078703508    0.05877243901  2.640157672    2.721557021    0.9669168799   2.985793304    0.1460202685   1.289925603    2.163842049    0.816678035    0.8729576789   2.14735125     1.970075166    0.6256915774   0.3819729152   1.246876948    -0.860408      	-1.37773e+00
8        NO_ID      0.3971214394   3.136511533    2.89135472     0.4644269079   0.515912715    1.510633848    1.716864707    1.459531548    1.195295264    0.2414176206   2.487905416    1.022621263    2.872658756    1.257902773    0.6882990859   1.032880074    1.930765704    1.497211105    1.69855225     1.488294569    1.79490837     0.8455369325   2.075060192    0.5105436178   2.315519045    2.969206629    1.589444525    2.602957499    2.090304593    2.455019695    2.92807551     1.094337062    2.830760623    0.3794801201   1.507182286    2.80439452     0.1616481765   0.8867639289   0.8432358908   1.173147739    0.2224340269   2.618585407    2.527694261    0.4478402326   2.477263098    0.4094895383   3.103913443    0.3112158842   0.6696989991   1.66624179     0.3016282106   2.703532194    2.019835192    0.5857109786   0.0877272132   0.4879167082   0.3579078545   2.597013141    1.854447823    0.2880137142   -0.505876      	-1.37773e+00
9        NO_ID      0.4190772119   0.5337457879   1.073723564    1.679089273    2.11945112     0.2182154505   0.08926124097  1.423961279    1.815713621    1.864994264    0.3610717868   0.4161050331   3.065562749    1.060971958    1.060204944    0.9359486943   1.220894353    0.4621258663   1.380720871    1.192706593    0.1391171436   0.8922289028   0.9334558992   0.8220471322   0.7987490855   1.332111366    1.739971       1.57784344     1.185611714    2.793848079    1.716864707    2.139872865    1.267011063    0.07555086776  2.524146822    0.09491796838  2.154446129    0.3740151461   2.815516222    0.0104505642   2.695190918    2.485508497    2.908996039    2.959427202    1.445533545    0.7038311171   1.338343354    1.548505159    0.9819695275   0.5555098069   3.020500683    2.933732237    0.5101601109   0.5217611959   0.6518659263   0.2006700079   2.005070175    2.288290052    2.473907412    2.558662447    -1.11604       	-1.37773e+00
10       NO_ID      0.477466144    1.59577239     0.1529233935   1.707468787    1.191364318    1.248794483    2.540829374    1.725685367    2.472373385    0.1546491747   2.443322734    0.7022970893   3.01733675     0.3828358058   0.7402642767   1.435370611    1.679952164    0.9070897968   2.911872341    0.7034476101   1.456367616    1.748599906    2.286947778    2.211492787    0.8854216546   1.89212738     0.826840969    1.758571087    2.808900727    1.674678943    0.7803407522   0.09808190066  2.88780728     3.069781325    2.653196908    3.139196082    0.3870543822   2.85961952     2.520599383    2.126066615    3.051085361    0.3933822467   2.134216138    0.2609764747   2.605833801    2.356841918    2.859715397    3.008516091    2.668920693    2.267101293    0.03815894082  0.8456328092   0.2040256937   1.945243091    2.217053637    3.070548339    2.300274644    2.411683411    0.7339364121   0.6347998673   -2.1145        	-2.11450e+00
11       NO_ID      0.5858068554   1.882060323    1.57784344     0.2215711363   2.922035275    3.029225466    1.900660409    0.6551257353   0.1704688361   1.087817444    0.2750703548   0.6186925757   2.556553159    2.494425034    2.716187924    1.913028508    0.1206129336   2.10478198     2.48867243     1.710153335    2.900558886    1.272284283    0.0930963104   2.105932501    1.670747997    0.3578119778   2.566332586    0.0440074217   0.1348985672   3.076109189    2.981095344    2.083689098    0.8601101963   2.537953072    2.291453984    0.09999943538  1.597977555    2.102576815    2.147159497    2.656552594    0.5225282098   0.05771779492  2.550608801    1.587047607    1.056849258    0.6667268203   2.09596132     3.085888617    2.248309453    2.591260537    0.1056561628   2.843320475    3.06786379     2.096632457    1.544765966    3.108899033    0.3088189658   2.889533062    2.038243525    1.486089404    -0.777407      	-2.11450e+00
12       NO_ID      0.60153064     2.414367959    2.144954332    2.311779852    1.549751557    0.1823575514   1.854639576    1.885991269    1.225592313    0.4433340261   0.9050763854   2.712736361    2.95156531     0.7909830699   1.110636107    1.42453654     2.749457151    0.4229122814   0.6768897543   1.872472649    1.51792048     1.701140922    0.9074733038   1.680719178    0.206422612    3.029800726    1.25914917     1.192131332    0.07727664901  1.606127077    2.477550728    0.7362374537   0.2965467436   1.037482157    1.418688059    0.8490843717   2.380715225    1.537479334    0.4315411876   2.793752203    1.173914752    2.253582674    2.338912968    2.018109411    0.1544574213   2.864509234    1.325975255    0.1740162754   2.473715659    2.581864617    0.4649062916   0.06049822025  2.957989051    2.545143827    0.2107370652   2.830089486    1.593087841    0.319653037    1.162505421    0.09731488678  -1.13448       	-2.11450e+00
13       NO_ID      0.6655762995   0.1754544264   3.005735665    3.018583148    0.9809148834   0.6767938776   3.105543347    2.061445695    2.788095475    1.276598736    3.030759493    0.5793831141   1.953104984    0.5603995204   2.920884754    2.6099565      2.84025242     0.408530771    0.9102537291   0.8539740852   1.631917919    3.021938834    0.8716154046   0.961451906    0.2611682282   0.9347022967   0.3596336358   1.544574213    2.358471822    2.130764575    2.048502336    1.098459761    0.7385384954   2.003823777    2.423955633    0.9024877135   2.076018959    0.8290461339   1.024155291    2.822131717    0.9050763854   0.4759321162   2.839485406    2.502958063    2.000468091    0.4887795988   0.6165832875   2.009864011    0.1322140186   2.667099035    0.7835046845   1.560681504    0.5453468729   0.2854250423   1.200760238    0.6908877577   1.720316269    1.928464663    0.163278081    3.056837966    -1.56565       	-2.11450e+00
14       NO_ID      0.6840805095   1.340644396    0.327610806    1.446108805    2.573906848    0.5700830707   0.3676872816   2.28071579     2.219258802    2.139489358    1.562119655    2.717626075    2.206027813    2.194810235    2.189824644    2.215327856    0.8535905783   1.558092833    1.448697477    2.898737228    0.4831228714   0.1642368483   2.40199986     1.115334067    0.1561832025   0.3881090263   0.8162945281   2.4607723      2.826829677    1.690019221    0.04851362828  2.645910276    2.446582543    1.992126815    2.597013141    0.6696031224   2.959427202    0.7789984779   2.762784017    2.376400772    0.1668255202   0.4863826804   0.1558955723   2.32328506     0.3911770818   1.170559067    1.941120392    2.567483106    0.6348957441   0.7316353704   2.1417904      2.890300076    1.022046003    1.965377206    0.1463078987   2.219354679    2.49423328     1.017348043    2.751854069    2.315614922    -1.126182      	-2.11450e+00
15       NO_ID      0.6919424018   1.097213364    1.483980116    0.5397860222   1.78992278     0.8768886251   2.403917395    3.120691872    0.5138034268   2.664414486    1.354258892    1.903440835    0.9724777306   0.04937651891  1.386377599    0.142952213    1.729616313    2.202480373    2.817433756    2.939293088    2.317148949    2.159335842    2.948593131    2.767865484    1.484363623    1.317921609    3.079177245    2.81350281     1.416099387    0.3162973512   0.1370078554   1.629425124    2.312546866    3.120787748    1.510154465    2.444473254    1.564133067    1.043810022    2.699409495    2.055309584    0.7619324189   2.370360538    0.93460642     0.6371967857   0.2224340269   2.05425494     0.08417977398  3.117432063    3.11369287     1.146589883    1.457230507    0.03518676202  2.579659452    1.833738448    1.803633153    2.209958759    2.225394913    2.922802289    2.537186058    0.8983650139   -0.954513      	-2.11450e+00
