%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         cdv_31         cdv_32         cdv_33         cdv_34         cdv_35         cdv_36         cdv_37         cdv_38         cdv_39         cdv_40         cdv_41         cdv_42         cdv_43         cdv_44         cdv_45         cdv_46         cdv_47         cdv_48         cdv_49         cdv_50         cdv_51         cdv_52         cdv_53         cdv_54         cdv_55         cdv_56         cdv_57         cdv_58         cdv_59         cdv_60         obj_fn         	best_so_far
1        NO_ID      0.00517734373  2.750991179    1.174969396    2.344090312    2.651950511    3.013405804    2.294042656    1.692128509    2.633925684    3.129416655    0.4903136266   2.715325033    1.297499865    1.675541834    0.04084348943  0.4129411008   1.14697339     1.927793526    1.164902339    0.1180242617   1.200089101    1.053877079    2.990683018    2.704778592    2.486659018    2.286564271    0.4172555539   1.829615748    2.58119348     0.3001900596   1.673144915    0.7640417071   0.4754527325   1.544574213    0.6953939643   1.401238493    0.1075736975   1.484843006    0.2476496084   1.268832721    2.433926814    2.49337039     1.050233763    1.398362191    2.638048384    0.6250204403   2.575249122    1.190309674    1.2124572      3.03085537     3.037758495    1.97554014     1.523577208    1.098651515    0.2524434452   1.696922346    2.595383236    1.917918222    2.877931977    2.40995763     -1.323428      
2        NO_ID      0.1720028639   1.398553944    2.357800685    1.718590488    0.293862195    2.903722819    2.152145087    0.4817805971   1.472474907    2.969494259    3.133731108    2.032203291    0.08072821149  0.5379643642   1.881868569    0.2870549468   2.140160495    0.0901241316   0.5709459613   3.132005326    2.028751728    0.5143786872   1.488390446    2.135846042    3.043894606    2.928554893    1.239110933    2.895285666    0.5895460481   1.81839817     0.4443886702   2.615517351    1.130770221    0.8244440506   2.327599514    1.028373868    0.8289502572   1.831245653    0.2860961794   0.3695089395   0.1392130203   2.406793697    0.1011499562   1.975060756    0.2767961361   0.5146663175   1.483884239    2.343706805    1.284556505    0.7037352403   0.3188860231   2.509190051    1.014471741    1.846969437    2.276784844    2.150802813    2.191262795    1.479186279    2.342076901    1.712550254    -0.356647      	-3.56647e-01
3        NO_ID      0.1821657979   2.004399037    0.5152415779   1.669885106    2.706504373    0.8381544238   0.900857809    2.372182196    1.753393743    2.034216702    0.05071879321  0.3232963529   1.430576774    1.530288579    2.648307195    2.410437013    1.517153466    3.070260709    2.353965616    1.981196867    0.02348980026  1.494622433    2.480235277    2.033545565    0.983599432    0.5948192685   2.091742744    0.761548912    0.0914664059   0.04870538176  2.604203896    0.4235834185   0.9005701788   0.6227193986   0.4249256928   1.539492746    2.779178939    2.999024294    1.860967441    2.543130416    0.7756427921   2.288002422    0.7007630615   1.4527243      1.419167442    0.7112136257   1.823767267    0.8375791634   0.3604006496   2.813406934    2.966905587    0.07545499103  1.277173997    3.122130023    2.294426163    1.313415403    3.099407236    2.873521647    0.4499495208   0.5595366298   -1.36419       	-1.36419e+00
4        NO_ID      0.2367196605   2.639007151    0.07631788165  2.722132281    0.5212818122   0.8037346757   0.3848492173   0.9743952653   0.9231012117   1.488678076    2.286180764    1.643902511    0.4660568124   2.162691528    3.048688443    1.48973272     0.7693149276   1.86039218     1.746682372    0.6147616296   1.690594481    2.077552987    1.681773822    1.879375774    1.909960453    2.271511623    0.7092002143   2.612736926    0.6237740427   1.455792355    0.9859963504   0.3216664484   1.232303684    0.09520559859  2.107850035    1.105171133    0.6273214819   1.220798476    2.867481413    2.205164922    2.660291787    1.83277968     0.7364292072   0.2368155373   1.699031634    1.783786668    1.735656547    2.812448166    3.127882627    2.360868741    1.521180289    0.8512895366   1.565379464    2.908996039    0.617158548    1.814083717    2.506889009    2.272374514    2.057514749    2.61465446     -0.44639       	-1.36419e+00
5        NO_ID      0.3255973946   0.8155275142   1.853680809    2.142269783    0.699133157    1.427029335    2.487234279    1.26269661     0.1336521696   0.5927099803   1.886374776    0.4779455277   1.959816355    2.718105458    1.765857719    1.689827467    2.897778461    2.51216223     2.126162492    0.6764103706   1.568831027    0.6883949626   0.09750664025  0.3791924899   1.441027338    1.804496043    1.527891661    1.663653119    2.809475987    1.012554206    3.001996473    1.106225777    1.974677249    2.626159669    0.9381538592   1.79548363     1.643423127    1.876499472    1.158095091    0.7249239989   0.4489907535   1.037002774    0.7516736082   2.74773137     0.173441015    0.7149528184   0.457523783    2.680138271    1.710632719    2.930664181    0.5302942254   1.232399561    0.07785190942  1.341507286    0.6152410132   2.636322603    2.922610536    1.514468918    0.5865738693   3.098736099    -0.247995      	-1.36419e+00
6        NO_ID      0.420515363    2.88694439     1.904687232    2.884259841    2.691835233    2.925870345    3.129704285    1.743614316    0.8237729135   1.751763839    0.6811083307   2.242844479    3.033827549    3.075150422    0.4443886702   0.0796735674   2.588959495    2.760674729    1.432014925    2.2674848      2.424435017    0.1898359368   1.359052729    1.377844569    0.1288583328   2.855976204    0.5304859789   1.970938057    1.72645238     1.119169136    0.9977891888   1.526261756    2.305547864    1.579089838    2.653868045    2.551088185    1.923958456    1.74438133     2.647540181    2.163266789    1.123962973    0.7388261256   2.927692003    1.266627556    0.5026817255   0.9814901438   0.8837917501   1.607756982    2.081388056    1.331631983    2.449554721    1.414661236    2.35943059     2.609764747    1.218785065    1.891360366    3.071219476    0.8533988248   0.6438122805   0.7088167073   -1.11909       	-1.36419e+00
7        NO_ID      0.4822599808   1.362696045    0.08130347191  2.231626901    1.560202121    1.420797347    2.015520739    1.27707812     0.3418005629   1.644381895    2.121943915    2.043996129    0.2371031675   0.9974056819   2.632679287    2.03517547     0.8543575922   0.7421818114   1.06940911     0.04688372378  1.872952033    2.639965919    0.746304511    2.755018001    0.9570415762   3.03497807     2.207178333    0.5285684441   2.30391796     2.161636884    2.400369956    1.713413144    0.5798624978   2.461826944    1.690019221    2.568154244    0.8198419673   2.687233149    1.521563796    0.9425641891   1.345246479    2.414367959    2.265087882    3.140346602    0.2743992177   1.755023648    2.905832107    0.1065190534   2.947826117    1.465188276    2.680330024    0.6132276018   2.875822689    0.8030635386   0.04208988699  0.1951091572   1.497306982    1.478994526    1.62453541     1.780143352    -0.245122      	-1.36419e+00
8        NO_ID      0.56452222     2.316957196    0.3104488703   0.4603042083   1.259436801    1.784266052    1.283693615    3.028746082    0.8046934431   1.356751687    1.467489317    0.0608817272   2.679754764    3.103338182    2.688958931    1.244671783    2.99854491     1.268928598    0.6214730011   1.079572044    3.015610969    1.700853292    0.7295260822   0.5515788607   2.615996735    0.9290455693   1.305457634    1.863747866    2.377071909    2.364607934    0.2478413619   1.062889492    2.520024122    0.9891602826   2.114849037    1.829136364    1.204211801    1.430385021    0.418693705    3.009091351    2.473619782    0.7982697018   2.806407932    2.011493916    1.752051469    1.177174561    1.829807502    1.202581896    0.03576202243  1.997400036    2.936608539    2.870453591    2.114657283    2.623283367    2.960194216    1.88800468     2.845909147    3.082916438    2.462689834    2.485029114    -0.392266      	-1.36419e+00
9        NO_ID      0.5742057703   2.227408325    0.6502360218   2.700655892    2.614942091    1.603154898    0.07392096326  1.056561628    2.700560016    1.092419527    2.76681084     0.8657669237   2.048885843    2.233927943    2.672276379    1.056945135    0.3350891914   2.481865181    0.7102548584   1.743710193    2.735938531    2.739869477    2.98857373     0.5574273416   1.478994526    0.2728651899   0.04870538176  1.896058326    0.326172655    0.4745898419   2.641883453    1.094816445    1.191172565    0.8577132779   0.6151451365   1.345534109    2.470839357    2.735650901    2.087332414    0.2358567699   0.5488943121   0.8205131045   0.6428535131   0.5937646244   0.06816835911  3.066713269    2.591931674    1.358765099    2.438337143    2.70688788     2.864796864    1.173722999    0.1658667528   1.936710062    0.7487973061   1.834888969    3.025678026    2.911488834    0.5846563345   0.3111200075   -1.163057      	-1.36419e+00
10       NO_ID      0.6757392335   0.478904295    2.176114271    2.016191876    2.217628898    1.311689622    0.4904095033   0.1996153638   0.7557004311   2.212739184    2.356458411    1.688485193    0.6091049022   0.9158145798   2.922706412    1.011020178    1.301622564    0.8262657086   0.1782348517   0.00450620658  2.054350817    1.079859675    1.607852858    0.8093914031   2.773426335    0.2537857195   2.455307326    2.355499644    0.8475503439   0.08398802051  1.668446955    0.0450620658   0.346498523    0.2544568567   0.6446751711   2.47486618     1.516482329    2.028751728    0.5836016905   2.071320999    2.872658756    2.364224427    0.1160108502   1.446971696    2.635843219    2.56268927     2.731528201    0.9334558992   0.3952997815   0.5320200066   1.117155725    1.976882414    1.453874821    0.1358573345   1.336617573    0.9671086334   2.745622081    0.4241586789   0.5537840256   3.051468868    -2.117729      	-2.11773e+00
11       NO_ID      0.7526323756   2.414080329    1.409100385    1.719357502    1.623480766    0.8226223927   0.6719041641   2.677261969    2.468346562    2.96978189     1.790402163    2.935170388    3.083779328    1.110156723    1.230482026    0.7266497802   0.3211870647   0.186863758    2.382249253    1.910248083    2.347829505    0.5758356749   0.174495659    0.5441004753   0.9178279912   3.121938269    2.486563141    3.009666612    1.501046175    0.830100778    0.4900259964   1.136618702    2.19346796     1.683978987    2.689342438    2.425681414    2.406601944    2.971411794    0.8081450056   0.8302925315   1.376598172    2.432872169    1.14256306     2.474770303    1.514756548    1.168162148    2.093756155    2.339200599    1.775157762    1.936230678    1.234317096    1.153972391    2.343035668    1.765761842    0.5886831574   2.517627204    2.677261969    1.360970264    2.372182196    0.9398796405   -1.209177      	-2.11773e+00
