%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         cdv_31         cdv_32         cdv_33         cdv_34         cdv_35         cdv_36         cdv_37         cdv_38         cdv_39         cdv_40         cdv_41         cdv_42         cdv_43         cdv_44         cdv_45         cdv_46         cdv_47         cdv_48         cdv_49         cdv_50         cdv_51         cdv_52         cdv_53         cdv_54         cdv_55         cdv_56         cdv_57         cdv_58         cdv_59         cdv_60         obj_fn         	best_so_far
1        NO_ID      0.0006711371502 0.7406477836   1.050233763    2.888766048    0.4158174029   0.8039264292   0.3033539919   2.978219042    2.360676987    1.049466749    2.857126725    2.534213879    3.032485275    0.8737246928   1.430864404    1.979279333    1.017827427    0.2413217439   1.101623694    1.012362453    1.12377122     2.864796864    0.7357580701   2.870932975    1.98493606     1.93795646     1.620604464    2.963933409    2.281099297    1.146685759    1.376789925    2.816474989    0.1380624995   2.722036404    1.915425427    0.7282796847   2.695574425    2.691355849    2.085894263    0.08523441807  1.564708327    0.4942445727   0.63853906     2.435173211    0.2768920128   0.2831240006   2.138434714    1.134413537    2.319929375    1.652531417    1.188871523    2.367100729    1.881197432    1.099993789    0.4327875851   1.377748693    2.134695521    1.960103985    3.133731108    0.4105441824   -0.340855      
2        NO_ID      0.005560850673 0.6397854576   2.887711404    1.509579204    0.4991342863   0.2482248688   2.592506934    1.411497304    1.075353468    2.539966483    0.4761238697   2.719543609    0.2784260406   0.1203253034   2.168540009    2.075251945    0.576506812    0.5526335048   1.340452642    2.37352447     2.294617916    2.538144825    1.288583328    0.2356650164   0.7450581134   0.2051762145   2.460197039    0.2674960927   0.3976008231   2.254637318    1.960870999    2.79058827     1.811207415    0.8688349793   2.395288489    1.274201818    0.3046962662   2.796628505    0.6866691814   2.134312014    2.354445       0.9751622792   1.347355767    2.591739921    1.303060715    2.240351684    2.856072081    2.088482935    0.05301983486  2.053104419    1.614084846    1.806797085    0.3361438355   2.944470431    2.976972645    1.812933196    2.249747604    2.163937926    2.152145087    0.6375802927   -0.979042      	-9.79042e-01
3        NO_ID      0.04736310746  2.085798386    0.7080496934   2.948305501    1.076312235    2.490589964    0.2417052508   2.992504676    2.339296475    2.52213341     2.362306892    2.361444001    0.1772760844   0.6113100671   0.7214724364   1.429905637    0.7821624102   1.789347519    2.083497344    0.7261703965   1.367106375    0.7405519069   2.160198733    3.133059971    2.809188357    2.389248255    2.784835666    2.029518742    1.630959152    0.791654207    0.2275154939   2.599122429    1.870075731    2.042653855    1.694525427    2.571893436    0.9859004736   2.542267525    2.954441612    1.616481765    2.91983011     2.046776555    2.984355153    0.2080525166   3.032581151    0.552921135    1.145535239    0.6381555531   1.176215794    1.887237666    2.515134409    2.40995763     0.1923287319   1.323961844    2.016575383    1.542369048    2.11034283     2.097878855    1.250232634    1.734601903    -1.027759      	-1.02776e+00
4        NO_ID      0.1333645394   0.6501401451   3.043894606    2.658182498    1.375447651    1.116005204    2.943607541    1.429330376    2.563360407    1.176311671    0.3650986097   0.3610717868   1.627795219    1.241316098    0.4726723072   0.9037341111   1.509195697    0.4627011267   2.315423168    2.260294045    1.408908632    2.949647775    2.563072777    1.56815989     2.921460015    1.336521696    1.211402556    0.7377714815   2.476879591    1.420317963    0.322912846    2.768632498    2.786177941    2.352910972    1.007089232    0.7810118893   2.154158499    2.39174105     2.2716075      2.275826076    0.6361421416   1.243521263    0.665384546    0.7521529919   0.751385978    3.029033712    0.628759633    0.02847539051  0.8889690938   0.3288572036   3.054920431    0.2551279938   3.102379415    3.030375987    0.8279914899   0.6981743897   2.010918655    1.326838146    2.248884714    0.5400736524   -0.433766      	-1.02776e+00
5        NO_ID      0.1778513448   0.4322123247   0.3920399724   2.932677593    0.9898314198   2.800271821    0.2115999558   0.3808223944   2.590397646    2.473332152    0.5613582878   0.5429499545   0.5131322897   1.065190534    2.112068612    2.150802813    1.042659501    2.126162492    0.8290461339   2.172375078    0.5627964388   2.804490397    0.813801733    0.09194578957  1.383213667    1.738149342    0.4476484792   0.6010512564   0.9174444843   2.067677683    2.59528736     0.6610700929   2.613120433    2.60056058     0.6615494766   1.877170609    1.214854119    0.002492795129 0.6873403185   2.726734364    0.1870555114   1.327509283    3.000654198    2.159431719    1.308142182    0.6458256919   0.4673990867   0.5263632792   2.274100295    0.7663427488   1.68417074     1.081489579    2.013890834    2.394329722    1.063752383    1.154547652    2.427694826    0.8794772969   1.550135063    1.371516705    -1.038205      	-1.03821e+00
6        NO_ID      0.1861926208   0.5208024285   2.865468001    0.04496618906  1.785991833    0.5358550761   1.661831461    1.835943613    2.051091008    1.142754813    0.3783295992   2.412066918    2.567291353    3.027883191    1.043810022    0.7020094591   2.500081761    0.4194607189   0.2473619782   1.570748562    1.786471217    1.748120523    2.949935405    1.482541965    0.5549345465   1.936326555    2.332297474    0.6538793377   0.7587684866   1.451669656    1.570460931    2.523475685    1.877074732    2.318874731    1.05972556     0.6362380184   2.953674598    0.823964667    1.843326121    1.737190575    2.825966786    1.358093962    2.174867874    0.3467861532   1.391171436    2.016095999    0.2728651899   0.737963235    0.0437197915   1.53115147     2.185222561    1.586568223    0.989735543    0.1521563796   0.6993249105   1.516290576    0.4322123247   0.06164874108  2.756168522    0.5007641908   -0.561172      	-1.03821e+00
7        NO_ID      0.1953009107   0.2495671431   0.2081483933   2.764509798    2.972754068    0.7427570718   1.146206376    0.2631816396   2.548787143    2.781671734    2.0865654      1.606894091    1.123675343    1.061067834    0.9184032517   2.802956369    2.381098732    1.559722737    2.447445433    1.321085542    1.812741443    2.260965182    1.226167573    2.441692829    2.625488532    0.8046934431   2.974096343    0.942947696    1.955310149    0.1087242183   1.823479637    1.05886267     0.502873479    0.275357985    1.850037493    0.9767921837   2.308520043    1.230482026    0.1236809891   1.664899516    1.23009852     1.269599735    0.8882979566   0.8554122363   2.525489096    0.248896006    0.09702725657  0.5592489996   0.7033517334   2.02194448     0.4881084617   1.504018354    2.885314485    2.867289659    2.710531196    0.3022034711   3.134018738    1.349081549    1.266915186    0.4446763004   -0.200498      	-1.03821e+00
8        NO_ID      0.2215711363   2.830281239    0.3181190092   0.5022982185   0.9517683557   1.639300428    1.904878986    1.804975427    0.5343210483   2.784643913    2.257130113    0.9740117584   2.134599645    1.306032894    1.076599866    2.029422865    1.597306417    0.09242517325  1.14812391     1.533452511    2.340830503    1.72117916     1.797305288    0.7554128009   1.245726427    2.488288923    1.48561002     2.993942827    0.223488671    0.507954946    2.177168915    2.437186623    2.328078897    3.058563747    0.2632775163   0.7890655351   3.112158842    1.068642097    0.6612618464   1.492321392    2.066527162    2.736897298    1.172764232    2.06834882     0.8611648404   3.073520518    2.570359408    0.3788089829   0.6595360652   0.2036421867   0.9200331562   0.7719994762   2.924048687    1.197212799    1.901715053    1.359723866    0.8524400575   2.599601813    1.068354466    1.795291877    -1.597541      	-1.59754e+00
9        NO_ID      0.2431434018   0.6293348934   3.051756499    0.1840833326   1.999125817    2.398260668    0.5225282098   0.03451562487  1.881964446    0.3792883666   0.7622200491   2.144762579    2.65521032     2.231051641    0.4935734356   2.805736795    1.088967965    2.592698688    2.828651335    1.745627728    0.6513865426   0.3822605454   0.326172655    1.51322252     1.183502426    0.3184066394   2.234407326    3.112734103    2.962974641    2.692314616    2.735938531    2.699984755    1.300472044    2.692889877    2.213889705    2.004494914    2.789821257    0.1696059455   0.3480325507   2.731240571    1.655024212    0.2957797298   0.8013377573   0.7467838947   0.7260745198   2.873809277    2.855496821    0.5698913172   2.916953808    1.586472346    0.9066104132   3.139963095    1.189350907    0.3628934448   1.736902945    3.089819563    2.835362706    2.186181328    1.933066746    1.904687232    -0.676213      	-1.59754e+00
10       NO_ID      0.4200359793   1.526070003    1.221948997    0.2331722213   1.617440532    0.5032569859   1.423098389    3.13219708     0.8520565505   2.229805243    0.5361427063   0.8739164463   1.650805636    1.421372607    0.09357569408  1.974773126    0.3838904499   1.329714448    2.258184757    0.3231045994   0.1217634544   2.409765876    0.230391796    2.776110883    0.4937651891   0.1473625428   0.8653834168   0.9744911421   0.9552199182   2.357800685    1.446779942    2.142845044    3.028362575    2.432680416    1.220894353    2.732486969    1.79960633     0.5279931837   1.058575039    0.8257863249   2.50803953     2.890012445    2.729898297    0.2755497385   2.236228984    0.2009576381   1.999605201    1.964418439    0.817061542    2.800655328    2.73948597     1.132975386    2.957701421    1.71676883     2.279757022    1.870555114    0.2941498253   2.474962056    0.3304871081   1.741792658    -2.438618      	-2.43862e+00
11       NO_ID      0.4627970034   0.8314430523   2.722228158    1.189159153    2.677357846    0.04563732621  1.37899509     2.974575726    0.1089159718   1.79960633     0.4537845903   1.876595349    0.179960633    2.376304895    0.9991314631   1.47094088     1.810823908    2.776686144    2.014274341    0.3248303807   2.183592656    2.957893174    2.413888576    0.6217606313   2.677070215    1.699031634    1.824917788    1.451957286    1.113512409    2.976876768    0.7013383219   0.4296236529   3.007173816    3.031143       1.820986842    0.5933811175   1.256464622    2.986847949    1.085899909    2.267101293    0.9533982602   2.362978029    1.106513407    1.971321564    1.051767791    2.625584408    0.9350858037   0.05340334181  0.1419934456   1.248219223    1.709482198    1.428083979    0.9088155781   2.297110712    0.4241586789   1.669405723    1.978032935    2.012069176    2.164033802    2.539391223    -0.722146      	-2.43862e+00
