%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         cdv_31         cdv_32         cdv_33         cdv_34         cdv_35         cdv_36         cdv_37         cdv_38         cdv_39         cdv_40         cdv_41         cdv_42         cdv_43         cdv_44         cdv_45         cdv_46         cdv_47         cdv_48         cdv_49         cdv_50         cdv_51         cdv_52         cdv_53         cdv_54         cdv_55         cdv_56         cdv_57         cdv_58         cdv_59         cdv_60         obj_fn         	best_so_far
1        NO_ID      0.001150520829 1.649655115    1.858666399    0.9040217413   1.754448387    0.09424683123  0.5713294683   0.8616442241   0.3471696601   1.537766965    1.588006374    0.1604017789   3.068726681    3.085888617    2.222326858    1.694046044    2.59557499     2.215519609    0.2710435319   2.121848039    2.674385667    1.801523865    2.886369129    0.2001906242   1.373530116    1.062314232    2.296631328    0.8991320278   2.690109451    1.973526728    2.510532325    1.655791226    0.0598270831   2.581960493    0.4982713956   2.099412883    2.554923254    0.4862868037   2.845142133    1.607948735    0.1946297736   3.049934841    0.2197494783   0.8959680955   1.985990704    1.637095263    2.644759755    0.2710435319   2.27688072     0.687532072    1.360970264    1.33201549     2.75770255     2.372469826    1.116676341    1.60545594     2.241885712    3.086176247    1.237481028    1.459243918    -2.105549      
2        NO_ID      0.00584848088  1.67036449     1.458764534    0.6749722196   1.488102815    0.6247328101   2.890875336    1.130770221    2.658374252    1.950516312    0.4619341128   2.723762186    2.400945216    1.706701773    1.154547652    0.5958739126   0.006040234352 2.319162361    1.516002946    1.487239925    0.2473619782   0.8806278178   2.728172515    0.9081444409   2.145146085    1.265381158    1.361545524    1.847161191    1.355697043    1.067395699    2.248597083    1.675445957    0.00517734373  0.192999869    0.9534941369   1.14726102     0.5018188349   0.9666292497   1.125688754    2.999791308    2.274867309    2.598547169    1.644573648    0.6434287736   3.109761924    0.7139940511   3.136990917    2.986656195    2.03517547     1.075449345    0.1903153204   1.63805403     2.290495217    1.648504594    2.559812968    1.928944046    1.904016095    2.409861753    1.426262321    2.006891833    -1.101464      	-1.10146e+00
3        NO_ID      0.1080530812   1.632205549    3.04437399     0.3838904499   0.02761249989  0.8089120194   1.399704465    1.885128378    2.88253406     0.9771756907   1.651956157    2.815228592    2.008617614    2.053583803    3.015610969    0.7828335473   1.543327815    2.304301467    2.219834063    1.171709587    0.1929039923   0.3103529936   2.142557414    1.056178121    0.6059409699   1.798935193    2.704778592    1.20248602     0.4669197031   2.771317047    0.0426651474   2.661921691    1.538150471    0.4697960051   2.694807411    2.585028549    2.189920521    0.4727681839   2.855113314    2.31388914     0.2197494783   2.344857326    2.537569565    1.539588623    2.919446603    1.245726427    1.285707026    1.006705725    2.073909671    0.4933816821   1.29088437     0.119366536    1.95732356     0.2259814661   2.526639617    2.505546735    1.46240785     1.141029032    2.920501247    0.1845627163   -1.536622      	-1.53662e+00
4        NO_ID      0.2573331587   2.218204158    2.927787879    0.4293360226   2.651279373    1.108910326    2.034312579    2.059432284    1.212265447    0.4534010833   2.774864486    1.681390315    2.320217005    2.687616656    0.6596319419   2.73919834     2.154925512    1.307375169    1.549463926    1.900276902    0.9533023835   1.322523693    3.100270127    1.129907331    0.1656749994   3.046483278    1.372091965    0.8240605437   3.03028011     0.7674932696   3.064987488    1.194624127    2.954537489    2.287043654    0.2814940961   2.974192219    2.215136103    1.487815185    1.379378597    0.07622200491  1.38340542     1.02683984     2.555690268    2.4014246      1.985127814    1.605072433    0.00901241316  2.885889746    0.5031611092   1.50353897     2.721269391    2.382153376    0.5240622376   1.376789925    1.188488016    0.1835080722   2.28598901     1.445150038    2.943128157    0.9503302047   -1.063889      	-1.53662e+00
5        NO_ID      0.2817817263   2.741691135    0.3038333756   2.969877766    1.941503899    0.3212829415   0.532595267    2.597876032    1.630096261    0.709296091    2.927883756    0.9641364546   0.8775597622   2.630665875    2.940635362    0.7088167073   1.220894353    2.948401377    0.8467833301   1.705167745    2.507943653    2.144858455    2.974863357    0.9113083732   2.164513186    0.6303895375   0.186480251    0.7692190508   0.235473263    2.861728808    1.466626427    3.080040136    0.8730535557   0.7032558567   0.9784220882   1.412264317    2.51657256     0.1395006505   0.4241586789   2.380811102    1.994715487    3.077067957    2.768057238    0.8864762987   1.653106678    2.063554983    1.768638144    2.487234279    0.7547416637   0.1947256503   2.761921126    2.282729201    1.098363885    0.9371950919   1.750325688    0.9160063333   1.81782291     2.12855941     2.221559844    1.632972563    -2.140637      	-2.14064e+00
6        NO_ID      0.3956832884   0.3340345473   2.225299037    0.4819723506   2.902284668    0.6876279487   0.7696984345   2.333352118    0.2860961794   0.979956116    3.078985492    0.3089148426   1.668830462    2.834403939    0.5723841124   1.437863406    2.832486404    1.283885368    2.894135145    0.4126534706   0.6608783395   1.530384456    2.165376077    2.401808107    2.065184888    1.986374211    0.6888743463   0.02003823777  0.78657274     1.426166444    0.8861886684   0.7674932696   0.7171579833   1.674391313    2.334310885    1.754448387    2.58176874     0.8283749968   2.072950903    1.738820479    1.204691185    1.850037493    2.20756184     0.7018177056   1.313415403    0.105560286    2.128751164    1.589156895    1.71149561     2.966330327    1.366626991    2.143228551    2.896436187    1.062697739    2.96537156     0.8780391459   0.5219529494   0.8564668804   2.555882021    1.981292744    -1.505897      	-2.14064e+00
7        NO_ID      0.4361432709   2.976301508    1.255218224    2.752045823    0.1534027772   2.89192998     0.1398841574   0.711117749    0.6479349801   1.977170044    2.999983061    2.024629029    2.277647734    0.2890683583   1.560202121    0.852248304    3.033923426    1.179763233    1.639492181    2.797683149    0.1770843309   0.4989425328   0.9576168366   0.7742046411   1.770076295    2.653868045    2.610435884    0.9470703956   1.081681333    0.3990389742   2.263649731    1.851092137    0.3553191827   1.315141184    1.788388752    1.00421293     2.356841918    0.149855338    3.094325769    1.232687191    2.787520215    1.97084218     0.3249262574   3.061248295    2.510915832    1.58752699     2.715229156    2.508902421    0.4197483491   2.200371085    2.597971908    2.636226726    1.600566226    0.7254033826   2.544568567    1.6336437      1.622521999    0.761548912    0.4175431841   0.3559903198   -1.350313      	-2.14064e+00
8        NO_ID      0.4576196597   2.640157672    2.336611927    1.516769959    0.5756439214   0.1067108069   0.03691254326  2.606504938    1.879279897    2.192221563    1.470077989    1.87419843     1.431631418    3.007269693    0.8603978265   0.5840810741   1.215429379    2.839389529    2.200275209    2.039106416    0.4603042083   0.1473625428   1.247739839    0.006615494766 0.9111166197   1.283501861    2.308424166    1.02271714     1.572761973    2.092222127    3.141401247    0.9502343279   1.879567527    0.78657274     2.280236406    1.110348477    2.392508064    2.533255112    2.94773024     0.0705652775   3.121171255    2.886848513    1.88273146     2.424722647    1.140262018    1.617248778    0.09079526875  2.641595823    0.1653873692   2.649170085    1.844764272    1.023580031    2.340255243    1.393855984    1.246589318    0.4292401459   1.183694179    0.01706605896  1.219264448    3.099215483    -0.783438      	-2.14064e+00
9        NO_ID      0.4643310312   3.114076377    0.9727653608   0.813418226    2.655977333    2.636322603    2.921747645    2.974096343    0.04017235228  0.04544557274  0.8298131478   2.155500773    1.89183975     2.273141528    0.0131351128   3.040155414    2.958372558    0.2639486535   3.11340524     0.5886831574   1.847161191    2.173909106    0.433554599    3.14130537     2.801901725    0.1577172303   2.422805112    1.331344352    0.9673003869   2.400945216    2.093564402    2.685411491    3.077451464    2.865084494    1.774966009    2.021465096    1.982251511    1.55051857     1.411880811    1.237097521    0.9308672273   1.154739405    1.129811454    2.005933065    2.88694439     1.821178595    0.1009582027   0.1500470914   1.100089666    1.54054739     0.4461144514   2.598834799    2.451472256    1.908042918    1.35138259     1.450423258    0.415433896    1.664036626    1.559243353    1.44831397     -0.280507      	-2.14064e+00
10       NO_ID      0.4743980884   0.6355668812   1.584746565    2.260965182    2.324723211    0.279001301    0.2824528635   1.926259498    3.00266761     0.6781361519   3.132292957    0.606995614    2.555498514    1.078613277    0.09587673574  0.9177321145   1.811015661    2.828171951    2.343035668    0.6816835911   2.84054005     2.094906676    0.08485091113  0.4396907101   0.9612601525   1.687334672    1.336042313    0.6571391468   1.362408415    2.410628767    0.1174490013   0.1152438364   0.7616447887   1.939298734    0.651961803    2.261156936    1.736231808    2.483303332    2.612928679    0.1602100254   0.1354738276   1.81897343     1.720124516    0.2362402769   0.6511947891   0.3778502156   1.852913795    2.033066181    0.9534941369   2.108137665    1.863747866    0.465481552    2.6099565      0.9583838505   0.389643054    0.05359509528  1.762502033    2.95712616     0.6935723063   0.7906954396   -0.561276      	-2.14064e+00
11       NO_ID      0.5003806838   1.159533242    0.6555092423   2.059432284    2.514942655    0.8220471322   1.982059758    1.390500298    0.6836011258   2.693752767    2.380523472    2.998161403    0.3181190092   2.081963317    2.621653462    2.081100426    2.871220605    0.4960662307   0.9952963937   0.02780425336  1.264518268    1.206800473    2.313122126    2.936704416    1.999701077    2.995572731    0.9234847186   0.7035434869   1.894428421    1.224345915    1.458668658    2.566236709    2.79413571     0.6431411433   1.224345915    2.361348125    1.523768961    1.941791529    1.091652513    2.791163531    0.734703426    1.021758373    0.2201329853   0.2297206588   3.041305934    0.6934764296   0.6301019073   2.816666743    2.685890875    1.516865836    2.085223126    2.218012405    3.103529936    2.907941395    0.7369085909   0.07766015595  2.364512057    0.07871480004  0.2674960927   0.1131345482   -1.379734      	-2.14064e+00
