%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         cdv_31         cdv_32         cdv_33         cdv_34         cdv_35         cdv_36         cdv_37         cdv_38         cdv_39         cdv_40         cdv_41         cdv_42         cdv_43         cdv_44         cdv_45         cdv_46         cdv_47         cdv_48         cdv_49         cdv_50         cdv_51         cdv_52         cdv_53         cdv_54         cdv_55         cdv_56         cdv_57         cdv_58         cdv_59         cdv_60         obj_fn         	best_so_far
1        NO_ID      0.00651961803  0.5897378015   1.742559672    2.147447127    0.3242551203   1.377652816    0.3460191393   0.5695078103   2.682822819    0.7715200925   0.433554599    2.732199338    0.362797568    1.737861712    2.268347691    0.7789026012   2.006795956    2.710627073    1.867007675    2.856551465    2.436323732    0.707474433    2.465662013    2.253295043    1.803633153    0.2442939227   2.305835495    1.86480251     0.1302006071   1.834697215    2.823953374    2.58675433     2.676494955    1.983018525    1.21159431     0.8932835469   0.8959680955   0.4483196163   2.0037279      1.589061018    2.115903681    2.703819825    2.23900941     3.030088356    0.4398824636   0.8029676618   0.5570438347   1.641313839    2.857893739    2.261636319    0.4844651457   1.30056792     3.057317349    2.198357674    1.725493613    2.161061624    1.21274483     2.901901161    3.116377419    1.603730159    -0.537906      
2        NO_ID      0.01246397565  2.710051812    2.558087186    0.2314464401   1.137481593    1.783882545    1.334220655    2.735171517    2.093085018    2.607271952    1.053205942    1.213991228    1.140357895    0.1514852425   1.984169046    0.04007647554  2.608901856    2.917816699    0.5486066819   2.292988012    2.949839529    2.913118739    2.816762619    1.078900907    3.032868782    1.984264923    0.8744917067   0.5544551628   0.4461144514   0.7537828964   1.697881113    1.957515314    1.9526256      2.484741483    1.81370021     1.472858414    0.4372937917   0.9478374095   0.5267467862   1.21216957     0.4829311179   1.480145046    1.543136062    1.594813622    2.348596519    0.3232004762   1.517536973    1.539780376    0.2158185322   2.846196777    0.1810152771   3.033060535    1.867007675    2.602190485    2.302479809    2.495959062    3.135169259    1.821945609    2.154829636    0.0769890188   -0.490123      	-4.90123e-01
3        NO_ID      0.0531157116   0.5896419248   0.3351850681   0.9894479128   1.623193136    2.404876163    3.005448035    1.796634151    2.059432284    1.978512319    1.545724734    2.101713924    3.113213486    1.678609889    2.113506763    1.768158761    2.023095001    2.023478508    2.891834103    2.321463402    1.276886367    1.060492574    1.057136888    2.146008976    2.992312922    2.195097865    2.674098037    1.752147346    1.363175429    2.683877464    2.62788545     1.538246348    0.761548912    2.555977898    0.667589711    1.178804466    0.686093921    3.034402809    1.820411581    1.91561718     0.2789054243   2.804298644    1.276119353    2.03076514     1.301622564    2.043229115    2.534693263    2.488193046    2.601135841    0.5672067686   2.941018869    0.4550309878   2.656648471    0.007286631916 1.68359548     0.2574290355   0.09520559859  2.655306196    2.080621042    0.6307730444   -1.305445      	-1.30544e+00
4        NO_ID      0.14803368     1.954830765    0.9599178782   3.068343174    1.444958284    0.1296253467   0.442279382    0.002013411451 1.190213797    1.795196       2.85961952     2.985985058    2.329133541    2.793368696    1.942558543    0.6650010391   2.179949341    0.4570443993   1.698935757    0.8485091113   1.067970959    2.66019591     0.6538793377   2.784356283    2.644951509    2.118396476    1.793374342    2.277168351    0.4944363262   1.257615143    2.756552029    2.656264964    0.6023935307   1.744477207    0.9315383645   3.020596559    2.03517547     0.01227222217  2.559429461    2.738047819    1.112361888    0.2680713531   1.38340542     3.055591568    1.108430942    1.489349213    0.7733417505   0.8114048146   1.662119091    1.313031896    0.8800525574   2.23076401     0.1940545131   1.599799213    2.755976769    1.53115147     1.504593614    2.027025947    1.265477035    2.585220302    -0.016145      	-1.30544e+00
5        NO_ID      0.2288577682   3.003530501    1.107855681    2.658374252    1.10056905     0.8783267761   1.504018354    1.52175555     1.464613015    1.885607762    0.7311559868   2.867289659    1.875061321    1.579185714    0.0598270831   2.958180805    2.321271649    0.6673020808   0.04851362828  3.066329762    1.142467183    2.379181197    0.9819695275   2.264992005    2.906503244    1.787046477    2.310821085    2.645622646    1.579281591    2.133449124    2.758948948    3.104680457    1.130003207    0.5322117601   1.198555073    0.2531145824   2.19759066     0.08715195279  3.102283538    0.8688349793   1.257231636    0.2194618481   1.255122348    1.612167311    0.02646197906  0.2567578983   1.510729725    0.1164902339   2.435173211    2.634884452    2.583111014    2.598067785    0.03988472207  0.4954909703   0.6575226537   0.9892561594   1.747832893    2.00842586     0.07152404486  0.9823530344   -1.781679      	-1.78168e+00
6        NO_ID      0.2761249989   0.4808218297   1.073148303    0.6891619765   3.048304936    2.895573296    2.778028418    2.383016267    2.238625903    0.09913654476  0.9307713506   0.1308717443   0.230008289    0.0517734373   0.1541697911   2.940922992    0.3305829848   0.7952016462   2.845046256    3.059522514    0.7853263424   2.527598384    0.04717135398  0.6041193119   1.385035325    0.7360457003   0.3000941829   2.232969175    3.135552766    0.1485130637   2.312834496    2.98473866     1.869883977    2.872371126    1.097213364    2.829034841    0.2517723081   1.053493572    2.525872603    1.084845265    1.350615576    2.825679156    0.8595349359   1.398553944    1.954063751    2.499506501    1.024251168    1.854543699    2.208041224    2.301808672    2.483399209    2.911297081    2.622708106    2.900367133    1.351286714    1.450998519    1.894620175    0.9052681389   2.994805718    0.4951074634   -1.140108      	-1.78168e+00
7        NO_ID      0.354456292    0.859151429    1.295390577    2.067965313    2.697012576    0.5277055535   2.627981327    1.749942181    0.5214735657   2.140160495    2.034504332    0.3036416221   1.73469778     2.312355113    0.4956827238   1.881676816    2.439967048    1.187625126    2.374866744    2.575249122    0.9583838505   1.607852858    1.020128468    2.583494521    0.9830241715   0.04247339393  1.655311843    0.766630379    1.608332242    1.185611714    1.545341227    1.134221784    1.822041486    1.730766834    2.934882758    2.697396083    1.493663666    0.3654821166   0.7363333305   2.238242396    1.312936019    1.488869829    1.616865272    0.2764126291   2.564031544    0.5756439214   0.7517694849   2.083017961    2.903531065    0.3742068996   1.169216792    0.8822577223   1.595388883    1.879375774    1.953967874    1.066053425    0.9468786422   0.4165844168   2.533734495    2.585507933    -2.032408      	-2.03241e+00
8        NO_ID      0.4039286877   0.1484171869   2.083305591    0.264140407    1.139590881    1.133646523    3.106310361    1.145726992    1.817343526    0.1588677511   1.191843702    1.261162582    0.2476496084   0.02732486969  0.7987490855   0.4645227847   2.729706543    0.3857121079   2.332585104    1.075353468    2.692985753    2.502574556    2.338817092    1.40718285     2.075060192    2.075731329    1.336329943    0.936044571    0.9217589374   1.976307154    2.108712926    2.676878462    1.645820046    3.005831542    1.69385429     3.048688443    0.5531128885   1.435274734    0.732881768    1.921465661    0.5085302064   1.668159325    2.000851598    1.13287951     1.639492181    0.537676734    2.930376551    2.176881285    0.8092955264   1.847736451    1.076120482    2.769878896    0.7410312905   1.958186451    1.622713752    2.99413458     2.974671603    1.884169611    1.900660409    1.876499472    -0.098358      	-2.03241e+00
9        NO_ID      0.5069961786   2.620982325    0.4702753888   1.790593917    1.89653771     2.943224034    0.5675902756   1.821945609    2.850127723    0.307668445    0.8345111079   0.850810153    0.1453491314   2.824241005    2.032970305    1.427221088    1.467681071    2.692985753    2.2163825      2.176881285    2.737376682    0.630581291    0.8130347191   1.650422129    0.5175426195   0.4574279062   1.120703164    0.6568515166   2.685123861    2.610435884    0.3148592002   1.216388146    2.119259367    1.785416573    1.625781808    1.837573517    2.259239401    1.76729587     0.08801484341  2.961728244    2.733541613    2.383495651    1.65157265     0.2888766048   2.496054938    3.055303938    1.923574949    1.819836321    0.930963104    3.018103764    0.0399805988   2.343898559    0.9514807255   1.841408587    2.208712361    1.474871826    0.8400719586   2.311588099    2.458567135    2.106795391    -0.311443      	-2.03241e+00
10       NO_ID      0.6710412734   1.766624733    1.10114431     2.184167917    1.244384153    9.587673574e-05 2.61935242     1.886758283    1.201335499    1.983881416    0.2407464834   2.311300468    1.75761232     2.611969912    2.663935103    1.932491486    1.32377009     1.585705332    2.423476249    2.677837229    0.5437169684   1.258094526    0.02703723948  0.7435240857   0.3924234794   0.166154383    0.1907947041   1.421660238    0.5014353279   1.588869265    0.6938599366   2.663072212    0.1653873692   1.495197694    2.224052639    0.4915600241   2.914173383    0.354839799    0.04208988699  1.836518873    1.970266919    0.03183107627  1.547162885    0.5053662741   0.8851340244   1.961638013    2.293563272    2.399315312    2.690876465    2.387810104    2.243227986    2.283496215    3.009762488    0.8595349359   1.08705043     1.357039318    2.142845044    2.059336407    1.009486151    2.492891006    -0.345913      	-2.03241e+00
11       NO_ID      0.8440029047   0.4602083316   1.952817354    3.13219708     1.85128389     2.497588966    0.9911736941   1.837094134    0.1689348084   0.02885889746  3.069301941    0.9656704824   2.850894737    3.00295524     2.818488401    1.309580333    1.626932329    2.079087015    0.3371984796   3.090682453    2.134599645    0.7051733914   1.169696176    0.1335562929   2.523859192    1.15694457     0.4601124548   2.663263965    2.427598949    0.008341276009 1.646203553    0.4655774288   2.342843915    2.949168391    2.246008411    2.780233583    2.158377075    1.319168007    0.2421846345   0.6884908394   2.854538053    1.959528725    0.7436199624   0.9305795971   1.263847131    2.482823949    1.028853251    2.051282761    0.7661509953   0.4208029932   2.766427333    2.114082023    2.67428979     0.6115976973   1.243713016    3.134018738    1.184077686    2.465374383    0.3971214394   0.9363322012   -0.018368      	-2.03241e+00
