FE	Run 1	Run 2	Run 3	Run 4	Run 5	Run 6	Run 7	Run 8	Run 9	Run 10	Average
1	-1.24968	-0.163955	-0.223023	-2.93869	-0.356647	-0.979042	-1.10146	-0.051849	-0.490123	-1.50662	-0.9061089000000001
2	-1.24968	-1.50923	-0.223023	-2.93869	-1.36419	-1.02776	-1.53662	-2.15831	-1.30544	-1.50662	-1.4819563
3	-1.24968	-1.50923	-1.37773	-2.93869	-1.36419	-1.02776	-1.53662	-2.15831	-1.30544	-1.50662	-1.5974270000000002
4	-1.24968	-1.70975	-1.37773	-2.93869	-1.36419	-1.03821	-2.14064	-2.15831	-1.78168	-1.50662	-1.72655
5	-2.25496	-1.70975	-1.37773	-2.93869	-1.36419	-1.03821	-2.14064	-2.15831	-1.78168	-1.50662	-1.8270780000000002
6	-2.25496	-1.70975	-1.37773	-2.93869	-1.36419	-1.03821	-2.14064	-2.15831	-2.03241	-1.50662	-1.8521510000000003
7	-2.25496	-1.70975	-1.37773	-2.93869	-1.36419	-1.59754	-2.14064	-2.15831	-2.03241	-1.50662	-1.9080840000000001
8	-2.25496	-1.70975	-1.37773	-2.93869	-1.36419	-1.59754	-2.14064	-2.15831	-2.03241	-1.50662	-1.9080840000000001
9	-2.25496	-2.44983	-2.1145	-2.93869	-2.11773	-2.43862	-2.14064	-2.42176	-2.03241	-1.50662	-2.2415760000000002
10	-2.25496	-2.44983	-2.1145	-2.93869	-2.11773	-2.43862	-2.14064	-2.42176	-2.03241	-1.50662	-2.2415760000000002
11	-2.25496	-2.44983	-2.1145	-2.93869	-2.11773	-2.43862	-2.14064	-2.42176	-2.03241	-1.50662	-2.2415760000000002
12	-2.25496	-2.44983	-2.1145	-2.93869	-2.11773	-2.43862	-3.01942	-2.42176	-2.03241	-1.51283	-2.330075
13	-2.25496	-2.44983	-2.1145	-2.93869	-2.11773	-2.43862	-3.01942	-2.42176	-2.03241	-1.51283	-2.330075
14	-2.25496	-2.44983	-2.1145	-2.93869	-2.11773	-2.43862	-3.01942	-2.42176	-2.03241	-1.60718	-2.3395099999999998
15	-2.25496	-2.44983	-2.1145	-2.93869	-2.11773	-2.43862	-3.01942	-2.42176	-2.71236	-1.60718	-2.407505
16	-2.25496	-2.44983	-2.1145	-2.93869	-2.11773	-2.43862	-3.01942	-2.42176	-2.71236	-2.01709	-2.448496
17	-2.25496	-2.44983	-2.1145	-2.93869	-2.11773	-2.43862	-3.01942	-2.42176	-2.71236	-2.01709	-2.448496
18	-2.25496	-2.44983	-2.1145	-2.93869	-2.11773	-2.43862	-3.01942	-2.42176	-2.71236	-2.01709	-2.448496
19	-2.25496	-3.31682	-2.1145	-2.93869	-2.11773	-2.43862	-3.01942	-2.42176	-2.71236	-2.01709	-2.5351950000000003
20	-2.25496	-3.31682	-2.1145	-2.93869	-2.11773	-2.43862	-3.01942	-2.42176	-2.71236	-2.01709	-2.5351950000000003
21	-2.25496	-3.31682	-2.1145	-2.93869	-2.11773	-2.43862	-3.01942	-2.42176	-2.71236	-2.01709	-2.5351950000000003
22	-2.25496	-3.31682	-2.1145	-2.93869	-2.11773	-2.43862	-3.01942	-2.42176	-2.71236	-2.01709	-2.5351950000000003
23	-2.25496	-3.31682	-2.1145	-2.93869	-2.11773	-2.43862	-3.01942	-2.42176	-2.71236	-2.01709	-2.5351950000000003
24	-2.25496	-3.31682	-2.1145	-2.93869	-2.11773	-2.43862	-3.01942	-2.42176	-2.71236	-2.01709	-2.5351950000000003
25	-2.25496	-3.31682	-2.1145	-2.93869	-2.11773	-2.43862	-3.01942	-2.42176	-2.71236	-2.01709	-2.5351950000000003
26	-2.25496	-3.31682	-2.2819	-2.93869	-2.11773	-2.43862	-3.01942	-2.42176	-2.71236	-2.01709	-2.5519350000000003
27	-2.25496	-3.31682	-2.2819	-2.93869	-2.11773	-2.43862	-3.01942	-2.42176	-2.71236	-2.01709	-2.5519350000000003
28	-2.25496	-3.31682	-2.2819	-2.93869	-2.11773	-2.43862	-3.01942	-2.42176	-2.71236	-2.01709	-2.5519350000000003
