%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far	best_so_far	best_so_far
1        NO_ID      0              0              0              0              0              0              0              0              0              0              9              
2        NO_ID      -6.666666667   0              0              0              0              0              0              0              0              0              197597.642     	1.97598e+05	1.97598e+05	1.97598e+05
3        NO_ID      6.666666667    0              0              0              0              0              0              0              0              0              197570.9753    	1.97571e+05	1.97571e+05	1.97571e+05
4        NO_ID      0              -6.666666667   0              0              0              0              0              0              0              0              202042.0864    	1.97571e+05	1.97571e+05	1.97571e+05
5        NO_ID      0              6.666666667    0              0              0              0              0              0              0              0              202015.4198    	1.97571e+05	1.97571e+05	1.97571e+05
6        NO_ID      0              0              -6.666666667   0              0              0              0              0              0              0              202042.0864    	1.97571e+05	1.97571e+05	1.97571e+05
7        NO_ID      0              0              6.666666667    0              0              0              0              0              0              0              202015.4198    	1.97571e+05	1.97571e+05	1.97571e+05
8        NO_ID      6.666666667    -6.666666667   0              0              0              0              0              0              0              0              458863.321     	1.97571e+05	1.97571e+05	1.97571e+05
9        NO_ID      6.666666667    6.666666667    0              0              0              0              0              0              0              0              340318.1358    	1.97571e+05	1.97571e+05	1.97571e+05
10       NO_ID      0              0              0              -6.666666667   0              0              0              0              0              0              202042.0864    	1.97571e+05	1.97571e+05	1.97571e+05
11       NO_ID      0              0              0              6.666666667    0              0              0              0              0              0              202015.4198    	1.97571e+05	1.97571e+05	1.97571e+05
12       NO_ID      -6.666666667   -6.666666667   0              0              0              0              0              0              0              0              458889.9877    	1.97571e+05	1.97571e+05	1.97571e+05
13       NO_ID      -6.666666667   6.666666667    0              0              0              0              0              0              0              0              340344.8025    	1.97571e+05	1.97571e+05	1.97571e+05
14       NO_ID      0              0              0              0              -6.666666667   0              0              0              0              0              202042.0864    	1.97571e+05	1.97571e+05	1.97571e+05
15       NO_ID      0              0              0              0              6.666666667    0              0              0              0              0              202015.4198    	1.97571e+05	1.97571e+05	1.97571e+05
16       NO_ID      6.666666667    0              -6.666666667   0              0              0              0              0              0              0              399604.0617    	1.97571e+05	1.97571e+05	1.97571e+05
17       NO_ID      6.666666667    0              6.666666667    0              0              0              0              0              0              0              399577.3951    	1.97571e+05	1.97571e+05	1.97571e+05
18       NO_ID      0              0              0              0              0              -6.666666667   0              0              0              0              202042.0864    	1.97571e+05	1.97571e+05	1.97571e+05
19       NO_ID      0              0              0              0              0              6.666666667    0              0              0              0              202015.4198    	1.97571e+05	1.97571e+05	1.97571e+05
20       NO_ID      -6.666666667   0              -6.666666667   0              0              0              0              0              0              0              399630.7284    	1.97571e+05	1.97571e+05	1.97571e+05
21       NO_ID      -6.666666667   0              6.666666667    0              0              0              0              0              0              0              399604.0617    	1.97571e+05	1.97571e+05	1.97571e+05
22       NO_ID      0              0              0              0              0              0              -6.666666667   0              0              0              202042.0864    	1.97571e+05	1.97571e+05	1.97571e+05
23       NO_ID      0              0              0              0              0              0              6.666666667    0              0              0              202015.4198    	1.97571e+05	1.97571e+05	1.97571e+05
24       NO_ID      0              6.666666667    -6.666666667   0              0              0              0              0              0              0              463307.7654    	1.97571e+05	1.97571e+05	1.97571e+05
25       NO_ID      0              6.666666667    6.666666667    0              0              0              0              0              0              0              344762.5802    	1.97571e+05	1.97571e+05	1.97571e+05
26       NO_ID      0              0              0              0              0              0              0              -6.666666667   0              0              202042.0864    	1.97571e+05	1.97571e+05	1.97571e+05
27       NO_ID      0              0              0              0              0              0              0              6.666666667    0              0              202015.4198    	1.97571e+05	1.97571e+05	1.97571e+05
28       NO_ID      0              -6.666666667   -6.666666667   0              0              0              0              0              0              0              463334.4321    	1.97571e+05	1.97571e+05	1.97571e+05
29       NO_ID      0              -6.666666667   6.666666667    0              0              0              0              0              0              0              344789.2469    	1.97571e+05	1.97571e+05	1.97571e+05
30       NO_ID      0              0              0              0              0              0              0              0              -6.666666667   0              202042.0864    	1.97571e+05	1.97571e+05	1.97571e+05
31       NO_ID      0              0              0              0              0              0              0              0              6.666666667    0              202015.4198    	1.97571e+05	1.97571e+05	1.97571e+05
32       NO_ID      6.666666667    0              0              -6.666666667   0              0              0              0              0              0              399604.0617    	1.97571e+05	1.97571e+05	1.97571e+05
33       NO_ID      6.666666667    0              0              6.666666667    0              0              0              0              0              0              399577.3951    	1.97571e+05	1.97571e+05	1.97571e+05
34       NO_ID      6.666666667    6.666666667    -6.666666667   0              0              0              0              0              0              0              601610.4815    	1.97571e+05	1.97571e+05	1.97571e+05
35       NO_ID      6.666666667    6.666666667    6.666666667    0              0              0              0              0              0              0              483065.2963    	1.97571e+05	1.97571e+05	1.97571e+05
36       NO_ID      0              0              0              0              0              0              0              0              0              -6.666666667   4453.444444    	4.45344e+03	4.45344e+03	4.45344e+03
37       NO_ID      0              0              0              0              0              0              0              0              0              6.666666667    4453.444444    	4.45344e+03	4.45344e+03	4.45344e+03
38       NO_ID      -6.666666667   0              0              -6.666666667   0              0              0              0              0              0              399630.7284    	4.45344e+03	4.45344e+03	4.45344e+03
39       NO_ID      -6.666666667   0              0              6.666666667    0              0              0              0              0              0              399604.0617    	4.45344e+03	4.45344e+03	4.45344e+03
40       NO_ID      -6.666666667   6.666666667    -6.666666667   0              0              0              0              0              0              0              601637.1481    	4.45344e+03	4.45344e+03	4.45344e+03
41       NO_ID      -6.666666667   6.666666667    6.666666667    0              0              0              0              0              0              0              483091.963     	4.45344e+03	4.45344e+03	4.45344e+03
42       NO_ID      -2.222222222   0              0              0              0              0              0              0              0              0              2457.03536     	2.45704e+03	2.45704e+03	2.45704e+03
43       NO_ID      2.222222222    0              0              0              0              0              0              0              0              0              2448.146472    	2.44815e+03	2.44815e+03	2.44815e+03
44       NO_ID      0              6.666666667    0              -6.666666667   0              0              0              0              0              0              404048.5062    	2.44815e+03	2.44815e+03	2.44815e+03
45       NO_ID      0              6.666666667    0              6.666666667    0              0              0              0              0              0              404021.8395    	2.44815e+03	2.44815e+03	2.44815e+03
46       NO_ID      6.666666667    -6.666666667   -6.666666667   0              0              0              0              0              0              0              720155.6667    	2.44815e+03	2.44815e+03	2.44815e+03
47       NO_ID      6.666666667    -6.666666667   6.666666667    0              0              0              0              0              0              0              601610.4815    	2.44815e+03	2.44815e+03	2.44815e+03
48       NO_ID      0              -2.222222222   0              0              0              0              0              0              0              0              2950.862521    	2.44815e+03	2.44815e+03	2.44815e+03
49       NO_ID      0              2.222222222    0              0              0              0              0              0              0              0              2941.973632    	2.44815e+03	2.44815e+03	2.44815e+03
50       NO_ID      0              0              0              0              0              0              0              0              0              -8.888888889   7910.234568    	2.44815e+03	2.44815e+03	2.44815e+03
51       NO_ID      0              0              0              0              0              0              0              0              0              -4.444444444   1984.308642    	1.98431e+03	1.98431e+03	1.98431e+03
