%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far	best_so_far	best_so_far
1        NO_ID      0              0              0              0              0              0              0              0              0              0              9              
2        NO_ID      6.666666667    0              0              0              0              0              0              0              0              0              197570.9753    	1.97571e+05	1.97571e+05	1.97571e+05
3        NO_ID      -6.666666667   0              0              0              0              0              0              0              0              0              197597.642     	1.97571e+05	1.97571e+05	1.97571e+05
4        NO_ID      0              6.666666667    0              0              0              0              0              0              0              0              202015.4198    	1.97571e+05	1.97571e+05	1.97571e+05
5        NO_ID      0              -6.666666667   0              0              0              0              0              0              0              0              202042.0864    	1.97571e+05	1.97571e+05	1.97571e+05
6        NO_ID      0              0              6.666666667    0              0              0              0              0              0              0              202015.4198    	1.97571e+05	1.97571e+05	1.97571e+05
7        NO_ID      0              0              -6.666666667   0              0              0              0              0              0              0              202042.0864    	1.97571e+05	1.97571e+05	1.97571e+05
8        NO_ID      0              0              0              6.666666667    0              0              0              0              0              0              202015.4198    	1.97571e+05	1.97571e+05	1.97571e+05
9        NO_ID      0              0              0              -6.666666667   0              0              0              0              0              0              202042.0864    	1.97571e+05	1.97571e+05	1.97571e+05
10       NO_ID      0              0              0              0              6.666666667    0              0              0              0              0              202015.4198    	1.97571e+05	1.97571e+05	1.97571e+05
11       NO_ID      0              0              0              0              -6.666666667   0              0              0              0              0              202042.0864    	1.97571e+05	1.97571e+05	1.97571e+05
12       NO_ID      0              0              0              0              0              6.666666667    0              0              0              0              202015.4198    	1.97571e+05	1.97571e+05	1.97571e+05
13       NO_ID      0              0              0              0              0              -6.666666667   0              0              0              0              202042.0864    	1.97571e+05	1.97571e+05	1.97571e+05
14       NO_ID      0              0              0              0              0              0              6.666666667    0              0              0              202015.4198    	1.97571e+05	1.97571e+05	1.97571e+05
15       NO_ID      0              0              0              0              0              0              -6.666666667   0              0              0              202042.0864    	1.97571e+05	1.97571e+05	1.97571e+05
16       NO_ID      0              0              0              0              0              0              0              6.666666667    0              0              202015.4198    	1.97571e+05	1.97571e+05	1.97571e+05
17       NO_ID      0              0              0              0              0              0              0              -6.666666667   0              0              202042.0864    	1.97571e+05	1.97571e+05	1.97571e+05
18       NO_ID      0              0              0              0              0              0              0              0              6.666666667    0              202015.4198    	1.97571e+05	1.97571e+05	1.97571e+05
