FE	Run 1	Run 2	Run 3	Run 4	Run 5	Run 6	Run 7	Run 8	Run 9	Run 10	Average
1	2.87264e+06	1.58146e+06	1.09541e+06	2.85381e+06	1.07947e+06	1.42215e+06	8.27115e+05	3.89638e+06	1.17498e+06	1.60017e+06	1.84036e+06
2	2.23262e+06	8.12344e+05	1.09541e+06	1.48323e+06	1.07947e+06	1.42215e+06	8.27115e+05	1.92381e+05	1.17498e+06	1.60017e+06	1.19199e+06
3	9.84122e+05	8.12344e+05	1.09541e+06	1.48323e+06	1.07947e+06	1.42215e+06	8.27115e+05	1.92381e+05	1.17498e+06	1.36607e+06	1.04373e+06
4	9.84122e+05	8.12344e+05	1.03406e+06	8.80543e+05	6.35856e+05	1.42215e+06	8.27115e+05	1.92381e+05	7.35926e+05	1.36607e+06	8.89057e+05
5	9.84122e+05	8.12344e+05	7.42634e+05	8.80543e+05	6.35856e+05	1.42215e+06	8.27115e+05	1.92381e+05	7.35926e+05	1.10625e+06	8.33933e+05
6	9.84122e+05	8.12344e+05	7.42634e+05	8.80543e+05	6.35856e+05	1.42215e+06	8.27115e+05	1.92381e+05	7.35926e+05	1.10625e+06	8.33933e+05
7	9.84122e+05	8.12344e+05	7.42634e+05	8.80543e+05	6.35856e+05	1.42215e+06	8.27115e+05	1.92381e+05	7.35926e+05	1.10625e+06	8.33933e+05
8	9.84122e+05	8.12344e+05	7.42634e+05	8.80543e+05	6.35856e+05	1.42215e+06	8.27115e+05	1.92381e+05	7.35926e+05	1.10625e+06	8.33933e+05
9	9.84122e+05	8.12344e+05	7.42634e+05	8.80543e+05	6.35856e+05	1.42215e+06	8.27115e+05	1.92381e+05	7.35926e+05	1.10625e+06	8.33933e+05
10	9.84122e+05	8.12344e+05	7.42634e+05	8.80543e+05	6.35856e+05	1.42215e+06	8.27115e+05	1.92381e+05	7.35926e+05	1.10625e+06	8.33933e+05
11	9.84122e+05	8.12344e+05	7.42634e+05	8.80543e+05	6.35856e+05	1.42215e+06	8.27115e+05	1.92381e+05	7.35926e+05	1.10625e+06	8.33933e+05
12	9.84122e+05	8.12344e+05	7.42634e+05	8.80543e+05	6.35856e+05	1.42215e+06	8.27115e+05	1.92381e+05	7.35926e+05	1.10625e+06	8.33933e+05
13	9.84122e+05	8.12344e+05	7.42634e+05	8.80543e+05	6.35856e+05	1.00908e+06	8.27115e+05	1.92381e+05	7.35926e+05	1.10625e+06	7.92626e+05
14	9.84122e+05	8.12344e+05	1.12141e+05	8.80543e+05	6.35856e+05	1.00908e+06	2.13029e+05	1.92381e+05	7.35926e+05	1.10625e+06	6.68168e+05
15	9.84122e+05	8.12344e+05	1.12141e+05	8.80543e+05	6.35856e+05	1.00908e+06	2.13029e+05	8.80703e+04	7.19325e+05	1.10625e+06	6.56076e+05
16	3.67690e+05	8.12344e+05	1.54008e+04	8.80543e+05	2.38366e+05	1.58903e+05	2.13029e+05	8.80703e+04	7.19325e+05	2.70740e+05	3.76441e+05
17	3.67690e+05	5.51279e+05	1.54008e+04	3.20311e+05	2.38366e+05	1.58903e+05	1.45601e+05	8.80703e+04	6.23490e+05	2.70740e+05	2.77985e+05
18	3.67690e+05	5.51279e+05	1.54008e+04	3.20311e+05	2.38366e+05	1.58903e+05	1.45601e+05	8.80703e+04	6.23490e+05	2.70740e+05	2.77985e+05
19	2.92104e+05	5.51279e+05	1.54008e+04	3.20311e+05	8.27609e+04	1.58903e+05	1.45601e+05	8.80703e+04	4.06199e+05	2.70740e+05	2.33137e+05
20	1.43490e+05	2.18260e+05	1.54008e+04	1.22749e+05	8.27609e+04	1.58903e+05	1.45601e+05	8.80703e+04	4.06199e+05	2.70740e+05	1.65217e+05
