FE	Run 1	Run 2	Run 3	Run 4	Run 5	Run 6	Run 7	Run 8	Run 9	Run 10	Average
1	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00
2	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00
3	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00
4	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00
5	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00
6	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00
7	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00
8	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00
9	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00
10	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00
11	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00
12	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00
13	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00
14	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00
15	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00
16	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00
17	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00
18	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00
19	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00
20	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00
21	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00
22	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00
23	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00
24	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00
25	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00	9.00000e+00
