FE	Run 1	Run 2	Run 3	Run 4	Run 5	Run 6	Run 7	Run 8	Run 9	Run 10	Average
1	2.15800e+06	2.23000e+06	2.26300e+06	1.96700e+06	1.55200e+06	1.51600e+06	1.79500e+06	1.84600e+06	1.78300e+06	1.66400e+06	1.87740e+06
2	2.15500e+06	1.09200e+06	1.95800e+06	1.84900e+06	1.53800e+06	1.51600e+06	1.56100e+06	1.84600e+06	1.78300e+06	1.66400e+06	1.69620e+06
3	2.06900e+06	1.09200e+06	1.76500e+06	1.72800e+06	1.53800e+06	1.51600e+06	1.22300e+06	1.84600e+06	1.72600e+06	1.66400e+06	1.61670e+06
4	2.06900e+06	1.09200e+06	1.76500e+06	1.72800e+06	1.53800e+06	1.29300e+06	1.22300e+06	1.39900e+06	1.72600e+06	1.66300e+06	1.54960e+06
5	1.84500e+06	1.09200e+06	1.56200e+06	1.72800e+06	1.19400e+06	1.29300e+06	1.22300e+06	1.39900e+06	1.72600e+06	1.08500e+06	1.41470e+06
6	6.98800e+05	1.09200e+06	1.56200e+06	1.72800e+06	1.19400e+06	1.29300e+06	1.22300e+06	1.26700e+06	1.72600e+06	1.08500e+06	1.28688e+06
7	6.98800e+05	1.09200e+06	1.56200e+06	1.43500e+06	1.19400e+06	1.29300e+06	1.22300e+06	1.26700e+06	1.72600e+06	1.08500e+06	1.25758e+06
8	6.98800e+05	1.09200e+06	1.56200e+06	9.20800e+05	1.19400e+06	8.89500e+05	1.22300e+06	1.18300e+06	1.72600e+06	1.08500e+06	1.15741e+06
9	6.98800e+05	1.09200e+06	1.41500e+06	9.20800e+05	1.19400e+06	8.89500e+05	1.22300e+06	1.18300e+06	1.72600e+06	1.08500e+06	1.14271e+06
10	6.98800e+05	1.09200e+06	1.25300e+06	9.20800e+05	1.19400e+06	8.89500e+05	1.22300e+06	1.18300e+06	1.72600e+06	1.08500e+06	1.12651e+06
11	6.98800e+05	1.09200e+06	1.25300e+06	9.20800e+05	1.19400e+06	8.89500e+05	1.22300e+06	1.18300e+06	1.57500e+06	1.08500e+06	1.11141e+06
12	6.98800e+05	1.09200e+06	1.25300e+06	9.20800e+05	1.19400e+06	8.89500e+05	1.22300e+06	1.08400e+06	1.09400e+06	1.08500e+06	1.05341e+06
13	6.98800e+05	1.09200e+06	1.25300e+06	9.20800e+05	1.19400e+06	8.89500e+05	1.22300e+06	1.08400e+06	1.09400e+06	1.08500e+06	1.05341e+06
14	6.98800e+05	1.09200e+06	1.25300e+06	9.20800e+05	1.19400e+06	8.89500e+05	1.22300e+06	1.08400e+06	1.09400e+06	1.08500e+06	1.05341e+06
15	6.98800e+05	1.09200e+06	1.25300e+06	9.20800e+05	1.19400e+06	8.89500e+05	1.22300e+06	1.08400e+06	1.09400e+06	1.08500e+06	1.05341e+06
16	6.98800e+05	1.09200e+06	1.25300e+06	9.20800e+05	1.19400e+06	8.89500e+05	1.22300e+06	1.08400e+06	1.09400e+06	1.08500e+06	1.05341e+06
17	6.98800e+05	1.09200e+06	1.25300e+06	9.20800e+05	1.19400e+06	8.89500e+05	1.13000e+06	1.08400e+06	1.09400e+06	1.08500e+06	1.04411e+06
18	6.98800e+05	1.09200e+06	1.25300e+06	9.20800e+05	1.19400e+06	8.89500e+05	1.13000e+06	1.08400e+06	1.09400e+06	1.08500e+06	1.04411e+06
19	6.98800e+05	1.09200e+06	1.25300e+06	9.20800e+05	9.05100e+05	8.89500e+05	1.13000e+06	1.08400e+06	1.09400e+06	1.08500e+06	1.01522e+06
20	6.98800e+05	1.09200e+06	1.25300e+06	9.20800e+05	9.05100e+05	8.89500e+05	1.13000e+06	1.08400e+06	1.09400e+06	1.08500e+06	1.01522e+06
21	6.98800e+05	1.09200e+06	1.25300e+06	9.20800e+05	9.05100e+05	8.89500e+05	1.13000e+06	1.08400e+06	1.09400e+06	1.08500e+06	1.01522e+06
22	6.98800e+05	1.09200e+06	1.25300e+06	9.20800e+05	9.05100e+05	8.89500e+05	1.13000e+06	1.08400e+06	1.09400e+06	1.08500e+06	1.01522e+06
23	6.98800e+05	1.09200e+06	1.25300e+06	9.20800e+05	9.05100e+05	8.89500e+05	1.13000e+06	1.08400e+06	1.09400e+06	1.08500e+06	1.01522e+06
24	6.98800e+05	1.09200e+06	1.22500e+06	9.20800e+05	9.05100e+05	8.89500e+05	1.13000e+06	1.08400e+06	1.09400e+06	1.08500e+06	1.01242e+06
25	6.98800e+05	1.09200e+06	1.22500e+06	9.20800e+05	9.05100e+05	8.89500e+05	1.13000e+06	1.08400e+06	1.09400e+06	1.08500e+06	1.01242e+06
26	6.98800e+05	1.09200e+06	1.22500e+06	9.20800e+05	9.05100e+05	8.89500e+05	1.13000e+06	1.08400e+06	1.09400e+06	1.08500e+06	1.01242e+06
27	6.98800e+05	1.09200e+06	1.22500e+06	9.20800e+05	9.05100e+05	8.89500e+05	1.13000e+06	1.08400e+06	1.09400e+06	1.08500e+06	1.01242e+06
28	6.98800e+05	1.09200e+06	1.22500e+06	9.20800e+05	9.05100e+05	8.89500e+05	1.13000e+06	1.08400e+06	1.09400e+06	1.08500e+06	1.01242e+06
29	6.98800e+05	1.09200e+06	1.02100e+06	9.20800e+05	9.05100e+05	8.89500e+05	1.13000e+06	1.08400e+06	1.09400e+06	1.08500e+06	9.92020e+05
30	6.98800e+05	1.09200e+06	9.80600e+05	9.20800e+05	9.05100e+05	8.89500e+05	1.13000e+06	1.08400e+06	1.09400e+06	1.08500e+06	9.87980e+05
31	6.98800e+05	1.09200e+06	9.80600e+05	9.20800e+05	9.05100e+05	8.89500e+05	1.13000e+06	1.08400e+06	1.09400e+06	1.08500e+06	9.87980e+05
32	6.98800e+05	1.09200e+06	9.80600e+05	9.20800e+05	9.05100e+05	8.89500e+05	1.13000e+06	1.08400e+06	1.09400e+06	1.08500e+06	9.87980e+05
33	6.98800e+05	1.09200e+06	9.80600e+05	9.20800e+05	9.05100e+05	8.89500e+05	1.13000e+06	1.08400e+06	1.09400e+06	1.08500e+06	9.87980e+05
34	6.98800e+05	1.09200e+06	9.80600e+05	9.20800e+05	9.05100e+05	8.89500e+05	1.13000e+06	1.08400e+06	1.09400e+06	1.08500e+06	9.87980e+05
35	6.98800e+05	1.09200e+06	9.80600e+05	9.20800e+05	9.05100e+05	8.89500e+05	1.13000e+06	1.08400e+06	7.31300e+05	1.08500e+06	9.51710e+05
36	6.98800e+05	1.09200e+06	9.80600e+05	9.20800e+05	9.05100e+05	8.89500e+05	1.13000e+06	1.08400e+06	7.31300e+05	1.08500e+06	9.51710e+05
