FE	Run 1	Run 2	Run 3	Run 4	Run 5	Run 6	Run 7	Run 8	Run 9	Run 10	Average
1	2263020.0	2850360.0	3044700.0	2759740.0	1716320.0	2518830.0	1692860.0	2757440.0	3416290.0	1498710.0	2451827.0
2	2263020.0	2850360.0	3044700.0	2223130.0	1716320.0	2518830.0	977674.0	2329880.0	1618050.0	1147300.0	2068926.4
3	1117310.0	1797080.0	1734860.0	563120.0	1716320.0	1681380.0	977674.0	437712.0	869670.0	1147300.0	1204242.6
4	1117310.0	1469320.0	1734860.0	563120.0	1102390.0	1586170.0	977674.0	437712.0	869670.0	867532.0	1072575.8
5	1117310.0	1244820.0	1734860.0	563120.0	928313.0	1080420.0	977674.0	437712.0	869670.0	628409.0	958230.8
6	1117310.0	1244820.0	894833.0	563120.0	689981.0	1080420.0	812252.0	437712.0	869670.0	628409.0	833852.7
7	1117310.0	1244820.0	894833.0	563120.0	658519.0	1080420.0	773502.0	437712.0	869670.0	628409.0	826831.5
8	1117310.0	1244820.0	894833.0	563120.0	658519.0	1080420.0	773502.0	437712.0	537125.0	628409.0	793577.0
9	1117310.0	1244820.0	894833.0	563120.0	658519.0	1080420.0	773502.0	437712.0	537125.0	628409.0	793577.0
10	709610.0	1244820.0	894833.0	563120.0	658519.0	1080420.0	773502.0	437712.0	537125.0	628409.0	752807.0
11	709610.0	1244820.0	717435.0	563120.0	658519.0	1080420.0	773502.0	293340.0	537125.0	628409.0	720630.0
12	709610.0	1007090.0	717435.0	563120.0	658519.0	1080420.0	773502.0	293340.0	537125.0	628409.0	696857.0
13	709610.0	1007090.0	717435.0	563120.0	658519.0	1080420.0	773502.0	293340.0	537125.0	628409.0	696857.0
14	709610.0	1007090.0	717435.0	563120.0	658519.0	1080420.0	773502.0	293340.0	537125.0	628409.0	696857.0
15	709610.0	1007090.0	717435.0	563120.0	658519.0	1039390.0	773502.0	293340.0	537125.0	628409.0	692754.0
16	709610.0	1007090.0	717435.0	563120.0	658519.0	1039390.0	773502.0	293340.0	537125.0	628409.0	692754.0
17	709610.0	1007090.0	717435.0	563120.0	658519.0	916689.0	773502.0	293340.0	537125.0	628409.0	680483.9
18	709610.0	691136.0	695289.0	563120.0	658519.0	916689.0	773502.0	293340.0	537125.0	628409.0	646673.9
19	709610.0	691136.0	695289.0	563120.0	658519.0	916689.0	396384.0	293340.0	537125.0	628409.0	608962.1
20	709610.0	691136.0	695289.0	563120.0	658519.0	916689.0	396384.0	293340.0	537125.0	628409.0	608962.1
21	709610.0	691136.0	695289.0	563120.0	658519.0	916689.0	396384.0	293340.0	537125.0	628409.0	608962.1
22	709610.0	633935.0	695289.0	563120.0	658519.0	479278.0	396384.0	293340.0	537125.0	628409.0	559500.9
23	709610.0	633935.0	695289.0	563120.0	658519.0	479278.0	396384.0	293340.0	537125.0	628409.0	559500.9
24	709610.0	633935.0	695289.0	563120.0	658519.0	479278.0	396384.0	293340.0	537125.0	628409.0	559500.9
25	709610.0	633935.0	695289.0	563120.0	658519.0	479278.0	396384.0	293340.0	537125.0	628409.0	559500.9
26	709610.0	633935.0	695289.0	563120.0	658519.0	479278.0	396384.0	293340.0	537125.0	628409.0	559500.9
27	709610.0	633935.0	695289.0	563120.0	658519.0	479278.0	396384.0	293340.0	537125.0	628409.0	559500.9
28	709610.0	633935.0	695289.0	563120.0	658519.0	313726.0	396384.0	293340.0	537125.0	628409.0	542945.7
29	709610.0	633935.0	695289.0	563120.0	658519.0	313726.0	396384.0	293340.0	537125.0	628409.0	542945.7
30	709610.0	633935.0	695289.0	563120.0	658519.0	313726.0	396384.0	293340.0	537125.0	628409.0	542945.7
31	709610.0	633935.0	695289.0	563120.0	658519.0	313726.0	396384.0	293340.0	537125.0	628409.0	542945.7
32	689863.0	633935.0	695289.0	563120.0	658519.0	313726.0	396384.0	293340.0	537125.0	628409.0	540971.0
33	555817.0	633935.0	695289.0	563120.0	658519.0	313726.0	396384.0	293340.0	537125.0	628409.0	527566.4
34	555817.0	633935.0	695289.0	563120.0	658519.0	313726.0	396384.0	293340.0	537125.0	628409.0	527566.4
35	555817.0	633935.0	695289.0	563120.0	113791.0	313726.0	396384.0	293340.0	537125.0	628409.0	473093.6
36	555817.0	633935.0	695289.0	563120.0	113791.0	313726.0	396384.0	293340.0	537125.0	628409.0	473093.6
37	555817.0	633935.0	695289.0	563120.0	113791.0	313726.0	396384.0	293340.0	537125.0	500665.0	460319.2
38	555817.0	633935.0	695289.0	563120.0	113791.0	313726.0	396384.0	293340.0	537125.0	500665.0	460319.2
39	555817.0	633935.0	695289.0	563120.0	113791.0	313726.0	396384.0	293340.0	537125.0	500665.0	460319.2
40	555817.0	633935.0	695289.0	563120.0	113791.0	313726.0	396384.0	293340.0	537125.0	500665.0	460319.2
41	265313.0	633935.0	695289.0	563120.0	113791.0	313726.0	396384.0	293340.0	537125.0	500665.0	431268.8
42	265313.0	633935.0	695289.0	563120.0	113791.0	313726.0	396384.0	293340.0	537125.0	500665.0	431268.8
43	265313.0	633935.0	695289.0	563120.0	113791.0	313726.0	396384.0	293340.0	537125.0	500665.0	431268.8
44	265313.0	633935.0	695289.0	563120.0	113791.0	313726.0	396384.0	293340.0	537125.0	500665.0	431268.8
45	265313.0	633935.0	695289.0	563120.0	113791.0	313726.0	396384.0	293340.0	537125.0	500665.0	431268.8
46	265313.0	633935.0	695289.0	563120.0	113791.0	313726.0	396384.0	293340.0	537125.0	500665.0	431268.8
47	265313.0	633935.0	695289.0	563120.0	113791.0	313726.0	396384.0	293340.0	537125.0	500665.0	431268.8
48	265313.0	633935.0	695289.0	563120.0	113791.0	313726.0	396384.0	293340.0	537125.0	500665.0	431268.8
49	265313.0	633935.0	695289.0	563120.0	113791.0	313726.0	396384.0	293340.0	537125.0	500665.0	431268.8
50	265313.0	633935.0	695289.0	563120.0	113791.0	313726.0	396384.0	293340.0	537125.0	500665.0	431268.8
51	265313.0	633935.0	695289.0	563120.0	113791.0	313726.0	396384.0	293340.0	537125.0	500665.0	431268.8
52	265313.0	633935.0	695289.0	563120.0	113791.0	313726.0	396384.0	293340.0	537125.0	500665.0	431268.8
53	265313.0	633935.0	695289.0	563120.0	113791.0	313726.0	396384.0	293340.0	537125.0	500665.0	431268.8
54	265313.0	633935.0	695289.0	563120.0	113791.0	313726.0	396384.0	293340.0	537125.0	500665.0	431268.8
55	265313.0	633935.0	695289.0	563120.0	113791.0	313726.0	396384.0	293340.0	393294.0	318109.0	398630.1
56	265313.0	633935.0	695289.0	563120.0	113791.0	313726.0	396384.0	293340.0	393294.0	318109.0	398630.1
57	265313.0	449468.0	695289.0	563120.0	113791.0	313726.0	396384.0	293340.0	393294.0	318109.0	380183.4
58	265313.0	449468.0	695289.0	563120.0	113791.0	313726.0	396384.0	293340.0	393294.0	318109.0	380183.4
59	265313.0	449468.0	695289.0	563120.0	113791.0	313726.0	396384.0	293340.0	393294.0	318109.0	380183.4
60	265313.0	449468.0	695289.0	563120.0	113791.0	313726.0	396384.0	293340.0	393294.0	318109.0	380183.4
61	265313.0	449468.0	695289.0	318423.0	113791.0	313726.0	396384.0	293340.0	393294.0	318109.0	355713.7
62	265313.0	449468.0	695289.0	318423.0	113791.0	313726.0	396384.0	293340.0	393294.0	318109.0	355713.7
63	265313.0	449468.0	695289.0	318423.0	113791.0	313726.0	396384.0	293340.0	393294.0	318109.0	355713.7
64	265313.0	449468.0	695289.0	318423.0	113791.0	313726.0	396384.0	293340.0	393294.0	318109.0	355713.7
65	265313.0	449468.0	695289.0	318423.0	113791.0	313726.0	396384.0	293340.0	393294.0	318109.0	355713.7
66	265313.0	449468.0	695289.0	318423.0	113791.0	313726.0	396384.0	293340.0	393294.0	318109.0	355713.7
67	265313.0	449468.0	642380.0	318423.0	113791.0	313726.0	396384.0	293340.0	393294.0	318109.0	350422.8
68	265313.0	449468.0	642380.0	318423.0	113791.0	313726.0	396384.0	293340.0	393294.0	318109.0	350422.8
69	265313.0	449468.0	642380.0	318423.0	113791.0	313726.0	396384.0	293340.0	393294.0	318109.0	350422.8
70	265313.0	449468.0	642380.0	318423.0	113791.0	313726.0	396384.0	293340.0	393294.0	318109.0	350422.8
71	265313.0	449468.0	642380.0	318423.0	113791.0	313726.0	396384.0	293340.0	393294.0	318109.0	350422.8
72	265313.0	449468.0	642380.0	318423.0	113791.0	313726.0	396384.0	293340.0	393294.0	318109.0	350422.8
73	265313.0	449468.0	642380.0	205125.0	113791.0	313726.0	396384.0	293340.0	393294.0	318109.0	339093.0
74	265313.0	449468.0	642380.0	205125.0	113791.0	313726.0	396384.0	293340.0	393294.0	318109.0	339093.0
