%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far	best_so_far	best_so_far
1        NO_ID      0              0              0              0              0              0              0              0              0              0              9              
2        NO_ID      -9.998434726   -3.692442371   1.121064439    1.730026385    -3.446552518   -6.208162734   -0.5910767571  5.772943374    5.859281167    -3.061420812   1498710.95     	1.49871e+06	1.49871e+06	1.49871e+06
3        NO_ID      6.700415498    -6.116725586   -3.806930778   -3.085577895   0.6923270089   -4.059961333   4.229876815    -8.460362758   6.683130151    3.368447504    1147303.593    	1.14730e+06	1.14730e+06	1.14730e+06
4        NO_ID      -6.502805108   7.354542472    7.795328571    -3.912701054   -0.7666218983  -4.614244483   8.392978152    0.7837924598   -6.80012863    -9.761881111   1604554.265    	1.14730e+06	1.14730e+06	1.14730e+06
5        NO_ID      -7.935833902   2.439607937    2.490598733    -0.5070972585  -2.783623083   -4.353154774   -3.472286422   1.28209719     8.207477107    3.067734145    867532.1964    	8.67532e+05	8.67532e+05	8.67532e+05
6        NO_ID      -0.5922228799  6.510057243    -5.467919845   0.6711669968   0.3037149507   4.53717659     -3.67305638    6.941425715    4.541993353    -2.71771887    628408.7773    	6.28409e+05	6.28409e+05	6.28409e+05
7        NO_ID      3.298955575    5.546353001    -2.445113264   4.981368061    1.852995861    3.301440083    7.303476602    9.531257311    -8.158379671   2.11286551     1754914.945    	6.28409e+05	6.28409e+05	6.28409e+05
8        NO_ID      -9.069381533   -9.095421051   -6.741607271   -6.193411768   7.328422404    8.795336997    3.228901445    8.146578976    -0.447150008   4.749815042    3198585.288    	6.28409e+05	6.28409e+05	6.28409e+05
9        NO_ID      -9.858581042   6.828429604    5.416360058    -7.236511604   -4.050521261   2.88916499     -1.804009234   0.01679674257  2.302852437    4.040909351    1469036.539    	6.28409e+05	6.28409e+05	6.28409e+05
10       NO_ID      -4.436539949   -4.92692488    -6.826459745   7.691060238    3.649426351    -4.091316422   -2.755097138   -4.917600311   9.891575798    7.714442731    1533777.458    	6.28409e+05	6.28409e+05	6.28409e+05
11       NO_ID      -3.361024313   -8.735633781   0.2030496067   -7.345259552   8.222716506    -0.803687978   -7.58384589    -1.69787211    3.863454449    -6.921076885   1707582.291    	6.28409e+05	6.28409e+05	6.28409e+05
12       NO_ID      -2.539204886   3.5834737      7.442474299    5.665540786    0.7439954163   4.330962167    -9.518854599   -3.389249124   -3.110031771   9.696023809    1335788.883    	6.28409e+05	6.28409e+05	6.28409e+05
13       NO_ID      1.072151992    -0.341469818   0.9167696493   8.147496273    -5.030141731   -1.592077497   1.95350451     -7.449697031   -7.058006458   -3.914547625   1280897.074    	6.28409e+05	6.28409e+05	6.28409e+05
14       NO_ID      8.198067331    4.917629554    -9.400079809   -7.14134734    -4.624741839   -8.036081427   -2.420540123   -2.017839044   6.179181764    -6.492092692   2464372.205    	6.28409e+05	6.28409e+05	6.28409e+05
15       NO_ID      7.398132429    0.4117371935   0.06701191425  6.269242752    7.162940743    7.545067425    9.948206497    -0.4933993381  7.437324634    -0.8848681072  2125039.273    	6.28409e+05	6.28409e+05	6.28409e+05
16       NO_ID      8.021722007    1.08176529     1.229227721    -0.3696875695  6.661019417    -8.246661275   -1.636045711   2.979736139    0.425281306    7.702909865    1179730.178    	6.28409e+05	6.28409e+05	6.28409e+05
17       NO_ID      2.806105731    2.219028153    -4.793838791   9.951439872    -6.150065221   -4.146168714   -4.657568231   0.2507483076   -5.673194824   -9.385400824   1582157.062    	6.28409e+05	6.28409e+05	6.28409e+05
18       NO_ID      -0.4316483393  5.286360614    7.862833942    -9.349933061   -4.324963723   -9.665300203   -4.700517391   -1.595793577   -0.5026439813  -7.937392889   2498579.146    	6.28409e+05	6.28409e+05	6.28409e+05
19       NO_ID      -3.762293707   7.129674227    8.43472599     2.439710401    4.212713025    3.067805764    0.6114727122   -2.978126338   6.630633751    1.061456823    872199.4437    	6.28409e+05	6.28409e+05	6.28409e+05
20       NO_ID      -0.09517105766 0.46003385     -8.211082592   -3.665119937   0.3292110238   -6.95032317    5.918473516    -8.215622948   0.02511881759  2.171967184    1357278.474    	6.28409e+05	6.28409e+05	6.28409e+05
21       NO_ID      4.252465709    -8.808824969   -9.921252318   -6.487703415   1.168706432    2.448995864    0.2734900779   -3.452260007   -2.133935891   -5.060522629   2140433.737    	6.28409e+05	6.28409e+05	6.28409e+05
22       NO_ID      7.796182622    -9.55867025    7.429099957    0.8829805399   0.2539336729   7.863240623    -2.514851732   -7.113066771   -9.313214393   -7.194303366   3174106.359    	6.28409e+05	6.28409e+05	6.28409e+05
23       NO_ID      5.343327967    5.313143793    -1.99226813    -4.050463929   3.852747573    -6.871533048   -9.855934605   -8.692905148   -1.656820463   -6.181519235   2265148.071    	6.28409e+05	6.28409e+05	6.28409e+05
24       NO_ID      7.206223447    -5.002518918   2.664546842    3.038774586    -7.31553587    7.788631868    3.535813044    6.409823939    9.910949413    -6.673220888   2140238.159    	6.28409e+05	6.28409e+05	6.28409e+05
25       NO_ID      3.176533809    8.003735923    -1.210338609   -2.161000209   0.06948726721  7.872499934    -6.893603577   -0.7953146616  -6.853517469   -7.068108477   1441702.683    	6.28409e+05	6.28409e+05	6.28409e+05
26       NO_ID      6.300823771    -2.054887466   3.506356279    -8.670016564   3.031612054    -7.696208524   9.823330808    0.7208959156   -3.902346042   -6.729926875   1979183.225    	6.28409e+05	6.28409e+05	6.28409e+05
27       NO_ID      -9.880991504   -9.824200012   4.670403225    -4.533001992   -6.164482374   -6.455256807   6.498846457    6.112396762    -8.947623968   -2.71602403    3491036.421    	6.28409e+05	6.28409e+05	6.28409e+05
28       NO_ID      -8.215877813   -4.258409605   8.909760667    6.347521924    2.800970689    -4.085632746   -7.229564505   -7.290640081   6.212159496    7.764647583    1939364.097    	6.28409e+05	6.28409e+05	6.28409e+05
29       NO_ID      0.4319336593   -0.490987641   7.970717139    3.842948402    8.433795859    6.807007388    5.373164339    6.773040517    -5.508036462   6.431177099    1318078.785    	6.28409e+05	6.28409e+05	6.28409e+05
30       NO_ID      8.79349457     -7.73675464    8.364767487    6.647159567    -1.189150639   -6.054781282   -2.709012391   9.628738146    -9.797978457   5.376073716    3629255.644    	6.28409e+05	6.28409e+05	6.28409e+05
31       NO_ID      -4.32905657    1.546235937    7.587400115    1.433731174    -3.280161393   -9.672524417   -6.117870918   -3.056512081   9.201460937    8.953962549    2122982.282    	6.28409e+05	6.28409e+05	6.28409e+05
32       NO_ID      9.24856239     0.5880825923   3.904128398    -3.314018675   1.288132524    9.643327277    -4.598455669   -6.244423937   9.966888046    -6.51261295    3005570.467    	6.28409e+05	6.28409e+05	6.28409e+05
33       NO_ID      2.514144384    -4.775344662   0.7822691606   7.597782667    -4.066722325   -9.402117626   -1.390947966   2.3375418      7.065035113    2.045139117    1550733.877    	6.28409e+05	6.28409e+05	6.28409e+05
34       NO_ID      -7.346857431   1.367156502    -2.200678201   -6.798532371   -2.933556872   -4.290346417   -7.852226821   7.623824402    -6.383282587   -3.830441569   1526310.056    	6.28409e+05	6.28409e+05	6.28409e+05
35       NO_ID      1.768551512    4.045255163    8.603520747    -0.6268114925  5.179244734    7.566243744    5.858609665    5.652641661    3.948401527    0.7844562879   1049524.374    	6.28409e+05	6.28409e+05	6.28409e+05
36       NO_ID      4.356830332    5.247384261    -7.212725551   -4.278327271   -5.846435975   -1.049435386   2.13946764     -1.967375973   -5.687981982   2.086834597    744398.1001    	6.28409e+05	6.28409e+05	6.28409e+05
37       NO_ID      -6.570936449   2.271099338    -9.633418936   -8.872059229   7.300534228    0.07877787113  4.019680104    -1.236488247   -1.657966232   -5.438457325   2056109.84     	6.28409e+05	6.28409e+05	6.28409e+05
38       NO_ID      -4.152258576   -7.009886241   4.841946557    -1.404222805   -0.7726798629  -6.430456199   3.322664207    4.017334838    -0.6533709125  -1.204926237   500664.712     	5.00665e+05	5.00665e+05	5.00665e+05
39       NO_ID      8.804733166    1.150319526    -6.579733638   -5.583259964   2.149782233    -8.610009802   -8.434739829   -2.672310096   6.48422336     0.3420185998   2331132.599    	5.00665e+05	5.00665e+05	5.00665e+05
40       NO_ID      8.306606523    9.135830449    5.902348578    0.7725492822   4.235785731    -9.149215314   9.13821523     5.983376939    2.616211117    -9.339763289   2444424.581    	5.00665e+05	5.00665e+05	5.00665e+05
41       NO_ID      6.598401608    -0.6641705756  -2.714864739   -8.73166196    6.957440095    -6.304315467   3.369953266    -1.195457471   7.946282214    -6.834821569   1643968.644    	5.00665e+05	5.00665e+05	5.00665e+05
42       NO_ID      7.153886611    -4.627725908   1.81066603     -8.136030686   -2.267742144   6.057784639    -6.813566851   4.381937307    7.220326875    -7.966212322   1573615.603    	5.00665e+05	5.00665e+05	5.00665e+05
43       NO_ID      -8.130495659   -9.240543106   -5.807986192   5.176065748    -5.862970443   1.055758135    4.126974165    2.054783884    -5.247253857   9.404421998    1764074.436    	5.00665e+05	5.00665e+05	5.00665e+05
44       NO_ID      0.1205188828   5.560863472    1.432379229    -6.002302736   -0.7020847084  0.06230668633  7.188477208    -3.263573066   9.127479931    5.555199196    1143461.274    	5.00665e+05	5.00665e+05	5.00665e+05
