%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far	best_so_far	best_so_far
1        NO_ID      -4.056049154   6.408359541    2.456751161    2.066374742    2.553971931    3.770452585    -1.011365855   2.356151504    5.306333679    -0.1513026456  265391.2786    
2        NO_ID      -6.740069065   -8.496972176   -5.947244295   -4.276949086   -1.734830747   -6.314082277   -8.211515877   -4.167944616   -0.6082971867  -4.516774448   1886350.121    	1.88635e+06	1.88635e+06	1.88635e+06
3        NO_ID      -1.114375534   -4.766154911   -7.726278492   -5.824746709   7.036537267    5.88642662     4.187030712    -0.8577958636  -8.7009276     1.799700652    1470277.652    	1.47028e+06	1.47028e+06	1.47028e+06
4        NO_ID      -7.769114665   4.365273601    6.232339087    -3.510397057   -6.843473396   -4.364880185   2.412580307    4.8279527      3.3882365      6.982699099    877948.1385    	8.77948e+05	8.77948e+05	8.77948e+05
5        NO_ID      -7.559070273   3.553497652    0.4020500083   5.432973428    -1.248599072   4.414699677    -4.418815481   3.545501097    0.005548859993 5.741798235    502276.4864    	5.02276e+05	5.02276e+05	5.02276e+05
6        NO_ID      -5.494171582   -1.535291737   6.643857995    -9.593882104   -0.9181600707  -3.718764314   9.595308911    4.646912251    5.523268654    -4.399332911   2171519.61     	5.02276e+05	5.02276e+05	5.02276e+05
7        NO_ID      -6.502964817   -0.5212133417  -9.685009292   7.256651749    4.629735265    -3.003372327   -4.953890877   5.253325179    5.987243846    6.154195594    1424463.174    	5.02276e+05	5.02276e+05	5.02276e+05
8        NO_ID      -5.263394801   -5.659591593   -2.49270926    0.2019943812   -8.799067296   -5.871637647   7.737850375    -6.373114648   4.911393746    -2.992582441   1647460.254    	5.02276e+05	5.02276e+05	5.02276e+05
9        NO_ID      -9.090067505   -6.205883937   4.373941724    -1.49485335    -2.238973692   -4.929855292   -7.773367394   0.03895886568  -6.238732958   7.526167823    1530500.923    	5.02276e+05	5.02276e+05	5.02276e+05
10       NO_ID      -2.918538433   9.157234449    8.65725385     8.585180319    6.076158516    -8.292731306   6.442319516    9.168212519    7.42283372     3.237048795    3017397.678    	5.02276e+05	5.02276e+05	5.02276e+05
11       NO_ID      -0.9767613355  -7.994559527   -1.344512157   6.670834485    -8.51480505    2.306476981    5.282933652    7.649746858    -9.955939669   -6.21192049    2829840.141    	5.02276e+05	5.02276e+05	5.02276e+05
12       NO_ID      -1.586942699   0.4758421133   -8.915772326   -4.913250817   9.35804876     -7.184152365   -6.117396672   -7.809142273   9.070878856    -5.668879936   3222255.813    	5.02276e+05	5.02276e+05	5.02276e+05
13       NO_ID      8.955311838    8.932296265    5.501082327    6.932393558    -8.13078037    0.1666424984   6.856053657    8.057935098    -9.675040174   -7.36868299    3597700.939    	5.02276e+05	5.02276e+05	5.02276e+05
14       NO_ID      -6.346634545   7.845877193    -1.150837768   1.30055575     5.002647407    5.410698035    -1.550489825   6.914562457    -2.722605756   -7.112981515   911728.7592    	5.02276e+05	5.02276e+05	5.02276e+05
15       NO_ID      -3.748300384   -9.126731521   4.655087573    9.153947394    -7.064483032   0.2730956774   3.613932119    -7.599503516   4.108663729    -0.4384066576  2121789.54     	5.02276e+05	5.02276e+05	5.02276e+05
16       NO_ID      1.669965257    9.776330446    -8.650244424   -0.1735816484  -4.916218538   -6.115118127   0.4507096542   3.392873367    -0.2846580677  -6.494508296   1903879.431    	5.02276e+05	5.02276e+05	5.02276e+05
17       NO_ID      7.268322731    -3.735425157   -4.691961698   9.383342923    3.830097293    -8.521805148   7.565711033    -0.3249237135  1.471301962    4.518748074    1889344.472    	5.02276e+05	5.02276e+05	5.02276e+05
18       NO_ID      3.558617949    8.528768386    4.569022624    -0.5628820528  4.234888565    -5.056853882   6.779280954    -1.580306275   -1.417596245   6.605007721    831920.2666    	5.02276e+05	5.02276e+05	5.02276e+05
19       NO_ID      9.790748444    4.082981167    -4.278311567   -2.051227594   -3.441533957   -6.760220181   -6.749743417   -0.6355375062  5.608953392    9.160943728    1509282.944    	5.02276e+05	5.02276e+05	5.02276e+05
20       NO_ID      8.361835057    -9.210381915   7.16730353     -8.036106925   6.435661965    -2.496294994   8.744378203    -8.980007012   8.235938552    0.8370360386   3817444.977    	5.02276e+05	5.02276e+05	5.02276e+05
21       NO_ID      2.693734716    7.560690426    1.435023278    3.989338825    2.142601458    7.839979236    -5.229914034   -3.211025081   -4.892538636   -2.336543329   961549.6938    	5.02276e+05	5.02276e+05	5.02276e+05
22       NO_ID      -0.5636545925  5.468382321    0.9258719453   -1.33526336    1.376124412    0.997772419    -0.02694093138 9.668241991    1.999913955    -2.125067968   937273.4882    	5.02276e+05	5.02276e+05	5.02276e+05
23       NO_ID      -5.173084012   -2.813474288   2.01905761     -8.389555455   8.849250718    7.14540566     -8.485110732   -6.142827318   -0.1316706839  1.404788939    2100639.186    	5.02276e+05	5.02276e+05	5.02276e+05
24       NO_ID      2.928081345    -3.247614      8.806249512    9.488277725    1.151202601    0.717819422    -2.661333235   8.242788209    -2.47520809    -4.861894544   1776784.016    	5.02276e+05	5.02276e+05	5.02276e+05
25       NO_ID      -9.762983584   -8.155800369   3.105964235    -9.796777947   9.890815661    -3.387938479   -7.333868619   4.538847825    -3.745518844   3.715840393    3624442.366    	5.02276e+05	5.02276e+05	5.02276e+05
26       NO_ID      -0.7806938157  -5.047008027   -9.573209158   -3.327514524   -2.943828002   8.480527585    -3.532526342   5.506948598    -4.563846334   -6.811967539   1820277.079    	5.02276e+05	5.02276e+05	5.02276e+05
27       NO_ID      4.322605939    6.729402845    -3.220725225   -8.417868897   -5.173721079   3.39030203     0.6730532068   -7.66903839    -6.103085508   -4.624142609   1533027.695    	5.02276e+05	5.02276e+05	5.02276e+05
28       NO_ID      -8.31592644    9.993658114    3.257120746    3.371567903    -2.185147838   6.647277443    8.97605979     -9.895366134   7.712821562    2.927312683    3383849.464    	5.02276e+05	5.02276e+05	5.02276e+05
29       NO_ID      -1.740596328   9.234095426    -6.089092105   4.488914188    8.138479849    3.455981432    -6.971115907   5.059904254    -2.23275016    -3.327994736   1663214.082    	5.02276e+05	5.02276e+05	5.02276e+05
30       NO_ID      5.02389696     -7.650673717   -6.838557772   -1.64916381    0.4870167299   4.128187728    -1.381906404   2.444057978    1.219710002    -9.62415308    820689.0158    	5.02276e+05	5.02276e+05	5.02276e+05
31       NO_ID      0.6443670334   -1.289273231   6.432293313    9.971693668    9.550050653    2.138830509    4.667753727    1.879361217    -7.442754297   8.292647476    1976169.444    	5.02276e+05	5.02276e+05	5.02276e+05
32       NO_ID      3.701047343    6.392491915    -5.21417202    -2.502989247   4.928490485    9.203011227    9.72221786     -4.338727065   -5.600136617   8.41021143     1980833.34     	5.02276e+05	5.02276e+05	5.02276e+05
33       NO_ID      5.429712956    7.191569134    -9.304631319   1.848633358    0.7947998732   -3.422947264   -5.542472948   -1.019230767   -4.182270138   -3.609162348   1320303.463    	5.02276e+05	5.02276e+05	5.02276e+05
34       NO_ID      0.8213891369   6.947679951    0.2425534742   -0.3099545641  3.24572205     -8.122683308   5.929755722    4.372395292    6.873680647    1.802594139    947507.4166    	5.02276e+05	5.02276e+05	5.02276e+05
35       NO_ID      4.798170399    -0.8852715003  4.109899364    0.9554206008   -9.723667485   -0.9564185357  -1.710317308   -9.269701232   9.438440428    0.5152308703   2392507        	5.02276e+05	5.02276e+05	5.02276e+05
36       NO_ID      4.916000837    0.2011088842   -2.681748529   5.095107794    2.608083957    -2.023295662   9.898781644    -4.503855356   -7.619322067   -1.338898329   1605580.059    	5.02276e+05	5.02276e+05	5.02276e+05
37       NO_ID      6.192910216    1.442586648    9.16255639     6.42042759     2.397460971    -6.951532499   -5.819340769   6.753580156    6.675544598    4.205701715    1590644.212    	5.02276e+05	5.02276e+05	5.02276e+05
38       NO_ID      -3.429204942   5.126168531    -7.891330953   -4.48256516    -6.631533391   1.398990053    8.462305881    6.519403309    0.9722801589   3.143329688    1420665.11     	5.02276e+05	5.02276e+05	5.02276e+05
39       NO_ID      0.1193490616   -3.895186624   9.7409255      -9.982487498   7.867932654    2.680558988    5.658267543    1.515974695    6.230573482    -1.779882703   2557313.663    	5.02276e+05	5.02276e+05	5.02276e+05
40       NO_ID      -5.875773233   -2.603369312   3.805276829    5.605040285    -7.313757219   -7.564855162   -9.525421423   -8.18962117    -7.897710255   -8.187700157   3153978.742    	5.02276e+05	5.02276e+05	5.02276e+05
41       NO_ID      0.3131530261   -7.550564553   -8.480204005   9.740452848    0.8441762438   4.203705919    0.3491077629   -5.951001172   -5.569186776   9.710555992    1954130.985    	5.02276e+05	5.02276e+05	5.02276e+05
42       NO_ID      -9.912801019   8.375840406    7.544069605    -0.7671161817  5.277380069    1.765230163    0.001890074601 -2.714291944   9.732527041    -7.568811096   2651871.883    	5.02276e+05	5.02276e+05	5.02276e+05
43       NO_ID      1.153498235    -8.31874499    -3.653435502   -3.158590033   5.771023933    -7.653062938   -2.556242611   -3.042840428   2.548140382    9.866554616    1125566.173    	5.02276e+05	5.02276e+05	5.02276e+05
44       NO_ID      -7.933933036   -7.186571126   -6.681583085   8.325636244    -8.316432751   -8.854873984   -0.8974978403  -0.07168542617 -1.879647255   2.552486112    2805291.231    	5.02276e+05	5.02276e+05	5.02276e+05
45       NO_ID      -4.900287766   3.277504685    8.324654467    -5.51352218    -4.730673996   7.697860259    -6.432651294   -5.673746521   -7.037498883   -0.2860046688  1803553.505    	5.02276e+05	5.02276e+05	5.02276e+05
46       NO_ID      0.4452024006   8.083350687    2.37599807     -2.311085147   9.75246705     -9.764871063   -8.760607135   -9.534988639   -7.35855931    -4.035439686   4644128.98     	5.02276e+05	5.02276e+05	5.02276e+05
47       NO_ID      -4.482640604   4.682349288    -3.475287364   -4.741914651   7.549007652    7.292689852    -6.22375294    0.6403799005   -2.189853075   0.2102106817   886885.2691    	5.02276e+05	5.02276e+05	5.02276e+05
48       NO_ID      -2.006073518   -4.407937254   0.6000247168   1.79134952     8.596097016    -3.857335687   5.184208827    1.762636343    -0.8039672858  6.392573006    727623.7207    	5.02276e+05	5.02276e+05	5.02276e+05
