%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far	best_so_far	best_so_far
1        NO_ID      0.2131419078   5.785344137    0.7167087063   -2.062042941   -8.732155019   -8.941111384   -4.818235503   5.04336382     -4.553660094   1.194314409    1733764.41     
2        NO_ID      2.374061295    -9.614118669   -2.160939058   -6.000519202   6.670481583    1.371976255    4.457337407    1.054578503    6.468724055    -6.045660379   1469951.795    	1.46995e+06	1.46995e+06	1.46995e+06
3        NO_ID      -3.122685744   -0.679287298   -2.211482829   -5.926732772   4.024998514    2.438026       7.791013187    -4.893933238   -1.017540056   -3.756711422   634372.0532    	6.34372e+05	6.34372e+05	6.34372e+05
4        NO_ID      -8.260454235   -1.756513942   5.186282854    -2.381817891   6.080762052    9.287146948    3.998598241    5.499411558    8.669441482    4.561077704    1885542.884    	6.34372e+05	6.34372e+05	6.34372e+05
5        NO_ID      -1.392043928   -8.184858725   -0.6037580151  -9.736744699   -2.559137725   -2.586206113   5.371498647    -1.4393008     -8.595987684   8.264752263    1968021.85     	6.34372e+05	6.34372e+05	6.34372e+05
6        NO_ID      4.504880817    -7.662882359   -7.875286232   -4.947147898   -3.988558816   -4.036966722   4.912372454    9.388219503    6.825796757    2.177091581    1984416.996    	6.34372e+05	6.34372e+05	6.34372e+05
7        NO_ID      6.079380001    0.7183747292   -2.581971656   6.467169882    -7.349700307   6.463885038    8.359182561    9.668090525    -0.4011016679  8.66011045     1963193.612    	6.34372e+05	6.34372e+05	6.34372e+05
8        NO_ID      -8.080488759   -3.660203795   -7.212573099   -1.303119173   -5.79491966    4.643633134    -1.368581307   -1.301778484   -3.463862193   -8.549729057   990394.5179    	6.34372e+05	6.34372e+05	6.34372e+05
9        NO_ID      5.448207721    4.168741398    9.513068872    -0.9189572872  -6.827330576   3.041392605    -7.085753159   -8.974258101   -4.022068832   5.185983857    2207137.334    	6.34372e+05	6.34372e+05	6.34372e+05
10       NO_ID      0.635172247    -8.574763668   -0.95402062    -1.023160427   -0.8718878161  1.766795378    -1.093554295   0.5280340186   -2.038452409   -4.551608049   573696.896     	5.73697e+05	5.73697e+05	5.73697e+05
11       NO_ID      -6.749403528   -1.097053205   -3.216497638   -7.645205675   5.090765848    4.961649945    6.015553754    -1.925342434   7.020984293    -0.325955174   1008010.751    	5.73697e+05	5.73697e+05	5.73697e+05
12       NO_ID      5.729961023    -4.924716106   -6.102365782   -8.382245428   2.358400116    0.7915519504   2.181728083    0.189787886    9.53140201     -7.417568931   1883423.147    	5.73697e+05	5.73697e+05	5.73697e+05
13       NO_ID      -7.9567821     9.687353258    3.894393613    -5.26637755    -6.482473119   5.224643327    -1.772494431   3.334639295    6.372636068    2.717547616    1621556.721    	5.73697e+05	5.73697e+05	5.73697e+05
14       NO_ID      -7.355098815   7.373154984    6.762167423    2.8059548      8.390333718    -3.431588669   7.011516268    9.166969193    -8.976171021   -7.940334601   2985390.221    	5.73697e+05	5.73697e+05	5.73697e+05
15       NO_ID      -1.796195052   9.177159419    -1.397914666   4.922362471    -5.497722543   -4.283216026   2.966265466    -2.966076434   -4.333441679   7.35646797     1012920.153    	5.73697e+05	5.73697e+05	5.73697e+05
16       NO_ID      1.985030632    1.804323739    -8.985543349   -2.850151597   -2.141427848   9.61154502     -3.617848741   1.276127978    -7.780392831   -7.682110725   2137283.818    	5.73697e+05	5.73697e+05	5.73697e+05
17       NO_ID      9.809481099    -2.350909258   -1.44740127    -8.154603796   -8.321350655   -1.528932674   -1.585566516   -4.522541689   -1.831261627   2.838683795    2104283.233    	5.73697e+05	5.73697e+05	5.73697e+05
18       NO_ID      -2.208669407   8.664123129    5.899992291    7.839046232    -6.75305659    -5.514796449   0.5696452662   4.939415712    -7.578423155   -6.856764926   1886152.136    	5.73697e+05	5.73697e+05	5.73697e+05
19       NO_ID      -6.313041694   4.962028885    -0.5926276886  -2.782616877   2.85589072     7.712206513    6.857062187    8.560342818    2.992749888    -3.113890698   1122343.569    	5.73697e+05	5.73697e+05	5.73697e+05
20       NO_ID      3.845752534    2.30413488     6.081524335    -9.24922891    2.515446413    6.219839859    -7.729229587   3.657770985    -9.186438367   1.791623758    2182366.511    	5.73697e+05	5.73697e+05	5.73697e+05
21       NO_ID      4.109040531    5.987458296    3.254494292    3.957890502    -8.945907185   3.285630996    -5.357257388   7.362132681    4.168683722    -3.901865618   1139518.454    	5.73697e+05	5.73697e+05	5.73697e+05
22       NO_ID      2.105581765    -1.85348131    -3.841115337   7.523072403    -3.490238976   8.770013027    5.057683543    -7.878771156   0.2031318989   -0.111426954   1388021.174    	5.73697e+05	5.73697e+05	5.73697e+05
23       NO_ID      0.5201485454   -0.01120986538 9.145910918    4.08902504     5.836703998    9.931807105    -9.270910331   -7.27014029    7.445744756    0.3408992714   3255092.203    	5.73697e+05	5.73697e+05	5.73697e+05
24       NO_ID      -0.5107301599  -6.316644739   6.556306225    9.994340664    8.732557653    -6.671338295   -3.23614759    7.579373207    4.649460508    0.09641956971  2297185.495    	5.73697e+05	5.73697e+05	5.73697e+05
25       NO_ID      -6.860315952   -7.416323392   -2.765244041   5.386675834    -4.163107726   9.596087507    6.268073232    0.293483672    -6.233176532   7.67164361     1737175.836    	5.73697e+05	5.73697e+05	5.73697e+05
26       NO_ID      7.235794782    3.825787067    -1.906902065   8.789487427    9.775012469    -6.277978721   -3.193791467   -0.9211822387  -0.03796426444 -8.640083691   1959534.429    	5.73697e+05	5.73697e+05	5.73697e+05
27       NO_ID      -3.598202781   6.247230333    -3.518274643   -3.680648422   5.208579706    2.927772622    -9.534639047   4.016342804    8.438879782    6.431074328    1490540.093    	5.73697e+05	5.73697e+05	5.73697e+05
28       NO_ID      -1.410204539   5.302048726    1.803343532    -3.3438975     -5.372728962   1.498187232    9.229545402    -6.480093556   0.6513670844   -2.405401164   1193996.921    	5.73697e+05	5.73697e+05	5.73697e+05
29       NO_ID      1.681688771    -0.3869864384  -5.307534128   -0.2088390808  7.949165513    8.872396423    0.9895187133   -8.41636334    -3.09206967    9.169077298    1545648.558    	5.73697e+05	5.73697e+05	5.73697e+05
30       NO_ID      -2.946705243   -5.519034957   -9.947815568   -2.454454266   4.212513381    3.96923858     -8.951570871   -8.141691249   -7.975672472   -9.564797304   3158907.218    	5.73697e+05	5.73697e+05	5.73697e+05
31       NO_ID      7.870334742    -9.820899768   4.819865552    3.478827267    2.799603698    8.43029785     9.57419001     -5.874971762   9.351475278    3.474805872    3500827.49     	5.73697e+05	5.73697e+05	5.73697e+05
32       NO_ID      -4.121646761   0.4258373565   -8.619515628   -3.406265174   3.505814477    -9.022259483   -0.05094015836 7.111635106    0.1474963352   1.291551842    1614162.089    	5.73697e+05	5.73697e+05	5.73697e+05
33       NO_ID      -5.560462986   -9.527429282   0.008018224314 5.893506494    -1.004818943   -0.3272045358  5.68663373     8.95027669     2.619370084    -4.739943746   1790753.753    	5.73697e+05	5.73697e+05	5.73697e+05
34       NO_ID      -4.367231551   -6.633962381   -1.04943596    3.789165659    -7.648870142   -4.795734032   -5.058560031   4.370562709    -2.831952197   5.921617023    891531.3053    	5.73697e+05	5.73697e+05	5.73697e+05
35       NO_ID      8.671753275    3.302930739    2.53331168     3.038989538    -2.214962974   8.114364939    3.769107819    -5.429365314   6.141429324    -9.063014231   1236583.043    	5.73697e+05	5.73697e+05	5.73697e+05
36       NO_ID      -3.880533211   9.509075383    -9.517505557   7.681596454    -4.209156181   -0.5564167728  -2.517616733   -3.135467797   9.142900218    -0.475683433   2839109.225    	5.73697e+05	5.73697e+05	5.73697e+05
37       NO_ID      1.173176551    7.185481722    -5.799215821   -4.515526811   8.031306441    -1.986333075   8.600156179    -2.655120599   -7.096479976   7.564662397    1728717.316    	5.73697e+05	5.73697e+05	5.73697e+05
38       NO_ID      4.636144119    2.421963624    7.103154336    1.176808477    3.882608209    7.422671381    -2.349971619   5.716012699    3.096817601    -2.878662303   719007.4618    	5.73697e+05	5.73697e+05	5.73697e+05
39       NO_ID      4.242236111    -2.591070434   3.12296389     6.749449689    -0.5798899538  -4.853956934   -0.3390368583  -2.041899132   3.64647486     -2.116406022   341599.406     	3.41599e+05	3.41599e+05	3.41599e+05
40       NO_ID      8.100506612    8.878556234    8.881918278    3.307556334    0.9319788469   8.239022232    8.450722505    -8.304062436   -5.885710936   -6.393808619   3115562.645    	3.41599e+05	3.41599e+05	3.41599e+05
41       NO_ID      -3.277494931   -0.5871497246  8.62783636     -9.985269525   1.235969927    -5.718648835   3.232400847    4.457619813    -2.469521705   -4.923846046   1860099.342    	3.41599e+05	3.41599e+05	3.41599e+05
42       NO_ID      1.568705624    0.1080149471   -4.049357584   9.372131173    4.446756086    2.606611894    -2.0019142     9.42948107     5.253380459    -1.955656858   1530156.359    	3.41599e+05	3.41599e+05	3.41599e+05
43       NO_ID      0.8335944368   -6.936865302   -3.011240499   -7.83411641    -8.115041549   -9.596493266   8.940625976    -0.2856154993  7.298973944    0.6138069829   2965916.88     	3.41599e+05	3.41599e+05	3.41599e+05
44       NO_ID      6.326532796    -9.352771736   -5.588223982   2.475068029    3.64637104     2.301000082    -5.576874269   9.957409594    2.416564706    2.49250733     2198956.97     	3.41599e+05	3.41599e+05	3.41599e+05
45       NO_ID      1.346676033    4.366227087    1.580875324    6.98149293     0.4963534316   5.988096475    -8.177685819   -2.269048811   2.095670106    -1.617987866   945984.4825    	3.41599e+05	3.41599e+05	3.41599e+05
46       NO_ID      6.524783223    -3.183067678   -0.1831235169  1.403988472    6.513473793    -9.88314487    -9.745511097   -4.085406722   -1.742447848   6.78632222     2666846.074    	3.41599e+05	3.41599e+05	3.41599e+05
47       NO_ID      -2.791167989   -5.728725382   8.379618356    7.016780077    -7.945926904   7.809864955    -8.610388439   -0.459146974   1.837053256    8.115534109    2154373.337    	3.41599e+05	3.41599e+05	3.41599e+05
48       NO_ID      -9.806594032   8.393535926    -8.561352184   9.633023623    1.422374863    5.781492441    6.457455657    -9.695907665   4.279076988    -2.722558824   3823176.988    	3.41599e+05	3.41599e+05	3.41599e+05
49       NO_ID      -7.771707165   7.435481596    0.9086580628   0.03037712052  -0.6526999461  -2.71188019    -5.696438379   7.792676433    -5.533219488   -1.541850935   1197841.363    	3.41599e+05	3.41599e+05	3.41599e+05
50       NO_ID      -7.404745109   2.009706828    -3.648928121   -0.1967032764  7.033032355    -3.666948645   -3.887443277   0.6824933759   1.172264666    -6.582534017   647770.0931    	3.41599e+05	3.41599e+05	3.41599e+05
51       NO_ID      -5.844123415   1.190070932    7.385161719    5.078333612    7.616541522    -7.192450964   1.29821415     -5.100393418   -8.305014586   0.9426834861   1654948.252    	3.41599e+05	3.41599e+05	3.41599e+05
52       NO_ID      2.587514317    3.714328275    4.145653887    -8.633243725   -1.614962577   -4.480699345   7.848936386    2.174476797    1.443590637    3.367211379    1031343.922    	3.41599e+05	3.41599e+05	3.41599e+05
53       NO_ID      -7.198753949   -8.761710719   -9.116193192   -5.741073488   1.077810066    -2.87588615    -6.240763124   -7.777133291   -1.228256226   -8.222507531   2627421.653    	3.41599e+05	3.41599e+05	3.41599e+05
54       NO_ID      -9.619875709   -3.480862377   -4.775197076   -5.431906787   -2.894497119   5.19308572     -9.855253498   2.776207447    -3.975813747   -9.203151612   2238653.018    	3.41599e+05	3.41599e+05	3.41599e+05
55       NO_ID      -3.63761045    -3.827797139   6.281927098    -1.888583585   5.76774214     4.13021031     -7.945380764   2.260756129    -3.78847764    1.438666585    750311.5859    	3.41599e+05	3.41599e+05	3.41599e+05
56       NO_ID      -4.603319865   -1.238596691   -7.053400257   -8.944153612   -9.342951081   9.098463186    -6.492110361   -9.249813314   -2.353946764   6.978091567    3646545.255    	3.41599e+05	3.41599e+05	3.41599e+05
57       NO_ID      9.72498617     6.429745368    2.379338371    -4.735485004   -6.287369354   6.792320637    -6.999728826   5.864744203    -9.69703524    -8.815878634   2850190.67     	3.41599e+05	3.41599e+05	3.41599e+05
58       NO_ID      6.953480994    1.473353934    -6.234795426   -1.709675862   5.46994622     2.085254233    -0.9755100105  5.300533097    9.692140094    7.196572262    1260845.424    	3.41599e+05	3.41599e+05	3.41599e+05
59       NO_ID      6.644606504    -6.424745585   9.798159363    -9.051991053   -1.897818775   3.568210861    3.440196461    0.9269782253   -0.2725495778  -7.271794311   2187755.75     	3.41599e+05	3.41599e+05	3.41599e+05
60       NO_ID      4.92752205     5.137928822    -5.077635636   -4.024584419   8.597244945    0.4818871176   9.197890479    6.736387841    -5.616947647   3.90195354     1720673.63     	3.41599e+05	3.41599e+05	3.41599e+05
61       NO_ID      8.850735931    -2.984004152   4.698357528    7.237041847    -7.108612153   7.075855743    -4.697018354   -4.299489096   5.575035486    4.134391282    1686750.075    	3.41599e+05	3.41599e+05	3.41599e+05
62       NO_ID      -8.47819288    -6.060366879   8.110385287    9.481151843    4.639204879    -1.643077853   6.615574241    -6.849386891   3.36703985     3.057624562    2241365.754    	3.41599e+05	3.41599e+05	3.41599e+05
63       NO_ID      8.537333416    -7.210585195   0.4031942552   -6.538516677   2.173224837    -1.399225472   -0.6122342179  4.766390279    0.4338547128   -1.339987632   1133285.893    	3.41599e+05	3.41599e+05	3.41599e+05
64       NO_ID      -5.027401353   4.757350629    -9.377497933   1.662441007    -8.507430048   -0.1470168554  2.348793898    -4.685483767   -6.885243625   4.62281596     1705076.429    	3.41599e+05	3.41599e+05	3.41599e+05
65       NO_ID      0.01498971735  7.83060565     -7.624641429   -5.134335572   6.927226803    -0.8132914742  1.079569568    -0.701625347   8.224142217    -5.867065807   1704533.895    	3.41599e+05	3.41599e+05	3.41599e+05
66       NO_ID      7.027750241    7.670057043    5.326338449    -1.428763246   9.818134913    4.587988308    -2.668482476   2.865282355    -9.287028579   7.863663823    2101445.014    	3.41599e+05	3.41599e+05	3.41599e+05
67       NO_ID      -0.6267421406  0.9229125683   -4.248094094   8.276166853    -6.058371025   7.294992784    -7.293814627   3.40786465     1.352931296    -2.301092884   1281042.396    	3.41599e+05	3.41599e+05	3.41599e+05
68       NO_ID      -9.005463129   0.2325743444   9.978197548    -8.576084662   6.373885184    6.135413467    3.149113646    7.969509103    7.954064045    -3.240082718   3274224.301    	3.41599e+05	3.41599e+05	3.41599e+05
69       NO_ID      3.631644682    -5.133765099   7.744090424    4.675569003    9.284531184    -6.938519023   -7.51994566    -3.840711593   7.75279841     5.49311601     2235375.563    	3.41599e+05	3.41599e+05	3.41599e+05
70       NO_ID      -1.91277067    4.497547527    7.974078428    2.023689104    -1.448102772   -3.16018887    1.973648916    -9.109838453   -2.712105162   4.278395615    1158876.251    	3.41599e+05	3.41599e+05	3.41599e+05
71       NO_ID      -4.479173613   -4.430655546   2.10698052     -3.03849021    1.910055045    -7.640381191   0.3316153429   -1.060989264   -4.762461457   -5.410119701   534013.2905    	3.41599e+05	3.41599e+05	3.41599e+05
72       NO_ID      -6.07340738    -2.680546679   -4.970907535   1.251360984    -3.381881528   -5.161297007   8.110029485    8.253078993    6.606685372    9.337319856    1117863.344    	3.41599e+05	3.41599e+05	3.41599e+05
73       NO_ID      8.293550071    9.874221237    -6.899470385   6.164964185    -1.36390529    -8.723170467   7.458322865    -3.309821132   8.104224067    8.4455835      2922104.755    	3.41599e+05	3.41599e+05	3.41599e+05
74       NO_ID      -9.490553549   -3.266098025   8.436192968    0.4443161848   -5.010334824   -1.062792741   -8.47141212    1.756380898    -6.08553456    9.599771124    2026426.839    	3.41599e+05	3.41599e+05	3.41599e+05
75       NO_ID      2.767051341    3.16662971     -1.687706307   2.218816129    -2.607649336   -0.7509856204  9.993105862    -5.6314783     -8.607665081   -9.846951321   2016337.623    	3.41599e+05	3.41599e+05	3.41599e+05
76       NO_ID      -1.042738803   -8.300441176   0.332460487    9.047075614    4.876716002    1.948128022    4.083128465    8.138668898    -8.076775602   1.844450145    2088768.247    	3.41599e+05	3.41599e+05	3.41599e+05
77       NO_ID      9.450581922    8.494524262    1.731496927    -7.24246827    -9.791215498   -5.954241216   -9.104629427   1.995147379    0.8364150013   -5.085099997   3441649.197    	3.41599e+05	3.41599e+05	3.41599e+05
78       NO_ID      -0.1117302933  2.661402534    -7.583363177   -6.869854983   9.500971971    -6.022197901   -1.912944738   -1.655745175   -6.552651521   -0.6214248415  1853230.119    	3.41599e+05	3.41599e+05	3.41599e+05
79       NO_ID      -8.657036801   -2.180960385   4.326913899    -4.212941829   -9.953850811   1.048205766    7.339410288    2.461898195    3.978805143    4.803803776    1966249.944    	3.41599e+05	3.41599e+05	3.41599e+05
80       NO_ID      -4.927700732   9.323785985    7.497937828    -0.4096059159  -0.2092088052  -8.119660182   -4.151040145   -3.743882037   4.549504376    -1.037983547   1572344.79     	3.41599e+05	3.41599e+05	3.41599e+05
81       NO_ID      3.052194416    5.530088222    -5.930509732   2.653159465    0.1877787948   5.513296007    2.702299281    -3.418612977   5.728368983    5.324124698    415637.2419    	3.41599e+05	3.41599e+05	3.41599e+05
82       NO_ID      -2.471217147   -1.421069741   -6.66426292    4.524830649    -9.589513024   -7.328875668   5.550677819    6.125247507    -0.9796468969  2.337142489    1690107.342    	3.41599e+05	3.41599e+05	3.41599e+05
83       NO_ID      9.016633819    -0.9799239146  -0.2053444005  8.977226846    -4.725633258   -3.910928591   -6.776103617   3.062916729    -5.387545461   -5.645188564   1856530.647    	3.41599e+05	3.41599e+05	3.41599e+05
84       NO_ID      5.063223244    1.753551608    -9.772614836   -6.311091868   0.3474221751   4.394995992    -6.128353425   1.488291904    -3.268899787   9.956334964    1466051.838    	3.41599e+05	3.41599e+05	3.41599e+05
85       NO_ID      -2.037787579   -4.685572246   4.401264788    8.466691276    -3.080040502   -6.573225578   0.01270747483  -7.403497626   3.40898614     -9.790131569   1137672.965    	3.41599e+05	3.41599e+05	3.41599e+05
86       NO_ID      3.407151638    -4.053311771   -4.538241087   5.46047347     9.064072931    -9.292995967   -4.431154207   -5.243285223   2.209234808    3.779524717    1921345.213    	3.41599e+05	3.41599e+05	3.41599e+05
87       NO_ID      -5.79896817    -5.219084782   9.352576358    -3.81600253    3.167174907    -9.673541892   -3.447158232   -7.195706023   4.821689329    -5.207364967   2347678.477    	3.41599e+05	3.41599e+05	3.41599e+05
88       NO_ID      5.875073687    1.27273007     -8.204076747   0.2626733252   1.687404695    -2.266509094   -8.226406333   6.99226076     8.860868306    -6.741166588   1846029.024    	3.41599e+05	3.41599e+05	3.41599e+05
89       NO_ID      -5.285528702   6.133385554    1.145372605    5.746903811    -3.778401761   -8.366453958   -5.935249608   6.211015401    -4.956907954   5.761404106    1255246.804    	3.41599e+05	3.41599e+05	3.41599e+05
90       NO_ID      7.675115154    -7.113635585   5.657607366    -7.062355746   3.22455785     -7.481170373   -0.5799045125  -9.524849537   1.617883131    9.752237111    2169092.175    	3.41599e+05	3.41599e+05	3.41599e+05
91       NO_ID      -8.828875811   8.037805151    3.426949129    -7.442653538   -7.575354422   -8.485343279   2.546903836    -6.302646577   9.955098514    -8.187415323   3469294.915    	3.41599e+05	3.41599e+05	3.41599e+05
92       NO_ID      3.221638677    -4.23091127    2.888268141    8.147490395    -5.95944699    -3.370500885   9.612325818    -2.538610957   -9.935115682   0.5807015408   2610053.323    	3.41599e+05	3.41599e+05	3.41599e+05
93       NO_ID      -0.3653669159  -8.837819013   -2.813662196   6.398132743    -4.547631556   -2.020155125   1.781701896    3.933687516    -5.059838554   -4.334047573   1054100.591    	3.41599e+05	3.41599e+05	3.41599e+05
94       NO_ID      -6.419364295   2.936804643    5.587178767    -6.732014716   7.226568401    0.9753563013   -2.925952541   -6.696650647   5.933546862    6.39062358     958658.9375    	3.41599e+05	3.41599e+05	3.41599e+05
