%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far	best_so_far	best_so_far
1        NO_ID      -9.112318155   8.679701157    9.527325307    1.505347013    -3.802273133   -8.453283539   8.83108413     -0.7991479237  2.59105608     0.804316829    2856185.943    
2        NO_ID      -8.804355421   1.100384698    -7.047896976   -2.345680955   -9.692396762   3.943452358    -5.920279542   6.356116297    -7.028478226   8.899007214    2212276.156    	2.21228e+06	2.21228e+06	2.21228e+06
3        NO_ID      -7.499775907   9.928156213    -8.905153062   -8.714589301   3.513010373    5.176362521    6.608234434    -5.639882154   -6.755122319   -0.2602906724  3317749.53     	2.21228e+06	2.21228e+06	2.21228e+06
4        NO_ID      2.874476938    -9.915525192   5.988910986    -1.944556083   -5.40892331    -9.820926643   2.504860618    2.456258636    5.064874462    5.926519302    2113006.107    	2.11301e+06	2.11301e+06	2.11301e+06
5        NO_ID      -3.109575209   -2.305535201   7.477358138    3.232040482    -0.2208780035  2.282729794    -4.460794264   9.000326407    5.674389039    4.47370466     969966.7759    	9.69967e+05	9.69967e+05	9.69967e+05
6        NO_ID      9.46866102     6.808131162    -6.798571345   9.719124222    4.296185056    2.026972926    -8.390445357   6.884765987    8.419852692    7.720730594    2912558.501    	9.69967e+05	9.69967e+05	9.69967e+05
7        NO_ID      -6.916125558   5.734983753    1.852606297    -2.795219395   -4.392074285   6.432240001    -8.95270228    2.253140093    -8.802824493   6.145054365    1697568.941    	9.69967e+05	9.69967e+05	9.69967e+05
8        NO_ID      -3.661193684   -2.630319824   1.497510497    -5.433871935   4.457874562    6.368533942    9.656701024    -8.477876659   -9.394165924   9.982796992    2519438.266    	9.69967e+05	9.69967e+05	9.69967e+05
9        NO_ID      -4.34237088    1.264885234    -1.316316681   -4.578529835   4.66300596     -4.32582502    5.495477375    5.397982826    0.1921555659   -0.6627565055  293277.8826    	2.93278e+05	2.93278e+05	2.93278e+05
10       NO_ID      8.143864824    4.104478026    -8.280029113   2.106998352    -9.849609288   1.040519491    -1.719748717   0.9857750231   -0.802549012   -6.566602936   1840318.141    	2.93278e+05	2.93278e+05	2.93278e+05
11       NO_ID      -6.746312203   -3.010990355   -7.7916854     -1.575873514   -8.951562822   -5.2059084     -1.348085781   8.848329899    7.050537388    -7.517794179   2314470.173    	2.93278e+05	2.93278e+05	2.93278e+05
12       NO_ID      1.333802649    0.4273752233   2.981836493    -2.120220354   0.3323691492   -3.424693569   -2.507097251   9.779019308    0.4097385074   -0.4849281809  944401.6138    	2.93278e+05	2.93278e+05	2.93278e+05
13       NO_ID      7.056543945    -3.626293685   -7.854367742   8.364131638    -7.057590242   -2.271202405   4.401759821    -6.300574233   -0.4136940578  0.7460045669   1705506.156    	2.93278e+05	2.93278e+05	2.93278e+05
14       NO_ID      8.283751446    -5.46341723    7.905686512    7.290215721    -5.345560832   -6.332593143   6.311652535    3.992387235    -7.319798294   -1.553196057   1966901.037    	2.93278e+05	2.93278e+05	2.93278e+05
15       NO_ID      6.309447025    9.168325929    4.717019961    6.021375348    7.418530238    -4.653475617   1.387034937    6.100197054    1.575955718    -4.826509732   1364553.502    	2.93278e+05	2.93278e+05	2.93278e+05
16       NO_ID      4.791582746    -9.073124026   7.09257736     -6.992204516   -8.598764655   -8.896329156   -9.260298435   -3.224467567   -2.800362455   8.42981581     3604753.882    	2.93278e+05	2.93278e+05	2.93278e+05
17       NO_ID      4.289301178    7.074518587    2.575340185    6.358032692    -9.587666933   9.47824704     -3.98044253    -3.552847536   -1.870728796   -3.340173462   2111843.877    	2.93278e+05	2.93278e+05	2.93278e+05
18       NO_ID      -0.6903020167  7.655312615    6.741014074    -8.980245353   6.735953707    7.78968566     7.348147018    4.619524733    4.180985698    4.11399953     1833650.246    	2.93278e+05	2.93278e+05	2.93278e+05
19       NO_ID      -2.395020155   -3.952975919   8.872323329    4.27860965     1.052303812    4.071645108    -4.978141333   6.542981503    4.827507545    -9.131068194   928136.0597    	2.93278e+05	2.93278e+05	2.93278e+05
20       NO_ID      -7.185589773   3.354980075    -0.9961686681  1.839698212    0.09245518753  -3.287405832   8.167759152    1.079675416    -9.740765185   -8.820382627   1769374.795    	2.93278e+05	2.93278e+05	2.93278e+05
21       NO_ID      7.886668433    5.439435094    -2.373505203   -5.997884018   -7.710059097   6.029844989    0.8423980348   5.197514886    9.867470008    3.250762592    1957672.254    	2.93278e+05	2.93278e+05	2.93278e+05
22       NO_ID      -1.409974101   -8.317022804   5.032979548    -6.601488457   1.336980807    -2.113644092   -4.625619019   -9.706674321   -2.133564475   -7.860549658   1753085.837    	2.93278e+05	2.93278e+05	2.93278e+05
23       NO_ID      -1.229741083   4.492126058    -5.091711574   -7.481930829   -6.370613936   8.501670335    3.549693599    -1.254995781   1.072545777    -2.320944595   1161078.047    	2.93278e+05	2.93278e+05	2.93278e+05
24       NO_ID      9.748223776    2.03310028     -5.612081448   9.435394489    6.484250741    5.855235207    -8.600158339   3.012689396    -7.977557442   8.197920458    2759462.066    	2.93278e+05	2.93278e+05	2.93278e+05
25       NO_ID      -8.138397447   -6.695130881   -7.435754478   -3.478077039   0.4889624737   9.752614414    1.663209422    9.287439333    6.844727753    -5.228907122   2952684.272    	2.93278e+05	2.93278e+05	2.93278e+05
26       NO_ID      6.662041849    -3.371274397   -6.121599689   7.165398849    -9.297646075   -0.4734935244  -7.629331864   -9.594345922   4.64699139     8.393583995    2721412.816    	2.93278e+05	2.93278e+05	2.93278e+05
27       NO_ID      7.691818595    -7.58154753    6.268678236    -6.351679417   -6.170657968   7.209402633    3.358596337    6.745961833    -3.961527286   4.232506746    1724399.951    	2.93278e+05	2.93278e+05	2.93278e+05
28       NO_ID      -7.892300826   -9.699208971   0.006734841317 -0.8612801608  -2.362394015   -1.93419009    -5.249938097   -5.453191864   0.9832036384   -3.975125629   1612288.32     	2.93278e+05	2.93278e+05	2.93278e+05
29       NO_ID      5.81670162     -0.04022100619 -9.305388838   -6.089709382   -2.647783051   3.058914461    1.536848105    -4.828420845   -8.724750517   7.56030975     1726112.811    	2.93278e+05	2.93278e+05	2.93278e+05
30       NO_ID      1.071495048    -7.999714624   3.124684691    -0.2654877946  9.178043637    9.981785543    -9.506057462   1.401014408    -3.224103317   -8.586968005   2970367.802    	2.93278e+05	2.93278e+05	2.93278e+05
31       NO_ID      -0.2181743262  -5.702115428   4.143846428    6.473897183    -4.478150717   -8.73441778    1.106090532    3.393922328    1.664133147    1.62024376     969106.2775    	2.93278e+05	2.93278e+05	2.93278e+05
32       NO_ID      1.693550572    -5.189374261   -1.166095255   -2.427770346   -1.374066072   1.755572012    9.309247685    -7.20913593    5.414083052    -9.922686729   1348122.964    	2.93278e+05	2.93278e+05	2.93278e+05
33       NO_ID      0.9500819717   5.377457791    -2.66816832    -4.708279303   7.926590692    -7.487651869   8.381938608    8.185441664    -5.268041394   6.236715233    1812068.063    	2.93278e+05	2.93278e+05	2.93278e+05
34       NO_ID      8.482598366    0.2804776976   3.981994579    -9.060660819   7.619869503    -6.151350457   2.178595401    -0.3056498623  -8.203760929   3.959306586    2082507.915    	2.93278e+05	2.93278e+05	2.93278e+05
35       NO_ID      5.314525067    -0.5808803295  -0.4632452562  -8.373085908   -4.947475907   7.138401771    -3.102815589   8.508392568    -4.601638259   -6.817172518   1647760.838    	2.93278e+05	2.93278e+05	2.93278e+05
36       NO_ID      -2.547483245   3.891872297    0.5065289604   2.701955298    -0.5100805184  8.823725964    -6.496727954   -5.39947513    -4.821495253   -6.137208088   1176353.19     	2.93278e+05	2.93278e+05	2.93278e+05
37       NO_ID      4.553729501    0.736490391    -3.153913866   3.954023665    -3.255744813   -1.588093469   3.883723402    -3.170553982   3.270538643    1.219502905    142676.666     	1.42677e+05	1.42677e+05	1.42677e+05
38       NO_ID      -8.204402097   2.889624132    -4.519270285   0.01426793686  1.550447257    1.585690705    -7.274266953   5.5975424      7.787204925    -9.611815614   1256260.121    	1.42677e+05	1.42677e+05	1.42677e+05
39       NO_ID      -1.153939423   -1.573777872   8.4016433      1.704202822    -3.436251002   8.327491838    1.822665133    1.235801082    2.289696029    9.021939661    942097.6131    	1.42677e+05	1.42677e+05	1.42677e+05
40       NO_ID      -5.33383215    2.651590921    -9.700796589   -3.025474564   -5.115074892   -9.588549288   -0.5204638665  7.908031093    -2.668659063   -9.316935608   2499493.289    	1.42677e+05	1.42677e+05	1.42677e+05
41       NO_ID      3.469751276    0.09716504542  6.80710576     -7.933728557   -6.922608948   7.439360985    9.574509207    -7.433411979   0.7404624215   -8.01337045    2461981.529    	1.42677e+05	1.42677e+05	1.42677e+05
42       NO_ID      2.498153178    -7.666547846   -4.082655816   3.514685602    -1.938469081   5.218516361    -2.932054515   2.799771622    6.043348398    -4.562692297   716052.4346    	1.42677e+05	1.42677e+05	1.42677e+05
