%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far	best_so_far	best_so_far
1        NO_ID      -9.175397369   5.616787179    -6.714632523   -1.766920162   -3.861288545   -0.02075410162 -8.548737663   1.456002555    1.883474081    2.156950705    1531267.254    
2        NO_ID      3.292211412    -3.302665453   2.171142476    6.027846694    9.868303569    6.118466779    -5.610295655   -4.200957306   -9.893339588   -10            2483323.221    	2.48332e+06	2.48332e+06	2.48332e+06
3        NO_ID      8.426187535    -1.816492481   -7.454845825   -6.770655561   0.6896288057   -2.962029641   10             2.458977998    3.702777113    -0.7845722055  2108984.257    	2.10898e+06	2.10898e+06	2.10898e+06
4        NO_ID      -4.743502321   -1.086391196   10             8.046999627    5.897217733    -5.059306433   -9.611231494   -7.961401446   6.756554619    3.241657533    3045748.7      	2.10898e+06	2.10898e+06	2.10898e+06
5        NO_ID      3.238868264    -1.09406377    5.078379637    9.684528165    5.795790724    -10            7.868803305    -4.991349062   -5.743284714   -5.735622233   2545975.506    	2.10898e+06	2.10898e+06	2.10898e+06
6        NO_ID      -1.494401972   -10            1.370076174    -5.724765306   -2.09638644    6.334307844    -0.8851715026  -9.302480286   -4.277971949   8.407981033    2128692.616    	2.10898e+06	2.10898e+06	2.10898e+06
7        NO_ID      -6.130692041   1.196810274    3.113995334    -7.293272077   8.470956506    -9.379062637   0.930957052    -0.7466722885  7.039660741    -6.211325466   2093187.775    	2.09319e+06	2.09319e+06	2.09319e+06
8        NO_ID      -1.3228307     6.807451394    10             -8.370171955   5.361108838    3.056978062    -8.946195781   3.265741688    -5.153131525   0.5696712841   2509315.538    	2.09319e+06	2.09319e+06	2.09319e+06
9        NO_ID      -0.4242263662  6.631214032    5.920482897    9.662722825    -1.702036067   7.217621789    6.854705102    4.937949529    2.610217508    3.215210214    1549530.347    	1.54953e+06	1.54953e+06	1.54953e+06
10       NO_ID      -6.666152521   3.680093979    1.288524993    7.036360531    -6.79188444    -9.047702912   4.235310392    -6.059935327   6.149555381    0.9330627634   1695503.04     	1.54953e+06	1.54953e+06	1.54953e+06
11       NO_ID      -1.375691961   -2.147345126   5.995110205    -7.20069364    -5.783871954   -10            0.5276645824   4.688628768    -9.957441679   -2.568595056   2837460.495    	1.54953e+06	1.54953e+06	1.54953e+06
12       NO_ID      2.853972899    -10            -8.052776563   7.206952828    -8.784416764   3.506819883    -2.926540553   4.289013939    6.048609044    -0.3810367873  2621322.995    	1.54953e+06	1.54953e+06	1.54953e+06
13       NO_ID      1.43081115     2.507364098    0.7647078736   2.043883091    -5.044292963   4.36881879     -7.524461805   -2.377237586   -2.734327524   -7.557378162   504843.8051    	5.04844e+05	5.04844e+05	5.04844e+05
14       NO_ID      -3.837016858   8.805876839    -4.887644632   9.786826872    6.109565565    -0.4532174419  -5.810446871   10             -7.25716886    -5.741727445   3201785.186    	5.04844e+05	5.04844e+05	5.04844e+05
15       NO_ID      6.746230254    5.842026566    2.469524034    3.420963987    5.956232107    -2.973795881   8.364204977    -6.017033559   9.078787915    5.535418209    1651784.447    	5.04844e+05	5.04844e+05	5.04844e+05
16       NO_ID      -7.245854838   5.646923148    -7.273640176   2.187502516    -8.048834468   9.964661817    9.950970307    -2.922766475   -4.377170578   -4.631420703   2858359.786    	5.04844e+05	5.04844e+05	5.04844e+05
17       NO_ID      -2.48211886    -5.987691702   -7.094684855   -9.773080628   9.392304646    8.693267686    -6.534448813   7.789150917    -5.545093687   -5.31837894    3299636.968    	5.04844e+05	5.04844e+05	5.04844e+05
18       NO_ID      10             -3.391466407   6.563656039    -5.229689424   0.0001651803746 9.444945753    -2.553449456   5.506393287    6.543127146    -9.445671007   2560570.614    	5.04844e+05	5.04844e+05	5.04844e+05
19       NO_ID      7.651091245    9.848388711    -6.85167364    9.873829093    -5.577679939   -0.6463318489  6.565818957    0.708429965    5.936256668    3.847980032    2901458.013    	5.04844e+05	5.04844e+05	5.04844e+05
20       NO_ID      8.220554316    -1.554722985   9.922653984    4.542344592    -3.519746092   -9.247350882   -8.753534274   8.543118557    2.936470998    5.139619433    3315197.469    	5.04844e+05	5.04844e+05	5.04844e+05
21       NO_ID      8.948341807    4.730600922    -1.749456627   -0.5426275189  -4.705271379   -10            -9.952760246   -9.210907323   -7.756151332   -4.868898311   4394928.43     	5.04844e+05	5.04844e+05	5.04844e+05
22       NO_ID      -6.713405915   -3.158064827   -9.760684323   3.961248168    4.555252534    7.151296465    -6.157050052   -10            6.139979697    7.763863234    2665048.478    	5.04844e+05	5.04844e+05	5.04844e+05
23       NO_ID      1.228887206    8.321319396    0.1668948197   -1.6984577     3.869775172    -5.987512639   1.094099183    -2.493712489   -4.872020118   -5.190332024   744450.9377    	5.04844e+05	5.04844e+05	5.04844e+05
24       NO_ID      8.281831678    -9.279319394   -7.171963535   1.958850072    2.70265178     -1.978387073   -9.562254456   4.952097763    -3.607109866   -7.435533784   2617417.113    	5.04844e+05	5.04844e+05	5.04844e+05
25       NO_ID      -5.446522646   -10            3.620072519    7.454286277    4.061852761    5.900837341    7.011346351    9.963078408    -3.334387473   -5.848881977   2678685.179    	5.04844e+05	5.04844e+05	5.04844e+05
26       NO_ID      2.414492463    -0.4044485953  9.498191859    4.223106861    5.370986031    -1.140007841   6.880173268    -0.1984556106  -7.371593946   9.356025674    1294673.185    	5.04844e+05	5.04844e+05	5.04844e+05
27       NO_ID      -4.277268633   7.788209509    6.162941677    -10            -9.461585866   9.749376218    -6.604606796   -6.48957531    -4.842791879   1.556175192    3926240.19     	5.04844e+05	5.04844e+05	5.04844e+05
28       NO_ID      -10            6.058115743    1.023222332    3.632802959    2.048792501    3.282865106    9.552097115    8.568238434    -6.607128233   3.416574027    2509235.806    	5.04844e+05	5.04844e+05	5.04844e+05
29       NO_ID      -3.349493544   -5.432947521   -10            -7.32941291    -3.879137776   6.759685821    -7.632836492   -6.691533189   4.084761226    -9.830979967   2617072.308    	5.04844e+05	5.04844e+05	5.04844e+05
30       NO_ID      8.74560078     7.462207995    2.360405195    -8.605823949   -3.375816048   -8.02533972    -4.075875248   -6.574735848   8.903351544    1.077971334    2670613.505    	5.04844e+05	5.04844e+05	5.04844e+05
31       NO_ID      2.505728179    -1.401262299   -8.595668583   10             1.240485447    3.404041278    5.475134676    -6.772856184   -9.099604953   6.907183146    2418235.016    	5.04844e+05	5.04844e+05	5.04844e+05
32       NO_ID      -8.963631238   4.867044844    -1.830099924   0.9625995224   3.90642647     4.693830671    0.4754824974   -7.082726498   6.550723283    -7.075882708   1139608.294    	5.04844e+05	5.04844e+05	5.04844e+05
33       NO_ID      -0.8839914598  2.567764587    -4.33653608    -9.792760603   -3.612126493   -8.404795859   3.170462599    -6.216932052   -8.587815009   6.384581989    2289360.974    	5.04844e+05	5.04844e+05	5.04844e+05
34       NO_ID      -1.372939345   -4.23033488    -4.57637299    -9.432431383   2.765441873    -5.670491718   -8.854189112   -1.908985533   -7.730754007   -3.35873863    2132247.34     	5.04844e+05	5.04844e+05	5.04844e+05
35       NO_ID      -3.801107005   -8.867804987   6.823501064    -8.884753997   -8.0121071     4.098161856    -9.732082205   5.763087201    -7.666780713   -9.803979127   3494333.631    	5.04844e+05	5.04844e+05	5.04844e+05
36       NO_ID      -9.12968962    -8.183465279   1.09834164     7.157968995    -1.831875012   7.457860575    -3.002159281   -9.022132607   -1.543380877   -2.506055816   2625513.356    	5.04844e+05	5.04844e+05	5.04844e+05
37       NO_ID      -3.929992897   6.637042483    9.202091933    7.670743442    -9.494110044   5.352338543    3.667384319    -10            -7.794614914   -4.101223189   3608545.458    	5.04844e+05	5.04844e+05	5.04844e+05
38       NO_ID      -6.887081209   1.803460563    -7.125585639   9.025508696    3.678552613    -9.974866667   -0.6839056585  9.91935536     8.783627574    0.794892233    3452582.967    	5.04844e+05	5.04844e+05	5.04844e+05
39       NO_ID      -2.327919687   0.2258018136   9.603140884    5.323811309    -6.165915183   9.002814575    1.757216757    -1.324634275   9.178073289    -9.207856528   2479889.262    	5.04844e+05	5.04844e+05	5.04844e+05
40       NO_ID      1.582490181    8.02464274     0.05061929115  -1.798362875   -9.752240053   -7.039615097   1.595070359    9.600422369    3.516523729    -3.063695465   2522674.123    	5.04844e+05	5.04844e+05	5.04844e+05
41       NO_ID      -9.656086978   1.571843223    9.556267267    4.711139261    6.563642353    -1.892586941   6.662014884    -2.375786789   9.383485787    4.612773676    2739681.413    	5.04844e+05	5.04844e+05	5.04844e+05
42       NO_ID      8.434470827    5.123334341    3.805267998    -9.149045118   4.117620458    -8.826187709   -10            6.954212428    9.612170414    -3.352858734   3947740.209    	5.04844e+05	5.04844e+05	5.04844e+05
43       NO_ID      8.778374471    -9.574049233   -1.919376231   6.610678769    -5.564932591   9.086067049    0.8820475473   -7.08641869    1.618364383    -9.824719649   2843068.897    	5.04844e+05	5.04844e+05	5.04844e+05
44       NO_ID      -4.609246354   -7.257123719   -2.310823372   -8.161068365   -3.996303721   1.125900774    4.248715333    1.750856566    1.749429082    -5.882661863   958034.1853    	5.04844e+05	5.04844e+05	5.04844e+05
45       NO_ID      5.994882965    1.989555963    8.787624046    9.749604494    -0.02066043086 10             -9.246259036   -6.504190415   -3.38451197    1.895121793    3744917.936    	5.04844e+05	5.04844e+05	5.04844e+05
46       NO_ID      -6.172879362   7.339340584    -0.6379530235  -0.3029652686  8.773875171    -3.111404834   1.206326101    -5.957264867   -3.828712634   10             1210462.424    	5.04844e+05	5.04844e+05	5.04844e+05
47       NO_ID      0.1431011899   -5.351292371   3.251224775    -0.6978663325  4.540857581    5.13304615     -1.938122835   4.493299354    1.986564393    4.129266267    218954.5726    	2.18955e+05	2.18955e+05	2.18955e+05
48       NO_ID      9.811884589    -5.87387115    3.253433468    -3.591102727   2.590545402    9.993625727    -7.420627306   -9.594405587   7.34605178     3.8644261      3711098.492    	2.18955e+05	2.18955e+05	2.18955e+05
49       NO_ID      -9.965760176   -6.489283113   -1.319204709   8.963877478    -2.739743665   3.160874744    4.432066796    9.6480918      3.129270397    8.408083672    2828457.805    	2.18955e+05	2.18955e+05	2.18955e+05
50       NO_ID      4.25527126     9.163991724    9.666097006    -1.182829067   0.2338156917   -8.079893539   3.906965421    9.276571158    -7.69924463    3.840655885    3029227.962    	2.18955e+05	2.18955e+05	2.18955e+05
51       NO_ID      4.179795793    -6.771448914   -9.065452583   -5.715563892   1.294152026    -6.450024081   -5.081224691   5.629926444    3.025132593    7.306242911    1579580.282    	2.18955e+05	2.18955e+05	2.18955e+05
