%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far	best_so_far	best_so_far
1        NO_ID      4.926803472    5.139253207    3.309401349    5.53470334     -6.267603255   -9.64544571    -9.142002289   7.147221929    -1.612263351   -9.896825111   2390291.495    
2        NO_ID      -6.563100567   3.996194944    -2.093515865   -1.532112594   -10            -3.644501775   4.932416241    -2.392085375   -8.055475986   -4.916343036   1863290.35     	1.86329e+06	1.86329e+06	1.86329e+06
3        NO_ID      -4.807876656   0.1351315538   -0.3323358613  3.162262238    2.860664153    2.563748643    6.379332338    -10            -1.84898588    9.025460586    1359690.105    	1.35969e+06	1.35969e+06	1.35969e+06
4        NO_ID      9.2679667      -8.390711662   2.291493174    -2.565762571   2.102260665    0.2967461049   5.878999584    4.637561634    4.388567877    1.239086559    1517636.287    	1.35969e+06	1.35969e+06	1.35969e+06
5        NO_ID      9.035971459    9.837258579    10             2.853652583    2.965683719    -9.733043466   2.183577065    -8.18610253    -8.310618424   0.8616970302   4155738.247    	1.35969e+06	1.35969e+06	1.35969e+06
6        NO_ID      1.141247788    1.9950495      1.626896551    9.279110251    -8.682501      10             -5.552490549   -9.359902662   4.623748269    -6.652963453   3374218.408    	1.35969e+06	1.35969e+06	1.35969e+06
7        NO_ID      -8.383143545   -2.170843603   5.730326695    -3.494477701   9.471637046    0.0267621628   4.82623799     -0.3559100276  -0.8092999929  -9.058945446   1530072.573    	1.35969e+06	1.35969e+06	1.35969e+06
8        NO_ID      2.887834178    -9.45403743    -3.680865963   -6.898161416   1.602727763    -5.280294469   2.537302118    2.835757409    -9.669054756   -9.958786748   2324505.236    	1.35969e+06	1.35969e+06	1.35969e+06
9        NO_ID      6.923463147    5.604570439    -8.523378038   4.415682884    2.262985492    -0.0945324866  -4.89600843    -2.178321744   0.06279812184  -0.5072597171  909858.0907    	9.09858e+05	9.09858e+05	9.09858e+05
10       NO_ID      6.493819137    8.034155322    4.151370416    2.028129729    0.5841045714   8.292305084    -6.625840309   -9.942727289   9.587508783    9.4864031      2847093.718    	9.09858e+05	9.09858e+05	9.09858e+05
11       NO_ID      -9.461879517   -5.037432328   1.188514359    2.952722986    5.918495241    -8.745146118   -10            -1.247764673   1.153797505    9.191062977    2924920.699    	9.09858e+05	9.09858e+05	9.09858e+05
12       NO_ID      -6.803167601   -4.854905108   -3.890735663   -0.334588212   -1.03605829    8.122783677    -9.167501824   -2.257460534   -6.981303619   -3.983530844   1968349.515    	9.09858e+05	9.09858e+05	9.09858e+05
13       NO_ID      1.965883428    1.847899408    -7.222540342   -8.141039769   3.026884038    6.951644263    1.76929695     4.675529837    6.479167249    -9.569895838   1282560.968    	9.09858e+05	9.09858e+05	9.09858e+05
14       NO_ID      -1.883251775   -7.561819032   3.478474033    -2.233733845   -2.320451703   4.694998459    -9.792411794   9.94351153     4.071388998    4.855227017    2079534.814    	9.09858e+05	9.09858e+05	9.09858e+05
15       NO_ID      5.812453729    6.174594655    -7.178255003   2.478440313    -2.405525206   -4.232554854   7.911808259    6.999379556    -5.80968416    -6.248197244   1319120.174    	9.09858e+05	9.09858e+05	9.09858e+05
16       NO_ID      5.134984846    5.823764717    -0.9465499112  -9.640195363   -3.620810101   1.251680125    1.122343403    -4.114951092   -5.707084864   5.567521109    1248515.461    	9.09858e+05	9.09858e+05	9.09858e+05
17       NO_ID      7.442606685    -9.868979573   -6.188003166   -7.784145348   4.724896301    8.133194146    10             -9.659088525   5.15696651     0.6336554891   4406069.26     	9.09858e+05	9.09858e+05	9.09858e+05
18       NO_ID      2.190544254    -4.978231665   -4.179894452   5.922493076    10             6.596976333    -4.424711755   0.7377456687   -5.568580617   9.944077438    1355822.426    	9.09858e+05	9.09858e+05	9.09858e+05
19       NO_ID      10             -3.030046852   -7.823908717   -6.682843753   -9.900329928   4.580098607    8.071224453    -8.654562978   -4.900424779   -3.621720835   3997193.787    	9.09858e+05	9.09858e+05	9.09858e+05
20       NO_ID      1.265426284    -10            -3.739847018   7.530581429    6.921205527    -4.699965025   -1.863375203   -4.590470511   6.630222299    -7.606480617   1969386.197    	9.09858e+05	9.09858e+05	9.09858e+05
21       NO_ID      1.746296412    4.734587371    8.514768817    1.008957634    -9.954177217   9.646704917    -0.2367441667  8.482343763    -6.97492098    10             2992886.258    	9.09858e+05	9.09858e+05	9.09858e+05
