%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far	best_so_far	best_so_far
1        NO_ID      8.688263744    -1.944762757   -1.918112442   8.738085802    -6.508721405   -8.634105503   9.048379778    7.629804823    -5.384460802   9.937145356    2973505.811    
2        NO_ID      -3.290869156   10             -8.398826987   -3.923451467   -1.911115133   8.689407264    8.389437848    -6.887103369   -3.11107509    8.791035458    3065543.076    	3.06554e+06	3.06554e+06	3.06554e+06
3        NO_ID      8.641566308    7.7679821      -10            -2.159420613   -2.720958033   -4.685030611   -2.910318854   8.896877921    -3.188833224   4.114970786    2750093.226    	2.75009e+06	2.75009e+06	2.75009e+06
4        NO_ID      2.246468954    5.755021948    10             7.161835681    -1.312771565   1.516563883    5.168481672    -6.515296926   1.91836456     8.085247569    1469800.825    	1.46980e+06	1.46980e+06	1.46980e+06
5        NO_ID      4.076646112    -2.295528783   3.799670355    -10            9.269825455    0.8049878255   -4.14580338    -5.66363293    -5.460185787   8.51896537     1884623.632    	1.46980e+06	1.46980e+06	1.46980e+06
6        NO_ID      3.79918799     7.587073608    4.671981247    -10            8.042818687    -2.313072057   3.508700297    6.422035606    8.301163202    -8.255520514   2388348.776    	1.46980e+06	1.46980e+06	1.46980e+06
7        NO_ID      -6.603889044   10             3.630613054    4.306191094    3.063144064    -4.530500735   -7.046379891   -3.629118344   -7.666880954   -0.8284185499  1851880.706    	1.46980e+06	1.46980e+06	1.46980e+06
8        NO_ID      0.07733783045  3.197919903    -7.026763493   4.687404642    -4.523678537   3.704856637    7.119221995    5.786325836    0.2724894264   9.111752113    653348.6411    	6.53349e+05	6.53349e+05	6.53349e+05
9        NO_ID      -0.414093063   3.526990879    1.164436796    9.819669747    -6.078528452   1.863902947    -10            9.658264213    8.908176707    -0.4919395377  3378983.774    	6.53349e+05	6.53349e+05	6.53349e+05
10       NO_ID      3.615995446    -7.54271952    -0.2627713132  0.8743615545   -0.712393995   2.721960873    -9.375552099   -4.7661694     8.016954444    4.900947104    1631222.053    	6.53349e+05	6.53349e+05	6.53349e+05
11       NO_ID      -10            -7.632059409   -0.9403364902  1.656661743    -3.097147058   -1.62414992    -0.8233654637  -2.069652648   -5.727591559   9.491590544    1591458.325    	6.53349e+05	6.53349e+05	6.53349e+05
12       NO_ID      3.404198101    8.732587786    3.345224673    -9.157004398   -9.942691679   7.595078894    -5.319099249   -4.336556419   1.030344023    -1.373193246   2822460.199    	6.53349e+05	6.53349e+05	6.53349e+05
