%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far	best_so_far	best_so_far
1        NO_ID      1.656091364    9.659270274    -7.997209563   3.883684423    -4.030079152   -3.386835929   0.08318927353  2.27847676     7.761492128    -2.139079942   1870371.625    
2        NO_ID      6.054293544    -3.512529194   -9.12581147    -0.7370582936  6.581909282    4.839913575    2.923524738    -10            6.156798243    0.2907257832   2163956.258    	2.16396e+06	2.16396e+06	2.16396e+06
3        NO_ID      -7.014580495   -10            -0.02544564426 1.879211855    -4.193327213   -3.865403415   -9.207105531   -0.3971281937  2.549693034    -6.286436755   2204294.43     	2.16396e+06	2.16396e+06	2.16396e+06
4        NO_ID      -4.409655982   1.378252182    -3.141353998   -1.826163561   7.150239938    -6.913231195   10             6.275706344    -9.291515486   4.007800324    2323458.199    	2.16396e+06	2.16396e+06	2.16396e+06
5        NO_ID      -4.659305702   -5.045147511   -5.413113701   9.998197882    8.194850714    -0.487432954   2.606893638    1.530609551    7.401590655    -6.418873384   1884586.496    	1.88459e+06	1.88459e+06	1.88459e+06
6        NO_ID      -4.413492131   8.234814995    -5.188382365   0.6985171125   -4.238302375   9.25926705     2.500921285    -0.4109875031  -10            -8.314068214   2505207.08     	1.88459e+06	1.88459e+06	1.88459e+06
7        NO_ID      0.5603561401   4.863408813    10             -0.5401712157  -1.579984983   -4.753025541   6.282264316    -4.164791567   2.2258528      1.303056977    1278505.949    	1.27851e+06	1.27851e+06	1.27851e+06
8        NO_ID      4.456812256    -5.31715472    2.066084389    7.663568356    4.960828722    10             -2.40800599    5.363808794    -6.467537468   -7.10735577    1856381.196    	1.27851e+06	1.27851e+06	1.27851e+06
9        NO_ID      -4.679640356   2.32754365     6.224934319    -4.756320757   4.325133906    -0.5540187542  2.78576577     8.575921869    -7.754328829   -10            1451949.205    	1.27851e+06	1.27851e+06	1.27851e+06
10       NO_ID      -8.315429431   1.746147984    6.78291698     2.928507233    -5.156898679   5.216528178    -10            -8.783399473   -0.2284104368  8.758050071    2634362.201    	1.27851e+06	1.27851e+06	1.27851e+06
11       NO_ID      5.860452102    9.659055809    2.760489704    -2.279042786   6.852236639    -1.774927822   -10            -9.535283046   2.965948879    -3.537949292   3134464.848    	1.27851e+06	1.27851e+06	1.27851e+06
