%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far	best_so_far	best_so_far
1        NO_ID      1.456037268    -0.009726876087 6.144394178    7.855294957    9.238152551    7.516518063    4.057685603    -3.479390923   8.305752447    0.1219798128   1765313.957    
2        NO_ID      -0.6096057686  4.455409476    7.851104239    -0.8331704785  -9.995278461   6.791208312    9.522487163    -1.577964274   -3.513209914   10             2274334.606    	2.27433e+06	2.27433e+06	2.27433e+06
3        NO_ID      4.438918767    8.356352307    4.00006519     0.07130139169  -9.188311367   1.103419646    -10            -3.19210512    7.193370464    -7.678905248   2606106.01     	2.27433e+06	2.27433e+06	2.27433e+06
4        NO_ID      -6.527728201   7.870632248    -4.218135047   -9.938207887   4.438566834    4.497243652    7.715448284    10             8.44897478     3.931740421    3102855.474    	2.27433e+06	2.27433e+06	2.27433e+06
5        NO_ID      -10            -9.3259433     -0.258704857   2.495362503    3.415234316    -2.540218289   8.02505125     0.8452036785   -0.8425948773  -9.191091891   2392247.687    	2.27433e+06	2.27433e+06	2.27433e+06
6        NO_ID      -2.123900074   6.354497208    -5.867399056   -2.530607249   1.056034083    -5.758404939   9.435131897    4.071562321    -7.812112533   9.320450167    1463487.654    	1.46349e+06	1.46349e+06	1.46349e+06
7        NO_ID      5.408416337    4.962165217    1.831280564    0.5214237887   2.260140134    -2.365212628   2.998278716    -4.370129744   -2.22568159    -0.04978080243 184311.9541    	1.84312e+05	1.84312e+05	1.84312e+05
8        NO_ID      3.233596084    -2.127470115   -7.047008383   4.939345918    -2.583095002   9.490341728    -0.4360960079  10             4.118326696    1.682083403    2074454.927    	1.84312e+05	1.84312e+05	1.84312e+05
9        NO_ID      -3.604232183   4.259519907    -1.90093783    -5.771241775   9.022763188    -9.64649933    -9.151231876   3.675628215    -10            -8.049488777   3853674.089    	1.84312e+05	1.84312e+05	1.84312e+05
10       NO_ID      -5.604519292   -3.449745894   10             6.255144054    -4.627514101   0.002342827448 -4.238153889   3.73876586     -2.387442643   -2.594886687   1293926.879    	1.84312e+05	1.84312e+05	1.84312e+05
11       NO_ID      1.879108881    -6.451144541   -9.50150691    -4.131692324   -7.838137292   -3.583519053   -9.834642939   -8.164645655   -4.239440316   -5.543767774   3357434.974    	1.84312e+05	1.84312e+05	1.84312e+05
12       NO_ID      -4.154716308   -3.890669817   5.376889212    -4.496789941   0.1952234218   -8.165574519   4.117634082    -2.082814322   8.241458156    10             977587.396     	1.84312e+05	1.84312e+05	1.84312e+05
13       NO_ID      -6.304578127   -2.282171368   -6.867131568   6.320986733    -8.898957363   1.077893151    -2.125396188   -2.381301347   -10            6.284019266    2115896.53     	1.84312e+05	1.84312e+05	1.84312e+05
14       NO_ID      9.750726523    -8.62239488    1.680395868    -7.985790483   2.395702748    8.766027464    8.636771428    3.779423875    0.8211402385   -5.5713189     2981774.659    	1.84312e+05	1.84312e+05	1.84312e+05
15       NO_ID      7.969877507    6.50652496     -9.418251138   -8.649205953   -1.307272376   -6.602951572   6.131824465    7.241096934    7.603112826    -8.572628867   3001507.271    	1.84312e+05	1.84312e+05	1.84312e+05
16       NO_ID      0.85477186     -4.133928349   -7.38648947    8.764092781    5.40600344     1.394765128    2.255494655    -9.637076265   -0.7066258373  10             1766026.422    	1.84312e+05	1.84312e+05	1.84312e+05
17       NO_ID      -10            9.694315405    -1.453017404   4.398772321    -0.7308528203  -7.20249677    -5.384240925   -1.906114795   2.191952067    9.705105176    2199357.282    	1.84312e+05	1.84312e+05	1.84312e+05
18       NO_ID      8.852550618    6.830355234    7.803265476    9.586424568    -6.559668631   -10            -8.327933628   -6.561067826   7.113741179    -2.103102928   4333870.167    	1.84312e+05	1.84312e+05	1.84312e+05
19       NO_ID      -2.17664431    10             -0.3138825157  3.812245537    -6.438547283   -5.621487771   9.765663614    2.715142754    9.526963598    -0.6726524183  3019038.455    	1.84312e+05	1.84312e+05	1.84312e+05
20       NO_ID      3.342708193    -8.414635245   8.016975786    -10            -4.109929019   0.01307802662  -5.877320861   -0.8167230579  -5.663685356   -6.450447438   2377942.965    	1.84312e+05	1.84312e+05	1.84312e+05
21       NO_ID      6.35084981     -3.379290177   -8.54192453    -5.119071527   9.442728933    9.85618848     -10            -7.034534112   -1.188528227   3.331987553    4049011.66     	1.84312e+05	1.84312e+05	1.84312e+05
22       NO_ID      -6.502349335   2.307821397    9.305914075    -2.991715938   -3.292994992   -6.405885568   2.368211048    -10            1.55894216     -9.53568347    2166378.488    	1.84312e+05	1.84312e+05	1.84312e+05
23       NO_ID      5.247359254    3.316561969    0.3589587393   -9.466780963   -6.338761529   -6.787919446   2.121315999    -3.564854298   10             -3.450896497   2491584.437    	1.84312e+05	1.84312e+05	1.84312e+05
24       NO_ID      -3.897308615   10             8.19396784     8.864293283    6.915597833    2.138354767    9.6482295      7.141882035    -5.938930694   -0.753293637   3103117.706    	1.84312e+05	1.84312e+05	1.84312e+05
25       NO_ID      9.44004377     -9.555199292   -1.346888731   -0.999712714   9.989018254    -10            5.585417905    9.726493063    -0.9361841812  -0.2307141069  4896928.648    	1.84312e+05	1.84312e+05	1.84312e+05
26       NO_ID      10             5.417933684    7.869000048    3.081053268    -8.33581347    -6.756328453   -1.40357733    8.430242759    -9.802998055   -0.7926319355  3718882.991    	1.84312e+05	1.84312e+05	1.84312e+05
27       NO_ID      -9.83082042    -9.385989029   7.131309889    -1.598996746   -8.930480489   7.901422993    6.832451253    -6.456361226   7.783537346    -9.663806044   3784870.867    	1.84312e+05	1.84312e+05	1.84312e+05
28       NO_ID      -0.9789817269  -3.154590783   6.658673131    -1.137817866   3.785717669    9.152581137    2.10548226     1.528393012    -10            4.578197375    1806636.106    	1.84312e+05	1.84312e+05	1.84312e+05
29       NO_ID      -2.42543685    -2.258153251   -3.399984833   -0.253422401   -3.885668962   -7.18287148    -7.907535678   3.522551027    1.840672568    1.708359668    792899.1844    	1.84312e+05	1.84312e+05	1.84312e+05
