FE	Run 1	Run 2	Run 3	Run 4	Run 5	Run 6	Run 7	Run 8	Run 9	Run 10	Average
1	2.28000e+06	9.96500e+05	2.10500e+06	3.72300e+06	1.12000e+06	1.89300e+06	2.03800e+06	2.24500e+06	2.37100e+06	1.62800e+06	2.03995e+06
2	1.65500e+06	9.96500e+05	1.73500e+06	3.16200e+06	1.11100e+06	1.29000e+06	2.03800e+06	9.91000e+05	2.24400e+06	1.62800e+06	1.68505e+06
3	1.65500e+06	9.96500e+05	5.49200e+05	1.97300e+06	1.11100e+06	1.29000e+06	1.73500e+06	9.91000e+05	1.98100e+06	3.23100e+05	1.26048e+06
4	1.65500e+06	4.08900e+05	5.49200e+05	1.27900e+06	1.11100e+06	1.29000e+06	4.17600e+05	9.91000e+05	1.98100e+06	3.23100e+05	1.00058e+06
5	1.65500e+06	4.08900e+05	4.60900e+05	4.08900e+05	1.11100e+06	1.29000e+06	4.17600e+05	9.91000e+05	1.18600e+06	3.23100e+05	8.25240e+05
6	1.65500e+06	4.08900e+05	4.60900e+05	4.08900e+05	1.11100e+06	7.87200e+05	4.17600e+05	9.91000e+05	1.18600e+06	3.23100e+05	7.74960e+05
7	1.65500e+06	4.08900e+05	4.60900e+05	4.08900e+05	1.11100e+06	7.87200e+05	4.17600e+05	9.91000e+05	1.18600e+06	3.23100e+05	7.74960e+05
8	1.65500e+06	4.08900e+05	4.60900e+05	4.08900e+05	1.11100e+06	7.87200e+05	4.17600e+05	4.29900e+05	4.05800e+05	3.23100e+05	6.40830e+05
9	1.54800e+06	4.08900e+05	4.60900e+05	4.08900e+05	1.11100e+06	7.87200e+05	4.17600e+05	4.29900e+05	4.05800e+05	3.23100e+05	6.30130e+05
10	1.54800e+06	4.08900e+05	4.60900e+05	4.08900e+05	1.11100e+06	7.87200e+05	4.17600e+05	4.29900e+05	4.05800e+05	3.23100e+05	6.30130e+05
11	1.54800e+06	4.08900e+05	4.60900e+05	4.08900e+05	1.11100e+06	7.87200e+05	4.17600e+05	4.29900e+05	4.05800e+05	3.23100e+05	6.30130e+05
12	1.54800e+06	4.08900e+05	4.60900e+05	4.08900e+05	1.11100e+06	7.87200e+05	4.17600e+05	4.29900e+05	4.05800e+05	3.23100e+05	6.30130e+05
13	1.54800e+06	4.08900e+05	4.60900e+05	4.08900e+05	1.11100e+06	7.87200e+05	4.17600e+05	4.29900e+05	4.05800e+05	3.23100e+05	6.30130e+05
14	1.54800e+06	4.08900e+05	4.60900e+05	4.08900e+05	1.11100e+06	7.87200e+05	4.17600e+05	4.29900e+05	4.05800e+05	3.23100e+05	6.30130e+05
15	1.54800e+06	4.08900e+05	4.60900e+05	4.08900e+05	1.11100e+06	7.87200e+05	4.17600e+05	4.29900e+05	4.05800e+05	3.23100e+05	6.30130e+05
16	1.54800e+06	4.08900e+05	4.60900e+05	4.08900e+05	1.11100e+06	7.87200e+05	4.17600e+05	4.29900e+05	4.05800e+05	3.23100e+05	6.30130e+05
17	1.54800e+06	4.08900e+05	4.60900e+05	4.08900e+05	8.55200e+05	7.87200e+05	4.17600e+05	4.29900e+05	4.05800e+05	3.23100e+05	6.04550e+05
18	1.54800e+06	4.08900e+05	4.60900e+05	4.08900e+05	8.55200e+05	7.87200e+05	4.17600e+05	4.29900e+05	4.05800e+05	3.23100e+05	6.04550e+05
19	1.20300e+06	4.08900e+05	4.60900e+05	4.08900e+05	8.55200e+05	7.87200e+05	4.17600e+05	4.29900e+05	4.05800e+05	3.23100e+05	5.70050e+05
20	1.20300e+06	4.08900e+05	4.60900e+05	4.08900e+05	2.87300e+05	7.87200e+05	4.17600e+05	4.29900e+05	4.05800e+05	3.23100e+05	5.13260e+05
21	1.20300e+06	4.08900e+05	4.60900e+05	4.08900e+05	2.87300e+05	6.63100e+05	4.17600e+05	4.29900e+05	4.05800e+05	3.23100e+05	5.00850e+05
22	1.20300e+06	4.08900e+05	4.60900e+05	4.08900e+05	2.87300e+05	6.63100e+05	4.17600e+05	4.29900e+05	4.05800e+05	3.23100e+05	5.00850e+05
23	1.20300e+06	4.08900e+05	4.60900e+05	4.08900e+05	2.87300e+05	6.63100e+05	4.17600e+05	4.29900e+05	4.05800e+05	3.23100e+05	5.00850e+05
24	1.06700e+06	4.08900e+05	4.60900e+05	4.08900e+05	2.87300e+05	6.63100e+05	4.17600e+05	4.29900e+05	4.05800e+05	3.23100e+05	4.87250e+05
25	1.06700e+06	4.08900e+05	4.60900e+05	4.08900e+05	2.87300e+05	6.63100e+05	4.17600e+05	4.29900e+05	4.05800e+05	3.23100e+05	4.87250e+05
26	1.06700e+06	4.08900e+05	4.60900e+05	4.08900e+05	2.87300e+05	6.63100e+05	4.17600e+05	4.29900e+05	4.05800e+05	3.23100e+05	4.87250e+05
27	6.53900e+05	4.08900e+05	4.60900e+05	4.08900e+05	2.87300e+05	6.63100e+05	4.17600e+05	4.29900e+05	3.75100e+05	3.23100e+05	4.42870e+05
28	6.53900e+05	4.08900e+05	4.60900e+05	4.08900e+05	2.87300e+05	6.63100e+05	4.17600e+05	4.29900e+05	3.75100e+05	3.23100e+05	4.42870e+05
29	6.53900e+05	4.08900e+05	4.60900e+05	4.08900e+05	2.87300e+05	6.63100e+05	4.17600e+05	4.29900e+05	3.75100e+05	3.23100e+05	4.42870e+05
30	6.53900e+05	4.08900e+05	4.60900e+05	3.71100e+05	2.87300e+05	6.63100e+05	4.17600e+05	4.29900e+05	3.75100e+05	3.23100e+05	4.39090e+05
31	6.53900e+05	4.08900e+05	4.60900e+05	3.71100e+05	2.87300e+05	6.63100e+05	4.17600e+05	4.29900e+05	3.75100e+05	3.23100e+05	4.39090e+05
32	6.53900e+05	4.08900e+05	4.60900e+05	3.71100e+05	2.87300e+05	4.71600e+05	4.17600e+05	4.29900e+05	3.75100e+05	3.23100e+05	4.19940e+05
33	6.53900e+05	4.08900e+05	4.60900e+05	3.71100e+05	2.87300e+05	4.71600e+05	4.17600e+05	4.29900e+05	3.75100e+05	3.23100e+05	4.19940e+05
34	6.53900e+05	4.08900e+05	4.60900e+05	3.71100e+05	2.87300e+05	4.71600e+05	4.17600e+05	4.29900e+05	3.75100e+05	3.23100e+05	4.19940e+05
35	6.53900e+05	4.08900e+05	4.60900e+05	3.71100e+05	2.87300e+05	4.71600e+05	4.17600e+05	4.29900e+05	3.75100e+05	3.23100e+05	4.19940e+05
36	4.45900e+05	4.08900e+05	4.60900e+05	3.71100e+05	2.87300e+05	4.71600e+05	4.17600e+05	4.29900e+05	3.75100e+05	3.23100e+05	3.99140e+05
37	4.45900e+05	4.08900e+05	4.60900e+05	3.71100e+05	2.87300e+05	4.71600e+05	4.17600e+05	4.29900e+05	3.75100e+05	3.23100e+05	3.99140e+05
38	4.45900e+05	4.08900e+05	4.60900e+05	3.71100e+05	2.87300e+05	4.71600e+05	4.17600e+05	4.29900e+05	3.75100e+05	3.23100e+05	3.99140e+05
39	4.45900e+05	4.08900e+05	4.60900e+05	3.71100e+05	2.87300e+05	4.71600e+05	4.17600e+05	4.29900e+05	3.75100e+05	3.23100e+05	3.99140e+05
40	4.45900e+05	4.08900e+05	4.60900e+05	3.71100e+05	2.87300e+05	4.71600e+05	4.17600e+05	4.29900e+05	3.75100e+05	3.23100e+05	3.99140e+05
41	4.45900e+05	3.40800e+05	4.60900e+05	3.71100e+05	2.87300e+05	4.71600e+05	4.17600e+05	4.29900e+05	3.75100e+05	3.23100e+05	3.92330e+05
