%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far	best_so_far	best_so_far	best_so_far
1        NO_ID      0.3658293821   9.554547829    -9.398198401   7.833081223    -5.921024877   -4.199067337   0.6400417991   2.516315482    -8.573514073   -6.750029864   2973359.131    
2        NO_ID      -4.911309421   -2.594039728   -7.014112553   3.032441102    6.915571443    7.668537782    3.303870364    3.64954658     -7.810490211   -1.817845433   1218076.152    	1.21808e+06	1.21808e+06	1.21808e+06	1.21808e+06
3        NO_ID      4.966925135    5.3326883      5.749424328    6.745602328    -4.929084553   -3.306524539   -1.153266772   9.580720373    9.229111647    -3.201669199   1973031.706    	1.21808e+06	1.21808e+06	1.21808e+06	1.21808e+06
4        NO_ID      -7.981532281   9.0602721      9.311943396    9.323355671    0.1880214973   -1.919704083   2.628938381    1.497514875    0.02266838499  5.178939322    2186376.787    	1.21808e+06	1.21808e+06	1.21808e+06	1.21808e+06
5        NO_ID      6.197772217    -0.6385217419  -9.494588379   -9.086379907   -3.898867566   9.636322571    5.470424262    -3.090785839   0.7917399808   4.458019371    2779883.132    	1.21808e+06	1.21808e+06	1.21808e+06	1.21808e+06
6        NO_ID      -5.15910955    -5.061119968   -5.251447035   -8.169572569   -0.8228620278  -8.27905678    -4.956263419   7.205521203    -1.279301071   9.075769379    1647184.579    	1.21808e+06	1.21808e+06	1.21808e+06	1.21808e+06
7        NO_ID      -9.455935102   -3.097022178   -8.728546048   -9.741128106   -8.141097691   0.4397139776   7.464290366    -5.019738313   -2.197743937   8.377299897    3573753.951    	1.21808e+06	1.21808e+06	1.21808e+06	1.21808e+06
8        NO_ID      -6.412892185   2.176661218    2.117151854    -1.402276769   -5.407347493   0.1355601777   3.5798128      7.09780146     -8.887158251   4.801869716    1152281.02     	1.15228e+06	1.15228e+06	1.15228e+06	1.15228e+06
9        NO_ID      3.082357576    7.071062073    6.285676482    -7.851234829   -1.299384818   -2.72357945    -3.158361112   -9.606087099   8.378033261    -2.045536933   2089696.598    	1.15228e+06	1.15228e+06	1.15228e+06	1.15228e+06
10       NO_ID      -2.360379703   2.524734441    9.602511196    6.2649035      2.669257702    6.60386375     -8.686101118   -4.889193569   6.123702714    2.571897864    1947256.072    	1.15228e+06	1.15228e+06	1.15228e+06	1.15228e+06
11       NO_ID      5.406834262    6.889982427    3.562598994    5.567929042    7.236802041    -4.842120032   -2.229665624   -0.6508725625  -5.978196247   9.825561401    772167.9849    	7.72168e+05	7.72168e+05	7.72168e+05	7.72168e+05
12       NO_ID      0.1789213328   8.047405395    0.2463516927   -3.3920633     -0.1437046469  3.650473341    -4.777821739   2.997950342    4.080478503    -7.119825254   569848.1809    	5.69848e+05	5.69848e+05	5.69848e+05	5.69848e+05
