%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far	best_so_far	best_so_far	best_so_far
1        NO_ID      -4.056049154   6.408359541    2.456751161    2.066374742    2.553971931    3.770452585    -1.011365855   2.356151504    5.306333679    -0.1513026456  265391.2786    
2        NO_ID      -6.740069065   -8.496972176   -5.947244295   -4.276949086   -1.734830747   -6.314082277   -8.211515877   -4.167944616   -0.6082971867  -4.516774448   1886350.121    	1.88635e+06	1.88635e+06	1.88635e+06	1.88635e+06
3        NO_ID      -1.114375534   -4.766154911   -7.726278492   -5.824746709   7.036537267    5.88642662     4.187030712    -0.8577958636  -8.7009276     1.799700652    1470277.652    	1.47028e+06	1.47028e+06	1.47028e+06	1.47028e+06
4        NO_ID      -7.769114665   4.365273601    6.232339087    -3.510397057   -6.843473396   -4.364880185   2.412580307    4.8279527      3.3882365      6.982699099    877948.1385    	8.77948e+05	8.77948e+05	8.77948e+05	8.77948e+05
5        NO_ID      -7.559070273   3.553497652    0.4020500083   5.432973428    -1.248599072   4.414699677    -4.418815481   3.545501097    0.005548859993 5.741798235    502276.4864    	5.02276e+05	5.02276e+05	5.02276e+05	5.02276e+05
6        NO_ID      -5.494171582   -1.535291737   6.643857995    -9.593882104   -0.9181600707  -3.718764314   9.595308911    4.646912251    5.523268654    -4.399332911   2171519.61     	5.02276e+05	5.02276e+05	5.02276e+05	5.02276e+05
7        NO_ID      -6.502964817   -0.5212133417  -9.685009292   7.256651749    4.629735265    -3.003372327   -4.953890877   5.253325179    5.987243846    6.154195594    1424463.174    	5.02276e+05	5.02276e+05	5.02276e+05	5.02276e+05
8        NO_ID      -5.263394801   -5.659591593   -2.49270926    0.2019943812   -8.799067296   -5.871637647   7.737850375    -6.373114648   4.911393746    -2.992582441   1647460.254    	5.02276e+05	5.02276e+05	5.02276e+05	5.02276e+05
9        NO_ID      -9.090067505   -6.205883937   4.373941724    -1.49485335    -2.238973692   -4.929855292   -7.773367394   0.03895886568  -6.238732958   7.526167823    1530500.923    	5.02276e+05	5.02276e+05	5.02276e+05	5.02276e+05
10       NO_ID      -2.918538433   9.157234449    8.65725385     8.585180319    6.076158516    -8.292731306   6.442319516    9.168212519    7.42283372     3.237048795    3017397.678    	5.02276e+05	5.02276e+05	5.02276e+05	5.02276e+05
11       NO_ID      -0.9767613355  -7.994559527   -1.344512157   6.670834485    -8.51480505    2.306476981    5.282933652    7.649746858    -9.955939669   -6.21192049    2829840.141    	5.02276e+05	5.02276e+05	5.02276e+05	5.02276e+05
