%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far	best_so_far	best_so_far	best_so_far
1        NO_ID      0.2131419078   5.785344137    0.7167087063   -2.062042941   -8.732155019   -8.941111384   -4.818235503   5.04336382     -4.553660094   1.194314409    1733764.41     
2        NO_ID      2.374061295    -9.614118669   -2.160939058   -6.000519202   6.670481583    1.371976255    4.457337407    1.054578503    6.468724055    -6.045660379   1469951.795    	1.46995e+06	1.46995e+06	1.46995e+06	1.46995e+06
3        NO_ID      -3.122685744   -0.679287298   -2.211482829   -5.926732772   4.024998514    2.438026       7.791013187    -4.893933238   -1.017540056   -3.756711422   634372.0532    	6.34372e+05	6.34372e+05	6.34372e+05	6.34372e+05
4        NO_ID      -8.260454235   -1.756513942   5.186282854    -2.381817891   6.080762052    9.287146948    3.998598241    5.499411558    8.669441482    4.561077704    1885542.884    	6.34372e+05	6.34372e+05	6.34372e+05	6.34372e+05
5        NO_ID      -1.392043928   -8.184858725   -0.6037580151  -9.736744699   -2.559137725   -2.586206113   5.371498647    -1.4393008     -8.595987684   8.264752263    1968021.85     	6.34372e+05	6.34372e+05	6.34372e+05	6.34372e+05
6        NO_ID      4.504880817    -7.662882359   -7.875286232   -4.947147898   -3.988558816   -4.036966722   4.912372454    9.388219503    6.825796757    2.177091581    1984416.996    	6.34372e+05	6.34372e+05	6.34372e+05	6.34372e+05
7        NO_ID      6.079380001    0.7183747292   -2.581971656   6.467169882    -7.349700307   6.463885038    8.359182561    9.668090525    -0.4011016679  8.66011045     1963193.612    	6.34372e+05	6.34372e+05	6.34372e+05	6.34372e+05
8        NO_ID      -8.080488759   -3.660203795   -7.212573099   -1.303119173   -5.79491966    4.643633134    -1.368581307   -1.301778484   -3.463862193   -8.549729057   990394.5179    	6.34372e+05	6.34372e+05	6.34372e+05	6.34372e+05
9        NO_ID      5.448207721    4.168741398    9.513068872    -0.9189572872  -6.827330576   3.041392605    -7.085753159   -8.974258101   -4.022068832   5.185983857    2207137.334    	6.34372e+05	6.34372e+05	6.34372e+05	6.34372e+05
10       NO_ID      0.635172247    -8.574763668   -0.95402062    -1.023160427   -0.8718878161  1.766795378    -1.093554295   0.5280340186   -2.038452409   -4.551608049   573696.896     	5.73697e+05	5.73697e+05	5.73697e+05	5.73697e+05
11       NO_ID      -6.749403528   -1.097053205   -3.216497638   -7.645205675   5.090765848    4.961649945    6.015553754    -1.925342434   7.020984293    -0.325955174   1008010.751    	5.73697e+05	5.73697e+05	5.73697e+05	5.73697e+05
