%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far	best_so_far	best_so_far	best_so_far
1        NO_ID      -2.439655819   4.663255468    -5.012321479   7.222701927    2.709475987    -8.704469636   4.188692289    -8.152434034   -6.620965145   -5.676054638   1732178.543    
2        NO_ID      8.816491711    0.08102049138  -0.6850551557  4.402861291    -4.023603895   -6.321426532   3.402453736    6.273137013    0.6162969862   3.341022993    997585.0694    	9.97585e+05	9.97585e+05	9.97585e+05	9.97585e+05
3        NO_ID      4.776379277    5.717442738    2.460309108    -4.459546278   -2.316160452   -5.672233507   3.796949459    -2.498820912   -4.430367628   -4.660776882   372844.2297    	3.72844e+05	3.72844e+05	3.72844e+05	3.72844e+05
4        NO_ID      -3.801955146   9.46452972     3.964544188    2.648918178    -4.378509007   2.410494928    9.448539463    -9.416821987   -0.3950000418  -0.3478101952  2562649.344    	3.72844e+05	3.72844e+05	3.72844e+05	3.72844e+05
5        NO_ID      3.719801182    0.7174673071   3.213395593    -1.940627779   4.686054545    -7.435843056   -3.252189057   2.324001951    -5.335756925   1.335922832    554349.165     	3.72844e+05	3.72844e+05	3.72844e+05	3.72844e+05
6        NO_ID      -0.2581736496  -7.562178577   -8.429821121   -6.79471952    -5.817809561   -4.852483596   3.261009585    -9.833971002   -0.01026405734 0.2273559819   2481456.338    	3.72844e+05	3.72844e+05	3.72844e+05	3.72844e+05
7        NO_ID      -6.275496114   -1.707217871   6.9946145      0.1096409293   -9.713872913   8.983516983    -0.661183487   1.805913821    6.400524751    -5.874638912   2030062.938    	3.72844e+05	3.72844e+05	3.72844e+05	3.72844e+05
8        NO_ID      -9.610504785   -5.032618281   4.342078231    -3.268604888   -7.543057582   -0.9302650843  -5.073168814   8.428497901    9.118221607    -6.506169497   2630176.242    	3.72844e+05	3.72844e+05	3.72844e+05	3.72844e+05
9        NO_ID      -3.305394771   8.911693324    -4.249913906   4.054112681    -8.17797334    -7.849021713   6.201446754    7.817338889    -7.593609398   9.833789612    2441162.558    	3.72844e+05	3.72844e+05	3.72844e+05	3.72844e+05
10       NO_ID      -8.791660675   4.968885467    5.770381693    -8.49005829    -8.670634134   5.366103859    7.851024235    -8.948670213   -6.091547163   -0.1766600359  3297168.017    	3.72844e+05	3.72844e+05	3.72844e+05	3.72844e+05
11       NO_ID      0.4249648353   6.023406608    9.393733216    9.557369834    5.66111745     1.191825771    -6.104879746   -3.197983005   4.714406229    3.181339376    1733200.729    	3.72844e+05	3.72844e+05	3.72844e+05	3.72844e+05
12       NO_ID      7.690099855    -2.489629033   6.346230876    -2.81724367    -3.10968737    -2.545238534   -7.95332611    -3.922949678   -9.187941279   -8.512709548   1989089.069    	3.72844e+05	3.72844e+05	3.72844e+05	3.72844e+05
13       NO_ID      1.965118398    8.572606082    1.813790958    -9.477433921   -7.289266141   0.6523799214   -7.247746439   -0.783691773   -4.282368621   -0.866263307   2080480.597    	3.72844e+05	3.72844e+05	3.72844e+05	3.72844e+05
14       NO_ID      6.149302143    -0.1998295039  3.75584679     -0.7689718215  6.501298689    5.74768945     8.216397218    -1.935213654   6.858255609    8.043359556    1001919.96     	3.72844e+05	3.72844e+05	3.72844e+05	3.72844e+05
15       NO_ID      9.135932878    9.309341566    0.4079591116   -3.552373866   9.44291588     2.202100378    4.396670058    0.5841296419   7.829371469    2.467294819    2439804.241    	3.72844e+05	3.72844e+05	3.72844e+05	3.72844e+05
16       NO_ID      -2.62474647    7.956108044    1.602321169    7.088247574    6.96587715     -2.782252343   2.243567377    -2.882846641   -6.820059656   7.578071534    1017338.839    	3.72844e+05	3.72844e+05	3.72844e+05	3.72844e+05
17       NO_ID      7.142008874    1.10455635     5.250997139    9.328932506    -4.791901543   9.685355906    8.5340354      4.029362379    0.201617868    -3.696699452   2372572.048    	3.72844e+05	3.72844e+05	3.72844e+05	3.72844e+05
18       NO_ID      7.39787597     9.673564932    -1.187444752   6.770379162    -9.035630564   -9.993297543   0.9880764439   5.412082285    7.403066268    -1.893551858   3594212.746    	3.72844e+05	3.72844e+05	3.72844e+05	3.72844e+05
19       NO_ID      5.164320939    -7.3208554     7.644929126    -8.865981403   1.357125476    8.647295692    -0.42183013    -6.612353585   -7.622096118   5.626789242    2490558.686    	3.72844e+05	3.72844e+05	3.72844e+05	3.72844e+05
20       NO_ID      -8.378468665   -6.631154316   -9.659601572   9.190909514    3.517920754    7.230508276    -3.759108493   5.130316205    -4.939211955   7.791677409    2691377.609    	3.72844e+05	3.72844e+05	3.72844e+05	3.72844e+05
21       NO_ID      -1.370431062   4.20953651     0.2092947569   -1.311160813   -1.178550736   9.982142729    1.787633665    9.745132166    -8.853639672   -3.022015545   2742382.73     	3.72844e+05	3.72844e+05	3.72844e+05	3.72844e+05
