%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far	best_so_far	best_so_far	best_so_far
1        NO_ID      -9.112318155   8.679701157    9.527325307    1.505347013    -3.802273133   -8.453283539   8.83108413     -0.7991479237  2.59105608     0.804316829    2856185.943    
2        NO_ID      -8.804355421   1.100384698    -7.047896976   -2.345680955   -9.692396762   3.943452358    -5.920279542   6.356116297    -7.028478226   8.899007214    2212276.156    	2.21228e+06	2.21228e+06	2.21228e+06	2.21228e+06
3        NO_ID      -7.499775907   9.928156213    -8.905153062   -8.714589301   3.513010373    5.176362521    6.608234434    -5.639882154   -6.755122319   -0.2602906724  3317749.53     	2.21228e+06	2.21228e+06	2.21228e+06	2.21228e+06
4        NO_ID      2.874476938    -9.915525192   5.988910986    -1.944556083   -5.40892331    -9.820926643   2.504860618    2.456258636    5.064874462    5.926519302    2113006.107    	2.11301e+06	2.11301e+06	2.11301e+06	2.11301e+06
5        NO_ID      -3.109575209   -2.305535201   7.477358138    3.232040482    -0.2208780035  2.282729794    -4.460794264   9.000326407    5.674389039    4.47370466     969966.7759    	9.69967e+05	9.69967e+05	9.69967e+05	9.69967e+05
6        NO_ID      9.46866102     6.808131162    -6.798571345   9.719124222    4.296185056    2.026972926    -8.390445357   6.884765987    8.419852692    7.720730594    2912558.501    	9.69967e+05	9.69967e+05	9.69967e+05	9.69967e+05
7        NO_ID      -6.916125558   5.734983753    1.852606297    -2.795219395   -4.392074285   6.432240001    -8.95270228    2.253140093    -8.802824493   6.145054365    1697568.941    	9.69967e+05	9.69967e+05	9.69967e+05	9.69967e+05
8        NO_ID      -3.661193684   -2.630319824   1.497510497    -5.433871935   4.457874562    6.368533942    9.656701024    -8.477876659   -9.394165924   9.982796992    2519438.266    	9.69967e+05	9.69967e+05	9.69967e+05	9.69967e+05
9        NO_ID      -4.34237088    1.264885234    -1.316316681   -4.578529835   4.66300596     -4.32582502    5.495477375    5.397982826    0.1921555659   -0.6627565055  293277.8826    	2.93278e+05	2.93278e+05	2.93278e+05	2.93278e+05
10       NO_ID      8.143864824    4.104478026    -8.280029113   2.106998352    -9.849609288   1.040519491    -1.719748717   0.9857750231   -0.802549012   -6.566602936   1840318.141    	2.93278e+05	2.93278e+05	2.93278e+05	2.93278e+05
11       NO_ID      -6.746312203   -3.010990355   -7.7916854     -1.575873514   -8.951562822   -5.2059084     -1.348085781   8.848329899    7.050537388    -7.517794179   2314470.173    	2.93278e+05	2.93278e+05	2.93278e+05	2.93278e+05
12       NO_ID      1.333802649    0.4273752233   2.981836493    -2.120220354   0.3323691492   -3.424693569   -2.507097251   9.779019308    0.4097385074   -0.4849281809  944401.6138    	2.93278e+05	2.93278e+05	2.93278e+05	2.93278e+05
13       NO_ID      7.056543945    -3.626293685   -7.854367742   8.364131638    -7.057590242   -2.271202405   4.401759821    -6.300574233   -0.4136940578  0.7460045669   1705506.156    	2.93278e+05	2.93278e+05	2.93278e+05	2.93278e+05
14       NO_ID      8.283751446    -5.46341723    7.905686512    7.290215721    -5.345560832   -6.332593143   6.311652535    3.992387235    -7.319798294   -1.553196057   1966901.037    	2.93278e+05	2.93278e+05	2.93278e+05	2.93278e+05
15       NO_ID      6.309447025    9.168325929    4.717019961    6.021375348    7.418530238    -4.653475617   1.387034937    6.100197054    1.575955718    -4.826509732   1364553.502    	2.93278e+05	2.93278e+05	2.93278e+05	2.93278e+05
16       NO_ID      4.791582746    -9.073124026   7.09257736     -6.992204516   -8.598764655   -8.896329156   -9.260298435   -3.224467567   -2.800362455   8.42981581     3604753.882    	2.93278e+05	2.93278e+05	2.93278e+05	2.93278e+05
17       NO_ID      4.289301178    7.074518587    2.575340185    6.358032692    -9.587666933   9.47824704     -3.98044253    -3.552847536   -1.870728796   -3.340173462   2111843.877    	2.93278e+05	2.93278e+05	2.93278e+05	2.93278e+05
