%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far	best_so_far	best_so_far	best_so_far
1        NO_ID      5.133056317    9.201661676    -0.5135866934  -1.659881962   6.52793774     -4.320286287   -2.878633978   2.516527544    2.414085096    6.369321192    1028589.172    
2        NO_ID      2.654890945    6.67987128     8.685235007    -9.198558718   8.14594447     2.08069169     7.293664513    -1.626946618   -9.119509089   8.759024539    2712596.689    	2.71260e+06	2.71260e+06	2.71260e+06	2.71260e+06
3        NO_ID      -4.657525086   -6.611336363   -3.55655777    -7.051984529   2.254675123    3.125879334    -7.644545109   -9.433474509   0.5012008612   -1.46203702    1842805.623    	1.84281e+06	1.84281e+06	1.84281e+06	1.84281e+06
4        NO_ID      -5.047820885   4.121535225    -8.122739795   5.700794205    -1.81700568    2.335643269    -4.694794455   0.5878611356   2.640646348    0.3516482318   651302.2573    	6.51302e+05	6.51302e+05	6.51302e+05	6.51302e+05
5        NO_ID      7.691089564    4.705536543    -2.487831489   -4.762549914   -9.500566389   -8.865507596   4.712382096    7.462653441    8.828053615    -0.03504408961 2850885.748    	6.51302e+05	6.51302e+05	6.51302e+05	6.51302e+05
6        NO_ID      -5.888928705   0.5413031099   4.709660938    5.408314566    4.772617749    2.593142087    -9.19028369    7.649307665    -1.686615335   -1.791829493   1227405.067    	6.51302e+05	6.51302e+05	6.51302e+05	6.51302e+05
7        NO_ID      1.102725555    -7.711595491   -9.616060159   -7.915388139   -4.804849729   5.293385683    5.570747416    1.294924875    -0.799035052   3.295308129    2120152.919    	6.51302e+05	6.51302e+05	6.51302e+05	6.51302e+05
8        NO_ID      8.916792909    -0.2354435159  -9.340433406   1.355023242    5.984517767    -6.958295712   -4.001010393   5.305780765    -1.130741794   -2.095877138   1940525.143    	6.51302e+05	6.51302e+05	6.51302e+05	6.51302e+05
9        NO_ID      -8.693828863   -2.762823264   5.706017097    9.649255923    7.671442329    -9.091115212   -5.911944136   4.01285433     2.923081105    1.47870954     2760999.062    	6.51302e+05	6.51302e+05	6.51302e+05	6.51302e+05
10       NO_ID      6.329754131    -7.453768313   3.295301415    1.812650256    -9.612453044   -8.331983667   3.954969388    0.7734951326   -3.199814441   -6.796334652   2019948.118    	6.51302e+05	6.51302e+05	6.51302e+05	6.51302e+05
11       NO_ID      -7.513906237   3.295160804    -4.05613497    6.59049638     -5.495918682   -3.73267937    8.282530983    -7.041068154   3.865551875    -9.621309057   1514171.39     	6.51302e+05	6.51302e+05	6.51302e+05	6.51302e+05
12       NO_ID      0.4787269821   -8.430859084   4.209430656    -4.862180263   -5.04015405    -6.191794149   -9.540217737   -7.854820188   -5.688750946   -6.223834452   2497951.5      	6.51302e+05	6.51302e+05	6.51302e+05	6.51302e+05
13       NO_ID      3.787760782    -3.345765117   2.975578614    -4.394400927   -0.9641214471  6.647070442    -7.335066558   5.075098416    4.634992392    -0.6641733559  696703.627     	6.51302e+05	6.51302e+05	6.51302e+05	6.51302e+05
14       NO_ID      5.727647762    -8.055466456   6.459810549    0.8132201434   -2.482074824   -3.003466758   -1.663485125   -2.398680951   -4.709876054   7.414241703    732235.81      	6.51302e+05	6.51302e+05	6.51302e+05	6.51302e+05
15       NO_ID      3.114068976    7.584262667    4.409646355    2.972688845    -3.894858015   3.311094782    4.474812028    -3.224499261   3.417214888    -9.278153723   447108.2429    	4.47108e+05	4.47108e+05	4.47108e+05	4.47108e+05
16       NO_ID      9.874841403    -3.513036754   -1.720725515   -5.723720552   4.063564354    -5.92740123    -2.723437499   -9.692693169   -8.761380217   -3.740997091   3056665.713    	4.47108e+05	4.47108e+05	4.47108e+05	4.47108e+05
17       NO_ID      2.470336948    -5.88084995    -1.272427225   -6.488372192   -0.003042632528 2.703093322    -3.25134594    4.973780127    7.701252621    2.004555306    699376.9893    	4.47108e+05	4.47108e+05	4.47108e+05	4.47108e+05
18       NO_ID      -9.406291867   9.819945956    0.1007225492   -0.1224058784  2.499630078    -3.568618143   9.977025792    3.989777782    -0.05674416493 -2.88558658    2497350.67     	4.47108e+05	4.47108e+05	4.47108e+05	4.47108e+05
19       NO_ID      9.689284581    -9.962365497   9.895651442    8.206793027    -3.760206083   0.03336654948  8.037570894    0.2991257978   -1.948035877   9.109776954    3630868.157    	4.47108e+05	4.47108e+05	4.47108e+05	4.47108e+05
20       NO_ID      -2.733245191   -1.455815107   -9.003191871   5.976765039    0.6840481389   -5.61385365    -0.9348560245  -0.003680828447 0.623652208    2.773337756    816692.7134    	4.47108e+05	4.47108e+05	4.47108e+05	4.47108e+05
21       NO_ID      7.206401632    4.563787116    -7.068629341   2.277321993    0.05000335299  6.868554549    4.354813744    -3.783831248   -4.20197674    -6.046447168   862785.8489    	4.47108e+05	4.47108e+05	4.47108e+05	4.47108e+05
22       NO_ID      7.981121304    3.848320033    -3.311865026   3.17475238     3.373335838    4.844534687    -8.02666757    -6.30875654    5.206214725    7.023118211    1165699.001    	4.47108e+05	4.47108e+05	4.47108e+05	4.47108e+05
23       NO_ID      -4.436346804   -8.831361681   -0.1009557354  7.555074148    8.742494337    -5.411925932   -7.134720556   5.581098715    5.669573015    -6.875559469   2155966.698    	4.47108e+05	4.47108e+05	4.47108e+05	4.47108e+05
24       NO_ID      -2.146554572   6.30140032     -3.0789245     4.01184036     -0.2079914761  -8.160762729   0.4295031553   -1.199090184   -3.715792099   -7.602011413   706341.239     	4.47108e+05	4.47108e+05	4.47108e+05	4.47108e+05
25       NO_ID      -5.491322797   9.757716653    -7.617617114   5.274809748    -0.6704727211  -0.5712984823  -5.377204102   3.183426117    -2.901376894   6.509335745    1545699.285    	4.47108e+05	4.47108e+05	4.47108e+05	4.47108e+05
26       NO_ID      3.85641615     2.69424757     9.502346487    5.148732028    2.134396877    9.269494005    -0.09440678908 6.530555299    7.206299132    4.271845309    1899102.546    	4.47108e+05	4.47108e+05	4.47108e+05	4.47108e+05
27       NO_ID      -3.542184994   -2.17654998    -2.838300707   -8.458419512   4.931824635    -7.435874746   -2.138387374   1.667309867    -6.796222102   -0.3936335031  1156407.02     	4.47108e+05	4.47108e+05	4.47108e+05	4.47108e+05
28       NO_ID      0.9792290012   2.173252336    -2.328178217   -6.845649814   -2.110777202   -9.266395366   -6.134278021   -1.915644562   -5.399515456   -2.799764308   1392247.213    	4.47108e+05	4.47108e+05	4.47108e+05	4.47108e+05
29       NO_ID      -8.353454335   -9.156936441   -7.264406452   -7.690215916   0.5394747998   -4.48336981    -3.423385317   -2.461165903   4.454165634    5.945874783    2259935.163    	4.47108e+05	4.47108e+05	4.47108e+05	4.47108e+05
30       NO_ID      1.534714254    -1.88018275    -4.799851221   -2.005932774   5.4036555      -0.11560674    -5.041306548   6.936844794    7.140265513    -8.611195625   717555.2508    	4.47108e+05	4.47108e+05	4.47108e+05	4.47108e+05
31       NO_ID      -1.741571507   3.562932323    -0.9751328992  -8.025364306   -1.681069413   -5.165896402   7.822206815    1.937297396    -9.61835245    3.659219594    1664231.067    	4.47108e+05	4.47108e+05	4.47108e+05	4.47108e+05
32       NO_ID      -1.986838322   1.864075923    2.629858192    -1.425770332   3.693949739    0.6451633906   1.655872473    -1.321761348   7.511098573    -8.950369272   457125.7691    	4.47108e+05	4.47108e+05	4.47108e+05	4.47108e+05
33       NO_ID      -3.914781645   -3.113701274   -3.824476012   -1.37414793    -7.952780987   9.192876151    -6.456516102   -7.625176077   -7.673459595   -8.334786726   2335801.16     	4.47108e+05	4.47108e+05	4.47108e+05	4.47108e+05
34       NO_ID      2.266527654    -0.7191209071  7.045241244    9.203441378    6.145893385    1.612416661    -4.571872448   3.484139071    -4.469780904   8.39894104     995724.0538    	4.47108e+05	4.47108e+05	4.47108e+05	4.47108e+05
35       NO_ID      6.62760236     -4.866940078   2.006573162    0.3987981601   0.3285626714   -1.079800196   0.2821553127   4.308050995    6.205201731    -5.227025093   495014.9847    	4.47108e+05	4.47108e+05	4.47108e+05	4.47108e+05
36       NO_ID      -4.919464526   9.083405215    -2.705609377   7.8207231      -5.290687016   -7.766165455   -9.31787492    8.495435991    9.095823562    3.831025048    3437805.647    	4.47108e+05	4.47108e+05	4.47108e+05	4.47108e+05
37       NO_ID      5.412750988    6.035751403    4.04813005     -2.673814152   -8.002424251   -8.487779407   -1.086219911   1.04392798     -7.870396994   -5.854126535   1747052.324    	4.47108e+05	4.47108e+05	4.47108e+05	4.47108e+05
38       NO_ID      2.876191777    4.324954493    5.025305949    2.641779866    -9.139291703   -6.494125389   6.288506004    -8.524640074   -2.726128877   -2.431302691   1846105.619    	4.47108e+05	4.47108e+05	4.47108e+05	4.47108e+05
39       NO_ID      3.532024141    -4.705821483   -0.7874373353  -2.339715278   -9.922697623   9.441504609    3.637779922    -3.53491544    8.496311779    2.398709437    2147305.02     	4.47108e+05	4.47108e+05	4.47108e+05	4.47108e+05
40       NO_ID      0.04495398831  -2.411453968   3.885915585    4.776274459    -9.337307241   8.275822307    7.182147126    9.611483128    -8.12401179    0.7368471759   2726096.295    	4.47108e+05	4.47108e+05	4.47108e+05	4.47108e+05
41       NO_ID      -0.735573841   -7.012069793   -1.487035378   -2.852086092   -8.575613224   3.895146543    -8.744440242   8.856483359    -2.581889932   7.752139752    1949033.658    	4.47108e+05	4.47108e+05	4.47108e+05	4.47108e+05
42       NO_ID      -7.119529728   5.744676683    -1.894141509   -1.804898658   -5.885315708   9.829613614    -9.604105182   -9.032116235   3.779196563    9.556270952    3158496.287    	4.47108e+05	4.47108e+05	4.47108e+05	4.47108e+05
43       NO_ID      7.137388101    -4.398225542   1.46521958     -0.5148253487  -3.413008548   2.828925551    -1.411563877   -4.943544082   -2.086482872   -2.249778532   436599.0436    	4.36599e+05	4.36599e+05	4.36599e+05	4.36599e+05
44       NO_ID      4.622762066    -5.09788391    -7.837436493   9.915552071    -1.027659792   -1.337302441   7.421563026    -9.385096721   3.01462322     2.533740209    2584354.072    	4.36599e+05	4.36599e+05	4.36599e+05	4.36599e+05
45       NO_ID      -5.259694417   -4.19731878    -8.230008542   -3.550979087   7.193975763    -6.262986354   2.466232857    1.401981238    5.020688942    -1.162718188   1224052.98     	4.36599e+05	4.36599e+05	4.36599e+05	4.36599e+05
46       NO_ID      -7.997720239   2.85970697     7.562455623    7.390402818    4.257081869    6.287497075    8.937306492    8.351099347    -7.473377458   -7.076993292   2486820.985    	4.36599e+05	4.36599e+05	4.36599e+05	4.36599e+05
47       NO_ID      -0.9398763956  -8.769805979   0.8290890954   -6.33480059    4.409427429    7.340750561    -2.420766192   6.017993208    8.271074678    -4.365090408   1660386.413    	4.36599e+05	4.36599e+05	4.36599e+05	4.36599e+05
48       NO_ID      -0.3858114312  0.606513146    -3.689597018   -0.3660536781  -5.733366477   7.194335946    -0.4136501419  7.091903698    7.974007955    -8.087066342   1060556.501    	4.36599e+05	4.36599e+05	4.36599e+05	4.36599e+05
49       NO_ID      9.20778246     1.447680494    -4.202212212   -0.8098582155  9.532309404    -9.85354383    6.951302513    8.081554821    1.685625457    5.736616859    3135353.629    	4.36599e+05	4.36599e+05	4.36599e+05	4.36599e+05
50       NO_ID      -1.174428858   -9.70505722    -5.722766378   -3.112733888   -7.556219705   4.469748101    1.061956489    2.669651913    5.533882365    -1.845998899   1587811.096    	4.36599e+05	4.36599e+05	4.36599e+05	4.36599e+05
51       NO_ID      9.052251385    0.9021164492   1.135939131    -3.338837756   5.351113568    -8.724291109   -1.873164968   -6.430436436   6.040093488    -9.42187657    1755606.264    	4.36599e+05	4.36599e+05	4.36599e+05	4.36599e+05
52       NO_ID      -3.303575185   8.242035323    -6.844482449   -5.945885295   -7.199166961   -7.184526839   3.117127163    -2.088046603   -0.2700449418  4.874355998    1621824.944    	4.36599e+05	4.36599e+05	4.36599e+05	4.36599e+05
53       NO_ID      8.245282156    -5.708669376   -5.499878778   8.697875277    9.906491122    8.072400302    -8.836445425   -0.5877454048  0.9350327089   3.542756789    3145723.169    	4.36599e+05	4.36599e+05	4.36599e+05	4.36599e+05
54       NO_ID      -3.005228952   5.387840828    -9.899584523   6.718592695    -6.89649651    4.677333242    6.777332479    3.29246586     1.55957701     0.176374765    1654852.665    	4.36599e+05	4.36599e+05	4.36599e+05	4.36599e+05
55       NO_ID      -9.825314119   -7.979922641   -1.033290199   7.175991779    1.741928164    6.126243836    5.390098435    4.504987708    -8.916753661   -3.912871203   2708572.808    	4.36599e+05	4.36599e+05	4.36599e+05	4.36599e+05
56       NO_ID      -8.924496605   -3.986420719   3.673514108    6.244421566    -2.260500973   -2.673449485   -0.3374192848  -4.598017389   -5.026585183   1.045464666    1031093.362    	4.36599e+05	4.36599e+05	4.36599e+05	4.36599e+05
57       NO_ID      -4.276063581   7.057496418    0.2835565486   1.777725762    1.146260128    8.503791046    1.232590439    -6.783203526   3.277053213    8.9236156      959037.8428    	4.36599e+05	4.36599e+05	4.36599e+05	4.36599e+05
58       NO_ID      -0.1119543188  7.761329267    4.835033356    4.834170194    -7.713400991   7.577323239    -3.177608987   2.237817133    -7.029125943   -7.964895442   1430788.177    	4.36599e+05	4.36599e+05	4.36599e+05	4.36599e+05
59       NO_ID      -6.014712321   -2.294058936   -4.94814505    3.976915316    9.054511586    1.243889188    -8.499166867   7.33967784     -3.537418905   1.723623702    1629729.656    	4.36599e+05	4.36599e+05	4.36599e+05	4.36599e+05
60       NO_ID      -5.770695064   8.785075997    -5.36744532    -5.504755217   -3.036727008   7.798905685    1.870471995    -8.333915567   -3.370534623   1.207204641    1873120.205    	4.36599e+05	4.36599e+05	4.36599e+05	4.36599e+05
61       NO_ID      7.406587811    -7.290302578   5.311355086    8.852130193    -6.113618378   5.787027579    0.6952835854   -8.744537808   -0.4548401669  4.091866968    2175549.478    	4.36599e+05	4.36599e+05	4.36599e+05	4.36599e+05
62       NO_ID      -2.356239788   1.366012332    9.23546262     -8.292585977   6.900436746    5.96382587     8.410884433    -7.452376445   8.685340977    -3.51748934    2967737.877    	4.36599e+05	4.36599e+05	4.36599e+05	4.36599e+05
63       NO_ID      4.229317377    -0.5008853899  -4.569804565   1.538100609    7.237658483    7.99447045     9.530947487    9.169632731    -0.8243399605  -8.507061682   1965311.131    	4.36599e+05	4.36599e+05	4.36599e+05	4.36599e+05
64       NO_ID      4.486495187    -5.467603457   2.485604381    4.346857526    0.8247263607   -2.41340291    4.007031596    9.972016076    -1.278228322   4.705516507    1194176.945    	4.36599e+05	4.36599e+05	4.36599e+05	4.36599e+05
65       NO_ID      8.158034508    5.886494609    -8.532526473   3.389744781    -6.747993812   -0.8009326042  -7.994170636   6.668762507    -4.866718766   3.078762759    1905687.63     	4.36599e+05	4.36599e+05	4.36599e+05	4.36599e+05
66       NO_ID      -3.729437601   -3.794817008   -6.604565799   -7.205732147   -0.4740894153  -2.214066227   5.025262864    2.186570024    4.380866487    -4.859618027   720212.4471    	4.36599e+05	4.36599e+05	4.36599e+05	4.36599e+05
67       NO_ID      4.854029148    2.440681954    -7.552773127   -1.075853595   9.721814082    0.9712276434   -7.407075483   -5.765417226   -9.900124068   -4.470360584   2894370.961    	4.36599e+05	4.36599e+05	4.36599e+05	4.36599e+05
68       NO_ID      -9.352112086   -8.292771139   -6.013377247   1.005406052    1.94535484     8.844766051    4.938541093    -5.829844242   -6.081120113   -1.217964335   2537744.622    	4.36599e+05	4.36599e+05	4.36599e+05	4.36599e+05
69       NO_ID      -6.919614977   4.905544767    3.516887358    -3.638246011   6.281490694    -0.3426639703  -3.934959098   3.733167914    -9.350063851   -7.45548284    1385928.12     	4.36599e+05	4.36599e+05	4.36599e+05	4.36599e+05
70       NO_ID      6.520728895    -0.8506536702  -6.253686297   0.7290968373   -1.419389712   0.2997814088   0.9442205855   -0.7351799623  -4.038012312   1.950752671    364103.3064    	3.64103e+05	3.64103e+05	3.64103e+05	3.64103e+05
71       NO_ID      -9.797777112   -6.052479495   6.210490135    -4.430469459   -4.644331099   -5.305766411   6.073724423    2.935942581    9.761063862    5.525486956    2420122.141    	3.64103e+05	3.64103e+05	3.64103e+05	3.64103e+05
72       NO_ID      -7.246787414   -9.34990364    8.556714135    6.857964166    6.763667818    -0.7507568554  2.194435823    -9.994444787   0.3144331432   5.189048815    2840129.166    	3.64103e+05	3.64103e+05	3.64103e+05	3.64103e+05
73       NO_ID      1.796949888    -5.276648645   0.6704831728   -5.303187015   2.600944746    -9.520166478   3.464123259    -6.82376602    2.252893133    8.574517822    1169157.659    	3.64103e+05	3.64103e+05	3.64103e+05	3.64103e+05
74       NO_ID      -6.304321642   -6.325052299   8.217353452    -8.743821831   -4.432665217   -7.205051802   -3.626726236   9.278360551    -8.30043868    6.899674832    3207148.859    	3.64103e+05	3.64103e+05	3.64103e+05	3.64103e+05
75       NO_ID      1.269092322    -2.843353468   6.694298166    -7.493634736   -2.938248551   -6.792726808   0.140615181    0.8148953204   -1.407205348   -5.524471844   866705.6179    	3.64103e+05	3.64103e+05	3.64103e+05	3.64103e+05
