%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far	best_so_far	best_so_far	best_so_far
1        NO_ID      -3.372798604   -6.585982888   7.340756139    5.783405751    -6.545979596   -1.965193415   -1.441689797   -5.425962725   -6.759780984   0.8683387044   1095039.354    
2        NO_ID      6.499256343    -3.160073335   8.977166322    -9.251340901   9.309800998    3.030753032    8.38164542     3.972527021    -7.679956334   -8.447338365   3244276.398    	3.24428e+06	3.24428e+06	3.24428e+06	3.24428e+06
3        NO_ID      9.463350498    0.303589408    4.178788549    -3.904620369   1.768697986    -0.5712574997  4.057278506    -4.553723374   -2.418666862   5.809825255    962771.598     	9.62772e+05	9.62772e+05	9.62772e+05	9.62772e+05
4        NO_ID      -2.809838568   -2.731438953   -3.819395682   7.468854843    -1.758724188   -5.145814773   8.987652283    -0.02306284565 1.911686805    -5.977164733   1060309.171    	9.62772e+05	9.62772e+05	9.62772e+05	9.62772e+05
5        NO_ID      -1.674089795   4.743306598    0.2067687489   -5.289374583   -3.993455201   -7.452815992   1.419135503    -1.655190985   -0.6958537249  -9.745390075   516000.3878    	5.16000e+05	5.16000e+05	5.16000e+05	5.16000e+05
6        NO_ID      -5.424288183   -0.03655360951 0.7583701131   -3.357442681   9.437175203    9.765533832    -2.476532567   3.009304802    -8.094826716   8.436228125    2031427.126    	5.16000e+05	5.16000e+05	5.16000e+05	5.16000e+05
7        NO_ID      -2.011338619   7.298120309    -7.786211156   -9.507597912   4.400990281    9.988597266    9.735996753    9.044524068    8.071112566    9.563111526    4012845.866    	5.16000e+05	5.16000e+05	5.16000e+05	5.16000e+05
8        NO_ID      1.0158632      1.686009362    1.793543793    -0.1394307603  -2.058858899   -2.137125786   -1.789034726   -6.421937077   0.3102505598   -8.788517705   194590.0204    	1.94590e+05	1.94590e+05	1.94590e+05	1.94590e+05
9        NO_ID      5.832014007    8.500021584    7.829589959    -9.067190138   3.755422561    -9.765845057   -4.109389074   5.171201166    -2.611812622   5.344898194    2737989.553    	1.94590e+05	1.94590e+05	1.94590e+05	1.94590e+05
10       NO_ID      -3.772914971   -7.752078367   4.936430554    -1.253774033   8.066659373    6.927818199    -8.360102259   -9.74891522    7.128179077    9.259294808    2658331.343    	1.94590e+05	1.94590e+05	1.94590e+05	1.94590e+05
11       NO_ID      9.385040016    3.91135503     -5.937229479   -4.36871542    4.184777142    -6.799401606   -2.0833694     -3.602133307   -2.852177137   5.112746692    1257776.191    	1.94590e+05	1.94590e+05	1.94590e+05	1.94590e+05
12       NO_ID      -8.99849138    -9.365977172   6.795009275    -7.484057843   -2.690206532   4.293531844    -1.900151735   -8.48381429    -5.856751074   0.1693152366   2883110.783    	1.94590e+05	1.94590e+05	1.94590e+05	1.94590e+05
13       NO_ID      1.413533912    2.860526129    5.853531503    -7.702725576   7.565372659    6.142165386    -7.731503544   -6.270443825   -8.415783499   -1.643541065   2102037.042    	1.94590e+05	1.94590e+05	1.94590e+05	1.94590e+05
14       NO_ID      8.678556225    -8.944054434   0.153450822    -0.4146965866  -0.7594729726  8.512228418    0.1434670126   8.668169422    -6.054614475   -9.118333436   2753394.4      	1.94590e+05	1.94590e+05	1.94590e+05	1.94590e+05
15       NO_ID      -6.52082283    0.7039027928   -6.447923139   1.966299232    -5.215659117   8.318326322    -4.865036828   9.380065126    -9.321928042   3.545029457    2591459.7      	1.94590e+05	1.94590e+05	1.94590e+05	1.94590e+05
