FE	Run 1	Run 2	Run 3	Run 4	Run 5	Run 6	Run 7	Run 8	Run 9	Run 10	Average
1	1218080.0	1886350.0	1256210.0	1469950.0	579336.0	997585.0	2212280.0	2712600.0	3244280.0	1786510.0	1736318.1
2	1218080.0	1470280.0	1256210.0	634372.0	579336.0	372844.0	2212280.0	1842810.0	962772.0	208120.0	1075710.4
3	1218080.0	877948.0	1256210.0	634372.0	579336.0	372844.0	2113010.0	651302.0	962772.0	208120.0	887399.4
4	1218080.0	502276.0	1256210.0	634372.0	579336.0	372844.0	969967.0	651302.0	516000.0	208120.0	690850.7
5	1218080.0	502276.0	1256210.0	634372.0	579336.0	372844.0	969967.0	651302.0	516000.0	208120.0	690850.7
6	1218080.0	502276.0	568727.0	634372.0	579336.0	372844.0	969967.0	651302.0	516000.0	208120.0	622102.4
7	1152280.0	502276.0	568727.0	634372.0	579336.0	372844.0	969967.0	651302.0	194590.0	208120.0	583381.4
8	1152280.0	502276.0	568727.0	634372.0	579336.0	372844.0	293278.0	651302.0	194590.0	208120.0	515712.5
9	1152280.0	502276.0	568727.0	573697.0	579336.0	372844.0	293278.0	651302.0	194590.0	208120.0	509645.0
10	772168.0	502276.0	568727.0	573697.0	579336.0	372844.0	293278.0	651302.0	194590.0	208120.0	471633.8
11	569848.0	502276.0	568727.0	573697.0	579336.0	372844.0	293278.0	651302.0	194590.0	208120.0	451401.8
12	569848.0	502276.0	568727.0	573697.0	579336.0	372844.0	293278.0	651302.0	194590.0	208120.0	451401.8
13	301011.0	502276.0	568727.0	573697.0	579336.0	372844.0	293278.0	651302.0	194590.0	208120.0	424518.1
14	246781.0	502276.0	568727.0	573697.0	579336.0	372844.0	293278.0	447108.0	194590.0	208120.0	398675.7
15	246781.0	502276.0	568727.0	573697.0	579336.0	372844.0	293278.0	447108.0	194590.0	208120.0	398675.7
16	246781.0	502276.0	568727.0	573697.0	579336.0	372844.0	293278.0	447108.0	194590.0	208120.0	398675.7
17	246781.0	502276.0	568727.0	573697.0	497256.0	372844.0	293278.0	447108.0	194590.0	208120.0	390467.7
18	246781.0	502276.0	568727.0	573697.0	410791.0	372844.0	293278.0	447108.0	194590.0	208120.0	381821.2
19	246781.0	502276.0	568727.0	573697.0	410791.0	372844.0	293278.0	447108.0	194590.0	208120.0	381821.2
20	246781.0	502276.0	568727.0	573697.0	410791.0	372844.0	293278.0	447108.0	194590.0	208120.0	381821.2
21	246781.0	502276.0	568727.0	573697.0	410791.0	372844.0	293278.0	447108.0	194590.0	208120.0	381821.2
22	246781.0	502276.0	173409.0	573697.0	410791.0	372844.0	293278.0	447108.0	194590.0	208120.0	342289.4
23	246781.0	502276.0	173409.0	573697.0	410791.0	372844.0	293278.0	447108.0	194590.0	208120.0	342289.4
24	246781.0	502276.0	173409.0	573697.0	410791.0	372844.0	293278.0	447108.0	194590.0	208120.0	342289.4
25	246781.0	502276.0	173409.0	573697.0	410791.0	372844.0	293278.0	447108.0	194590.0	208120.0	342289.4
26	246781.0	502276.0	173409.0	573697.0	410791.0	372844.0	293278.0	447108.0	194590.0	208120.0	342289.4
27	246781.0	502276.0	173409.0	573697.0	410791.0	372844.0	293278.0	447108.0	194590.0	208120.0	342289.4
28	246781.0	502276.0	173409.0	573697.0	410791.0	372844.0	293278.0	447108.0	194590.0	208120.0	342289.4
29	246781.0	502276.0	173409.0	573697.0	410791.0	372844.0	293278.0	447108.0	194590.0	208120.0	342289.4
30	246781.0	502276.0	173409.0	573697.0	410791.0	372844.0	293278.0	447108.0	194590.0	208120.0	342289.4
31	246781.0	502276.0	173409.0	573697.0	410791.0	372844.0	293278.0	447108.0	194590.0	208120.0	342289.4
32	246781.0	502276.0	173409.0	573697.0	410791.0	372844.0	293278.0	447108.0	194590.0	208120.0	342289.4
33	246781.0	502276.0	173409.0	573697.0	410791.0	372844.0	293278.0	447108.0	194590.0	208120.0	342289.4
34	246781.0	502276.0	173409.0	573697.0	410791.0	372844.0	293278.0	447108.0	194590.0	208120.0	342289.4
35	246781.0	502276.0	173409.0	573697.0	410791.0	372844.0	293278.0	447108.0	194590.0	208120.0	342289.4
36	246781.0	502276.0	173409.0	573697.0	410791.0	372844.0	142677.0	447108.0	194590.0	208120.0	327229.3
37	246781.0	502276.0	173409.0	573697.0	410791.0	372844.0	142677.0	447108.0	194590.0	208120.0	327229.3
38	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	447108.0	194590.0	208120.0	304019.5
39	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	447108.0	194590.0	208120.0	304019.5
40	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	447108.0	194590.0	208120.0	304019.5
41	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	447108.0	194590.0	208120.0	304019.5
42	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	436599.0	194590.0	208120.0	302968.6
43	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	436599.0	194590.0	208120.0	302968.6
44	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	436599.0	194590.0	208120.0	302968.6
45	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	436599.0	194590.0	208120.0	302968.6
46	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	436599.0	194590.0	208120.0	302968.6
47	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	436599.0	194590.0	208120.0	302968.6
48	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	436599.0	194590.0	208120.0	302968.6
49	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	436599.0	194590.0	208120.0	302968.6
50	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	436599.0	194590.0	208120.0	302968.6
51	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	436599.0	194590.0	208120.0	302968.6
52	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	436599.0	194590.0	208120.0	302968.6
53	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	436599.0	194590.0	208120.0	302968.6
54	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	436599.0	194590.0	208120.0	302968.6
55	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	436599.0	194590.0	208120.0	302968.6
56	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	436599.0	194590.0	208120.0	302968.6
57	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	436599.0	194590.0	208120.0	302968.6
58	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	436599.0	194590.0	208120.0	302968.6
59	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	436599.0	194590.0	208120.0	302968.6
60	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	436599.0	194590.0	208120.0	302968.6
61	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	436599.0	194590.0	208120.0	302968.6
62	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	436599.0	194590.0	208120.0	302968.6
63	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	436599.0	194590.0	208120.0	302968.6
64	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	436599.0	194590.0	208120.0	302968.6
65	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	436599.0	194590.0	208120.0	302968.6
66	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	436599.0	194590.0	208120.0	302968.6
67	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	436599.0	194590.0	208120.0	302968.6
68	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	436599.0	194590.0	208120.0	284802.7
69	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
70	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
71	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
72	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
73	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
74	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
75	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
76	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
77	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
78	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
79	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
80	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
81	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
82	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
83	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
84	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
85	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
86	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
87	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
88	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
89	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
90	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
91	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
92	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
93	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
94	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
95	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
96	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
97	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
98	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
99	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
100	14151.9	10073.0	10648.1	12691.3	15289.8	8940.63	935.006	1289.99	14908.7	234.773	8916.319899999999
101	5938.86	2164.34	10648.1	12691.3	15289.8	8940.63	935.006	1289.99	14908.7	234.773	7304.149899999999
102	1037.73	2164.34	3944.96	12691.3	15289.8	8940.63	935.006	1289.99	14908.7	234.773	6143.722899999999
103	1037.73	2164.34	3944.96	3458.01	12625.4	8940.63	935.006	1289.99	9790.35	234.773	4442.1188999999995
104	1037.73	2164.34	3944.96	3458.01	12625.4	8940.63	935.006	1289.99	7517.07	234.773	4214.7909
105	1037.73	2164.34	3944.96	3458.01	4117.08	1275.85	935.006	1289.99	7517.07	234.773	2597.4809
106	1037.73	2164.34	3944.96	3458.01	2965.64	1275.85	935.006	1289.99	4260.5	234.773	2156.6799
107	1037.73	2164.34	3944.96	3458.01	2965.64	1275.85	935.006	1289.99	4260.5	234.773	2156.6799
108	1037.73	2164.34	3944.96	1083.45	2965.64	1275.85	935.006	1289.99	4260.5	234.773	1919.2239000000002
109	1037.73	2164.34	3944.96	1083.45	2965.64	1275.85	935.006	1289.99	1940.71	234.773	1687.2449000000001
110	1037.73	2164.34	3944.96	1083.45	2965.64	1275.85	935.006	1289.99	1940.71	234.773	1687.2449000000001
111	1037.73	2164.34	3944.96	1083.45	2965.64	1275.85	935.006	1289.99	1940.71	234.773	1687.2449000000001
112	1037.73	2164.34	1966.51	1083.45	2965.64	1275.85	935.006	1289.99	1940.71	234.773	1489.3999
113	1037.73	2164.34	1966.51	1083.45	2965.64	1275.85	935.006	1289.99	1940.71	234.773	1489.3999
114	1037.73	2164.34	1966.51	1083.45	2965.64	1275.85	935.006	1289.99	903.629	234.773	1385.6918
115	1037.73	2164.34	1966.51	1083.45	2965.64	1275.85	935.006	1289.99	903.629	234.773	1385.6918
116	1037.73	2164.34	1966.51	1083.45	2965.64	1275.85	935.006	1289.99	903.629	234.773	1385.6918
117	1037.73	2164.34	1966.51	1083.45	2965.64	1275.85	935.006	1289.99	903.629	234.773	1385.6918
118	1037.73	2164.34	1966.51	1083.45	2965.64	1275.85	935.006	1289.99	903.629	234.773	1385.6918
119	1037.73	2164.34	1966.51	1083.45	2965.64	1275.85	935.006	1289.99	903.629	234.773	1385.6918
120	1037.73	2164.34	1966.51	1083.45	2965.64	1275.85	935.006	1289.99	903.629	234.773	1385.6918
121	1037.73	2164.34	1966.51	1083.45	2965.64	1275.85	935.006	1289.99	903.629	234.773	1385.6918
122	1037.73	2164.34	1966.51	1083.45	2965.64	1275.85	935.006	1289.99	903.629	234.773	1385.6918
123	1037.73	2164.34	1966.51	1083.45	2965.64	1275.85	935.006	1289.99	903.629	234.773	1385.6918
124	1037.73	2164.34	1966.51	1083.45	2965.64	1275.85	935.006	1289.99	903.629	234.773	1385.6918
125	1037.73	2164.34	1966.51	1083.45	2965.64	1275.85	935.006	1289.99	903.629	234.773	1385.6918
126	1037.73	2164.34	1966.51	1083.45	2965.64	1275.85	935.006	1289.99	903.629	234.773	1385.6918
127	1037.73	2164.34	1966.51	1083.45	2965.64	1275.85	935.006	1289.99	903.629	234.773	1385.6918
128	1037.73	2164.34	1966.51	1083.45	2965.64	1275.85	935.006	1289.99	903.629	234.773	1385.6918
129	1037.73	2164.34	1966.51	1083.45	2965.64	1275.85	935.006	1289.99	903.629	234.773	1385.6918
130	1037.73	2164.34	1966.51	1083.45	2965.64	1275.85	935.006	1289.99	903.629	234.773	1385.6918
131	1037.73	2164.34	1112.05	1083.45	2965.64	1275.85	935.006	1289.99	903.629	234.773	1300.2458000000001
132	1037.73	2164.34	1112.05	1083.45	2965.64	1275.85	935.006	1289.99	903.629	234.773	1300.2458000000001
