%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far	best_so_far	best_so_far	best_so_far
1        NO_ID      -9.972533341   7.832575457    4.769737846    0.8615375225   7.996154668    1.993774224    -1.094698935   6.132694479    -3.465987121   1.179540391    1782160.921    
2        NO_ID      -9.835200049   -1.375469222   2.332529679    7.693411054    0.9360026856   6.893826106    0.9781182287   5.809198279    -8.815271462   2.083498642    2278388.34     	2.27839e+06	2.27839e+06	2.27839e+06	2.27839e+06
3        NO_ID      -9.478743858   7.258217109    0.2761925108   3.481246376    1.256447035    -6.749778741   8.834192938    -5.2006592     6.52150029     9.211401715    1957925.864    	1.95793e+06	1.95793e+06	1.95793e+06	1.95793e+06
4        NO_ID      -8.720053713   -8.90377514    -2.595599231   5.184789575    -0.1937925352  -2.172002319   0.7895138401   2.768944365    8.409985656    -5.760368664   2053284.23     	1.95793e+06	1.95793e+06	1.95793e+06	1.95793e+06
5        NO_ID      -8.463698233   5.077364422    0.6521805475   -8.424634541   -2.863551744   1.621448408    6.182134465    3.91399884     -9.900509659   2.52723777     2158286.786    	1.95793e+06	1.95793e+06	1.95793e+06	1.95793e+06
6        NO_ID      -8.32636494    -7.468184454   2.378307443    -8.959929197   -5.925778985   -2.960600604   4.547563097    4.993743706    8.215887936    -5.534531693   2372532.484    	1.95793e+06	1.95793e+06	1.95793e+06	1.95793e+06
7        NO_ID      -8.246406446   -1.179540391   -0.4824976348  4.849696341    -2.763451033   -7.03604236    3.002716147    3.55754265     -7.120273446   -7.039704581   1163691.595    	1.16369e+06	1.16369e+06	1.16369e+06	1.16369e+06
8        NO_ID      -8.027893918   -2.273323771   0.6906338694   -2.094485305   -2.418591876   5.673696097    6.787011322    -2.964262825   6.253547777    6.514175848    864451.7387    	8.64452e+05	8.64452e+05	8.64452e+05	8.64452e+05
9        NO_ID      -7.853938414   -5.457014679   9.126560259    3.248084964    7.688528092    2.692648091    -3.516647847   -2.637104404   1.98095645     -5.682241279   1499414.541    	8.64452e+05	8.64452e+05	8.64452e+05	8.64452e+05
10       NO_ID      -7.633594775   -1.845454268   3.736381115    8.299508652    -9.750968963   8.799401837    -4.007385479   7.748344371    -3.119907224   -6.921292764   2824521.179    	8.64452e+05	8.64452e+05	8.64452e+05	8.64452e+05
11       NO_ID      -6.666158025   -2.900173956   8.955046236    3.689382611    -0.6784264657  -9.281594287   -1.763054292   -9.222388379   -2.803735466   7.836848048    2399596.001    	8.64452e+05	8.64452e+05	8.64452e+05	8.64452e+05
12       NO_ID      -6.6502884     -3.411664174   -9.251075777   0.9231849116   9.572740867    4.697103793    -9.64598529    7.545091098    1.716055788    7.278359325    2889477.003    	8.64452e+05	8.64452e+05	8.64452e+05	8.64452e+05
13       NO_ID      -6.608172857   7.205725272    -2.277596362   -9.630115665   9.625232704    0.882290109    8.19696646     8.535111545    -5.936155278   7.676931059    3028158.131    	8.64452e+05	8.64452e+05	8.64452e+05	8.64452e+05
14       NO_ID      -5.431379131   -4.670857875   4.383373516    -0.702230903   -9.924924467   -4.062929167   -0.4989776299  8.1633961      5.707876827    7.705618458    1718327.704    	8.64452e+05	8.64452e+05	8.64452e+05	8.64452e+05
15       NO_ID      -5.295266579   5.712149419    1.059297464    5.213476974    6.255378887    0.3408917508   3.276161992    -1.584215827   -7.404095584   6.953032014    600751.7766    	6.00752e+05	6.00752e+05	6.00752e+05	6.00752e+05
16       NO_ID      -5.100558489   -9.005706961   6.539201025    8.019959105    -9.564806055   -0.9921567431  6.641743217    -8.74385815    2.156132694    3.342692343    3035669.27     	6.00752e+05	6.00752e+05	6.00752e+05	6.00752e+05
17       NO_ID      -5.025482955   -7.289345988   -5.884273812   -8.557695242   8.694418165    -2.327036348   -6.74733726    -5.186620685   7.68120365     -0.9207434309  2332832.587    	6.00752e+05	6.00752e+05	6.00752e+05	6.00752e+05
18       NO_ID      -4.843592639   -3.838312937   7.51884518     -7.260048219   1.962645344    1.345561083    6.921292764    -5.598010193   3.192541276    1.548814356    1120622.369    	6.00752e+05	6.00752e+05	6.00752e+05	6.00752e+05
19       NO_ID      -4.835657826   6.475722526    -7.367473373   8.021790216    7.882625813    -2.604754784   -9.965819269   -6.814477981   -3.272499771   8.509475997    2626110.866    	6.00752e+05	6.00752e+05	6.00752e+05	6.00752e+05
20       NO_ID      -4.446241646   8.321481979    -8.77742851    0.3817865535   4.887539293    8.693807794    -4.509109775   -0.1040681173  3.959776605    -5.079805902   1963096.191    	6.00752e+05	6.00752e+05	6.00752e+05	6.00752e+05
21       NO_ID      -3.889584033   -6.804712058   -5.455793939   3.84746849     -7.595751823   -2.209845271   -2.91604358    -3.021027253   1.573839534    -7.869808039   828252.0027    	6.00752e+05	6.00752e+05	6.00752e+05	6.00752e+05
22       NO_ID      -3.734550005   -6.39393292    -5.686513871   -9.366435743   6.453138829    -5.665150914   5.638904996    -6.020996735   -9.09848323    -1.802728355   2451174.49     	6.00752e+05	6.00752e+05	6.00752e+05	6.00752e+05
23       NO_ID      -3.470259713   5.798821986    2.376476333    1.743522446    -0.4257332072  -1.412701804   -6.87612537    -2.488174078   2.182378613    -0.808435316   364942.0072    	3.64942e+05	3.64942e+05	3.64942e+05	3.64942e+05
24       NO_ID      -3.262123478   8.362987152    1.546372875    -5.625476852   -0.9085360271  4.307077242    -6.36097293    -8.520462661   8.134708701    -5.414899136   1812260.548    	3.64942e+05	3.64942e+05	3.64942e+05	3.64942e+05
25       NO_ID      -3.058259835   -9.00021363    4.434644612    -8.332468642   -5.739616077   2.894070254    9.899288919    -6.249275185   6.84377575     5.875118259    2712607.084    	3.64942e+05	3.64942e+05	3.64942e+05	3.64942e+05
26       NO_ID      -2.551652577   4.195989868    -1.566515091   -4.292428358   3.642384106    -8.58394116    -9.188207648   2.113406781    -3.194372387   5.759758293    1483839.178    	3.64942e+05	3.64942e+05	3.64942e+05	3.64942e+05
27       NO_ID      -2.384411145   -2.289193396   -1.855830561   8.896450697    7.856990265    5.205542161    -3.17300943    1.886349071    4.149601733    3.387859737    959795.963     	3.64942e+05	3.64942e+05	3.64942e+05	3.64942e+05
28       NO_ID      -1.849116489   -3.458662679   -9.716177862   -3.242591632   0.9006012146   7.770928068    9.295632801    8.230536821    1.162450026    2.361217078    2335230.666    	3.64942e+05	3.64942e+05	3.64942e+05	3.64942e+05
29       NO_ID      -1.584215827   2.01391644     4.401684622    -5.206762902   9.654530473    0.8603167821   8.187810907    8.436841945    -4.210028382   -4.957121494   1912842.886    	3.64942e+05	3.64942e+05	3.64942e+05	3.64942e+05
30       NO_ID      -0.1541184729  -7.967467269   -0.5575731681  -9.704580828   -6.481826228   1.416364025    0.2859584338   0.1925717948   8.301950133    -1.629993591   2109781.181    	3.64942e+05	3.64942e+05	3.64942e+05	3.64942e+05
31       NO_ID      0.4306161687   -3.55876339    5.074922941    4.794152654    -8.06878872    -7.830133976   -5.111545152   1.263771477    -5.955076754   3.487350078    1290746.412    	3.64942e+05	3.64942e+05	3.64942e+05	3.64942e+05
32       NO_ID      0.4544206061   -0.9353923154  -4.358348338   -1.794183172   -4.935758538   -3.466597491   8.913541063    -7.349772637   -4.91134373    7.986999115    1258160.087    	3.64942e+05	3.64942e+05	3.64942e+05	3.64942e+05
33       NO_ID      1.149632252    0.5142368847   -3.409833064   -8.221991638   8.182317576    6.419568468    -0.6894131291  -2.030396435   -0.4440443129  3.426313059    939789.2711    	3.64942e+05	3.64942e+05	3.64942e+05	3.64942e+05
34       NO_ID      1.333353679    -6.1363567     -0.7687612537  2.602923673    -0.9866634114  5.352641377    4.187444685    -9.553209021   4.416943876    -8.878139592   1130504.744    	3.64942e+05	3.64942e+05	3.64942e+05	3.64942e+05
35       NO_ID      2.054200873    -8.218329417   -0.4287850581  -3.707693716   2.840968047    -7.888729514   -9.605090487   8.731650746    9.738761559    1.941892758    3035833.875    	3.64942e+05	3.64942e+05	3.64942e+05	3.64942e+05
36       NO_ID      2.541886654    -0.376903592   -0.6942960906  -6.205328532   0.763267922    5.416730247    -5.8128605     -8.534501175   3.496505631    1.892452773    948436.7619    	3.64942e+05	3.64942e+05	3.64942e+05	3.64942e+05
37       NO_ID      3.78521073     3.486129337    -7.814264351   0.01251258889  -7.250892666   1.898556475    -5.648670919   1.343119602    5.160374767    -4.193548387   884744.8005    	3.64942e+05	3.64942e+05	3.64942e+05	3.64942e+05
38       NO_ID      4.101382488    8.016296884    9.29074984     -4.772789697   -8.317819758   -1.116061892   -0.5142368847  5.346537675    -8.095034639   8.38923307     2194920.381    	3.64942e+05	3.64942e+05	3.64942e+05	3.64942e+05
39       NO_ID      4.856410413    2.226325266    -1.730704672   -9.642323069   9.407330546    8.413037507    6.635639515    5.145115513    3.39823603     -2.640766625   2042111.256    	3.64942e+05	3.64942e+05	3.64942e+05	3.64942e+05
40       NO_ID      5.905026399    2.847682119    3.424481948    -1.123996704   -3.215735343   -7.162999359   -2.360606708   7.463301492    5.955687124    -5.372783593   856762.1516    	3.64942e+05	3.64942e+05	3.64942e+05	3.64942e+05
41       NO_ID      6.021607105    0.2755821406   6.476332896    -2.306894131   -5.538804285   3.282265694    -1.698355052   2.224494156    -6.769310587   -7.265541551   727593.8187    	3.64942e+05	3.64942e+05	3.64942e+05	3.64942e+05
42       NO_ID      6.498306223    -4.97482223    -0.8426160466  -7.545091098   0.9811700797   3.648487808    0.3891109958   -2.507095553   9.545884579    -2.728659932   1508382.161    	3.64942e+05	3.64942e+05	3.64942e+05	3.64942e+05
43       NO_ID      7.013458663    -5.131687368   -8.990447707   -3.888973663   -7.711722159   3.130283517    1.029999695    0.4245124668   -0.1370281075  7.968077639    1521461.207    	3.64942e+05	3.64942e+05	3.64942e+05	3.64942e+05
44       NO_ID      7.086092715    -1.160618915   -3.488570818   -2.579119236   4.742271187    7.149571215    -6.749168371   5.667592395    -5.823847163   7.61650441     1019235.191    	3.64942e+05	3.64942e+05	3.64942e+05	3.64942e+05
45       NO_ID      8.584551531    4.039735099    -8.001037629   -2.834253975   8.464918973    2.36732078     2.684102908    9.399395734    -4.965056307   4.446852016    2384558.284    	3.64942e+05	3.64942e+05	3.64942e+05	3.64942e+05
46       NO_ID      8.701742607    -7.264931181   9.079561754    5.483260598    -2.350840785   -6.036866359   5.756096072    0.6649983215   -2.394177068   -5.808587909   1804307.716    	3.64942e+05	3.64942e+05	3.64942e+05	3.64942e+05
47       NO_ID      9.094210639    -1.791131321   1.887569811    -8.167058321   6.895046846    -6.514175848   8.962981048    -4.945524461   -5.605945006   7.974791711    2362851.768    	3.64942e+05	3.64942e+05	3.64942e+05	3.64942e+05
48       NO_ID      9.108249153    0.07477034822  -5.895870846   -8.861049226   -7.074495682   8.0999176      -6.6502884     -1.836909085   -6.608783227   -5.371562853   2774654.115    	3.64942e+05	3.64942e+05	3.64942e+05	3.64942e+05
49       NO_ID      9.108859523    3.577074496    9.178441725    0.8963286233   3.565477462    1.918698691    -1.727652821   -6.52150029    9.541001617    2.865382855    2237132.823    	3.64942e+05	3.64942e+05	3.64942e+05	3.64942e+05
50       NO_ID      9.167455061    -8.894619587   -2.032837916   -3.079012421   -1.260719626   -4.639118625   -5.081637013   -8.984344005   -0.6942960906  -7.974181341   2405076.525    	3.64942e+05	3.64942e+05	3.64942e+05	3.64942e+05
51       NO_ID      -9.835200049   -8.218329417   2.332529679    7.693411054    0.9360026856   -7.888729514   -9.605090487   8.731650746    -8.815271462   2.083498642    4383885.389    	3.64942e+05	3.64942e+05	3.64942e+05	3.64942e+05
52       NO_ID      -9.835200049   -3.458662679   2.332529679    -3.242591632   0.9360026856   7.770928068    9.295632801    5.809198279    1.162450026    2.361217078    2051778.023    	3.64942e+05	3.64942e+05	3.64942e+05	3.64942e+05
53       NO_ID      -9.835200049   -1.375469222   -2.595599231   7.693411054    -0.1937925352  -2.172002319   0.7895138401   2.768944365    8.409985656    -5.760368664   1905064.828    	3.64942e+05	3.64942e+05	3.64942e+05	3.64942e+05
54       NO_ID      -9.835200049   -1.375469222   2.332529679    -7.260048219   0.9360026856   1.345561083    0.9781182287   5.809198279    -8.815271462   1.548814356    2010627.496    	3.64942e+05	3.64942e+05	3.64942e+05	3.64942e+05
