%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far	best_so_far	best_so_far	best_so_far
1        NO_ID      -9.970702231   -5.607776116   -4.327219459   -4.451124607   -5.708487197   4.390697958    0.8047730949   4.345530564    6.612445448    -2.573015534   1694522.886    
2        NO_ID      -9.691152684   6.84438612     5.575426496    2.682271798    6.533097324    -5.737174596   8.84029664     -5.04074221    7.588427381    5.128635517    2301014.947    	2.30101e+06	2.30101e+06	2.30101e+06	2.30101e+06
3        NO_ID      -9.120456557   7.909482101    -5.052339244   -5.829340495   1.33579516     -2.211676382   7.23075045     -5.434430982   -0.6051820429  -7.051301614   1660579.415    	1.66058e+06	1.66058e+06	1.66058e+06	1.66058e+06
4        NO_ID      -9.070406201   -1.78807947    3.775444807    -4.800866726   -4.442579424   3.670461135    2.541886654    -6.016724143   -7.568285165   -2.062135685   1415883.743    	1.41588e+06	1.41588e+06	1.41588e+06	1.41588e+06
5        NO_ID      -8.93795587    -6.903592029   -9.007538072   4.790490432    -7.509689627   -2.547990356   2.357554857    6.345103305    -5.958128605   -5.342265084   2480071.436    	1.41588e+06	1.41588e+06	1.41588e+06	1.41588e+06
6        NO_ID      -8.645588549   -6.172368542   -9.347514267   0.2102725303   3.147373882    -5.621814631   5.937986389    9.358500931    -6.770531327   3.935972167    2863999.186    	1.41588e+06	1.41588e+06	1.41588e+06	1.41588e+06
7        NO_ID      -8.58394116    6.670430616    6.091799677    -7.148960845   5.770744957    -7.393108921   9.760124516    -8.018738365   -5.736564226   0.6076235237   3027187.33     	1.41588e+06	1.41588e+06	1.41588e+06	1.41588e+06
8        NO_ID      -8.309274575   -7.122104556   -2.576067385   -4.177068392   5.443586535    9.345683157    7.701345866    7.401043733    -0.8554338206  -4.056215094   2147345.371    	1.41588e+06	1.41588e+06	1.41588e+06	1.41588e+06
9        NO_ID      -8.079775384   7.211218604    2.858668783    -6.271248512   -9.441511277   -6.893826106   -7.721488083   6.533097324    1.805780206    -8.166447951   2527385.094    	1.41588e+06	1.41588e+06	1.41588e+06	1.41588e+06
10       NO_ID      -7.852107303   0.3549302652   7.238074892    -6.718649861   1.469466231    8.761558885    8.885464034    -0.1895199438  -8.740195929   -0.1126133     2605758.536    	1.41588e+06	1.41588e+06	1.41588e+06	1.41588e+06
11       NO_ID      -7.471846675   9.96765038     8.406933805    -7.043366802   -6.71559801    -0.3830072939  0.9298989837   -0.7083346049  -2.390514847   -8.463087863   2187201.217    	1.41588e+06	1.41588e+06	1.41588e+06	1.41588e+06
12       NO_ID      -6.924344615   -8.954435865   5.291604358    -2.899563585   -9.005706961   -7.529221473   -4.803308206   5.665761284    7.996154668    0.7589953307   2662168.492    	1.41588e+06	1.41588e+06	1.41588e+06	1.41588e+06
13       NO_ID      -6.698507645   7.232581561    -8.765221107   0.4690694906   3.170567949    -8.535721915   4.565263833    -0.2188177129  -4.818567461   2.035279397    1691517.415    	1.41588e+06	1.41588e+06	1.41588e+06	1.41588e+06
14       NO_ID      -6.611835078   2.273934141    -1.667836543   8.135319071    -3.577684866   -6.420178838   0.7229834895   -0.5856501968  5.079805902    6.567278054    906468.8       	9.06469e+05	9.06469e+05	9.06469e+05	9.06469e+05
15       NO_ID      -5.645008698   -1.46519364    -7.914365062   -0.7937864315  6.385998108    -6.370738853   -7.659230323   4.519486068    4.128238777    3.620410779    1320023.65     	9.06469e+05	9.06469e+05	9.06469e+05	9.06469e+05
16       NO_ID      -4.548173467   5.901364177    7.664723655    -9.506210517   5.292825098    -1.904660176   -3.093050935   -7.643971068   9.723502304    -1.615955077   2571287.032    	9.06469e+05	9.06469e+05	9.06469e+05	9.06469e+05
17       NO_ID      -4.391918699   3.738212226    -7.190466018   -1.636097293   -6.07043672    8.93795587     -6.369518113   -4.098330638   -6.453749199   -3.278603473   1638875.849    	9.06469e+05	9.06469e+05	9.06469e+05	9.06469e+05
18       NO_ID      -4.04034547    3.283486435    -4.463332011   -3.395794549   8.42158269     -7.604907376   -1.247901852   5.189062166    -1.669667653   4.626300851    1144989.752    	9.06469e+05	9.06469e+05	9.06469e+05	9.06469e+05
19       NO_ID      -3.498336741   6.505630665    -0.02044740135 -5.00839259    -4.012878811   7.902157659    -1.541489914   4.869228187    -9.54893643    -7.895443587   1779061.936    	9.06469e+05	9.06469e+05	9.06469e+05	9.06469e+05
20       NO_ID      -3.0118717     9.063081759    -3.97869808    8.438062685    -7.216101566   0.5368205817   8.176213874    2.75246437     5.987426374    7.058626057    2128137.559    	9.06469e+05	9.06469e+05	9.06469e+05	9.06469e+05
21       NO_ID      -1.136814478   1.203344829    3.703421125    0.8755760369   5.645008698    1.574449904    -4.20392468    -1.076387829   6.685079501    -1.59520249    368140.0838    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
22       NO_ID      -1.122165593   -7.593310343   9.750968963    3.563035981    -4.318674276   -4.593340861   7.741630299    6.942045351    -1.467635121   -7.225257118   1712243.134    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
23       NO_ID      -1.050752281   -7.914365062   8.413647877    2.325815607    -8.417310099   1.796624653    -5.703604236   6.075319681    -3.198034608   -5.254371776   1529965.638    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
24       NO_ID      -0.4336680197  -8.160954619   4.398632771    8.458204901    -8.54976043    5.821405683    -3.906064028   4.837488937    -9.230323191   -6.066774499   2593358.402    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
25       NO_ID      -0.4147465438  4.420606098    2.630390332    4.177068392    -1.968749046   9.922482986    -2.918485061   7.526169622    9.167455061    9.100924711    1887537.528    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
26       NO_ID      -0.05523850215 7.300943022    4.044007691    3.972594378    3.940855129    4.103213599    -4.565874203   -0.08087405011 -0.7773064364  8.45393231     386326.0631    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
27       NO_ID      0.4202398755   -5.00717185    8.243354595    5.663930174    7.661061434    -8.424024171   2.052369762    -1.868648335   -5.13657033    -2.712790307   1500063.072    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
28       NO_ID      0.7046723838   6.188238166    5.013275552    4.775841548    0.5948057497   6.364024781    3.742484817    -5.547959838   3.069246498    -2.88308359    473821.0535    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
29       NO_ID      1.426740318    -4.617145299   3.210242012    -6.749778741   4.741050447    8.902554399    0.1187170019   6.570940275    3.307290872    5.629139073    1043898.754    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
30       NO_ID      1.481673635    2.159184545    -8.015076144   9.851680044    -4.541459395   7.29544969     -3.030182806   8.90621662     -9.320657979   1.23996704     3197791.51     	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
31       NO_ID      3.047273171    -2.541276284   -6.620990631   1.932126835    -4.003723258   -1.353495895   -5.875728629   -6.469618824   -0.5771050142  -5.480819117   600542.8369    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
32       NO_ID      3.227942747    1.653798029    -0.9555345317  -7.19840083    -8.064516129   8.737144078    -0.5343791009  2.659688101    0.5996887112   -6.771141697   1292160.898    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
33       NO_ID      3.416547136    -3.759575182   0.7650990326   -1.615344707   1.387676626    6.465956603    -6.03869747    -1.687978759   9.663075655    -2.332529679   1339726.321    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
34       NO_ID      3.635059664    8.400219733    -3.49345378    2.511978515    -9.068575091   4.128849147    5.87878048     -3.523361919   7.51884518     4.741660817    1622349.091    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
35       NO_ID      3.705252235    -2.188482315   -9.289529099   -1.343729972   8.00469985     -8.943449202   6.645405438    1.535386212    -5.766472365   7.027497177    2145533.983    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
36       NO_ID      4.403515732    -2.521744438   -6.562395093   4.255195776    -7.030549028   1.56285287     6.87734611     1.743522446    2.441785943    1.281472213    719542.3062    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
37       NO_ID      5.55528428     -8.447218238   -5.259254738   1.427350688    3.233436079    -9.625843074   6.807763909    7.3259682      -3.844416639   9.008148442    2074522.7      	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
38       NO_ID      5.55589465     -1.698965423   -2.23975341    -7.972960601   4.097109897    -5.132908109   -3.154698325   -7.630542924   -1.559190649   1.230811487    1003060.316    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
39       NO_ID      5.589465011    9.266945402    -0.3274636067  -2.154911954   4.050721763    6.570940275    -4.329050569   8.184148686    -8.182317576   5.55589465     1980627.71     	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
40       NO_ID      5.771965697    -3.343913083   9.766838588    2.551652577    9.633777886    -3.283486435   6.566057314    5.468001343    8.167668691    -2.414929655   2589744.277    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
41       NO_ID      5.838496048    -3.489791559   8.287911618    -1.991943113   -5.618152409   -3.424481948   2.291634877    -0.4684591205  0.8133182775   -0.5252235481  786439.0187    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
42       NO_ID      5.97338786     1.648915067    -3.818170721   4.573809015    3.413495285    4.87960448     6.440931425    -5.859859004   -6.900540178   2.423474837    794198.156     	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
43       NO_ID      6.046021912    -0.2267525254  -8.668782617   -3.094271676   -5.967284158   7.299111911    4.957731864    -4.575029756   -3.738822596   -0.6692709128  1260450.801    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
44       NO_ID      6.507461776    5.203100681    -7.098300119   3.708304086    3.790704062    -6.5868099     2.81777398     6.142460402    -7.51884518    1.743522446    1196571.214    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
45       NO_ID      7.466353343    4.725180822    -5.182958464   -6.506241035   -3.081453902   -0.6741538743  -9.076509903   -0.9219641713  -2.438123722   7.908871731    1368732.084    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
46       NO_ID      8.111514634    2.01330607     -8.080385754   -4.640949736   -8.428907132   -4.673299356   0.9396649068   1.30527665     -4.930265206   -0.2328562273  1682423.021    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
47       NO_ID      8.640705588    -3.033234657   8.021179846    -7.58415479    -0.4049806207  7.853328043    -8.97091586    -4.354686117   -4.631794183   -2.531510361   2794861.154    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
48       NO_ID      8.725547044    -1.645252846   -0.2121036409  6.743064669    -4.535355693   0.4879909665   1.999267556    7.285073397    -6.711325419   5.737174596    1414204.6      	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
49       NO_ID      8.927579577    -1.764885403   3.927426984    7.282021546    2.085329752    -5.413068026   1.805169836    9.602038636    -3.009430219   -4.905240028   1945259.297    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
50       NO_ID      9.348735008    -7.963194678   0.3488265633   -4.546342357   -7.494430372   -3.222449416   0.09002960295  4.531693472    9.780266732    3.189489425    2620832.423    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
51       NO_ID      -9.691152684   2.01330607     -8.080385754   2.682271798    -8.428907132   -5.737174596   8.84029664     -5.04074221    -4.930265206   -0.2328562273  2768148.819    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
52       NO_ID      -9.691152684   2.01330607     5.575426496    -4.640949736   -8.428907132   -5.737174596   8.84029664     1.30527665     -4.930265206   5.128635517    2341968.18     	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
53       NO_ID      -9.120456557   7.909482101    -5.052339244   8.446607868    1.33579516     -2.211676382   7.23075045     -5.434430982   -0.6051820429  -7.051301614   1975001.821    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
54       NO_ID      -9.070406201   9.266945402    -0.3274636067  -4.800866726   -4.442579424   6.570940275    -4.329050569   8.184148686    -7.568285165   5.55589465     2431927.896    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
55       NO_ID      -7.471846675   9.96765038     5.291604358    -2.899563585   -6.71559801    -0.3830072939  0.9298989837   -0.7083346049  -2.390514847   -8.463087863   1441822.989    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
56       NO_ID      -6.924344615   -8.954435865   5.291604358    -2.899563585   -6.71559801    -0.3830072939  -4.803308206   5.665761284    -2.390514847   -8.463087863   1381984.536    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
57       NO_ID      -6.698507645   7.232581561    -8.765221107   0.4690694906   3.170567949    -8.535721915   -6.324350719   -0.2188177129  -4.818567461   2.035279397    1969534.481    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
58       NO_ID      -5.645008698   -8.447218238   -5.259254738   -0.7937864315  3.233436079    -9.625843074   -7.659230323   4.519486068    4.128238777    9.008148442    2204360.256    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
59       NO_ID      -5.645008698   -3.033234657   -7.914365062   -7.58415479    -0.4049806207  7.853328043    -8.97091586    4.519486068    -4.631794183   3.620410779    2156664.604    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
60       NO_ID      -5.645008698   -1.46519364    8.021179846    -0.7937864315  -0.4049806207  -6.370738853   -7.659230323   4.519486068    4.128238777    -2.531510361   1134212.928    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
61       NO_ID      -4.548173467   3.283486435    7.664723655    -3.395794549   8.42158269     -7.604907376   -1.247901852   -7.643971068   -1.669667653   4.626300851    1754466.773    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
62       NO_ID      -4.548173467   5.901364177    -4.463332011   -3.395794549   8.42158269     -1.904660176   -1.247901852   5.189062166    -1.669667653   4.626300851    847952.4251    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
63       NO_ID      -4.391918699   1.203344829    -7.190466018   -1.636097293   -6.07043672    1.574449904    -6.369518113   -4.098330638   6.685079501    -1.59520249    888851.0802    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
64       NO_ID      -4.04034547    -3.033234657   -4.463332011   -7.58415479    8.42158269     -7.604907376   -8.97091586    5.189062166    -1.669667653   -2.531510361   2087652.206    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
65       NO_ID      -4.04034547    3.283486435    8.021179846    -7.58415479    8.42158269     -7.604907376   -8.97091586    -4.354686117   -4.631794183   4.626300851    2643166.635    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
66       NO_ID      -1.136814478   3.738212226    3.703421125    0.8755760369   5.645008698    8.93795587     -6.369518113   -1.076387829   6.685079501    -3.278603473   1233401.741    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
67       NO_ID      -1.122165593   -7.593310343   -9.289529099   3.563035981    8.00469985     -4.593340861   6.645405438    6.942045351    -5.766472365   7.027497177    2133966.996    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
68       NO_ID      -1.122165593   -7.593310343   9.750968963    3.563035981    8.00469985     -4.593340861   6.645405438    1.535386212    -1.467635121   -7.225257118   1761774.838    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
69       NO_ID      -1.050752281   -7.914365062   -6.562395093   2.325815607    -8.417310099   1.796624653    -5.703604236   1.743522446    -3.198034608   -5.254371776   1279849.068    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
70       NO_ID      -0.4147465438  4.420606098    2.630390332    4.177068392    -1.968749046   9.922482986    -3.504440443   7.526169622    9.167455061    9.100924711    1901619.599    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
71       NO_ID      0.4202398755   -5.00717185    8.243354595    2.511978515    -9.068575091   4.128849147    2.052369762    -1.868648335   7.51884518     4.741660817    1389321.885    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
72       NO_ID      0.4202398755   -4.617145299   8.243354595    -6.749778741   4.741050447    8.902554399    2.052369762    6.570940275    -5.13657033    5.629139073    1635863.866    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
73       NO_ID      0.7046723838   6.188238166    5.013275552    4.775841548    0.5948057497   6.364024781    3.742484817    -5.547959838   3.069246498    -6.719260231   484732.2493    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
74       NO_ID      1.426740318    -4.617145299   3.210242012    -6.749778741   4.741050447    -8.424024171   0.1187170019   6.570940275    3.307290872    5.629139073    996633.1911    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
75       NO_ID      3.047273171    -6.172368542   -9.347514267   1.932126835    3.147373882    -1.353495895   5.937986389    -6.469618824   -0.5771050142  3.935972167    1349212.933    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
76       NO_ID      3.047273171    -2.541276284   -9.347514267   1.932126835    3.147373882    -1.353495895   5.937986389    -6.469618824   -6.770531327   -5.480819117   1457679.683    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
77       NO_ID      3.635059664    -5.00717185    -3.49345378    5.663930174    7.661061434    4.128849147    5.87878048     -3.523361919   7.51884518     4.741660817    904781.1568    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
78       NO_ID      4.403515732    -2.521744438   8.413647877    2.325815607    -7.030549028   1.796624653    6.87734611     1.743522446    2.441785943    1.281472213    970783.5969    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
79       NO_ID      5.55528428     -8.447218238   -7.914365062   -0.7937864315  6.385998108    -6.370738853   6.807763909    7.3259682      -3.844416639   3.620410779    2020843.305    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
80       NO_ID      5.55589465     -1.698965423   -2.23975341    -7.972960601   4.097109897    -5.132908109   -3.154698325   -7.630542924   -1.559190649   -8.972136601   1015919.577    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
81       NO_ID      5.589465011    -7.593310343   9.750968963    -2.154911954   -4.318674276   6.570940275    -4.329050569   6.942045351    -1.467635121   5.55589465     1836127.263    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
82       NO_ID      5.589465011    9.266945402    -0.3274636067  -4.800866726   4.050721763    3.670461135    2.541886654    -6.016724143   -8.182317576   -2.062135685   1547178.418    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
83       NO_ID      5.589465011    9.266945402    9.750968963    -2.154911954   4.050721763    -4.593340861   -4.329050569   6.942045351    -1.467635121   -7.225257118   1951698.668    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
84       NO_ID      5.838496048    -3.489791559   -8.080385754   -1.991943113   -5.618152409   -4.673299356   2.291634877    1.30527665     -4.930265206   -0.5252235481  881559.7711    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
85       NO_ID      5.838496048    -3.489791559   2.858668783    -6.271248512   -9.441511277   -3.424481948   2.291634877    6.533097324    0.8133182775   -0.5252235481  1450227.962    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
86       NO_ID      5.838496048    7.211218604    8.287911618    -6.271248512   -9.441511277   -6.893826106   2.291634877    -0.4684591205  0.8133182775   -0.5252235481  2193774.684    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
87       NO_ID      6.507461776    -5.607776116   -7.098300119   -4.451124607   -5.708487197   4.390697958    2.81777398     6.142460402    -7.51884518    -2.573015534   1405728.141    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
88       NO_ID      6.507461776    -5.607776116   -4.327219459   3.708304086    -5.708487197   4.390697958    0.8047730949   4.345530564    6.612445448    -2.573015534   762974.9626    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
89       NO_ID      7.466353343    4.725180822    -5.182958464   -6.506241035   -3.081453902   1.574449904    -9.076509903   -0.9219641713  6.685079501    7.908871731    1506176.01     	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
90       NO_ID      7.466353343    4.725180822    -5.182958464   -6.506241035   5.645008698    1.574449904    -9.076509903   -0.9219641713  6.685079501    7.908871731    1520022.194    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
91       NO_ID      8.111514634    -3.489791559   8.287911618    -4.640949736   -5.618152409   -3.424481948   2.291634877    1.30527665     -4.930265206   -0.5252235481  1292258.654    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
92       NO_ID      -9.120456557   7.909482101    -5.052339244   -5.829340495   1.33579516     0.4879909665   1.999267556    -5.434430982   -0.6051820429  -7.051301614   1334622.183    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
93       NO_ID      -9.120456557   7.909482101    -5.052339244   -4.800866726   4.050721763    3.670461135    7.23075045     -5.434430982   -0.6051820429  -7.051301614   1601724.143    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
94       NO_ID      -9.120456557   7.909482101    -5.052339244   6.743064669    1.33579516     0.4879909665   1.999267556    -5.434430982   -0.6051820429  -7.051301614   1359773.289    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
95       NO_ID      -9.070406201   -1.78807947    -3.49345378    -4.800866726   -4.442579424   3.670461135    2.541886654    -3.523361919   7.51884518     4.741660817    1134207.343    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
96       NO_ID      -7.471846675   9.96765038     -6.562395093   2.325815607    -8.417310099   -0.3830072939  -5.703604236   -0.7083346049  -3.198034608   -5.254371776   2164280.502    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
97       NO_ID      -5.645008698   -3.489791559   -7.914365062   -0.7937864315  -5.618152409   -6.370738853   -7.659230323   4.519486068    4.128238777    3.620410779    1286373.464    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
98       NO_ID      -5.645008698   -1.46519364    -7.914365062   -0.7937864315  -2.117069002   -6.370738853   -7.659230323   4.519486068    4.128238777    3.620410779    1106895.78     	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
99       NO_ID      -5.645008698   -1.46519364    -3.49345378    -0.7937864315  -0.4049806207  -6.370738853   -7.659230323   -3.523361919   7.51884518     -2.531510361   1106565.068    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
100      NO_ID      -5.645008698   -1.46519364    -3.49345378    5.663930174    -0.4049806207  -6.370738853   5.87878048     -3.523361919   4.128238777    -2.531510361   539232.4683    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
101      NO_ID      -5.645008698   -1.46519364    8.021179846    -1.991943113   -5.618152409   -6.370738853   2.291634877    4.519486068    4.128238777    -0.5252235481  911978.2161    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
102      NO_ID      -4.548173467   5.901364177    -5.182958464   -6.506241035   8.42158269     -1.904660176   -1.247901852   -0.9219641713  6.685079501    7.908871731    1080593.166    	3.68140e+05	3.68140e+05	3.68140e+05	3.68140e+05
