%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far	best_so_far	best_so_far	best_so_far
1        NO_ID      -9.96887112    0.9530930509   6.577043977    -9.764397107   0.5868709372   6.787621693    2.704855495    2.55897702     -3.310342723   -6.325571459   2385382.135    
2        NO_ID      -9.657582324   9.500717185    -2.43079928    -7.878963591   -3.954893643   -0.04242072817 -4.116641743   -9.031952879   9.579454939    -5.207373272   3569002.723    	3.56900e+06	3.56900e+06	3.56900e+06	3.56900e+06
3        NO_ID      -9.327372051   7.260658589    -0.1248207038  2.938016907    -3.082674642   -2.193365276   -0.3494369335  -8.408764916   0.3329569384   -0.5307168798  1448824.539    	1.44882e+06	1.44882e+06	1.44882e+06	1.44882e+06
4        NO_ID      -8.805505539   3.923764763    0.2194280831   -4.156315806   1.557359539    -1.714835047   1.606799524    -4.195379498   -3.310342723   5.696279794    644563.2912    	6.44563e+05	6.44563e+05	6.44563e+05	6.44563e+05
5        NO_ID      -8.709677419   -3.168126469   5.456404309    -2.417981506   -4.011658071   0.07843256935  8.897671438    -7.867366558   4.471877194    -2.051759392   1909724.795    	6.44563e+05	6.44563e+05	6.44563e+05	6.44563e+05
6        NO_ID      -8.142643513   -0.2298043764  7.414471877    5.327005829    -5.919675283   -4.741050447   -5.33066805    1.810052797    -8.35627308    -3.744926298   1673752.531    	6.44563e+05	6.44563e+05	6.44563e+05	6.44563e+05
7        NO_ID      -7.248451186   -3.650929289   -6.55323954    -0.740684225   -1.810663167   -0.7596057009  -8.266548662   9.804071169    -8.528397473   1.247291482    2505290.598    	6.44563e+05	6.44563e+05	6.44563e+05	6.44563e+05
8        NO_ID      -6.788842433   7.259437849    4.747764519    -9.432355724   -3.284707175   2.046876431    0.9335612049   -8.973357341   -3.701590014   -3.606982635   2092082.409    	6.44563e+05	6.44563e+05	6.44563e+05	6.44563e+05
9        NO_ID      -6.23096408    -9.975585192   0.7901242103   -3.548997467   -4.058046205   -2.98013245    8.209173864    2.147587512    -4.501785333   6.891384625    1732275.375    	6.44563e+05	6.44563e+05	6.44563e+05	6.44563e+05
10       NO_ID      -5.994750816   -8.643147069   3.113193152    -6.800439467   6.516617328    6.917630543    1.405987732    -9.377422407   -4.340037233   0.2877895444   2137606.533    	6.44563e+05	6.44563e+05	6.44563e+05	6.44563e+05
11       NO_ID      -5.502182073   -0.8987701041  -6.06982635    -6.559953612   3.184606464    -1.65807062    2.069460128    6.16687521     9.393292032    -0.9128086184  1340383.751    	6.44563e+05	6.44563e+05	6.44563e+05	6.44563e+05
12       NO_ID      -4.58967864    -0.5856501968  2.261726737    5.382549516    2.310556352    -1.183202612   -1.056245613   5.083468123    -9.276100955   0.7522812586   975780.3981    	6.44563e+05	6.44563e+05	6.44563e+05	6.44563e+05
13       NO_ID      -4.337595752   -0.8450575274  -5.602893155   -3.65398114    2.972197638    9.182103946    -8.22992645    -8.093203528   3.132724998    -1.477401044   2009632.717    	6.44563e+05	6.44563e+05	6.44563e+05	6.44563e+05
14       NO_ID      -3.664967803   -3.52763451    -9.054536576   1.68980987     0.5099642933   0.2542191839   -5.686513871   -3.450727866   -6.261482589   9.063081759    975771.8596    	6.44563e+05	6.44563e+05	6.44563e+05	6.44563e+05
15       NO_ID      -3.52763451    -4.10504471    4.81490524     8.748741111    -1.895504624   -3.132724998   -0.8243049409  9.185155797    0.1840266121   -1.373027741   1410101.083    	6.44563e+05	6.44563e+05	6.44563e+05	6.44563e+05
16       NO_ID      -3.409222694   4.055604724    9.492172002    3.121127964    2.137821589    6.225470748    -1.999877926   -1.791131321   -1.956541643   5.9746086      945924.4837    	6.44563e+05	6.44563e+05	6.44563e+05	6.44563e+05
17       NO_ID      -3.339640492   0.4129154332   -2.250740074   5.262306589    -1.749626148   0.4330576495   -2.729880673   6.124149297    2.902005066    8.244575335    220364.726     	2.20365e+05	2.20365e+05	2.20365e+05	2.20365e+05
18       NO_ID      -3.189489425   -6.935941649   5.707876827    8.009582812    -2.920926542   1.931516465    1.218604083    1.739249855    -4.704428236   8.480178228    749114.4364    	2.20365e+05	2.20365e+05	2.20365e+05	2.20365e+05
19       NO_ID      -2.699362163   5.749382       3.859065523    8.919644765    -3.700979644   -5.720084231   6.569109165    1.233252968    1.976073489    -2.436902982   1068350.292    	2.20365e+05	2.20365e+05	2.20365e+05	2.20365e+05
