%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far	best_so_far	best_so_far	best_so_far
1        NO_ID      -9.96704001    7.513351848    -2.519913327   4.922940764    6.882839442    9.183935057    4.604327525    0.7724234748   6.768089846    9.922482986    2177654.354    
2        NO_ID      -8.42219306    -3.233436079   6.042970061    -3.702810755   3.46354564     1.644642476    -2.33375042    -0.8938871426  -7.334513382   9.156468398    947680.5865    	9.47681e+05	9.47681e+05	9.47681e+05	9.47681e+05
3        NO_ID      -7.898495437   -5.954466384   1.778923917    -5.991698965   -7.336954863   -4.220404675   3.863948485    -6.723532823   -3.857844783   7.932676168    1425047.196    	9.47681e+05	9.47681e+05	9.47681e+05	9.47681e+05
4        NO_ID      -6.878566851   7.286294137    -1.739860225   0.6668294321   -9.739982299   -7.371135594   -2.698141423   2.272713401    -2.584002197   -9.248634297   1876518.379    	9.47681e+05	9.47681e+05	9.47681e+05	9.47681e+05
5        NO_ID      -6.659443953   -1.382183294   6.205938902    -2.72194586    0.2761925108   -0.5380413221  -3.115634632   -8.889736625   4.647053438    -1.684926908   1029555.051    	9.47681e+05	9.47681e+05	9.47681e+05	9.47681e+05
6        NO_ID      -6.505630665   -4.776451918   -5.907467879   -6.219977416   -9.566026795   9.523300882    6.500747703    -1.349833674   5.52293466     7.232581561    2333380.254    	9.47681e+05	9.47681e+05	9.47681e+05	9.47681e+05
7        NO_ID      -6.406140324   4.750206       -8.023621326   -7.06961272    -1.98217719    1.358989227    -1.827753533   9.281594287    -4.877162999   -1.362651448   1903414.927    	9.47681e+05	9.47681e+05	9.47681e+05	9.47681e+05
8        NO_ID      -6.384777367   -3.728446303   -5.415509507   -2.216559343   -7.175206763   6.629535813    -0.09369182409 -8.419751579   5.317239906    -1.984618671   1273580.869    	9.47681e+05	9.47681e+05	9.47681e+05	9.47681e+05
9        NO_ID      -6.344492935   4.180120243    -5.860469375   7.192907498    6.647236549    0.205999939    -9.529404584   -3.273720511   7.192297128    -3.045442061   1850977.962    	9.47681e+05	9.47681e+05	9.47681e+05	9.47681e+05
10       NO_ID      -5.4258858     -5.514389477   3.118076113    3.319498276    0.82125309     -5.189672536   0.9262367626   5.623645741    -9.487899411   4.55671865     1184197.016    	9.47681e+05	9.47681e+05	9.47681e+05	9.47681e+05
11       NO_ID      -5.267799921   2.024292734    -0.5832087161  8.838465529    7.562791833    5.060884426    -2.359996338   -3.572801904   5.242164373    9.000824       971835.5544    	9.47681e+05	9.47681e+05	9.47681e+05	9.47681e+05
12       NO_ID      -4.593340861   8.198797571    3.135166478    -9.5495468     5.944700461    -4.312570574   2.150639363    -7.409588916   -8.930631428   -1.628162481   2460615.169    	9.47681e+05	9.47681e+05	9.47681e+05	9.47681e+05
13       NO_ID      -4.553666799   4.36445204     -2.870265816   6.947538682    3.14065981     -2.347178564   -5.246436964   1.801507614    -5.185399945   -4.322336497   476016.7241    	4.76017e+05	4.76017e+05	4.76017e+05	4.76017e+05
14       NO_ID      -4.283272805   -5.42771691    -4.015320292   -5.671864986   -7.985168004   9.426252022    9.910275582    7.912533952    -7.280800806   0.3244117557   2877727.163    	4.76017e+05	4.76017e+05	4.76017e+05	4.76017e+05
15       NO_ID      -4.275948363   -0.9085360271  -2.032227546   -5.723746452   -3.083285012   -6.846217231   5.397198401    -4.475539415   5.419171728    2.351451155    582090.1249    	4.76017e+05	4.76017e+05	4.76017e+05	4.76017e+05
