%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far	best_so_far	best_so_far	best_so_far
1        NO_ID      -9.962767418   0.6338694418   -0.7132175665  -5.702993866   -0.5264442885  -6.022827845   8.403881954    -2.801293985   6.923734245    2.417371136    1914278.308    
2        NO_ID      -9.812005982   2.540055544    9.246803186    9.119846187    5.686513871    8.942228462    5.765251625    9.150975066    6.561174352    -5.761589404   3560905.291    	3.56091e+06	3.56091e+06	3.56091e+06	3.56091e+06
3        NO_ID      -9.771721549   5.420392468    -4.058656575   -9.977416303   -0.9653004547  3.653370769    8.577227088    6.245612964    -0.4202398755  -0.4281746879  2615409.422    	2.61541e+06	2.61541e+06	2.61541e+06	2.61541e+06
4        NO_ID      -9.728385266   6.946317942    -0.2078310495  -7.009186071   7.155674917    6.45680105     3.941465499    -6.990264595   8.176213874    4.730674154    2130327.91     	2.13033e+06	2.13033e+06	2.13033e+06	2.13033e+06
5        NO_ID      -9.312112796   0.3909421064   9.381084628    -7.556077761   -9.824213385   -4.850306711   -1.089205603   2.001098666    8.350779748    -3.779107028   3745644.801    	2.13033e+06	2.13033e+06	2.13033e+06	2.13033e+06
6        NO_ID      -9.027680288   3.119907224    2.030396435    -2.762840663   -8.190252388   9.496444594    -3.724173711   -5.736564226   1.793572802    -4.697103793   2005336.655    	2.00534e+06	2.00534e+06	2.00534e+06	2.00534e+06
7        NO_ID      -8.788415174   0.4281746879   4.581743828    0.4947050386   6.29627369     2.280037843    2.121341594    5.341654714    -0.9201330607  2.776268807    865462.7743    	8.65463e+05	8.65463e+05	8.65463e+05	8.65463e+05
8        NO_ID      -8.771935179   -8.024231697   3.639942625    -3.276161992   -6.142460402   1.452375866    7.219153417    -2.344737083   -7.027497177   7.642750328    1767951.139    	8.65463e+05	8.65463e+05	8.65463e+05	8.65463e+05
9        NO_ID      -8.601031526   4.927823725    6.154667806    -0.1986754967  8.585772271    -2.069460128   -1.814935759   -3.59111301    3.20291757     -6.859035005   1283684.549    	8.65463e+05	8.65463e+05	8.65463e+05	8.65463e+05
10       NO_ID      -8.425244911   -4.393749809   7.368083743    -4.218573565   3.65642262     -1.944334239   -1.332132939   1.759392071    -1.36936552    -3.20474868    975596.4135    	8.65463e+05	8.65463e+05	8.65463e+05	8.65463e+05
11       NO_ID      -8.361766411   4.121524705    8.638874477    -7.266762291   6.878566851    -2.940458388   2.950834681    3.110751671    -2.282479324   -7.113559374   1610259.392    	8.65463e+05	8.65463e+05	8.65463e+05	8.65463e+05
12       NO_ID      -7.429731132   5.775627918    6.185186316    4.990691855    -1.847895749   -9.09970397    3.052156133    4.10748619     -7.694021424   -8.072450941   1667997.739    	8.65463e+05	8.65463e+05	8.65463e+05	8.65463e+05
13       NO_ID      -7.194128239   -7.611011078   9.616687521    9.177831355    9.257179479    5.258033998    0.9506515702   -4.453566088   -1.552476577   4.551835688    2609657.588    	8.65463e+05	8.65463e+05	8.65463e+05	8.65463e+05
14       NO_ID      -7.159947508   6.544694357    5.606555376    2.146977142    -1.396832179   -0.7663197729  -7.355265969   0.5935850093   -0.07354960784 -0.7797479171  721567.0841    	7.21567e+05	7.21567e+05	7.21567e+05	7.21567e+05
15       NO_ID      -7.059236427   7.340006714    5.284890286    0.8651997436   -2.649922178   -6.206549272   -9.961546678   4.764244514    -0.3488265633  -0.5319376202  1689540.981    	7.21567e+05	7.21567e+05	7.21567e+05	7.21567e+05
16       NO_ID      -7.043977172   9.824823756    -3.807184057   -4.821619312   6.90847499     6.783349101    8.600421155    8.933683279    -9.744254891   -9.71068453    3857515.202    	7.21567e+05	7.21567e+05	7.21567e+05	7.21567e+05
17       NO_ID      -7.00552385    -7.753227332   4.554277169    -6.516006958   -8.993499557   9.906002991    -4.405957213   -8.988616596   -1.606799524   -7.903378399   3296973.438    	7.21567e+05	7.21567e+05	7.21567e+05	7.21567e+05
18       NO_ID      -6.567888424   9.218115787    -9.316385388   8.283639027    -5.907467879   -2.956328013   8.450270089    -0.7345805231  4.283272805    9.134495071    2849980.803    	7.21567e+05	7.21567e+05	7.21567e+05	7.21567e+05
19       NO_ID      -6.344492935   -8.482009339   9.188818018    -6.396984771   4.480422376    0.2981658376   -4.932706687   -8.618121891   8.685262612    3.690603351    2684696.578    	7.21567e+05	7.21567e+05	7.21567e+05	7.21567e+05
20       NO_ID      -6.204718162   4.55854976     -0.05523850215 0.9463789789   -4.097109897   8.819544053    -8.302560503   3.210242012    3.144322031    5.192724387    1348151.266    	7.21567e+05	7.21567e+05	7.21567e+05	7.21567e+05
21       NO_ID      -5.251319926   1.672109134    -0.4385509812  -3.413495285   3.421430097    9.212622456    2.868434706    9.078951384    -1.879634999   -9.649037141   1477738.051    	7.21567e+05	7.21567e+05	7.21567e+05	7.21567e+05
