%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far	best_so_far	best_so_far	best_so_far
1        NO_ID      -9.960936308   7.194128239    -9.810174871   8.984344005    5.768913846    -3.625904111   -9.696646016   -4.58784753    -2.998443556   -1.33579516    3778876.478    
2        NO_ID      -9.654530473   9.650868252    -0.8584856716  -6.16748558    -5.873897519   8.569292276    3.987243263    -2.65785699    0.8999908444   2.004760887    2367628.404    	2.36763e+06	2.36763e+06	2.36763e+06	2.36763e+06
3        NO_ID      -9.267555773   0.7547227393   2.098147526    -3.04422132    6.370738853    -5.800653096   -1.617175817   5.156102176    9.865718558    1.65807062     2015172.417    	2.01517e+06	2.01517e+06	2.01517e+06	2.01517e+06
4        NO_ID      -9.006317331   -0.882290109   0.2938932463   -9.653309732   -1.230201117   9.77416303     1.880245369    -1.600695822   -4.250312815   -3.284096805   2510418.221    	2.01517e+06	2.01517e+06	2.01517e+06	2.01517e+06
5        NO_ID      -8.983123264   3.185216834    -9.298684652   6.235236671    4.94247261     4.218573565    -3.754692221   -7.535325175   -8.692587054   9.058809168    2402936.153    	2.01517e+06	2.01517e+06	2.01517e+06	2.01517e+06
6        NO_ID      -8.417310099   2.158574175    -4.404736473   -5.371562853   4.991912595    5.020599994    1.064180425    6.099124119    -3.162022767   1.062349315    869863.5191    	8.69864e+05	8.69864e+05	8.69864e+05	8.69864e+05
7        NO_ID      -7.752006592   -0.3933835871  -9.555040132   -8.087099826   -2.615741447   5.868404187    -7.84234138    8.756675924    -9.519028291   6.988433485    3725613.74     	8.69864e+05	8.69864e+05	8.69864e+05	8.69864e+05
8        NO_ID      -7.393719291   2.647480697    7.220374157    9.172338023    7.039094211    0.07110812708  -2.33497116    -4.963225196   1.78807947     6.957304605    1359574.449    	8.69864e+05	8.69864e+05	8.69864e+05	8.69864e+05
9        NO_ID      -7.149571215   7.366863002    -1.202734458   -9.036225471   -9.105197302   4.376049074    6.407361064    -3.989684744   0.7681508835   -6.173589282   2197544.353    	8.69864e+05	8.69864e+05	8.69864e+05	8.69864e+05
10       NO_ID      -6.300546281   -8.96969512    -1.843012787   -5.120090335   -5.97521897    7.780083621    5.55406354     7.291787469    -9.631336406   5.862300485    2610749.699    	8.69864e+05	8.69864e+05	8.69864e+05	8.69864e+05
11       NO_ID      -5.55711539    1.404156621    -1.262550737   9.500717185    6.68324839     3.43119602     8.175603504    -0.644245735   8.431348613    6.787011322    1839650.976    	8.69864e+05	8.69864e+05	8.69864e+05	8.69864e+05
12       NO_ID      -5.507065035   -1.886349071   0.1571703238   4.205145421    4.838709677    4.675740837    9.746086001    1.409039583    -6.049684133   -0.7284768212  1194639.811    	8.69864e+05	8.69864e+05	8.69864e+05	8.69864e+05
13       NO_ID      -5.389873959   -1.830195013   -2.897732475   7.011017182    0.5581835383   9.930417798    2.27088229     2.386852626    5.10544145     -5.699331645   1374956.951    	8.69864e+05	8.69864e+05	8.69864e+05	8.69864e+05
14       NO_ID      -5.07248146    -1.584826197   -7.106845302   9.707022309    3.315836055    5.960570086    -9.233985412   -1.33640553    -3.585619678   3.669240394    2041378.773    	8.69864e+05	8.69864e+05	8.69864e+05	8.69864e+05
15       NO_ID      -4.858241523   1.080660421    2.88186285     2.055421613    -9.479354228   -1.989501633   -5.663319803   6.623432112    3.028351695    -7.159947508   1185039.183    	8.69864e+05	8.69864e+05	8.69864e+05	8.69864e+05
16       NO_ID      -4.55793939    6.318247017    1.100802637    8.572954497    -1.462752159   -2.021851253   2.228156377    0.028992584    -9.840693381   -6.387218848   1818908.891    	8.69864e+05	8.69864e+05	8.69864e+05	8.69864e+05
17       NO_ID      -4.498123112   -4.644611957   -5.521713919   2.533341472    7.676931059    -2.403942991   1.971800897    5.888546403    -5.320902127   1.673329875    822867.9806    	8.22868e+05	8.22868e+05	8.22868e+05	8.22868e+05
18       NO_ID      -4.348582415   4.423047578    3.30118717     -5.71520127    -1.100802637   1.096530045    -9.837031159   -5.350810266   0.1467940306   -5.251930296   1328202.937    	8.22868e+05	8.22868e+05	8.22868e+05	8.22868e+05
19       NO_ID      -4.119693594   0.8236945708   0.7461775567   8.275093844    -0.8578753014  -9.841914121   4.329660939    -4.072084719   1.479232154    5.728629414    1456571.202    	8.22868e+05	8.22868e+05	8.22868e+05	8.22868e+05
20       NO_ID      -3.939634388   -4.208197272   -9.862666707   -5.248878445   3.144322031    5.706656087    1.467635121    -6.16626484    -2.185430464   -7.45536668    1507875.147    	8.22868e+05	8.22868e+05	8.22868e+05	8.22868e+05
21       NO_ID      -2.441175573   -8.372142705   5.305032502    -9.794915616   6.959746086    4.586626789    -8.729209265   -7.175206763   -7.566454054   3.519089328    2989919.721    	8.22868e+05	8.22868e+05	8.22868e+05	8.22868e+05
22       NO_ID      -1.610461745   -1.358378857   4.16974395     8.642536699    2.316049684    -0.7693716239  7.053132725    0.7693716239   -0.5746635334  -0.03021332438 781685.2625    	7.81685e+05	7.81685e+05	7.81685e+05	7.81685e+05
23       NO_ID      -1.457258827   5.055391095    -3.467818232   0.06317331462  -7.430951872   4.805749687    -8.326975311   -8.184759056   4.730063784    9.238258003    1464014.087    	7.81685e+05	7.81685e+05	7.81685e+05	7.81685e+05
24       NO_ID      -0.8829004791  -2.17261269    -8.456984161   4.595782342    1.619617298    -4.33332316    7.183751946    -5.379497665   7.469405194    -9.929197058   1325466.453    	7.81685e+05	7.81685e+05	7.81685e+05	7.81685e+05
25       NO_ID      -0.8603167821  3.864558855    3.892635884    9.861445967    -2.185430464   -5.665150914   -0.2462843715  0.1876888333   -6.076540422   2.278206732    1244140.689    	7.81685e+05	7.81685e+05	7.81685e+05	7.81685e+05
26       NO_ID      -0.7968382824  5.738395337    -3.957335124   8.204290902    -5.9111301     4.551225318    -6.860255745   4.470046083    -1.877193518   7.428510392    1079718.882    	7.81685e+05	7.81685e+05	7.81685e+05	7.81685e+05
27       NO_ID      -0.132145146   -1.241798151   4.069643239    6.474501785    1.380352184    8.887905515    3.938413648    -6.678975799   9.801629688    -8.221991638   2001904.394    	7.81685e+05	7.81685e+05	7.81685e+05	7.81685e+05
28       NO_ID      0.03997924741  8.897671438    -7.868587298   -4.501174963   8.716391491    1.520737327    8.502151555    -6.916409803   7.632984405    -5.516220588   2974187.871    	7.81685e+05	7.81685e+05	7.81685e+05	7.81685e+05
29       NO_ID      0.3988769189   7.001861629    7.642139958    -2.587054048   3.909726249    -5.675527207   -8.635822626   -8.604693747   -0.1644947661  -7.032990509   2007365.472    	7.81685e+05	7.81685e+05	7.81685e+05	7.81685e+05
30       NO_ID      1.483504746    -0.6588946196  1.556138798    9.725943785    4.241157262    3.223059786    9.893795587    -4.571367534   2.994170965    -4.645222327   1945026.58     	7.81685e+05	7.81685e+05	7.81685e+05	7.81685e+05
31       NO_ID      2.148197882    -0.6460768456  -2.97769097    -7.755058443   3.640552995    3.018585772    -0.07904293954 6.90786462     -5.540635395   -8.507644887   812018.0142    	7.81685e+05	7.81685e+05	7.81685e+05	7.81685e+05
