%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far	best_so_far	best_so_far	best_so_far
1        NO_ID      -9.958494827   -6.245612964   1.093478195    3.671071505    -7.935728019   -1.229590747   -7.797173986   -6.374401074   7.079378643    -5.088351085   2591361.744    
2        NO_ID      -8.948332163   -3.323770867   -8.06878872    -0.03265480514 -6.10217597    9.660634175    4.703207495    -2.388073366   -0.3152562029  -3.666798914   2086995.109    	2.08700e+06	2.08700e+06	2.08700e+06	2.08700e+06
3        NO_ID      -8.393505661   -7.277138585   -2.486342967   1.484115116    -3.747978149   -3.214514603   -3.94573809    -0.4995880001  3.832209235    1.546372875    1012104.226    	1.01210e+06	1.01210e+06	1.01210e+06	1.01210e+06
4        NO_ID      -8.06817835    -3.75347148    -5.579699087   5.405133213    9.361552782    -3.521530808   -0.9817804498  7.174596393    3.024689474    1.579943236    1711872.655    	1.01210e+06	1.01210e+06	1.01210e+06	1.01210e+06
5        NO_ID      -8.005310221   -4.437696463   1.081881161    2.214728233    -3.328043458   -3.049714652   3.511154515    -3.406170843   4.194769127    -4.593340861   614030.4205    	6.14030e+05	6.14030e+05	6.14030e+05	6.14030e+05
6        NO_ID      -7.743461409   -4.530472732   -1.753288369   3.165074618    7.169713431    -6.640522477   6.730246895    1.140476699    -6.680196539   3.62468337     1312665.13     	6.14030e+05	6.14030e+05	6.14030e+05	6.14030e+05
7        NO_ID      -7.239906003   7.393719291    -7.690359203   1.063570055    4.440748314    -5.04135258    2.775658437    7.256385998    1.885738701    8.185369427    1302709.963    	6.14030e+05	6.14030e+05	6.14030e+05	6.14030e+05
8        NO_ID      -7.19779046    -7.811822871   -8.283028657   -4.195989868   -1.674550615   8.00347911     -7.532273324   -7.094027528   -2.88247322    -3.158360546   2622360.392    	6.14030e+05	6.14030e+05	6.14030e+05	6.14030e+05
9        NO_ID      -6.915799432   -1.720328379   9.463484603    3.995178076    0.9848323008   3.757744072    -2.279427473   8.474074526    9.83947264     0.2096621601   2350606.769    	6.14030e+05	6.14030e+05	6.14030e+05	6.14030e+05
10       NO_ID      -6.349986267   -9.45249794    1.781365398    6.630146184    -6.541032136   7.782525101    -6.427503281   0.3396710105   6.363414411    3.100985748    2154130.284    	6.14030e+05	6.14030e+05	6.14030e+05	6.14030e+05
11       NO_ID      -5.935544908   -2.582171087   0.6607257302   0.03753776666  -2.453382977   -0.776085696   -1.789300211   -0.6979583117  1.551866207    9.19553209     158726.1802    	1.58726e+05	1.58726e+05	1.58726e+05	1.58726e+05
12       NO_ID      -4.065370647   -3.759575182   2.33375042     6.256599628    8.184759056    -9.597766045   2.469252602    -8.06695761    -8.934293649   7.529831843    2632093.908    	1.58726e+05	1.58726e+05	1.58726e+05	1.58726e+05
13       NO_ID      -3.898739586   0.2359080782   -3.505661184   6.447035127    -3.741874447   -9.729606006   0.5380413221   -5.119479965   0.2389599292   -2.452162236   1245899.814    	1.58726e+05	1.58726e+05	1.58726e+05	1.58726e+05
14       NO_ID      -3.807794427   5.534531693    6.852931303    7.704397717    2.204351939    3.118686483    -9.596545305   -1.351054415   -6.944486831   -5.921506394   1757375.307    	1.58726e+05	1.58726e+05	1.58726e+05	1.58726e+05
15       NO_ID      -3.585619678   3.950621052    4.5884579      4.844203009    -8.140812403   -5.398419141   3.59050264     9.22788171     -8.237250893   4.049501022    2006172.019    	1.58726e+05	1.58726e+05	1.58726e+05	1.58726e+05
