FE	Run 1	Run 2	Run 3	Run 4	Run 5	Run 6	Run 7	Run 8	Run 9	Run 10	Average
1	2214180.0	2278390.0	2301010.0	3569000.0	947681.0	2786300.0	3560910.0	2367630.0	2087000.0	1104920.0	2321702.1
2	1131770.0	1957930.0	1660580.0	1448820.0	947681.0	2195550.0	2615410.0	2015170.0	1012100.0	1104920.0	1608993.1
3	1131770.0	1957930.0	1415880.0	644563.0	947681.0	2195550.0	2130330.0	2015170.0	1012100.0	1104920.0	1455589.4
4	1131770.0	1957930.0	1415880.0	644563.0	947681.0	2195550.0	2130330.0	2015170.0	614030.0	1104920.0	1415782.4
5	1131770.0	1957930.0	1415880.0	644563.0	947681.0	2195550.0	2005340.0	869864.0	614030.0	1104920.0	1288752.8
6	1131770.0	1163690.0	1415880.0	644563.0	947681.0	2195550.0	865463.0	869864.0	614030.0	1104920.0	1095341.1
7	1000440.0	864452.0	1415880.0	644563.0	947681.0	2195550.0	865463.0	869864.0	614030.0	1104920.0	1052284.3
8	457730.0	864452.0	1415880.0	644563.0	947681.0	772022.0	865463.0	869864.0	614030.0	1104920.0	855660.5
9	457730.0	864452.0	1415880.0	644563.0	947681.0	772022.0	865463.0	869864.0	614030.0	1104920.0	855660.5
10	457730.0	864452.0	1415880.0	644563.0	947681.0	772022.0	865463.0	869864.0	158726.0	1104920.0	810130.1
11	457730.0	864452.0	1415880.0	644563.0	947681.0	772022.0	865463.0	869864.0	158726.0	1104920.0	810130.1
12	457730.0	864452.0	1415880.0	644563.0	476017.0	772022.0	865463.0	869864.0	158726.0	695329.0	722004.6
13	457730.0	864452.0	906469.0	644563.0	476017.0	772022.0	721567.0	869864.0	158726.0	695329.0	656673.9
14	457730.0	600752.0	906469.0	644563.0	476017.0	772022.0	721567.0	869864.0	158726.0	695329.0	630303.9
15	457730.0	600752.0	906469.0	644563.0	476017.0	697363.0	721567.0	869864.0	158726.0	151418.0	568446.9
16	457730.0	600752.0	906469.0	220365.0	476017.0	697363.0	721567.0	822868.0	158726.0	151418.0	521327.5
17	457730.0	600752.0	906469.0	220365.0	476017.0	697363.0	721567.0	822868.0	158726.0	151418.0	521327.5
18	457730.0	600752.0	906469.0	220365.0	476017.0	697363.0	721567.0	822868.0	158726.0	151418.0	521327.5
19	457730.0	600752.0	906469.0	220365.0	476017.0	697363.0	721567.0	822868.0	158726.0	151418.0	521327.5
20	393617.0	600752.0	368140.0	220365.0	476017.0	690697.0	721567.0	822868.0	158726.0	151418.0	460416.7
21	393617.0	600752.0	368140.0	220365.0	476017.0	690697.0	721567.0	781685.0	158726.0	151418.0	456298.4
22	393617.0	364942.0	368140.0	220365.0	476017.0	690697.0	721567.0	781685.0	158726.0	151418.0	432717.4
23	393617.0	364942.0	368140.0	220365.0	476017.0	690697.0	597197.0	781685.0	158726.0	151418.0	420280.4
24	393617.0	364942.0	368140.0	220365.0	198545.0	530681.0	597197.0	781685.0	158726.0	151418.0	376531.6
25	393617.0	364942.0	368140.0	220365.0	198545.0	530681.0	597197.0	781685.0	158726.0	151418.0	376531.6
26	384012.0	364942.0	368140.0	220365.0	198545.0	369713.0	597197.0	781685.0	158726.0	151418.0	359474.3
27	384012.0	364942.0	368140.0	220365.0	198545.0	369713.0	597197.0	781685.0	158726.0	151418.0	359474.3
28	384012.0	364942.0	368140.0	220365.0	198545.0	369713.0	597197.0	781685.0	158726.0	151418.0	359474.3
29	384012.0	364942.0	368140.0	220365.0	198545.0	369713.0	597197.0	781685.0	158726.0	151418.0	359474.3
30	384012.0	364942.0	368140.0	220365.0	198545.0	369713.0	597197.0	781685.0	158726.0	151418.0	359474.3
31	384012.0	364942.0	368140.0	220365.0	198545.0	369713.0	597197.0	781685.0	158726.0	151418.0	359474.3
32	384012.0	364942.0	368140.0	220365.0	198545.0	369713.0	597197.0	781685.0	158726.0	151418.0	359474.3
33	384012.0	364942.0	368140.0	220365.0	198545.0	369713.0	597197.0	781685.0	158726.0	151418.0	359474.3
34	384012.0	364942.0	368140.0	220365.0	198545.0	369713.0	597197.0	781685.0	158726.0	151418.0	359474.3
35	384012.0	364942.0	368140.0	220365.0	198545.0	369713.0	597197.0	781685.0	158726.0	151418.0	359474.3
36	384012.0	364942.0	368140.0	220365.0	198545.0	369713.0	597197.0	781685.0	158726.0	151418.0	359474.3
37	384012.0	364942.0	368140.0	220365.0	198545.0	369713.0	597197.0	781685.0	158726.0	151418.0	359474.3
38	384012.0	364942.0	368140.0	220365.0	198545.0	369713.0	597197.0	781685.0	158726.0	151418.0	359474.3
39	384012.0	364942.0	368140.0	220365.0	198545.0	369713.0	597197.0	157081.0	158726.0	151418.0	297013.9
40	384012.0	364942.0	368140.0	220365.0	198545.0	369713.0	597197.0	157081.0	158726.0	151418.0	297013.9
41	384012.0	364942.0	368140.0	220365.0	198545.0	369713.0	597197.0	157081.0	158726.0	151418.0	297013.9
42	384012.0	364942.0	368140.0	220365.0	198545.0	369713.0	597197.0	157081.0	158726.0	151418.0	297013.9
43	384012.0	364942.0	368140.0	220365.0	198545.0	369713.0	597197.0	157081.0	158726.0	151418.0	297013.9
44	384012.0	364942.0	368140.0	220365.0	198545.0	369713.0	597197.0	157081.0	158726.0	151418.0	297013.9
45	384012.0	364942.0	368140.0	220365.0	198545.0	369713.0	597197.0	157081.0	158726.0	151418.0	297013.9
46	384012.0	364942.0	368140.0	220365.0	198545.0	369713.0	597197.0	157081.0	158726.0	151418.0	297013.9
47	384012.0	364942.0	368140.0	220365.0	198545.0	369713.0	597197.0	157081.0	158726.0	151418.0	297013.9
48	384012.0	364942.0	368140.0	220365.0	198545.0	369713.0	597197.0	157081.0	158726.0	151418.0	297013.9
49	384012.0	364942.0	368140.0	220365.0	198545.0	369713.0	597197.0	157081.0	158726.0	151418.0	297013.9
50	384012.0	364942.0	368140.0	220365.0	198545.0	369713.0	597197.0	157081.0	158726.0	151418.0	297013.9
51	384012.0	364942.0	368140.0	220365.0	198545.0	369713.0	597197.0	157081.0	158726.0	151418.0	297013.9
52	384012.0	364942.0	368140.0	220365.0	198545.0	369713.0	597197.0	157081.0	158726.0	151418.0	297013.9
53	384012.0	364942.0	368140.0	220365.0	198545.0	369713.0	597197.0	157081.0	158726.0	151418.0	297013.9
54	384012.0	364942.0	368140.0	220365.0	198545.0	369713.0	597197.0	157081.0	158726.0	151418.0	297013.9
55	384012.0	364942.0	368140.0	220365.0	198545.0	369713.0	597197.0	157081.0	158726.0	151418.0	297013.9
56	384012.0	364942.0	368140.0	220365.0	198545.0	369713.0	597197.0	157081.0	158726.0	151418.0	297013.9
57	384012.0	364942.0	368140.0	220365.0	198545.0	369713.0	597197.0	157081.0	158726.0	151418.0	297013.9
58	224016.0	364942.0	368140.0	220365.0	198545.0	369713.0	597197.0	157081.0	158726.0	151418.0	281014.3
59	224016.0	364942.0	368140.0	220365.0	198545.0	369713.0	597197.0	157081.0	158726.0	151418.0	281014.3
60	224016.0	364942.0	368140.0	220365.0	198545.0	369713.0	597197.0	157081.0	158726.0	151418.0	281014.3
61	224016.0	364942.0	368140.0	220365.0	198545.0	369713.0	597197.0	157081.0	158726.0	151418.0	281014.3
62	224016.0	364942.0	368140.0	220365.0	198545.0	369713.0	597197.0	157081.0	158726.0	151418.0	281014.3
63	224016.0	364942.0	368140.0	220365.0	198545.0	369713.0	597197.0	157081.0	158726.0	151418.0	281014.3
64	224016.0	364942.0	368140.0	220365.0	198545.0	369713.0	597197.0	157081.0	158726.0	151418.0	281014.3
65	224016.0	364942.0	368140.0	220365.0	198545.0	369713.0	597197.0	157081.0	158726.0	151418.0	281014.3
66	224016.0	364942.0	368140.0	220365.0	41915.2	369713.0	597197.0	157081.0	158726.0	151418.0	265351.32
67	224016.0	364942.0	368140.0	220365.0	41915.2	369713.0	597197.0	157081.0	158726.0	151418.0	265351.32
68	224016.0	364942.0	368140.0	220365.0	41915.2	369713.0	597197.0	157081.0	158726.0	151418.0	265351.32
69	224016.0	364942.0	368140.0	220365.0	41915.2	369713.0	597197.0	157081.0	158726.0	151418.0	265351.32
70	224016.0	364942.0	368140.0	220365.0	41915.2	369713.0	597197.0	157081.0	158726.0	151418.0	265351.32
71	224016.0	364942.0	368140.0	220365.0	41915.2	369713.0	597197.0	157081.0	158726.0	151418.0	265351.32
72	224016.0	364942.0	368140.0	220365.0	41915.2	369713.0	597197.0	157081.0	158726.0	151418.0	265351.32
73	224016.0	364942.0	368140.0	220365.0	41915.2	369713.0	597197.0	157081.0	158726.0	151418.0	265351.32
74	224016.0	364942.0	368140.0	220365.0	41915.2	369713.0	597197.0	157081.0	158726.0	151418.0	265351.32
75	224016.0	364942.0	368140.0	220365.0	41915.2	369713.0	597197.0	157081.0	158726.0	151418.0	265351.32
76	224016.0	364942.0	368140.0	220365.0	41915.2	369713.0	597197.0	157081.0	158726.0	151418.0	265351.32
77	224016.0	364942.0	368140.0	220365.0	41915.2	369713.0	597197.0	157081.0	158726.0	151418.0	265351.32
78	224016.0	364942.0	368140.0	220365.0	41915.2	369713.0	597197.0	157081.0	158726.0	151418.0	265351.32
79	224016.0	364942.0	368140.0	220365.0	41915.2	369713.0	597197.0	157081.0	158726.0	151418.0	265351.32
80	224016.0	364942.0	368140.0	220365.0	41915.2	369713.0	597197.0	157081.0	158726.0	151418.0	265351.32
81	224016.0	364942.0	368140.0	220365.0	41915.2	369713.0	597197.0	157081.0	158726.0	151418.0	265351.32
82	224016.0	364942.0	368140.0	220365.0	41915.2	369713.0	597197.0	157081.0	158726.0	151418.0	265351.32
83	224016.0	364942.0	368140.0	220365.0	41915.2	369713.0	597197.0	157081.0	158726.0	151418.0	265351.32
84	224016.0	364942.0	368140.0	220365.0	41915.2	369713.0	597197.0	157081.0	158726.0	151418.0	265351.32
85	224016.0	364942.0	368140.0	220365.0	41915.2	369713.0	597197.0	157081.0	158726.0	151418.0	265351.32
86	224016.0	364942.0	368140.0	220365.0	41915.2	369713.0	597197.0	157081.0	158726.0	151418.0	265351.32
87	224016.0	364942.0	368140.0	220365.0	41915.2	369713.0	597197.0	157081.0	158726.0	151418.0	265351.32
88	224016.0	364942.0	368140.0	220365.0	41915.2	369713.0	597197.0	157081.0	158726.0	151418.0	265351.32
89	224016.0	364942.0	368140.0	220365.0	41915.2	369713.0	597197.0	157081.0	158726.0	151418.0	265351.32
90	224016.0	364942.0	368140.0	220365.0	41915.2	369713.0	597197.0	157081.0	158726.0	151418.0	265351.32
91	224016.0	364942.0	368140.0	220365.0	41915.2	369713.0	597197.0	157081.0	158726.0	151418.0	265351.32
92	224016.0	364942.0	368140.0	220365.0	41915.2	369713.0	597197.0	157081.0	158726.0	151418.0	265351.32
93	224016.0	364942.0	368140.0	220365.0	41915.2	369713.0	597197.0	157081.0	158726.0	151418.0	265351.32
94	224016.0	364942.0	368140.0	220365.0	41915.2	369713.0	597197.0	157081.0	158726.0	151418.0	265351.32
