FE	Run 1	Run 2	Run 3	Run 4	Run 5	Run 6	Run 7	Run 8	Run 9	Run 10	Average
1	197598.0	197598.0	197598.0	197598.0	197598.0	197598.0	197598.0	197598.0	197598.0	197598.0	197598.0
2	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0
3	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0
4	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0
5	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0
6	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0
7	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0
8	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0
9	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0
10	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0
11	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0
12	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0
13	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0
14	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0
15	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0
16	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0
17	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0
18	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0
19	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0
20	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0
21	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0
22	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0
23	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0
24	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0
25	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0
26	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0
27	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0
28	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0
29	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0
30	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0
31	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0
32	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0
33	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0
34	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0	197571.0
35	4453.44	4453.44	4453.44	4453.44	4453.44	4453.44	4453.44	4453.44	4453.44	4453.44	4453.4400000000005
36	4453.44	4453.44	4453.44	4453.44	4453.44	4453.44	4453.44	4453.44	4453.44	4453.44	4453.4400000000005
37	4453.44	4453.44	4453.44	4453.44	4453.44	4453.44	4453.44	4453.44	4453.44	4453.44	4453.4400000000005
38	4453.44	4453.44	4453.44	4453.44	4453.44	4453.44	4453.44	4453.44	4453.44	4453.44	4453.4400000000005
39	4453.44	4453.44	4453.44	4453.44	4453.44	4453.44	4453.44	4453.44	4453.44	4453.44	4453.4400000000005
40	4453.44	4453.44	4453.44	4453.44	4453.44	4453.44	4453.44	4453.44	4453.44	4453.44	4453.4400000000005
41	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
42	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
43	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
44	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
45	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
46	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
47	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
48	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
49	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
50	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
51	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
52	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
53	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
54	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
55	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
56	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
57	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
58	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
59	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
60	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
61	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
62	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
63	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
64	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
65	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
66	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
67	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
68	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
69	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
70	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
71	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
72	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
73	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
74	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
75	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
76	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
77	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
78	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
79	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
80	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
81	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
82	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
83	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
84	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
85	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
86	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
87	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
88	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
89	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
90	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
91	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
92	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
93	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
94	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
95	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
96	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
97	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
98	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
99	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
100	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
101	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
102	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
103	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
104	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
105	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
106	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
107	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
108	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
109	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
110	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
111	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
112	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
113	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
114	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
115	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
116	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
117	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
118	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
119	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
120	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
121	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
122	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
123	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
124	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
125	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
126	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
127	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
128	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
129	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
