FE	Run 1	Run 2	Run 3	Run 4	Run 5	Run 6	Run 7	Run 8	Run 9	Run 10	Average
1	8.92900e+06	7.12500e+06	8.49900e+06	1.01100e+07	1.11300e+07	1.10900e+07	1.06500e+07	8.68600e+06	1.25200e+07	7.72400e+06	9.64630e+06
2	8.92900e+06	7.12500e+06	7.92200e+06	8.75900e+06	9.47800e+06	1.07000e+07	9.54500e+06	6.65100e+06	7.33300e+06	6.77700e+06	8.32190e+06
3	6.45000e+06	7.12500e+06	6.26900e+06	8.75900e+06	9.47800e+06	1.01700e+07	9.54500e+06	6.65100e+06	7.33300e+06	6.77700e+06	7.85570e+06
4	6.45000e+06	7.12500e+06	6.26900e+06	8.75900e+06	9.07200e+06	9.43300e+06	9.54500e+06	6.65100e+06	7.33300e+06	6.77700e+06	7.74140e+06
5	6.45000e+06	7.12500e+06	6.26900e+06	8.75900e+06	9.07200e+06	7.82400e+06	8.70900e+06	6.65100e+06	7.33300e+06	6.77700e+06	7.49690e+06
6	6.45000e+06	7.12500e+06	6.26900e+06	8.75900e+06	8.76400e+06	7.82400e+06	8.55500e+06	6.65100e+06	7.33300e+06	6.77700e+06	7.45070e+06
7	6.45000e+06	7.12500e+06	6.26900e+06	8.75900e+06	8.76400e+06	7.82400e+06	8.55500e+06	5.95000e+06	7.33300e+06	6.77700e+06	7.38060e+06
8	6.45000e+06	7.12500e+06	6.26900e+06	8.75900e+06	8.76400e+06	7.82400e+06	8.55500e+06	5.95000e+06	7.33300e+06	6.77700e+06	7.38060e+06
9	6.45000e+06	7.12500e+06	6.26900e+06	8.75900e+06	8.76400e+06	7.82400e+06	8.55500e+06	5.95000e+06	7.33300e+06	6.77700e+06	7.38060e+06
10	6.45000e+06	7.12500e+06	6.26900e+06	8.71400e+06	8.76400e+06	7.82400e+06	5.43600e+06	5.95000e+06	6.89900e+06	6.77700e+06	7.02080e+06
11	6.45000e+06	7.12500e+06	6.26900e+06	8.71400e+06	7.87500e+06	6.42700e+06	5.29400e+06	5.95000e+06	6.89900e+06	6.77700e+06	6.77800e+06
12	6.45000e+06	7.12500e+06	6.26900e+06	8.71400e+06	7.87500e+06	6.42700e+06	5.29400e+06	5.86800e+06	6.89900e+06	6.77700e+06	6.76980e+06
13	6.45000e+06	7.12500e+06	6.26900e+06	7.86700e+06	7.87500e+06	6.42700e+06	5.29400e+06	5.86800e+06	6.89900e+06	6.77700e+06	6.68510e+06
14	6.45000e+06	7.12500e+06	6.26900e+06	7.86700e+06	7.87500e+06	6.42700e+06	5.29400e+06	5.86800e+06	6.89900e+06	6.77700e+06	6.68510e+06
15	6.45000e+06	7.12500e+06	6.26900e+06	7.86700e+06	7.87500e+06	6.42700e+06	5.29400e+06	5.86800e+06	5.44800e+06	6.77700e+06	6.54000e+06
16	6.45000e+06	7.12500e+06	6.26900e+06	7.86700e+06	7.87500e+06	6.42700e+06	5.29400e+06	5.86800e+06	5.44800e+06	6.77700e+06	6.54000e+06
17	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01
18	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01
19	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01
